vmr_id	feature_type	nearest_feature_id	nearest_feature_name	nearest_distance	seqnames	start	end	h2_category	h2_unscaled	r_squared_cv	num_snps	population	vmr_set	vmr_length	log_nearest_distance	within_10kb	within_100kb
chrX_101097622_101098473	gene	ENSG00000102384	CENPI	0	chrX	101097622	101098473	Non-heritable	0.088010276893539	0.53189316891574	101	EA	EA_only	851	0	TRUE	TRUE
chrX_118974315_118976419	gene	ENSG00000175556	LONRF3	0	chrX	118974315	118976419	Non-heritable	0.0395754637893833	0.653684033591479	111	EA	EA_only	2104	0	TRUE	TRUE
chrX_48071222_48071328	gene	ENSG00000287757	ENSG00000287757	0	chrX	48071222	48071328	Heritable	0.24499449924411	0.695739756304642	74	EA	EA_only	106	0	TRUE	TRUE
chr1_8233895_8234123	gene	ENSG00000298156	ENSG00000298156	5877	chr1	8233895	8234123	Heritable	0.201726760998062	0.942746117324865	244	EA	EA_only	228	8.67897184697886	TRUE	TRUE
chr1_8240722_8241369	gene	ENSG00000298156	ENSG00000298156	0	chr1	8240722	8241369	Heritable	0.18943870247089	0.939170484500874	246	EA	EA_only	647	0	TRUE	TRUE
chr1_8255148_8255824	gene	ENSG00000301025	ENSG00000301025	516	chr1	8255148	8255824	Heritable	0.155519371996989	0.936433447176778	252	EA	EA_only	676	6.24804287450843	TRUE	TRUE
chr1_8305769_8306651	gene	ENSG00000301006	ENSG00000301006	10758	chr1	8305769	8306651	Heritable	0.207127679381995	0.94606026987471	250	EA	EA_only	882	9.28349789259391	FALSE	TRUE
chr1_8332504_8332806	gene	ENSG00000162426	SLC45A1	0	chr1	8332504	8332806	Heritable	0.191978996003381	0.954048301918518	253	EA	EA_only	302	0	TRUE	TRUE
chr1_8340847_8341851	gene	ENSG00000162426	SLC45A1	0	chr1	8340847	8341851	Heritable	0.234715376081769	0.958209815459322	256	EA	EA_only	1004	0	TRUE	TRUE
chr1_83996581_83997373	gene	ENSG00000137941	TTLL7	0	chr1	83996581	83997373	Non-heritable	0.0832311044942477	0.894763802724056	201	EA	EA_only	792	0	TRUE	TRUE
chr1_8403043_8403510	gene	ENSG00000142599	RERE	0	chr1	8403043	8403510	Heritable	0.199709402655553	0.966702035166617	277	EA	EA_only	467	0	TRUE	TRUE
chr1_84558312_84558450	gene	ENSG00000117151	CTBS	0	chr1	84558312	84558450	Heritable	0.100705209058673	0.903862693358907	213	EA	EA_only	138	0	TRUE	TRUE
chr1_84652684_84653492	gene	ENSG00000117155	SSX2IP	0	chr1	84652684	84653492	Heritable	0.102197331749113	0.907222091405001	224	EA	EA_only	808	0	TRUE	TRUE
chrX_48475993_48476647	gene	ENSG00000068438	FTSJ1	0	chrX	48475993	48476647	Heritable	0.13347970445945	0.590692473052801	60	EA	EA_only	654	0	TRUE	TRUE
chr1_8608217_8610065	gene	ENSG00000142599	RERE	0	chr1	8608217	8610065	Heritable	0.219935814491743	0.946971479568662	264	EA	EA_only	1848	0	TRUE	TRUE
chr1_86842001_86842447	gene	ENSG00000284846	ENSG00000284846	7831	chr1	86842001	86842447	Non-heritable	0.0775691867342428	0.911715434037775	210	EA	EA_only	446	8.96597318421035	TRUE	TRUE
chr1_8713508_8714787	gene	ENSG00000142599	RERE	0	chr1	8713508	8714787	Heritable	0.114802012536534	0.934999787523664	256	EA	EA_only	1279	0	TRUE	TRUE
chr1_8759809_8760421	gene	ENSG00000142599	RERE	0	chr1	8759809	8760421	Heritable	0.107406909334443	0.93206755687672	259	EA	EA_only	612	0	TRUE	TRUE
chr1_8774510_8775337	gene	ENSG00000142599	RERE	0	chr1	8774510	8775337	Heritable	0.149869181059629	0.940561466658226	256	EA	EA_only	827	0	TRUE	TRUE
chr1_87890940_87891180	gene	ENSG00000295677	ENSG00000295677	0	chr1	87890940	87891180	Heritable	0.164150989664528	0.919309001178141	213	EA	EA_only	240	0	TRUE	TRUE
chr1_8792533_8793113	gene	ENSG00000142599	RERE	0	chr1	8792533	8793113	Non-heritable	0.0914863282997189	0.911703308078412	256	EA	EA_only	580	0	TRUE	TRUE
chr1_8828674_8829120	gene	ENSG00000142599	RERE	0	chr1	8828674	8829120	Heritable	0.191760956652673	0.946596056724451	258	EA	EA_only	446	0	TRUE	TRUE
chr1_8853051_8853571	gene	ENSG00000142599	RERE	4129	chr1	8853051	8853571	Heritable	0.262736431199704	0.93879180584905	249	EA	EA_only	520	8.32603268595508	TRUE	TRUE
chrX_48508388_48508570	gene	ENSG00000224292	PORCN-DT	0	chrX	48508388	48508570	Heritable	0.189095808713736	0.597561203222037	62	EA	EA_only	182	0	TRUE	TRUE
chr1_88567287_88567575	gene	ENSG00000237505	PKN2-AS1	0	chr1	88567287	88567575	Non-heritable	0.0933456117714128	0.775400257418344	180	EA	EA_only	288	0	TRUE	TRUE
chr1_8877429_8877630	gene	ENSG00000074800	ENO1	0	chr1	8877429	8877630	Heritable	0.260928405675927	0.940530529905941	248	EA	EA_only	201	0	TRUE	TRUE
chr1_8881629_8882750	gene	ENSG00000201725	RNU6-304P	676	chr1	8881629	8882750	Heritable	0.172331245012929	0.955432890309573	245	EA	EA_only	1121	6.51767127291228	TRUE	TRUE
chr1_8888276_8888959	gene	ENSG00000238249	HMGN2P17	4449	chr1	8888276	8888959	Heritable	0.127336028462141	0.93404245381594	255	EA	EA_only	683	8.40065937516029	TRUE	TRUE
chr1_88991832_88992179	gene	ENSG00000213516	RBMXL1	0	chr1	88991832	88992179	Heritable	0.160411040881359	0.878627198741732	162	EA	EA_only	347	0	TRUE	TRUE
chr1_8906387_8907271	gene	ENSG00000310107	ENSG00000310107	0	chr1	8906387	8907271	Heritable	0.144536276465556	0.931054579473034	244	EA	EA_only	884	0	TRUE	TRUE
chr1_8966004_8966648	gene	ENSG00000131686	CA6	0	chr1	8966004	8966648	Heritable	0.233152195287063	0.934381229451549	249	EA	EA_only	644	0	TRUE	TRUE
chr1_89707102_89707804	gene	ENSG00000271949	ENSG00000271949	0	chr1	89707102	89707804	Heritable	0.138632169014894	0.893899282221739	172	EA	EA_only	702	0	TRUE	TRUE
chr1_8975419_8975943	gene	ENSG00000131686	CA6	326	chr1	8975419	8975943	Heritable	0.152148368348207	0.953486332814147	253	EA	EA_only	524	5.78996017089725	TRUE	TRUE
chrX_48539432_48540210	gene	ENSG00000068354	TBC1D25	0	chrX	48539432	48540210	Non-heritable	0.0316792282846177	0.411469498129304	59	EA	EA_only	778	0	TRUE	TRUE
chr1_8995214_8996284	gene	ENSG00000197241	SLC2A7	6688	chr1	8995214	8996284	Heritable	0.149992741771084	0.932090429146938	248	EA	EA_only	1070	8.80821966511841	TRUE	TRUE
chr1_9043628_9043973	gene	ENSG00000142583	SLC2A5	0	chr1	9043628	9043973	Heritable	0.190928791205663	0.939143606047463	246	EA	EA_only	345	0	TRUE	TRUE
chr1_9063756_9063990	gene	ENSG00000142583	SLC2A5	0	chr1	9063756	9063990	Heritable	0.148021736356264	0.930599764471056	247	EA	EA_only	234	0	TRUE	TRUE
chr1_90833997_90834535	gene	ENSG00000233593	LINC02609	0	chr1	90833997	90834535	Heritable	0.159625679029594	0.933512771255896	232	EA	EA_only	538	0	TRUE	TRUE
chr1_90909787_90910134	gene	ENSG00000122482	ZNF644	5163	chr1	90909787	90910134	Heritable	0.110680483284738	0.939931621885947	223	EA	EA_only	347	8.54946675196653	TRUE	TRUE
chr1_9108997_9110220	gene	ENSG00000180758	GPR157	0	chr1	9108997	9110220	Heritable	0.136600606144947	0.925007770116768	242	EA	EA_only	1223	0	TRUE	TRUE
chr1_9137968_9138672	gene	ENSG00000228526	MIR34AHG	882	chr1	9137968	9138672	Non-heritable	0.0947403937921648	0.933635247462825	241	EA	EA_only	704	6.78332520060396	TRUE	TRUE
chr1_9222666_9224441	gene	ENSG00000049239	H6PD	10332	chr1	9222666	9224441	Heritable	0.190225161697073	0.921078498112043	225	EA	EA_only	1775	9.24309793621435	FALSE	TRUE
chrX_48597436_48597558	gene	ENSG00000101940	WDR13	0	chrX	48597436	48597558	Non-heritable	0.0680951606441427	0.70129987328012	56	EA	EA_only	122	0	TRUE	TRUE
chr1_92876411_92877344	gene	ENSG00000154511	DIPK1A	0	chr1	92876411	92877344	Heritable	0.214152564579104	0.698026172351781	97	EA	EA_only	933	0	TRUE	TRUE
chr1_9407927_9408774	gene	ENSG00000307568	ENSG00000307568	1838	chr1	9407927	9408774	Heritable	0.179219549957111	0.915424799937379	215	EA	EA_only	847	7.51697722460432	TRUE	TRUE
chr1_9478805_9479371	gene	ENSG00000296249	ENSG00000296249	10970	chr1	9478805	9479371	Heritable	0.197417024799723	0.906431721527148	209	EA	EA_only	566	9.30301070681749	FALSE	TRUE
