N	pheno	LRT_Variance	Pval_Variance	Sum of V(G)_Vp_SE	Sum of V(G)_Vp_Variance	V(G1)_SE	V(G1)_Variance	V(G1)_Vp_SE	V(G1)_Vp_Variance	V(G2)_SE	V(G2)_Variance	V(G2)_Vp_SE	V(G2)_Vp_Variance	V(G3)_SE	V(G3)_Variance	V(G3)_Vp_SE	V(G3)_Vp_Variance	V(G4)_SE	V(G4)_Variance	V(G4)_Vp_SE	V(G4)_Vp_Variance	V(e)_SE	V(e)_Variance	Vp_SE	Vp_Variance	df_Variance	logL_Variance	logL0_Variance	n_Variance
10000	pheno_1	0.67	0.20654	0.233551	0.398678	0.119868	0.07539	0.120342	0.075696	0.120619	0.221193	0.120996	0.222091	0.118122	0.100482	0.11858	0.100889	0.115859	1e-06	0.116329	1e-06	0.23255	0.598891	0.014091	0.995958	1.0	-4981.552	-4981.887	10000.0
10000	pheno_2	2.146	0.071456	0.230864	0.278043	0.120731	0.16027	0.120025	0.159414	0.121348	0.021117	0.120699	0.021004	0.117865	1e-06	0.117235	1e-06	0.117335	0.098149	0.116687	0.097624	0.232155	0.725837	0.014222	1.005373	1.0	-5029.581	-5030.654	10000.0
10000	pheno_3	0.201	0.32689	0.227974	0.422471	0.120983	0.054102	0.119783	0.053568	0.123361	0.274819	0.121964	0.272109	0.118912	0.049656	0.117735	0.049166	0.116796	0.048102	0.115639	0.047628	0.230184	0.58328	0.014292	1.009958	1.0	-5050.869	-5050.969	10000.0
10000	pheno_5	2.277	0.065643	0.233699	0.455122	0.119266	0.175973	0.120295	0.17761	0.120659	0.124925	0.121743	0.126087	0.118333	1e-06	0.119433	1e-06	0.114907	0.150029	0.115918	0.151424	0.231463	0.539857	0.01402	0.990786	1.0	-4955.183	-4956.322	10000.0
5000	pheno_5	1.25	0.13182	0.465876	0.497814	0.231097	0.173547	0.237067	0.178074	0.233909	0.261256	0.239873	0.268072	0.228417	0.050353	0.234378	0.051666	0.228566	1e-06	0.234529	1e-06	0.453911	0.489417	0.019497	0.974574	1.0	-2439.905	-2440.529	5000.0
10000	pheno_6	0.0	0.5	0.232032	0.1233	0.120856	1e-06	0.120102	1e-06	0.121499	0.029891	0.120744	0.029704	0.119013	1e-06	0.11827	1e-06	0.117433	0.094182	0.116692	0.093594	0.233669	0.882203	0.014231	1.006277	1.0	-5037.991	-5037.684	10000.0
5000	pheno_6	0.288	0.29585	0.456866	0.626729	0.231796	0.094335	0.233665	0.095104	0.233815	0.399001	0.235345	0.402254	0.226864	0.128324	0.228681	0.12937	0.227853	1e-06	0.22971	1e-06	0.45304	0.370254	0.019851	0.991915	1.0	-2481.842	-2481.986	5000.0
10000	pheno_7	0.0	0.5	0.230338	0.204116	0.117461	1e-06	0.119725	1e-06	0.119294	0.09404	0.121584	0.095853	0.116501	0.106213	0.118733	0.108261	0.115104	1e-06	0.117323	1e-06	0.226069	0.780831	0.013876	0.981086	1.0	-4909.715	-4909.417	10000.0
5000	pheno_7	1.234	0.1333	0.457178	0.761973	0.234888	0.210489	0.236214	0.211767	0.235476	0.447597	0.236447	0.450314	0.236708	1e-06	0.238145	1e-06	0.230546	0.099287	0.231934	0.09989	0.454289	0.236591	0.019896	0.993965	1.0	-2486.673	-2487.29	5000.0
5000	pheno_8	0.0	0.5	0.477439	0.479194	0.266498	0.012266	0.241102	0.011097	0.274953	1e-06	0.248752	1e-06	0.273288	0.5174	0.246755	0.468095	0.264357	1e-06	0.239165	1e-06	0.527582	0.575665	0.022894	1.105333	1.0	-2586.294	-2580.532	5000.0
5000	pheno_9	107.981	0.0	0.503868	0.02702	0.308161	0.014391	0.255039	0.01191	0.312472	0.018255	0.258603	0.015108	0.310819	1e-06	0.257235	1e-06	0.307277	1e-06	0.254303	1e-06	0.609042	1.17566	0.0264	1.208308	1.0	-2575.416	-2629.407	5000.0
10000	pheno_9	1.706	0.095784	0.230361	0.198102	0.122459	0.067365	0.121727	0.066967	0.122371	1e-06	0.121649	1e-06	0.12086	0.013147	0.120147	0.013069	0.117767	0.118765	0.117042	0.118064	0.23186	0.806658	0.014379	1.005936	1.0	-4928.635	-4929.488	10000.0
10000	pheno_10	1.048	0.15295	0.232787	0.230546	0.12214	0.115244	0.121209	0.114396	0.123142	1e-06	0.122236	1e-06	0.11925	0.006561	0.118373	0.006513	0.118604	0.110448	0.117704	0.109636	0.234614	0.775157	0.014309	1.007411	1.0	-4999.119	-4999.643	10000.0
5000	pheno_10	0.0	0.5	0.487406	0.224264	0.288233	1e-06	0.248589	1e-06	0.292985	0.214762	0.252648	0.185223	0.289042	1e-06	0.249286	1e-06	0.287484	0.045265	0.247941	0.039039	0.565144	0.89945	0.024697	1.159478	1.0	-2579.555	-2560.671	5000.0
5000	pheno_11	0.0	0.5	0.4596	0.953175	0.23025	1e-06	0.23206	1e-06	0.237672	0.234784	0.239438	0.236629	0.232048	0.710955	0.232677	0.716544	0.233734	1e-06	0.235571	1e-06	0.455979	0.04646	0.019879	0.992201	1.0	-2478.901	-2478.888	5000.0
1000	pheno_13	0.0	0.5	2.571178	0.886804	1.475795	0.017131	1.276062	0.014812	1.502519	0.629426	1.298919	0.544236	1.528279	1e-06	1.321432	1e-06	1.443158	0.37906	1.247844	0.327755	2.973714	0.130915	0.055523	1.156533	1.0	-510.188	-505.475	1000.0
5000	pheno_15	0.0	0.5	0.463347	0.479744	0.234201	1e-06	0.235974	1e-06	0.23972	0.322963	0.241311	0.325408	0.236218	0.153175	0.237964	0.154335	0.228179	1e-06	0.229906	1e-06	0.459754	0.516347	0.019858	0.992487	1.0	-2484.086	-2484.021	5000.0
