cohort	tissue	population	modality	vmr_id	seqnames	start	end	h2_category	h2_unscaled	n_pairs_tested	n_features_tested	n_sig_fdr_05	n_sig_fdr_10	min_p	min_fdr	max_abs_beta	strongest_beta
BA_only	dlpfc	AA	psi	chr10_100025507_100026058	chr10	100025507	100026058	Non-heritable	0.0628478403658804	25	25	0	0	0.0377553223954219	0.962787855106562	1.62136431467708	-1.62136431467708
BA_only	dlpfc	AA	psi	chr10_100348447_100351386	chr10	100348447	100351386	Heritable	0.119716263295452	81	81	0	0	0.00830013570340293	0.911566007189979	2.25402039429844	-2.25402039429844
BA_only	dlpfc	AA	psi	chr10_100370614_100371255	chr10	100370614	100371255	Non-heritable	0.0689661618632027	81	81	0	0	0.00444306205974339	0.886211721553782	2.30322874088312	-2.30322874088312
BA_only	dlpfc	AA	psi	chr10_100687844_100688242	chr10	100687844	100688242	Non-heritable	0.0835961397215088	24	24	0	0	0.0467333369829593	0.964795904872774	1.59804094427009	-1.59804094427009
BA_only	dlpfc	AA	psi	chr10_100882136_100882640	chr10	100882136	100882640	Heritable	0.187883345127013	65	65	0	0	0.0016066686152458	0.793045164875955	2.70230123433778	-2.70230123433778
BA_only	dlpfc	AA	psi	chr10_101484347_101485044	chr10	101484347	101485044	Heritable	0.171549893956159	147	147	0	0	0.000817453966537447	0.718849120880433	4.692406008862	4.692406008862
BA_only	dlpfc	AA	psi	chr10_101507260_101507470	chr10	101507260	101507470	Heritable	0.102327778766683	116	116	0	0	0.00231279461213024	0.841810484685601	1.60212703837209	-1.60212703837209
BA_only	dlpfc	AA	psi	chr10_10157082_10157472	chr10	10157082	10157472	Heritable	0.141719309737426	11	11	0	0	0.136823864093466	0.983132897973579	0.727823365190898	0.727823365190898
BA_only	dlpfc	AA	psi	chr10_101653703_101654052	chr10	101653703	101654052	Non-heritable	0.0941846259642083	64	64	0	0	0.0256659058372381	0.942577074831934	2.15065430378085	-2.15065430378085
BA_only	dlpfc	AA	psi	chr10_101672393_101672921	chr10	101672393	101672921	Non-heritable	0.0908847844308364	64	64	0	0	0.00518015540714702	0.895495179855464	2.76091387717703	-2.76091387717703
BA_only	dlpfc	AA	psi	chr10_102433082_102433216	chr10	102433082	102433216	Heritable	0.430919382778663	169	169	0	0	0.0108236065307826	0.919342021482524	2.86747118618069	-2.86747118618069
BA_only	dlpfc	AA	psi	chr10_103124643_103125401	chr10	103124643	103125401	Non-heritable	0.065741192999415	30	30	0	0	0.0537761612971012	0.968371996477605	4.15669595888667	4.15669595888667
BA_only	dlpfc	AA	psi	chr10_103397356_103397578	chr10	103397356	103397578	Heritable	0.12576806350505	36	36	0	0	0.0157089113484891	0.937471330046326	2.45301196597153	2.45301196597153
BA_only	dlpfc	AA	psi	chr10_1034873_1035605	chr10	1034873	1035605	Non-heritable	0.0905196959357241	50	50	0	0	0.0464870778169853	0.964307927281869	3.60887295656669	-3.60887295656669
BA_only	dlpfc	AA	psi	chr10_103715573_103717071	chr10	103715573	103717071	Heritable	0.151857597688637	29	29	0	0	0.00139111991158806	0.781153838721602	3.76268075848918	-3.76268075848918
BA_only	dlpfc	AA	psi	chr10_103727172_103728093	chr10	103727172	103728093	Heritable	0.157771941175833	29	29	0	0	0.00455113866242094	0.886495614019014	2.23394236143481	-2.23394236143481
BA_only	dlpfc	AA	psi	chr10_103772945_103773022	chr10	103772945	103773022	Heritable	0.106963213458031	26	26	0	0	0.0626254728625262	0.973156105849528	4.80704773707551	4.80704773707551
BA_only	dlpfc	AA	psi	chr10_103852988_103853706	chr10	103852988	103853706	Heritable	0.149058906168657	27	27	0	0	0.0032946728794623	0.862550622503045	5.44469063554697	5.44469063554697
BA_only	dlpfc	AA	psi	chr10_104275213_104275792	chr10	104275213	104275792	Heritable	0.366706524166344	19	19	0	0	0.00202720776700959	0.81724001106771	1.33505419789514	-1.33505419789514
BA_only	dlpfc	AA	psi	chr10_104305387_104306086	chr10	104305387	104306086	Heritable	0.133928404287895	17	17	0	0	0.0800676073305055	0.975916731712867	0.482882917830466	0.482882917830466
BA_only	dlpfc	AA	psi	chr10_104331188_104331648	chr10	104331188	104331648	Heritable	0.138871452601056	17	17	0	0	0.000123351501290154	0.44333297594833	1.70520386280725	1.70520386280725
BA_only	dlpfc	AA	psi	chr10_10461260_10461712	chr10	10461260	10461712	Heritable	0.364163078342896	22	22	0	0	0.00237909458790777	0.848664407733659	1.67068845923344	1.67068845923344
BA_only	dlpfc	AA	psi	chr10_1047631_1047762	chr10	1047631	1047762	Heritable	0.102068124403652	50	50	0	0	0.0110057382970387	0.919898218367617	2.32690727269166	2.32690727269166
BA_only	dlpfc	AA	psi	chr10_104784682_104785142	chr10	104784682	104785142	Heritable	0.197415784862139	1	1	0	0	0.423289126377936	0.993087546713813	0.0873002643332544	0.0873002643332544
BA_only	dlpfc	AA	psi	chr10_106735808_106737527	chr10	106735808	106737527	Heritable	0.750041570048065	2	2	0	0	0.0408725640278578	0.96359698315851	0.820618385917507	-0.820618385917507
BA_only	dlpfc	AA	psi	chr10_107912403_107914157	chr10	107912403	107914157	Heritable	0.189830792615399	14	14	0	0	0.00632739474054717	0.907384047665207	7.61843067089737	-7.61843067089737
BA_only	dlpfc	AA	psi	chr10_108396052_108398540	chr10	108396052	108398540	Heritable	0.675407353643813	1	1	0	0	0.257919162275178	0.99078675804766	0.386302853336917	-0.386302853336917
BA_only	dlpfc	AA	psi	chr10_11007535_11009301	chr10	11007535	11009301	Non-heritable	0.0647986340393461	46	46	0	0	0.01266484995966	0.925784205415148	4.53345657031257	4.53345657031257
BA_only	dlpfc	AA	psi	chr10_110087837_110088845	chr10	110087837	110088845	Heritable	0.152747344082296	120	120	0	0	0.00658760679129792	0.908354991203318	5.68168223140109	5.68168223140109
BA_only	dlpfc	AA	psi	chr10_11019280_11020522	chr10	11019280	11020522	Non-heritable	0.0924709957613058	44	44	0	0	0.00994353822054147	0.917903544628395	1.78487008741689	1.78487008741689
BA_only	dlpfc	AA	psi	chr10_11021573_11022263	chr10	11021573	11022263	Non-heritable	0.0949503001380362	44	44	0	0	0.0827725067232526	0.976707024674945	4.11689965050228	4.11689965050228
BA_only	dlpfc	AA	psi	chr10_110305948_110306330	chr10	110305948	110306330	Non-heritable	0.0380319614533725	300	300	0	0	0.00118853376198379	0.767694093681314	3.11428877665244	3.11428877665244
BA_only	dlpfc	AA	psi	chr10_11166623_11166977	chr10	11166623	11166977	Heritable	0.105766044476942	44	44	0	0	0.0123314473346872	0.925576572258434	3.01705270782094	3.01705270782094
BA_only	dlpfc	AA	psi	chr10_112774814_112776162	chr10	112774814	112776162	Heritable	0.15152337280999	29	29	0	0	0.0828499486368765	0.976716966037611	1.14244604678864	1.14244604678864
BA_only	dlpfc	AA	psi	chr10_112953001_112953633	chr10	112953001	112953633	Non-heritable	0.0662541043614721	50	50	0	0	0.00630243248795683	0.907200999106869	3.45363437087219	-3.45363437087219
BA_only	dlpfc	AA	psi	chr10_112991920_112992544	chr10	112991920	112992544	Non-heritable	0.0686213148137057	50	50	0	0	0.00829914729274261	0.911566007189979	2.09262625262003	2.09262625262003
BA_only	dlpfc	AA	psi	chr10_113027651_113028689	chr10	113027651	113028689	Heritable	0.188864367177844	51	51	0	0	0.0387404698172267	0.96359698315851	2.07005266710453	-2.07005266710453
BA_only	dlpfc	AA	psi	chr10_113186897_113187271	chr10	113186897	113187271	Heritable	0.141666946443414	34	34	0	0	0.0276194892342066	0.947402625262153	3.2317645355686	-3.2317645355686
BA_only	dlpfc	AA	psi	chr10_11336196_11336768	chr10	11336196	11336768	Heritable	0.113328545080526	18	18	0	0	0.0573328330399446	0.969906769101292	1.16669754913335	1.16669754913335
BA_only	dlpfc	AA	psi	chr10_11339430_11339855	chr10	11339430	11339855	Heritable	0.357353067811927	18	18	0	0	0.0304200101008624	0.954366599309188	5.36781756327749	5.36781756327749
BA_only	dlpfc	AA	psi	chr10_11379507_11380217	chr10	11379507	11380217	Heritable	0.106607584533921	16	16	0	0	0.138519322916635	0.983198792970528	1.12587141046504	1.12587141046504
BA_only	dlpfc	AA	psi	chr10_113978414_113979617	chr10	113978414	113979617	Non-heritable	0.05828421260539	29	29	0	0	0.000317692760056121	0.590562457443114	1.41921625152992	-1.41921625152992
BA_only	dlpfc	AA	psi	chr10_114046162_114047364	chr10	114046162	114047364	Heritable	0.178901330232878	29	29	0	0	0.0833030287788591	0.976948800267262	1.805137554946	-1.805137554946
BA_only	dlpfc	AA	psi	chr10_114101563_114101761	chr10	114101563	114101761	Heritable	0.568296553732402	34	34	0	0	0.043495060470851	0.96359698315851	0.762637614188939	-0.762637614188939
BA_only	dlpfc	AA	psi	chr10_114103330_114103809	chr10	114103330	114103809	Non-heritable	0.0672901230082657	34	34	0	0	0.0200933923938816	0.937471330046326	1.60230357238908	1.60230357238908
BA_only	dlpfc	AA	psi	chr10_114383857_114384364	chr10	114383857	114384364	Heritable	0.113725770790676	24	24	0	0	0.0179405728121129	0.937471330046326	1.14550393094232	1.14550393094232
BA_only	dlpfc	AA	psi	chr10_114875147_114875237	chr10	114875147	114875237	Heritable	0.229491061731529	20	20	0	0	0.00897923294143541	0.914528699133173	2.8183000208848	2.8183000208848
BA_only	dlpfc	AA	psi	chr10_115091264_115091380	chr10	115091264	115091380	Heritable	0.164687374713437	9	9	0	0	0.0635353353421443	0.973156105849528	1.7240774595366	-1.7240774595366
BA_only	dlpfc	AA	psi	chr10_115094679_115095024	chr10	115094679	115095024	Heritable	0.125344842944555	9	9	0	0	0.276001928011791	0.991341835451418	1.24637833369276	1.24637833369276
BA_only	dlpfc	AA	psi	chr10_115534702_115535340	chr10	115534702	115535340	Heritable	0.118560444410482	2	2	0	0	0.678369741861649	0.997378575359636	0.359981616359918	-0.359981616359918
BA_only	dlpfc	AA	psi	chr10_116691242_116691421	chr10	116691242	116691421	Non-heritable	0.0948903119623717	26	26	0	0	0.0262902551145918	0.944270379310772	3.93739189481134	-3.93739189481134
BA_only	dlpfc	AA	psi	chr10_116803517_116803983	chr10	116803517	116803983	Non-heritable	0.0586343475520678	27	27	0	0	0.000871710763867151	0.733276093557933	1.50667791670414	-1.50667791670414
BA_only	dlpfc	AA	psi	chr10_116961466_116961689	chr10	116961466	116961689	Non-heritable	0.0988792459689352	17	17	0	0	0.0689084732663083	0.974351307546744	3.0862570102342	3.0862570102342
BA_only	dlpfc	AA	psi	chr10_116973412_116974852	chr10	116973412	116974852	Non-heritable	0.0800260392273858	17	17	0	0	0.00913917596833316	0.915399359311964	5.1845531477491	5.1845531477491
BA_only	dlpfc	AA	psi	chr10_117132084_117133648	chr10	117132084	117133648	Non-heritable	0.0809550250748912	19	19	0	0	0.0244069570142483	0.9406595194839	3.80634541489768	3.80634541489768
BA_only	dlpfc	AA	psi	chr10_117503414_117503978	chr10	117503414	117503978	Heritable	0.114436810630127	15	15	0	0	0.0431780860208018	0.96359698315851	1.14960625207475	1.14960625207475
BA_only	dlpfc	AA	psi	chr10_1181075_1181329	chr10	1181075	1181329	Non-heritable	0.0757429340224329	45	45	0	0	0.120733570129016	0.982300698029881	1.96317246337827	-1.96317246337827
BA_only	dlpfc	AA	psi	chr10_11869676_11870467	chr10	11869676	11870467	Heritable	0.143401924260846	15	15	0	0	0.054836638382321	0.968926841424258	4.32167377066939	4.32167377066939
