chr	start	end	nearest_gene_id	distance
chr1	870224	870562	ENSG00000230368.3	0
chr1	903975	904607	ENSG00000272438.2	178
chr1	909800	910089	ENSG00000298603.1	0
chr1	910555	910706	ENSG00000298603.1	0
chr1	976445	976653	ENSG00000187642.10	0
chr1	1064349	1064773	ENSG00000217801.13	0
chr1	1077056	1077271	ENSG00000237330.3	2749
chr1	1140857	1141078	ENSG00000223823.1	0
chr1	1173440	1174603	ENSG00000162571.14	0
chr1	1274877	1275073	ENSG00000230415.2	0
chr1	1290144	1290443	ENSG00000162572.21	0
chr1	1293830	1294048	ENSG00000131584.19	0
chr1	1351411	1351708	ENSG00000304860.1	0
chr1	1352296	1352541	ENSG00000304860.1	0
chr1	1355057	1356455	ENSG00000162576.17	0
chr1	1415868	1416031	ENSG00000235098.9	2388
chr1	1419644	1420168	ENSG00000235098.9	0
chr1	1420395	1421062	ENSG00000225905.2	0
chr1	1427092	1427329	ENSG00000205116.4	0
chr1	1505675	1505773	ENSG00000284740.3	0
chr1	1510863	1511239	ENSG00000197785.14	922
chr1	1575811	1576021	ENSG00000215014.5	0
chr1	1633927	1634054	ENSG00000189409.14	0
chr1	1659790	1659843	ENSG00000189339.12	0
chr1	1712078	1712183	ENSG00000268575.1	0
chr1	1723274	1723483	ENSG00000268575.1	0
chr1	1726018	1726467	ENSG00000290854.2	0
chr1	1731852	1732342	ENSG00000290854.2	0
chr1	1747222	1747531	ENSG00000290854.2	1229
chr1	2104305	2104607	ENSG00000308181.1	0
chr1	2124263	2124578	ENSG00000067606.17	0
chr1	2132271	2132612	ENSG00000067606.17	0
chr1	2189109	2190663	ENSG00000162585.17	0
chr1	2214084	2214226	ENSG00000304143.1	0
chr1	2671793	2671918	ENSG00000215912.13	0
chr1	2700044	2700420	ENSG00000215912.13	0
chr1	2750910	2751749	ENSG00000215912.13	0
chr1	2947323	2947711	ENSG00000284745.2	12643
chr1	2949413	2949577	ENSG00000284745.2	10777
chr1	3162138	3162540	ENSG00000306427.1	0
