chr	start	end	nearest_gene_id	distance
chr1	903932	904084	ENSG00000272438.2	701
chr1	939258	939382	ENSG00000187634.13	0
chr1	967169	967619	ENSG00000187583.11	0
chr1	976414	976533	ENSG00000187642.10	0
chr1	995933	996159	ENSG00000272512.1	0
chr1	998311	998527	ENSG00000272512.1	259
chr1	1013950	1015186	ENSG00000187608.10	0
chr1	1023679	1025297	ENSG00000188157.16	0
chr1	1034304	1034668	ENSG00000188157.16	0
chr1	1040020	1040184	ENSG00000188157.16	0
chr1	1068149	1068284	ENSG00000304119.1	0
chr1	1140761	1141016	ENSG00000223823.1	0
chr1	1173440	1174689	ENSG00000162571.14	0
chr1	1182977	1183227	ENSG00000162571.14	0
chr1	1185015	1185540	ENSG00000162571.14	0
chr1	1212849	1212983	ENSG00000186827.12	0
chr1	1228883	1229157	ENSG00000078808.20	0
chr1	1240187	1240996	ENSG00000184163.3	1449
chr1	1244015	1244521	ENSG00000184163.3	0
chr1	1250386	1250493	ENSG00000260179.1	0
chr1	1274834	1275250	ENSG00000230415.2	0
chr1	1286661	1286840	ENSG00000162572.21	0
chr1	1290344	1290443	ENSG00000162572.21	0
chr1	1291681	1292067	ENSG00000162572.21	0
chr1	1296782	1297070	ENSG00000131584.19	0
chr1	1299190	1299464	ENSG00000131584.19	0
chr1	1303236	1304156	ENSG00000131584.19	0
chr1	1351537	1351708	ENSG00000304860.1	0
chr1	1352327	1352541	ENSG00000304860.1	0
chr1	1354719	1355005	ENSG00000162576.17	0
chr1	1356874	1357302	ENSG00000162576.17	0
chr1	1419576	1421560	ENSG00000225905.2	0
chr1	1425528	1426355	ENSG00000205116.4	0
chr1	1428247	1428338	ENSG00000205116.4	0
chr1	1431645	1432049	ENSG00000225285.2	0
chr1	1433177	1433475	ENSG00000225285.2	0
chr1	1434848	1435285	ENSG00000179403.12	0
chr1	1436414	1437200	ENSG00000179403.12	0
chr1	1505666	1505773	ENSG00000284740.3	0
chr1	1510907	1511167	ENSG00000197785.14	994
chr1	1630437	1630524	ENSG00000197530.13	0
chr1	1632558	1632637	ENSG00000189409.14	0
chr1	1633513	1633871	ENSG00000189409.14	0
chr1	1708406	1708589	ENSG00000268575.1	0
chr1	1722447	1723483	ENSG00000268575.1	0
chr1	1725986	1726467	ENSG00000290854.2	0
chr1	1747169	1747292	ENSG00000290854.2	1176
chr1	1924536	1924634	ENSG00000142609.20	0
chr1	1944392	1944437	ENSG00000142609.20	0
chr1	1946615	1947019	ENSG00000142609.20	0
chr1	1954906	1955026	ENSG00000142609.20	0
chr1	2021687	2021838	ENSG00000187730.9	0
chr1	2025586	2026153	ENSG00000187730.9	0
chr1	2059766	2060553	ENSG00000067606.17	0
chr1	2089983	2090221	ENSG00000067606.17	0
chr1	2103313	2103485	ENSG00000308181.1	0
chr1	2104272	2104723	ENSG00000308181.1	0
chr1	2109006	2109230	ENSG00000067606.17	0
chr1	2124314	2124598	ENSG00000067606.17	0
chr1	2126978	2127229	ENSG00000067606.17	0
chr1	2127913	2128265	ENSG00000067606.17	0
chr1	2132246	2132612	ENSG00000067606.17	0
chr1	2133848	2134854	ENSG00000067606.17	0
chr1	2158138	2158596	ENSG00000067606.17	0
chr1	2189201	2190617	ENSG00000162585.17	0
chr1	2204208	2204322	ENSG00000162585.17	0
chr1	2213515	2214669	ENSG00000304143.1	0
chr1	2300854	2301414	ENSG00000295493.1	0
chr1	2302690	2302973	ENSG00000157933.11	0
chr1	2314241	2314310	ENSG00000287356.2	606
chr1	2322767	2323185	ENSG00000116151.14	0
chr1	2336129	2336495	ENSG00000116151.14	0
chr1	2347155	2347389	ENSG00000116151.14	0
chr1	2385131	2385345	ENSG00000116151.14	0
chr1	2437995	2438517	ENSG00000149527.18	0
chr1	2441810	2442100	ENSG00000149527.18	0
chr1	2444300	2444680	ENSG00000149527.18	0
chr1	2445312	2445796	ENSG00000149527.18	0
chr1	2448162	2448263	ENSG00000149527.18	0
chr1	2449834	2450419	ENSG00000149527.18	0
chr1	2451931	2452984	ENSG00000149527.18	0
chr1	2455927	2456242	ENSG00000149527.18	0
chr1	2459151	2460142	ENSG00000149527.18	0
chr1	2493545	2493847	ENSG00000229393.1	0
chr1	2531509	2533198	ENSG00000272449.4	0
chr1	2543171	2543311	ENSG00000238164.7	0
chr1	2545310	2545505	ENSG00000238164.7	0
