chr	start	end	nearest_gene_id	distance
chr1	51813	51978	ENSG00000290826.2	0
chr1	61901	62156	ENSG00000290826.2	0
chr1	87256	88388	ENSG00000241860.8	906
chr1	604132	604296	ENSG00000225880.7	0
chr1	629091	634921	ENSG00000198744.5	0
chr1	779651	779741	ENSG00000237491.11	0
chr1	870193	870562	ENSG00000230368.3	0
chr1	903969	904611	ENSG00000272438.2	174
chr1	909800	909996	ENSG00000298603.1	0
chr1	976365	976653	ENSG00000187642.10	0
chr1	1064413	1064784	ENSG00000217801.13	0
chr1	1077056	1077266	ENSG00000237330.3	2749
chr1	1140761	1141078	ENSG00000223823.1	0
chr1	1173440	1174470	ENSG00000162571.14	0
chr1	1240556	1240918	ENSG00000184163.3	1527
chr1	1244512	1244651	ENSG00000184163.3	0
chr1	1250293	1250347	ENSG00000260179.1	0
chr1	1274877	1275119	ENSG00000230415.2	0
chr1	1290162	1290373	ENSG00000162572.21	0
chr1	1293903	1294005	ENSG00000131584.19	0
chr1	1351411	1351687	ENSG00000304860.1	0
chr1	1352229	1352541	ENSG00000304860.1	0
chr1	1354969	1355655	ENSG00000162576.17	0
chr1	1419576	1419989	ENSG00000235098.9	0
chr1	1426820	1427329	ENSG00000205116.4	0
chr1	1505675	1505773	ENSG00000284740.3	0
chr1	1510907	1511239	ENSG00000197785.14	922
chr1	1633911	1634110	ENSG00000189409.14	0
chr1	1659790	1659843	ENSG00000189339.12	0
chr1	1718985	1719405	ENSG00000268575.1	0
chr1	1723274	1723483	ENSG00000268575.1	0
chr1	1726018	1726511	ENSG00000290854.2	0
chr1	1747222	1747531	ENSG00000290854.2	1229
chr1	1944331	1944541	ENSG00000142609.20	0
chr1	1982860	1983353	ENSG00000142609.20	0
chr1	2091983	2092414	ENSG00000067606.17	0
chr1	2104305	2104607	ENSG00000308181.1	0
chr1	2124263	2124598	ENSG00000067606.17	0
chr1	2132246	2132721	ENSG00000067606.17	0
chr1	2189127	2190617	ENSG00000162585.17	0
chr1	2214084	2214258	ENSG00000304143.1	0
chr1	2607532	2607918	ENSG00000142606.16	0
chr1	2750798	2751865	ENSG00000215912.13	0
chr1	2947180	2947763	ENSG00000284745.2	12591
chr1	3162138	3162716	ENSG00000306427.1	0
chr1	3238495	3238646	ENSG00000142611.17	0
chr1	3240916	3241198	ENSG00000142611.17	0
chr1	3576193	3576672	ENSG00000162591.17	0
chr1	3599487	3599712	ENSG00000162591.17	0
chr1	3712713	3714102	ENSG00000235131.1	0
chr1	3797074	3797344	ENSG00000130764.10	575
chr1	3834820	3835069	ENSG00000116198.14	0
chr1	3858324	3858804	ENSG00000169598.17	0
chr1	3892671	3893089	ENSG00000198912.12	0
chr1	4027548	4027917	ENSG00000284668.3	0
chr1	4067030	4067986	ENSG00000284668.3	0
chr1	4600094	4600526	ENSG00000300565.1	3163
chr1	5242654	5243170	ENSG00000302269.1	17395
chr1	5246943	5247872	ENSG00000302269.1	21684
chr1	5288766	5291842	ENSG00000306645.1	642
chr1	6150249	6150954	ENSG00000116254.18	0
chr1	6363248	6363486	ENSG00000097021.21	0
chr1	6455896	6456241	ENSG00000187017.18	0
chr1	6738832	6739437	ENSG00000228750.8	8819
