tag	chrom	pos	pvalue	variant_id
ADIPOGen_Adiponectin	chr3	186830776	0	rs6810075
ADIPOGen_Adiponectin	chr3	52686064	3.66e-11	rs1108842
ADIPOGen_Adiponectin	chr3	150338171	2.26e-08	rs7617025
ADIPOGen_Adiponectin	chr16	82634066	4.1e-29	rs8047711
ADIPOGen_Adiponectin	chr16	81501185	1.87e-18	rs2925979
ADIPOGen_Adiponectin	chr19	33408159	2.2e-13	rs731839
ADIPOGen_Adiponectin	chr12	122713152	3.03502719967894e-11	rs141692643
ADIPOGen_Adiponectin	chr12	123924955	1.29e-09	rs7133378
ADIPOGen_Adiponectin	chr12	20279369	1.02412141591409e-08	rs76545872
ADIPOGen_Adiponectin	chr15	73962889	2.86e-09	rs8042532
ADIPOGen_Adiponectin	chr8	125469233	1.08000088979505e-08	rs2980879
Astle_et_al_2016_Eosinophil_counts	chr12	111569952	1.19e-180	rs653178
Astle_et_al_2016_Eosinophil_counts	chr12	112153882	1.93e-114	rs17630235
Astle_et_al_2016_Eosinophil_counts	chr12	111057714	7.868e-57	rs10849925
Astle_et_al_2016_Eosinophil_counts	chr12	112697726	3.991e-38	rs2384049
Astle_et_al_2016_Eosinophil_counts	chr12	57095926	5.259e-18	rs1059513
Astle_et_al_2016_Eosinophil_counts	chr12	56055651	2.964e-13	rs7302200
Astle_et_al_2016_Eosinophil_counts	chr12	92125513	2.029e-12	rs7135535
Astle_et_al_2016_Eosinophil_counts	chr12	871759	3.138e-11	rs11613704
Astle_et_al_2016_Eosinophil_counts	chr12	120920932	2.561e-09	rs61946384
Astle_et_al_2016_Eosinophil_counts	chr12	4209557	3.74e-09	rs12820863
Astle_et_al_2016_Eosinophil_counts	chr12	109392368	8.373e-09	rs6606706
Astle_et_al_2016_Eosinophil_counts	chr12	110004063	1.055e-08	rs2136797
Astle_et_al_2016_Eosinophil_counts	chr3	128597592	4.23e-115	rs4328821
Astle_et_al_2016_Eosinophil_counts	chr3	42864624	4.937e-21	rs2228467
Astle_et_al_2016_Eosinophil_counts	chr3	12293492	9.676e-19	rs2960422
Astle_et_al_2016_Eosinophil_counts	chr3	3111655	1.982e-16	rs1695315
Astle_et_al_2016_Eosinophil_counts	chr3	188730532	1.243e-14	rs9825482
Astle_et_al_2016_Eosinophil_counts	chr3	112355761	3.039e-14	rs9990220
Astle_et_al_2016_Eosinophil_counts	chr3	33005791	3.328e-13	rs34064757
Astle_et_al_2016_Eosinophil_counts	chr3	51333892	4.385e-13	rs73078622
Astle_et_al_2016_Eosinophil_counts	chr3	50734193	9.747e-13	rs73072483
Astle_et_al_2016_Eosinophil_counts	chr3	169769713	1.948e-12	rs9811216
Astle_et_al_2016_Eosinophil_counts	chr3	112967228	1.411e-11	rs1032726
Astle_et_al_2016_Eosinophil_counts	chr3	10186296	1.25500069263057e-10	rs114743735
Astle_et_al_2016_Eosinophil_counts	chr3	196781680	1.7150004492979e-09	rs7630852
Astle_et_al_2016_Eosinophil_counts	chr3	48806626	6.429e-09	rs9876848
Astle_et_al_2016_Eosinophil_counts	chr3	51861677	8.626e-09	rs114750576
Astle_et_al_2016_Eosinophil_counts	chr3	98797542	1.44699855448326e-08	rs73136067
Astle_et_al_2016_Eosinophil_counts	chr3	186911355	1.57800120276157e-08	rs7612124
Astle_et_al_2016_Eosinophil_counts	chr3	194682849	2.057e-08	.
Astle_et_al_2016_Eosinophil_counts	chr9	6193455	2.25e-114	rs2381416
Astle_et_al_2016_Eosinophil_counts	chr9	110874513	4.197e-20	rs551517
Astle_et_al_2016_Eosinophil_counts	chr9	5075628	3.935990025715e-16	rs10283564
Astle_et_al_2016_Eosinophil_counts	chr9	133000647	1.609e-14	rs4962035
Astle_et_al_2016_Eosinophil_counts	chr9	91230915	2.732e-14	rs7031965
Astle_et_al_2016_Eosinophil_counts	chr9	5659683	3.122e-14	rs78054474
Astle_et_al_2016_Eosinophil_counts	chr9	114934056	3.442e-11	rs726657
Astle_et_al_2016_Eosinophil_counts	chr9	134037707	4.256e-10	rs532553681
Astle_et_al_2016_Eosinophil_counts	chr9	136432610	1.779e-09	rs34936112
Astle_et_al_2016_Eosinophil_counts	chr9	6748795	2.13399974423624e-08	rs148224867
Astle_et_al_2016_Eosinophil_counts	chr5	132468655	1.48e-96	rs2248116
Astle_et_al_2016_Eosinophil_counts	chr5	131690525	5.418e-54	rs152815
Astle_et_al_2016_Eosinophil_counts	chr5	131133394	7.253e-45	rs139746351
Astle_et_al_2016_Eosinophil_counts	chr5	142119476	1.048e-34	rs1036207
Astle_et_al_2016_Eosinophil_counts	chr5	130590349	2.021e-32	rs72797733
Astle_et_al_2016_Eosinophil_counts	chr5	148820448	6.521e-27	rs56330463
Astle_et_al_2016_Eosinophil_counts	chr5	111092097	1.331e-23	rs79881201
Astle_et_al_2016_Eosinophil_counts	chr5	35844023	2.54e-18	rs1961220
Astle_et_al_2016_Eosinophil_counts	chr5	151081488	6.613e-16	rs960709
