sd	title	module	run_ids	location	n_files	bytes	in_git	distribution	status	donor_ids	notes
1	VMR catalogue and coordinates	01_vmr_catalog	vmrcat-AA-{caudate,dlpfc,hippocampus}-20260816	01_vmr_catalog/_m/runs/vmrcat-AA-*-20260816/vmr/vmr_catalog.tsv	3	2499640	no	zenodo	ready	no	Per-region VMR table: chr, start, end, n CpGs, vmr_id, vmr_set_id.
1	VMR catalogue and coordinates	01_vmr_catalog	vmrcat-AA-{caudate,dlpfc,hippocampus}-20260816	01_vmr_catalog/_m/runs/vmrcat-AA-*-20260816/vmr/vmr.bed	3	727194	no	zenodo	ready	no	BED form of the same intervals, for external intersection.
1	VMR catalogue and coordinates	01_vmr_catalog	vmrcat-AA-{caudate,dlpfc,hippocampus}-20260816	01_vmr_catalog/_m/runs/vmrcat-AA-*-20260816/vmr/cpg_vmr_membership.tsv	3	36261353	no	zenodo	ready	no	CpG-to-VMR map; needed to reconcile VMR-level results with CpG-level data.
1	VMR catalogue and coordinates	01_vmr_catalog	vmrcat-AA-{caudate,dlpfc,hippocampus}-20260816	01_vmr_catalog/_m/runs/vmrcat-AA-*-20260816/vmr/sd_cutoffs.tsv	3	2479	no	zenodo	ready	no	Per-chromosome top-1% variable-CpG SD cut-offs. Replaces v1 SD6.
1	VMR catalogue and coordinates	01_vmr_catalog	vmrcat-AA-{caudate,dlpfc,hippocampus}-20260816	01_vmr_catalog/_m/runs/vmrcat-AA-*-20260816/vmr/phenotypes/	30599	167193117	no	quest	excluded	yes	Per-VMR donor methylation (PLINK .phen). Individual-level measurements, not an identifier question: access is governed by dbGaP phs000979.
2	Cell-type proportions	inputs/cell_proportions	n/a (not a run)	inputs/cell_proportions/_m/music-proportions-*.tsv	3	341786	yes	zenodo	ready	yes	RNA MuSiC proportions, sample x cell type. BrNum is a de-identified donor identifier (PI decision 2026-09-20); retaining it is permitted.
2	Cell-type proportions	inputs/cell_proportions	n/a (not a run)	inputs/cell_proportions/_m/dnam-scmd-proportions-*.tsv	3	402319	yes	zenodo	ready	yes	DNAm scMD proportions. Integration gate passes in caudate only (config/cell_deconvolution.yml). BrNum is a de-identified donor identifier (PI decision 2026-09-20); retaining it is permitted.
2	Cell-type proportions	inputs/cell_proportions	n/a (not a run)	inputs/cell_proportions/_m/dnam-scmd-wgbs-reference-proportions-*.tsv	2	222017	yes	zenodo	ready	yes	WGBS-reference scMD sensitivity. Only dlpfc and hippocampus exist; caudate absent by design. BrNum is a de-identified donor identifier (PI decision 2026-09-20); retaining it is permitted.
3	Local genetic control score per VMR	02_local_genetic_variance	lgv-AA-{caudate,dlpfc,hippocampus}-rescore-20260913	02_local_genetic_variance/_m/runs/lgv-AA-*-rescore-20260913/results/combined/local-genetic-control-AA-*-vmrs.tsv	3	35019734	no	zenodo	ready	no	THE axis table. local_snp_contribution_score(_z,_quartile), eligibility, denominators. Relative rank only; absolute PVE not interpretable (AGENTS.md 7.2).
3	Local genetic control score per VMR	02_local_genetic_variance	lgv-AA-{caudate,dlpfc,hippocampus}-rescore-20260913	02_local_genetic_variance/_m/runs/lgv-AA-*-rescore-20260913/results/combined/observed-score-*.tsv	6	3192	no	zenodo	ready	no	Score QC criteria and the PASS_RELATIVE_SCORE_OBSERVED_QC decision row.
3	Local genetic control score per VMR	02_local_genetic_variance	lgv-AA-{caudate,dlpfc,hippocampus}-rescore-20260913	02_local_genetic_variance/_m/runs/lgv-AA-*-rescore-20260913/results/combined/observed-joint-*.tsv	6	56067709	no	quest	audit_only	no	Joint PVE estimates and features. pve_cis_joint_* is audit_only in every consuming config; not a reportable quantity.
4	Local genetic control across donor groups	02_local_genetic_variance	lgv-all_individuals.{AA,EA}-{caudate,dlpfc,hippocampus}-2026091*	02_local_genetic_variance/_m/combined/local-genetic-control-donor-group-*.tsv	3	29878034	yes	git+zenodo	ready	no	Per-VMR AA and EA scores side by side, with comparability flags. No ancestry effect claim permitted.
4	Local genetic control across donor groups	02_local_genetic_variance	lgv-all_individuals.{AA,EA}-{caudate,dlpfc,hippocampus}-2026091*	02_local_genetic_variance/_m/combined/donor-group-concordance-*.tsv	3	1612	yes	git+zenodo	ready	no	Cross-group rank concordance per region.
4	Local genetic control across donor groups	02_local_genetic_variance	lgv-all_individuals.{AA,EA}-{caudate,dlpfc,hippocampus}-2026091*	02_local_genetic_variance/_m/combined/reliability-ceiling-*.tsv	3	3108	yes	git+zenodo	ready	no	The ceiling the concordance is read against (85.3/88.9/88.0% of it, Module 08).
4	Local genetic control across donor groups	02_local_genetic_variance	archive/2026-08-21_estimator_development	02_local_genetic_variance/_m/combined/calibrated-local-h2-all-cells.tsv	1	66402123	no	none	superseded	no	v1 elastic-net calibration. Carries h2_en_calibrated and r2_oof, forbidden inputs in every v2 config. Written by _h/archive/. Untracked from git 2026-09-20 per AGENTS.md 3 and gitignored; kept on Quest for audit, recoverable from history. Do NOT deposit.
4	Local genetic control across donor groups	02_local_genetic_variance	archive/2026-08-21_estimator_development	02_local_genetic_variance/_m/combined/observed-run-qc-all-cells.tsv	1	1924	no	none	superseded	no	QC companion to the retired calibration table above; untracked with it 2026-09-20. Do NOT deposit.
5	Out-of-fold local SNP prediction	03_local_snp_prediction	lsp-AA-{caudate,dlpfc,hippocampus}-20260825	03_local_snp_prediction/_m/runs/lsp-AA-*-20260825/results/combined/oof-prediction-AA-*-vmrs.tsv	3	9008756	no	zenodo	ready	no	Per-VMR held-out r2_pred_oof. Median ~0; relative rank use only. Replaces v1 SD5's in-sample r_squared_cv.
5	Out-of-fold local SNP prediction	03_local_snp_prediction	lsp-AA-{caudate,dlpfc,hippocampus}-20260825	03_local_snp_prediction/_m/runs/lsp-AA-*-20260825/results/combined/prediction-*.tsv	9	4311	no	zenodo	ready	no	QC criteria, run QC and the PASS_OOF_PREDICTION_QC decision.
5	Out-of-fold local SNP prediction	03_local_snp_prediction	lsp-all_individuals.{AA,EA}-{caudate,dlpfc,hippocampus}-20260918	03_local_snp_prediction/_m/combined/oof-prediction-donor-group-*.tsv	3	6668711	yes	git+zenodo	ready	no	Per-VMR OOF R2 by donor group.
5	Out-of-fold local SNP prediction	03_local_snp_prediction	lsp-all_individuals.{AA,EA}-{caudate,dlpfc,hippocampus}-20260918	03_local_snp_prediction/_m/combined/donor-group-prediction-summary-*.tsv	3	1188	yes	git+zenodo	ready	no	Region-level summary of the above.
5	Out-of-fold local SNP prediction	03_local_snp_prediction	lsp-all_individuals.{AA,EA}-{caudate,dlpfc,hippocampus}-20260918	03_local_snp_prediction/_m/combined/oof-predictions-per-donor-donor-group-*.tsv	3	53037	yes	git+zenodo	ready	yes	Per-donor count of VMRs predicted, by donor group. The donor column is BrNum alone, a de-identified donor identifier (PI decision 2026-09-20); retaining it is permitted. The methylation array barcode it used to be joined to names a physical array rather than a donor, so it is stripped on write by 00_shared/identity.R::strip_sample_barcode, which refuses the strip if it would collapse two distinct donors into one row.
5	Out-of-fold local SNP prediction	03_local_snp_prediction	lsp-AA-{caudate,dlpfc,hippocampus}-20260825	03_local_snp_prediction/_m/runs/lsp-AA-*-20260825/results/combined/predictions-per-donor.tsv	3	11805	no	zenodo	transform_on_deposit	yes	Per-donor VMR counts for the AA arm; the denominator behind the per-region n. Sealed 2026-08-25, before the barcode strip, so the donor column still reads BrNum::barcode. The run is immutable: strip the ::suffix when the archive is cut, do not edit the run.
5	Out-of-fold local SNP prediction	03_local_snp_prediction	lsp-AA-{caudate,dlpfc,hippocampus}-20260825	03_local_snp_prediction/_m/runs/lsp-AA-*-20260825/results/combined/fold-*.tsv	6	49982935	no	quest	excluded	no	Per-fold diagnostics, 19 MB/region. Diagnostic only, no claim rests on them.
6	Repeat and repressive chromatin architecture	04_repeat_repressive_architecture	rra-AA-{caudate,dlpfc,hippocampus}-20260906	04_repeat_repressive_architecture/_m/runs/rra-AA-*-20260906/results/vmr-features.tsv	3	12702090	no	zenodo	ready	no	Per-VMR feature matrix: chromatin fractions, repeat classes, GC, mappability, geometry. Joined by Modules 07/09/09b/10 rather than recomputed.
6	Repeat and repressive chromatin architecture	04_repeat_repressive_architecture	rra-AA-{caudate,dlpfc,hippocampus}-20260906	04_repeat_repressive_architecture/_m/runs/rra-AA-*-20260906/results/association-results*.tsv	4	181817	no	zenodo	ready	no	Primary and all-region association estimates behind the architecture claims.
