seqnames	start	end	h2_category	h2_unscaled	tissue	TargetGene_name	TargetGene	ABC.Score	distance
chr2	19863356	19863658	Non-heritable	0.0616844670899022	Caudate	LINC00954	ENSG00000228784	0.054747	5296.5
chr2	27765973	27766621	Non-heritable	0.0620065293944835	Caudate	MRPL33	ENSG00000243147	0.05761	5738.5
chr2	119283915	119284248	Non-heritable	0.0970823345704956	Caudate	STEAP3-AS1	ENSG00000229867	0.059702	35106.5
chr2	119283915	119284248	Non-heritable	0.0970823345704956	Caudate	STEAP3	ENSG00000115107	0.046479	60346.5
chr2	119283915	119284248	Non-heritable	0.0970823345704956	Caudate	MARCO	ENSG00000019169	0.024781	342011.5
chr2	119283915	119284248	Non-heritable	0.0970823345704956	Caudate	TMEM37	ENSG00000171227	0.021282	145723.5
chr2	127176041	127176829	Heritable	0.307632913697673	Caudate	CYP27C1	ENSG00000186684	0.032778	43280.5
chr2	130825152	130825810	Non-heritable	0.0983900701887627	Caudate	ARHGEF4	ENSG00000136002	0.027702	11254.5
chr2	231189960	231190423	Heritable	0.143005580977068	Caudate	ARMC9	ENSG00000135931	0.101727	7571.5
chr2	231189960	231190423	Heritable	0.143005580977068	Caudate	HTR2B	ENSG00000135914	0.027722	65856.5
chr3	4986136	4986458	Non-heritable	0.0834896788349785	Caudate	BHLHE40	ENSG00000134107	0.03569	7859.5
chr3	4986136	4986458	Non-heritable	0.0834896788349785	Caudate	""	ENSG00000235831	0.03569	7014.5
chr3	105353558	105354749	Heritable	0.186759021064727	Caudate	ALCAM	ENSG00000170017	0.024284	13208.5
chr3	194527150	194527690	Heritable	0.41896423026405	Caudate	ATP13A3	ENSG00000133657	0.033669	28998.5
chr3	194527150	194527690	Heritable	0.41896423026405	Caudate	LINC00884	ENSG00000233058	0.031781	39908.5
chr3	194527150	194527690	Heritable	0.41896423026405	Caudate	TMEM44-AS1	ENSG00000231770	0.021925	56648.5
chr4	3285921	3286328	Non-heritable	0.0669118135426554	Caudate	RGS12	ENSG00000159788	0.056628	6723.5
chr4	4852758	4853172	Non-heritable	0.0918417528179127	Caudate	MSX1	ENSG00000163132	0.050573	6460.5
chr4	25970889	25971344	Heritable	0.205624036886367	Caudate	SMIM20	ENSG00000250317	0.021855	108592.5
chr4	25970889	25971344	Heritable	0.205624036886367	Caudate	SEL1L3	ENSG00000091490	0.021855	106662.5
chr5	1652914	1653289	Heritable	0.130392366837282	Caudate	AC026412.1	ENSG00000188002	0.020373	19012.5
chr5	10138443	10138833	Non-heritable	0.0765119719884202	Caudate	FAM173B	ENSG00000150756	0.021523	111356.5
chr5	80091850	80092203	Non-heritable	0.0985833303318015	Caudate	AC012636.1	ENSG00000249825	0.020221	8228.5
chr5	140146511	140146641	Non-heritable	0.0705736949071486	Caudate	AC011379.2	ENSG00000254363	0.02044	11337.5
chr5	173866807	173867537	Non-heritable	0.0998573163997668	Caudate	CPEB4	ENSG00000113742	0.059924	21668.5
chr5	173866807	173867537	Non-heritable	0.0998573163997668	Caudate	BOD1	ENSG00000145919	0.040613	249951.5
chr6	32597755	32606804	Heritable	0.450937381066981	Caudate	HLA-DRB1	ENSG00000196126	0.037853	14836.5
chr6	32608025	32614068	Heritable	0.378954159008805	Caudate	HLA-DRB1	ENSG00000196126	0.052846	20149.5
chr6	32608025	32614068	Heritable	0.378954159008805	Caudate	HLA-DQA1	ENSG00000196735	0.032866	18181.5
chr6	32608025	32614068	Heritable	0.378954159008805	Caudate	HLA-DQB1	ENSG00000179344	0.021614	58385.5
chr6	36667028	36667656	Non-heritable	0.0410638252702615	Caudate	CDKN1A	ENSG00000124762	0.058741	9177.5
chr6	36667028	36667656	Non-heritable	0.0410638252702615	Caudate	DINOL	ENSG00000285244	0.05874	11276.5
chr6	156719680	156720652	Non-heritable	0.0464872419947706	Caudate	ARID1B	ENSG00000049618	0.072345	57287.5
chr6	156719680	156720652	Non-heritable	0.0464872419947706	Caudate	""	ENSG00000271551	0.072344	58335.5
chr6	156719680	156720652	Non-heritable	0.0464872419947706	Caudate	AL162578.1	ENSG00000218596	0.029105	256207.5
chr6	156719680	156720652	Non-heritable	0.0464872419947706	Caudate	LDHAL6FP	ENSG00000217783	0.022031	580039.5
chr6	170152461	170153288	Heritable	0.228372130618244	Caudate	LINC01624	ENSG00000227508	0.029722	119967.5
chr7	1169684	1170352	Heritable	0.199832943644719	Caudate	""	ENSG00000229043	0.022885	9647.5
chr7	1169684	1170352	Heritable	0.199832943644719	Caudate	ZFAND2A	ENSG00000178381	0.022882	9262.5
chr7	76291331	76291796	Non-heritable	0.0226428785482809	Caudate	HSPB1	ENSG00000106211	0.042742	10723.5
chr7	76294577	76295125	Non-heritable	0.0733467840610126	Caudate	HSPB1	ENSG00000106211	0.029537	7638.5
chr7	149064831	149064945	Heritable	0.124871150129645	Caudate	ZNF786	ENSG00000197362	0.048023	24851.5
chr7	149064831	149064945	Heritable	0.124871150129645	Caudate	PDIA4	ENSG00000155660	0.04434	37289.5
chr7	149064831	149064945	Heritable	0.124871150129645	Caudate	RNY1	ENSG00000201098	0.030891	78682.5
chr7	149064831	149064945	Heritable	0.124871150129645	Caudate	""	ENSG00000281189	0.030891	78403.5
chr7	149064831	149064945	Heritable	0.124871150129645	Caudate	RN7SL521P	ENSG00000240877	0.023141	60055.5
chr7	149064831	149064945	Heritable	0.124871150129645	Caudate	""	ENSG00000204947	0.023141	60415.5
chr7	149064831	149064945	Heritable	0.124871150129645	Caudate	ZNF398	ENSG00000197024	0.02314	60485.5
chr8	143024083	143024264	Non-heritable	0.0199141434243409	Caudate	LY6E	ENSG00000160932	0.122064	6120.5
chr8	143024083	143024264	Non-heritable	0.0199141434243409	Caudate	C8orf31	ENSG00000177335	0.041016	15106.5
chr10	71860264	71860614	Heritable	0.112259659307619	Caudate	PSAP	ENSG00000197746	0.034233	9221.5
chr10	132420878	132421167	Non-heritable	0.0722030473991641	Caudate	PWWP2B	ENSG00000171813	0.090888	24471.5
chr10	132420878	132421167	Non-heritable	0.0722030473991641	Caudate	INPP5A	ENSG00000068383	0.042611	116180.5
chr10	132420878	132421167	Non-heritable	0.0722030473991641	Caudate	STK32C	ENSG00000165752	0.041669	89792.5
chr10	132420878	132421167	Non-heritable	0.0722030473991641	Caudate	LRRC27	ENSG00000148814	0.041669	89485.5
chr10	132420878	132421167	Non-heritable	0.0722030473991641	Caudate	BNIP3	ENSG00000176171	0.026197	439626.5
chr10	132420878	132421167	Non-heritable	0.0722030473991641	Caudate	PPP2R2D	ENSG00000175470	0.024794	520995.5
chr10	132420878	132421167	Non-heritable	0.0722030473991641	Caudate	AL162274.3	ENSG00000279982	0.024272	424901.5
chr10	132420878	132421167	Non-heritable	0.0722030473991641	Caudate	CFAP46	ENSG00000171811	0.023191	521183.5
chr10	132420878	132421167	Non-heritable	0.0722030473991641	Caudate	DPYSL4	ENSG00000151640	0.022274	234739.5
chr10	132420878	132421167	Non-heritable	0.0722030473991641	Caudate	""	ENSG00000171798	0.020381	738807.5
chr12	12010753	12011254	Heritable	0.10752802487279	Caudate	ETV6	ENSG00000139083	0.021604	360579.5
chr12	32390765	32391369	Non-heritable	0.0525910719307564	Caudate	FGD4	ENSG00000139132	0.021176	8440.5
chr12	110079513	110080056	Non-heritable	0.0588168525136976	Caudate	C12orf76	ENSG00000174456	0.107353	6237.5
chr12	124726877	124727550	Non-heritable	0.0782237997106261	Caudate	NCOR2	ENSG00000196498	0.028728	159945.5
chr13	109739079	109740763	Heritable	0.694876847271494	Caudate	LINC00676	ENSG00000234854	0.039526	12018.5
chr13	109739079	109740763	Heritable	0.694876847271494	Caudate	IRS2	ENSG00000185950	0.025887	46267.5
chr13	113647869	113648365	Heritable	0.190849500641093	Caudate	TFDP1	ENSG00000198176	0.025001	62970.5
chr14	35342394	35342649	Non-heritable	0.0976337607631928	Caudate	NFKBIA	ENSG00000100906	0.047015	62964.5
chr14	35342394	35342649	Non-heritable	0.0976337607631928	Caudate	""	ENSG00000100890	0.026082	219938.5
chr14	35342394	35342649	Non-heritable	0.0976337607631928	Caudate	PPP2R3C	ENSG00000092020	0.026082	219267.5
chr14	35342394	35342649	Non-heritable	0.0976337607631928	Caudate	""	ENSG00000129518	0.024811	802073.5
chr14	35342394	35342649	Non-heritable	0.0976337607631928	Caudate	RALGAPA1	ENSG00000174373	0.020778	467519.5
chr14	35342394	35342649	Non-heritable	0.0976337607631928	Caudate	MBIP	ENSG00000151332	0.020132	978891.5
chr14	75514953	75515921	Heritable	0.319607010910558	Caudate	BATF	ENSG00000156127	0.049184	6646.5
chr14	77641634	77641911	Heritable	0.156418207418733	Caudate	SPTLC2	ENSG00000100596	0.068285	24869.5
chr14	77641634	77641911	Heritable	0.156418207418733	Caudate	ALKBH1	ENSG00000100601	0.038245	66377.5
chr14	77641634	77641911	Heritable	0.156418207418733	Caudate	""	ENSG00000119705	0.038245	66428.5
chr14	77641634	77641911	Heritable	0.156418207418733	Caudate	""	ENSG00000151445	0.031003	183690.5
chr14	77641634	77641911	Heritable	0.156418207418733	Caudate	ADCK1	ENSG00000063761	0.021495	158440.5
chr14	77641634	77641911	Heritable	0.156418207418733	Caudate	ISM2	ENSG00000100593	0.021207	142792.5
chr15	31266141	31266865	Non-heritable	0.0863086947731235	Caudate	LINC02352	ENSG00000259448	0.031091	50518.5
chr15	31266141	31266865	Non-heritable	0.0863086947731235	Caudate	""	ENSG00000260128	0.022892	693800.5
chr15	64835985	64836454	Heritable	0.57291446153975	Caudate	PLEKHO2	ENSG00000241839	0.077215	6006.5
chr15	64835985	64836454	Heritable	0.57291446153975	Caudate	PIF1	ENSG00000140451	0.062003	10208.5
chr15	79993499	79993970	Non-heritable	0.0783820616446444	Caudate	AC015871.5	ENSG00000279719	0.02762	3667.5
chr15	101121291	101122127	Heritable	0.318578540978832	Caudate	AC019254.1	ENSG00000259182	0.026055	46723.5
chr17	16991543	16991628	Non-heritable	0.0873493341569053	Caudate	LINC02090	ENSG00000230969	0.086426	3215.5
chr18	11948052	11948155	Heritable	0.164856887072689	Caudate	IMPA2	ENSG00000141401	0.046284	33694.5
chr18	11948052	11948155	Heritable	0.164856887072689	Caudate	""	ENSG00000273141	0.034246	38618.5
chr18	11948052	11948155	Heritable	0.164856887072689	Caudate	MPPE1	ENSG00000154889	0.034246	38107.5
chr18	11948052	11948155	Heritable	0.164856887072689	Caudate	CHMP1B	ENSG00000255112	0.024643	95934.5
chr18	48901741	48902301	Non-heritable	0.0834977231001816	Caudate	SMAD7	ENSG00000101665	0.057962	48548.5
chr20	57628381	57628557	Heritable	0.136515674291876	Caudate	ZBP1	ENSG00000124256	0.168731	7550.5
chr22	45261870	45262719	Heritable	0.447517843657369	Caudate	KIAA0930	ENSG00000100364	0.021066	21624.5
chrX	47361749	47362314	Heritable	0.238910913749548	Caudate	USP11	ENSG00000102226	0.029788	129564.5
chrX	47361749	47362314	Heritable	0.238910913749548	Caudate	CDK16	ENSG00000102225	0.027439	144394.5
chrX	47361749	47362314	Heritable	0.238910913749548	Caudate	ZNF41	ENSG00000147124	0.025148	120691.5
chrX	47361749	47362314	Heritable	0.238910913749548	Caudate	LINC01560	ENSG00000196741	0.025147	121316.5
