task_id	chrom	start	end	iteration	h2_incremental	region
1	1	903932	904084	1	0.131174271781442	Caudate
1	1	903932	904084	2	0	Caudate
1	1	903932	904084	3	1.55803421952664e-07	Caudate
1	1	903932	904084	4	0	Caudate
1	1	903932	904084	5	0	Caudate
1	1	903932	904084	6	0.00023158928364738	Caudate
1	1	903932	904084	7	0	Caudate
1	1	903932	904084	8	0	Caudate
1	1	903932	904084	9	0	Caudate
1	1	903932	904084	10	0	Caudate
1	1	903932	904084	11	0	Caudate
10	1	1040020	1040184	1	0.0859612340865999	Caudate
10	1	1040020	1040184	2	0.00095118011282007	Caudate
10	1	1040020	1040184	3	5.28938574588703e-07	Caudate
10	1	1040020	1040184	4	3.40851156930711e-05	Caudate
10	1	1040020	1040184	5	7.12367499481012e-06	Caudate
10	1	1040020	1040184	6	0.0001098101186823	Caudate
10	1	1040020	1040184	7	0	Caudate
10	1	1040020	1040184	8	1.19972899452911e-05	Caudate
10	1	1040020	1040184	9	0	Caudate
10	1	1040020	1040184	10	0	Caudate
10	1	1040020	1040184	11	0	Caudate
100	1	2922057	2922155	1	0.329769671009168	Caudate
100	1	2922057	2922155	2	0.00044244774917543	Caudate
100	1	2922057	2922155	3	9.53432701026476e-05	Caudate
100	1	2922057	2922155	4	6.2058666335131e-05	Caudate
100	1	2922057	2922155	5	0	Caudate
100	1	2922057	2922155	6	0	Caudate
100	1	2922057	2922155	7	1.58698564548481e-05	Caudate
100	1	2922057	2922155	8	0	Caudate
100	1	2922057	2922155	9	5.3017722558216e-08	Caudate
100	1	2922057	2922155	10	0.00037445169156982	Caudate
100	1	2922057	2922155	11	0	Caudate
100	1	2922057	2922155	12	0	Caudate
100	1	2922057	2922155	13	0	Caudate
100	1	2922057	2922155	14	0	Caudate
100	1	2922057	2922155	15	0	Caudate
1000	10	1360660	1360878	1	0.180943491322346	Caudate
1000	10	1360660	1360878	2	0.00024498891590236	Caudate
1000	10	1360660	1360878	3	7.49677314724267e-05	Caudate
1000	10	1360660	1360878	4	6.08993106463831e-06	Caudate
1000	10	1360660	1360878	5	0.00341204510035329	Caudate
1000	10	1360660	1360878	6	0.00010202320285375	Caudate
1000	10	1360660	1360878	7	0.0039319393315937	Caudate
1000	10	1360660	1360878	8	4.8982628111919e-05	Caudate
1000	10	1360660	1360878	9	0	Caudate
1000	10	1360660	1360878	10	5.47429537249095e-05	Caudate
1000	10	1360660	1360878	11	0	Caudate
1000	10	1360660	1360878	12	0	Caudate
10000	7	3682301	3682523	1	0.321877422576415	Caudate
10000	7	3682301	3682523	2	0.00024305294574854	Caudate
10000	7	3682301	3682523	3	6.66453690001245e-06	Caudate
10000	7	3682301	3682523	4	0	Caudate
