cohort	tissue	population	modality	vmr_id	seqnames	start	end	h2_category	h2_unscaled	n_pairs_tested	n_features_tested	n_sig_fdr_05	n_sig_fdr_10	min_p	min_fdr	max_abs_beta	strongest_beta
BA_only	dlpfc	AA	expression	chr10_71860264_71861185	chr10	71860264	71861185	Heritable	0.134970702789448	1	1	0	0	0.0940420157691268	0.6481677188546	0.357894280202913	-0.357894280202913
BA_only	dlpfc	AA	expression	chr10_947149_947368	chr10	947149	947368	Non-heritable	0.0989597736714229	4	4	0	0	0.0761192344241774	0.6481677188546	0.529328446272356	0.529328446272356
BA_only	dlpfc	AA	expression	chr12_110079513_110080056	chr12	110079513	110080056	Non-heritable	0.0825210964935852	1	1	0	0	0.908110320519459	0.948650959828364	0.0258127440119864	-0.0258127440119864
BA_only	dlpfc	AA	expression	chr12_12010065_12011077	chr12	12010065	12011077	Non-heritable	0.0364184614607559	1	1	0	0	0.872985138655554	0.93705744241009	0.0532043363985757	-0.0532043363985757
BA_only	dlpfc	AA	expression	chr12_123447925_123448250	chr12	123447925	123448250	Non-heritable	0.0780609918138875	1	1	0	0	0.108400186724806	0.6481677188546	0.408550061151757	0.408550061151757
BA_only	dlpfc	AA	expression	chr12_124727233_124727405	chr12	124727233	124727405	Non-heritable	0.0964942079641434	1	1	0	0	0.53975688202447	0.83106609594337	0.286457678061126	0.286457678061126
BA_only	dlpfc	AA	expression	chr12_32390716_32391529	chr12	32390716	32391529	Non-heritable	0.0943477262536105	1	1	0	0	0.304324382242693	0.788772804068697	0.270678287217944	-0.270678287217944
BA_only	dlpfc	AA	expression	chr13_109739133_109740510	chr13	109739133	109740510	Heritable	0.629039681984147	2	2	0	0	0.0637543324946718	0.6481677188546	0.334044266326195	0.334044266326195
BA_only	dlpfc	AA	expression	chr13_113647869_113648243	chr13	113647869	113648243	Non-heritable	0.0956607335785007	1	1	0	0	0.491573847190556	0.810058311567537	0.0953004827836723	-0.0953004827836723
BA_only	dlpfc	AA	expression	chr14_100166421_100167244	chr14	100166421	100167244	Heritable	0.113612159263324	1	1	0	0	0.857769861747436	0.929250683559722	0.0520256838851623	-0.0520256838851623
