chr	start	end	LRT_Variance	Pval_Variance	Sum of V(G)_Vp_SE	Sum of V(G)_Vp_Variance	V(G1)_SE	V(G1)_Variance	V(G1)_Vp_SE	V(G1)_Vp_Variance	V(G2)_SE	V(G2)_Variance	V(G2)_Vp_SE	V(G2)_Vp_Variance	V(G3)_SE	V(G3)_Variance	V(G3)_Vp_SE	V(G3)_Vp_Variance	V(G4)_SE	V(G4)_Variance	V(G4)_Vp_SE	V(G4)_Vp_Variance	V(e)_SE	V(e)_Variance	Vp_SE	Vp_Variance	df_Variance	logL_Variance	logL0_Variance	n_Variance	Region
1	101308446	101308887	0.0	0.5	0.218466	0.039991	0.003003	0.0	0.206786	1e-06	0.002021	0.0	0.139154	1e-06	0.001713	0.000333	0.117865	0.022922	0.001077	0.000248	0.074133	0.017067	0.003665	0.013943	0.002015	0.014523	1.0	157.633	157.703	108.0	dlpfc
1	10277029	10277766	0.163	0.34315	0.202105	0.214377	0.001926	0.0	0.165921	1e-06	0.001586	0.000579	0.136247	0.049901	0.002091	0.001909	0.174083	0.164474	0.001426	0.0	0.122815	1e-06	0.002312	0.00912	0.001809	0.011609	1.0	171.971	171.889	108.0	dlpfc
1	10336171	10337027	0.0	0.5	0.196314	0.060474	0.002473	1.7e-05	0.175779	0.001236	0.001768	0.000196	0.125627	0.013916	0.001718	0.000638	0.121566	0.045321	0.000837	0.0	0.059508	1e-06	0.003224	0.013217	0.001974	0.014068	1.0	159.0	159.009	108.0	dlpfc
1	10350018	10351263	0.005	0.47317	0.191557	0.054208	0.003583	0.0	0.166871	1e-06	0.002515	0.000115	0.117111	0.005349	0.002619	0.001049	0.121381	0.048858	0.001306	0.0	0.06081	1e-06	0.004835	0.020309	0.003022	0.021473	1.0	137.468	137.465	108.0	dlpfc
1	10356543	10358522	0.085	0.38516	0.198513	0.113731	0.002281	0.000189	0.165971	0.013738	0.001641	0.0	0.11947	1e-06	0.001885	0.001374	0.13519	0.09999	0.001157	0.0	0.084217	1e-06	0.002998	0.012177	0.001991	0.013739	1.0	160.564	160.521	108.0	dlpfc
1	10359989	10360939	0.0	0.5	0.208244	0.069061	0.002385	0.0	0.182136	1e-06	0.001669	0.000415	0.127278	0.031666	0.001692	0.00049	0.128764	0.037393	0.001065	0.0	0.08129	1e-06	0.003026	0.012192	0.00193	0.013097	1.0	165.026	165.06	108.0	dlpfc
1	10454887	10455353	0.995	0.15931	0.224457	0.312488	0.003132	0.00238	0.196909	0.151699	0.003043	0.0	0.19394	1e-06	0.002378	0.002523	0.149556	0.160787	0.001389	0.0	0.088519	1e-06	0.003341	0.010788	0.002437	0.015691	1.0	157.809	157.312	108.0	dlpfc
1	10469376	10470485	1.667	0.098354	0.238857	0.154202	0.004994	0.00127	0.193063	0.049157	0.004414	0.0	0.170929	1e-06	0.003558	0.002713	0.137563	0.105043	0.002426	0.0	0.093946	1e-06	0.006251	0.021844	0.003892	0.025826	1.0	129.161	128.327	108.0	dlpfc
1	10486417	10487206	0.125	0.36164	0.229072	0.039278	0.002916	0.00019	0.189835	0.012371	0.002396	0.0	0.155904	1e-06	0.001913	0.000413	0.124538	0.026905	0.001022	0.0	0.066519	1e-06	0.003982	0.014762	0.002131	0.015365	1.0	152.97	152.908	108.0	dlpfc
1	10488724	10489270	0.822	0.18233	0.23929	0.132733	0.002509	6.5e-05	0.192126	0.004969	0.002355	0.0	0.180344	1e-06	0.001873	0.001669	0.142118	0.127762	0.001192	0.0	0.091241	1e-06	0.003226	0.011327	0.001954	0.01306	1.0	165.361	164.95	108.0	dlpfc
1	10551830	10552436	0.317	0.2867	0.224068	0.221874	0.003336	0.00133	0.206117	0.082221	0.002922	0.0	0.180681	1e-06	0.002218	0.002258	0.134903	0.13965	0.001171	0.0	0.072427	1e-06	0.00373	0.012582	0.002279	0.01617	1.0	150.771	150.612	108.0	dlpfc
1	10569875	10570578	0.069	0.39676	0.216115	0.271955	0.002299	0.000558	0.196563	0.047661	0.002092	0.0	0.178683	1e-06	0.001864	0.002626	0.151317	0.224292	0.000971	0.0	0.082915	1e-06	0.002553	0.008523	0.001688	0.011707	1.0	167.98	167.945	108.0	dlpfc
