chromA	startA	endA	chromB	startB	endB	overlap	lenA	lenB	pctA	pctB	reciprocal
1	533832	533990	1	533832	533990	158	158	158	100.0	100.0	100.0
1	1747169	1747292	1	1747222	1747531	70	123	309	56.91056910569105	22.653721682847898	22.653721682847898
1	2099044	2099420	1	2099092	2099401	309	376	309	82.18085106382979	100.0	82.18085106382979
1	2189201	2190598	1	2189186	2190519	1318	1397	1333	94.34502505368647	98.87471867966991	94.34502505368647
1	2983011	2983612	1	2983029	2983369	340	601	340	56.57237936772047	100.0	56.57237936772047
1	3031124	3031708	1	3031165	3031621	456	584	456	78.08219178082192	100.0	78.08219178082192
1	9223206	9223416	1	9222666	9224410	210	210	1744	100.0	12.041284403669724	12.041284403669724
1	11925291	11925690	1	11925291	11925841	399	399	550	100.0	72.54545454545455	72.54545454545455
1	15833243	15833455	1	15833305	15833485	150	212	180	70.75471698113208	83.33333333333334	70.75471698113208
1	16677941	16678490	1	16678138	16678820	352	549	682	64.11657559198542	51.61290322580645	51.61290322580645
1	16692189	16692603	1	16692189	16692568	379	414	379	91.54589371980676	100.0	91.54589371980676
1	18784007	18785106	1	18784007	18784942	935	1099	935	85.07734303912648	100.0	85.07734303912648
1	21437255	21437893	1	21437342	21437779	437	638	437	68.49529780564264	100.0	68.49529780564264
1	22011488	22012964	1	22011556	22012964	1408	1476	1408	95.39295392953929	100.0	95.39295392953929
1	25563506	25564273	1	25563647	25564105	458	767	458	59.71316818774446	100.0	59.71316818774446
1	28246210	28247095	1	28245560	28247076	866	885	1516	97.85310734463278	57.12401055408971	57.12401055408971
1	31154431	31154704	1	31154431	31154646	215	273	215	78.75457875457876	100.0	78.75457875457876
1	36401108	36401547	1	36401072	36401380	272	439	308	61.958997722095674	88.31168831168831	61.958997722095674
1	39770451	39770562	1	39770382	39771485	111	111	1103	100.0	10.063463281958295	10.063463281958295
1	44010732	44012168	1	44010966	44011761	795	1436	795	55.362116991643454	100.0	55.362116991643454
1	44016008	44017465	1	44016337	44017127	790	1457	790	54.221002059025395	100.0	54.221002059025395
1	44103426	44103777	1	44103532	44103726	194	351	194	55.27065527065527	100.0	55.27065527065527
1	50951950	50952397	1	50952107	50952369	262	447	262	58.61297539149888	100.0	58.61297539149888
1	65550124	65550867	1	65549458	65550736	612	743	1278	82.36877523553163	47.88732394366197	47.88732394366197
1	72334743	72334842	1	72334743	72334842	99	99	99	100.0	100.0	100.0
1	75124701	75127449	1	75125068	75127265	2197	2748	2197	79.9490538573508	100.0	79.9490538573508
1	76641879	76644624	1	76642224	76643758	1534	2745	1534	55.88342440801457	100.0	55.88342440801457
1	88993642	88993975	1	88993737	88993975	238	333	238	71.47147147147147	100.0	71.47147147147147
1	95232696	95233361	1	95232696	95233271	575	665	575	86.46616541353383	100.0	86.46616541353383
1	101308446	101308887	1	101308446	101308887	441	441	441	100.0	100.0	100.0
1	106080662	106081231	1	106080662	106081023	361	569	361	63.44463971880492	100.0	63.44463971880492
1	106240486	106241224	1	106240486	106243165	738	738	2679	100.0	27.547592385218366	27.547592385218366
1	108875899	108876327	1	108876067	108876386	260	428	319	60.747663551401864	81.50470219435736	60.747663551401864
1	112742759	112743662	1	112743008	112743470	462	903	462	51.162790697674424	100.0	51.162790697674424
1	115977319	115977696	1	115977424	115980485	272	377	3061	72.14854111405835	8.885984972231297	8.885984972231297
1	115978319	115980132	1	115977424	115980485	1813	1813	3061	100.0	59.229010127409346	59.229010127409346
1	116534515	116535010	1	116534538	116535623	472	495	1085	95.35353535353536	43.50230414746544	43.50230414746544
1	120848328	120848466	1	120848376	120848451	75	138	75	54.347826086956516	100.0	54.347826086956516
1	121020735	121021080	1	121020735	121020915	180	345	180	52.17391304347826	100.0	52.17391304347826
1	121396242	121396985	1	121396368	121397047	617	743	679	83.04172274562585	90.86892488954345	83.04172274562585
1	121518529	121518730	1	121518529	121518730	201	201	201	100.0	100.0	100.0
1	143649069	143651193	1	143649450	143650846	1396	2124	1396	65.72504708097928	100.0	65.72504708097928
