seqnames	start	end	h2_category	hg38_genes_intergenic	hg38_cpg_inter	hg38_genes_promoters	hg38_cpg_shores	hg38_genes_1to5kb	hg38_genes_introns	hg38_cpg_islands	hg38_cpg_shelves	hg38_genes_5UTRs	hg38_genes_exons	hg38_genes_3UTRs	hg38_enhancers_fantom
chr1	533832	533990		1	1	0	0	0	0	0	0	0	0	0	0
chr1	903969	904084	Non-heritable	0	0	1	1	0	0	0	0	0	0	0	0
chr1	967169	967570	Non-heritable	0	0	0	1	1	1	1	0	0	0	0	0
chr1	998311	998546	Non-heritable	0	0	1	0	1	0	1	0	0	0	0	0
chr1	1004987	1005302	Non-heritable	0	0	0	0	1	1	0	1	0	0	0	0
chr1	1013950	1014726	Non-heritable	0	0	1	1	1	1	1	0	1	1	1	0
chr1	1023679	1025297	Heritable	0	0	0	0	0	1	0	1	0	0	0	0
chr1	1034304	1034668	Non-heritable	0	0	1	0	0	1	1	0	1	1	0	0
chr1	1040020	1040182	Non-heritable	0	0	0	1	0	1	1	0	0	0	0	0
chr1	1140761	1141016	Non-heritable	0	0	0	0	0	1	0	1	0	1	0	0
chr1	1174225	1174635	Heritable	0	0	0	0	0	1	1	0	1	1	0	0
chr1	1182991	1183192	Non-heritable	0	1	0	0	1	1	0	0	0	1	0	0
chr1	1185015	1185655	Heritable	0	1	1	0	0	1	0	0	0	1	1	0
chr1	1212849	1212983	Non-heritable	0	0	0	1	0	1	0	0	0	1	0	0
chr1	1228883	1229078	Heritable	0	0	1	1	1	1	0	1	1	1	0	0
chr1	1244042	1244512	Heritable	0	0	1	1	1	1	0	0	0	1	0	0
chr1	1250386	1250493	Non-heritable	0	0	0	0	1	0	0	1	0	1	0	0
chr1	1274834	1275165	Non-heritable	0	0	1	1	1	0	0	0	0	0	0	0
chr1	1290344	1290443	Heritable	0	0	0	0	0	1	1	0	0	1	1	0
chr1	1296804	1297070	Non-heritable	0	0	1	0	1	1	1	0	0	0	0	0
chr1	1299158	1299464	Non-heritable	0	0	1	1	1	1	0	0	0	1	0	0
chr1	1303236	1304156	Non-heritable	0	0	1	0	1	1	0	1	0	1	1	0
chr1	1351537	1351687	Heritable	0	0	0	1	1	0	1	0	0	0	0	0
chr1	1354719	1355005	Heritable	0	0	1	0	0	0	1	0	0	1	0	0
chr1	1356874	1357302	Heritable	0	0	0	1	1	1	0	0	0	0	0	0
chr1	1418527	1418731	Non-heritable	0	0	0	1	1	0	0	0	0	1	1	0
chr1	1419594	1421560	Heritable	0	0	1	1	1	1	1	0	1	1	0	0
chr1	1425528	1426355	Non-heritable	0	0	1	1	1	0	1	0	1	1	0	0
chr1	1428247	1428430	Non-heritable	0	0	0	1	0	0	0	0	0	1	1	0
chr1	1431645	1432049	Non-heritable	0	0	1	1	1	1	0	0	0	1	0	0
chr1	1433177	1433976	Non-heritable	0	0	1	1	1	1	0	1	0	0	0	1
chr1	1434848	1435285	Non-heritable	0	0	1	1	1	1	0	0	1	1	0	0
chr1	1436414	1437297	Non-heritable	0	0	0	1	1	1	0	0	1	1	0	0
chr1	1441696	1442051	Non-heritable	0	0	0	1	0	0	0	0	0	1	1	0
chr1	1505666	1505773	Heritable	0	0	1	0	0	1	0	1	0	1	0	0
chr1	1630437	1630524	Non-heritable	0	0	0	0	1	0	1	0	0	1	1	0
chr1	1633623	1633701	Heritable	0	0	1	0	0	1	1	0	0	1	1	0
chr1	1708406	1708589	Heritable	0	0	1	0	1	1	0	1	0	0	0	0
