seqnames	start	end	h2_category	hg38_genes_1to5kb	hg38_genes_introns	hg38_cpg_inter	hg38_genes_promoters	hg38_cpg_shores	hg38_genes_exons	hg38_genes_intergenic	hg38_cpg_islands	hg38_enhancers_fantom	hg38_genes_5UTRs	hg38_genes_3UTRs	hg38_cpg_shelves
chr1	190729	191663		1	1	1	0	0	0	0	0	0	0	0	0
chr1	779388	779741	Non-heritable	1	1	0	1	1	0	0	0	0	0	0	0
chr1	789771	790331	Non-heritable	0	1	1	0	0	0	0	0	0	0	0	0
chr1	817293	817843	Non-heritable	0	1	1	1	0	1	0	0	0	0	0	0
chr1	882232	883488	Non-heritable	1	0	1	0	0	0	1	0	0	0	0	0
chr1	893038	894006	Non-heritable	0	0	1	0	0	0	1	0	0	0	0	0
chr1	904084	904400	Non-heritable	0	0	0	1	1	0	0	1	1	0	0	0
chr1	909800	909996	Heritable	1	1	0	0	0	0	0	1	0	0	0	0
chr1	1007637	1007923	Heritable	0	1	1	0	0	0	0	0	0	0	0	0
chr1	1015951	1016151	Non-heritable	1	0	0	0	1	0	0	0	0	0	0	0
chr1	1077056	1077271	Heritable	1	0	0	0	0	0	0	1	0	0	0	0
chr1	1174141	1174345	Heritable	0	1	0	0	0	1	0	1	0	1	0	0
chr1	1185197	1185540	Heritable	0	1	1	0	0	1	0	0	0	0	1	0
chr1	1189878	1190574	Non-heritable	0	1	1	0	0	0	0	0	0	0	0	0
chr1	1261709	1262099	Heritable	0	1	0	0	0	0	0	0	0	0	0	1
chr1	1290144	1290347		0	1	0	0	0	1	0	1	0	0	1	0
chr1	1351411	1351631	Heritable	1	0	0	0	1	0	0	1	1	0	0	0
chr1	1362641	1363276	Heritable	1	0	1	1	0	0	0	0	0	0	0	0
chr1	1419780	1419989	Heritable	0	1	0	1	0	0	0	1	0	0	0	0
chr1	1425654	1426313	Non-heritable	1	0	0	1	1	1	0	1	0	1	0	0
chr1	1432328	1432537	Heritable	1	1	0	1	1	0	0	0	0	0	0	0
chr1	1443436	1443619	Heritable	0	0	0	0	0	0	1	0	0	0	0	1
chr1	1499120	1499521	Heritable	1	0	1	0	0	0	0	0	0	0	0	0
chr1	1544257	1544706	Heritable	1	1	0	0	0	1	0	0	0	0	0	1
chr1	1571012	1571325	Heritable	1	1	0	0	0	0	0	0	0	0	0	1
chr1	1589311	1589733		0	0	1	0	0	0	1	0	0	0	0	0
chr1	1592410	1592801	Heritable	0	0	1	0	0	0	1	0	0	0	0	0
chr1	1633927	1633996	Heritable	0	1	0	1	0	1	0	1	0	0	1	0
chr1	1649702	1650526	Heritable	0	1	1	0	0	0	0	0	0	0	0	0
chr1	1666827	1667369	Heritable	1	1	0	0	0	0	0	0	0	0	0	1
chr1	1685892	1686440	Heritable	0	1	1	0	0	0	0	0	0	0	0	0
chr1	1694986	1695300	Heritable	1	0	0	0	1	0	0	0	0	0	0	0
chr1	1733116	1734007	Non-heritable	1	1	1	0	0	0	0	0	0	0	0	0
chr1	1803285	1804575	Non-heritable	0	1	1	0	0	1	0	0	0	1	0	0
chr1	1811736	1812060	Heritable	0	1	1	0	0	0	0	0	0	0	0	0
chr1	1864988	1865598	Non-heritable	0	1	1	0	0	0	0	0	0	0	0	0
chr1	1866651	1867215	Non-heritable	0	1	1	0	0	0	0	0	0	0	0	0
chr1	1903901	1904145	Non-heritable	0	0	1	0	0	0	1	0	0	0	0	0
chr1	1909401	1909761	Non-heritable	0	0	0	0	1	0	1	0	0	0	0	0
chr1	1931092	1933046	Heritable	1	1	1	0	0	0	0	0	0	0	0	1
chr1	1948295	1949786	Non-heritable	0	1	1	0	0	0	0	0	0	0	0	1
chr1	1983890	1984190	Non-heritable	0	1	0	0	1	1	0	0	0	0	0	0
