"chr","description","n","mean_dist","sd_dist","median_dist"
"chr1","close to 3'",8,1541.5,822.926311576993,1747.5
"chr1","covers",6,0,0,0
"chr1","covers exon(s)",63,16436.9206349206,36628.0793285705,3080
"chr1","downstream",68,40611.5147058823,60658.4033322727,20196.5
"chr1","inside exon",85,14720.5882352941,37826.1320024782,1288
"chr1","inside intron",499,39889.7194388778,93843.5510350761,12489
"chr1","overlaps 3'",14,7740.42857142857,12337.0353982463,1857.5
"chr1","overlaps 5'",27,0,0,0
"chr1","overlaps exon downstream",50,5519.86,12149.3810844463,494.5
"chr1","overlaps exon upstream",40,13195.45,26305.3234682006,3844.5
"chr1","overlaps two exons",5,4161.4,8623.03596768563,203
"chr1","promoter",62,740.387096774194,542.552750471226,591.5
"chr1","upstream",47,19132.9787234043,25306.9095183332,10671
"chr10","close to 3'",4,1550.25,596.065642358289,1589.5
"chr10","covers",1,0,NA,0
"chr10","covers exon(s)",29,50834.5517241379,120794.053766727,3433
"chr10","downstream",63,62005.4126984127,95603.2186000968,28565
"chr10","inside exon",41,21805.0731707317,68684.8526428463,1304
"chr10","inside intron",359,62076.0947075209,134885.754622165,15780
"chr10","overlaps 3'",4,1151.75,758.18967503741,1461.5
"chr10","overlaps 5'",10,0,0,0
"chr10","overlaps exon downstream",22,22847.4545454545,61223.6831445442,318.5
"chr10","overlaps exon upstream",17,56520.4705882353,100391.427576087,7501
"chr10","overlaps two exons",3,2032.66666666667,3187.02185956315,291
"chr10","promoter",16,771.5,614.991707261163,540
"chr10","upstream",43,16631.7674418605,15668.5878733417,13201
"chr11","close to 3'",5,1382,656.507044897463,1485
"chr11","covers exon(s)",45,30863.6,88973.2764272509,5218
"chr11","downstream",40,34152.675,30153.5208884235,29396.5
"chr11","inside exon",37,15181.7837837838,69625.4240047473,589
"chr11","inside intron",292,38856.7602739726,70439.0538171625,9326
"chr11","overlaps 3'",14,20688.7142857143,27057.8933128112,13162
"chr11","overlaps 5'",19,0,0,0
"chr11","overlaps exon downstream",26,3961.65384615385,11565.2478432321,237.5
"chr11","overlaps exon upstream",25,7333.44,9534.21432735808,4055
"chr11","overlaps two exons",5,3329,7133.41958670594,65
"chr11","promoter",28,720.928571428571,426.931248569709,615
"chr11","upstream",23,24876.5217391304,36799.7649311533,15439
"chr12","close to 3'",6,1394.83333333333,694.16523009055,1496.5
"chr12","covers exon(s)",43,27660.3488372093,45960.7116520827,8204
"chr12","downstream",53,48810.8679245283,61296.2201604878,23110
"chr12","inside exon",44,19452.4090909091,75684.615416295,1072.5
"chr12","inside intron",332,37088.1084337349,63054.247707973,11711
"chr12","overlaps 3'",4,14392.5,14202.305129802,12722.5
"chr12","overlaps 5'",12,0,0,0
"chr12","overlaps exon downstream",27,3830.55555555556,5795.56941739074,217
"chr12","overlaps exon upstream",27,44374.0740740741,88160.2320253499,5467
"chr12","overlaps two exons",1,74,NA,74
"chr12","promoter",31,685.967741935484,536.92845481628,559
"chr12","upstream",24,33731.6666666667,51688.0762161597,11515.5
"chr13","close to 3'",3,1324.66666666667,972.277909516273,788
"chr13","covers exon(s)",16,64550.3125,134921.108379042,7993.5
"chr13","downstream",53,47729.5283018868,51042.0793880303,26503
"chr13","inside exon",22,30623.8181818182,76389.6750463023,845
"chr13","inside intron",193,50078.1502590674,123739.42034567,13085
"chr13","overlaps 3'",3,44766,42764.995510347,47477
"chr13","overlaps 5'",13,0,0,0
"chr13","overlaps exon downstream",15,38614.8,131204.240879412,525
"chr13","overlaps exon upstream",11,29023.4545454545,36112.7915020804,12042
"chr13","overlaps two exons",2,45.5,41.7193000900063,45.5
"chr13","promoter",26,590.115384615385,586.553344678765,330.5
"chr13","upstream",28,36095.75,69939.9178192598,20127
"chr14","close to 3'",4,1699.25,641.088852396192,1733.5
"chr14","covers",2,0,0,0
"chr14","covers exon(s)",15,15289,35414.9729936768,2858
"chr14","downstream",56,36675.5,43082.591723762,14030
"chr14","inside exon",30,24924.5,59857.2920172466,1098
"chr14","inside intron",221,38521.8642533937,66744.9238201244,16953
"chr14","overlaps 3'",3,11423.6666666667,17282.2859695508,2367
"chr14","overlaps 5'",12,0,0,0
"chr14","overlaps exon downstream",10,2616.8,7035.33119807921,198
"chr14","overlaps exon upstream",9,17868.3333333333,22740.6407561441,15429
"chr14","overlaps two exons",1,403,NA,403
"chr14","promoter",20,647.4,591.356727320632,431.5
"chr14","upstream",14,16346.3571428571,12210.3680698454,13129
"chr15","close to 3'",2,1528,207.889393668845,1528
"chr15","covers",2,0,0,0
"chr15","covers exon(s)",18,38418.7777777778,70450.634545262,9920
"chr15","downstream",27,74139.1851851852,128435.143732618,43698
"chr15","inside exon",24,10392.875,34654.3974326272,1661.5
"chr15","inside intron",191,44685.6073298429,69513.3259374189,16106
"chr15","overlaps 3'",4,10546,19027.9968467519,1190
"chr15","overlaps 5'",9,0,0,0
"chr15","overlaps exon downstream",15,25058.8,58073.5635185482,241
"chr15","overlaps exon upstream",10,20216.3,29753.9655024708,6821
"chr15","overlaps two exons",2,8741.5,10149.1036303705,8741.5
"chr15","promoter",21,716.47619047619,561.112967150789,574
