"chr","description","n","mean_dist","sd_dist","median_dist"
"chr1","close to 3'",8,1026.25,585.595118539373,925.5
"chr1","covers",8,0,0,0
"chr1","covers exon(s)",39,7073.10256410256,16587.989154799,1152
"chr1","downstream",52,45037.7307692308,52880.795134375,24709
"chr1","inside exon",47,13130.7446808511,39408.1366148557,1085
"chr1","inside intron",420,35616.3738095238,62160.1528971834,9612
"chr1","overlaps 3'",4,9027.75,7794.46283695462,7710
"chr1","overlaps 5'",33,0,0,0
"chr1","overlaps exon downstream",40,4090.525,12582.379447603,377
"chr1","overlaps exon upstream",31,17329.4193548387,33298.7291627115,1459
"chr1","overlaps two exons",3,8789.33333333333,12127.2669770783,3211
"chr1","promoter",63,819.698412698413,570.805447758681,644
"chr1","upstream",58,25511.7068965517,42418.3381032178,10325.5
"chr10","close to 3'",2,1765.5,475.882863738546,1765.5
"chr10","covers",2,0,0,0
"chr10","covers exon(s)",33,47769.5757575758,76328.0933515923,9015
"chr10","downstream",47,73862.9361702128,115473.746880143,39073
"chr10","inside exon",23,43748,93550.0834686961,1456
"chr10","inside intron",272,68206,117362.458038543,17889.5
"chr10","overlaps 3'",7,13138.7142857143,18152.9204603032,4877
"chr10","overlaps 5'",14,0,0,0
"chr10","overlaps exon downstream",15,6329.66666666667,19335.8800001694,368
"chr10","overlaps exon upstream",11,32620.4545454545,46486.260601093,5464
"chr10","promoter",32,736,605.131817151463,561
"chr10","upstream",39,17217.2051282051,16349.2351876157,11350
"chr11","close to 3'",5,1351.4,733.513667221,1215
"chr11","covers exon(s)",29,16371.6206896552,27397.8139553059,6594
"chr11","downstream",42,61157.8333333333,92454.4527579739,32317.5
"chr11","inside exon",25,19897.12,84242.9576242232,799
"chr11","inside intron",269,50751.063197026,113398.195458442,10032
"chr11","overlaps 3'",7,35045.1428571429,68639.5846588749,12393
"chr11","overlaps 5'",20,0,0,0
"chr11","overlaps exon downstream",18,6104,16884.0692370056,1089.5
"chr11","overlaps exon upstream",18,17355.3888888889,30742.8601909813,2343.5
"chr11","overlaps two exons",2,76,35.3553390593274,76
"chr11","promoter",38,739.578947368421,474.958298686057,606
"chr11","upstream",32,26408.28125,43611.7518870806,11077.5
"chr12","close to 3'",3,1376.66666666667,419.504866876814,1295
"chr12","covers exon(s)",25,38303.88,96919.218944748,8606
"chr12","downstream",49,38263.8163265306,37338.243666109,25329
"chr12","inside exon",33,36538.2727272727,101164.537764992,950
"chr12","inside intron",273,36588.4432234432,74864.1974050389,11164
"chr12","overlaps 3'",4,9326.5,12581.7576276131,4411
"chr12","overlaps 5'",12,0,0,0
"chr12","overlaps exon downstream",18,1622.61111111111,2893.6336232757,161.5
"chr12","overlaps exon upstream",14,11608.3571428571,15045.2975050839,4358
"chr12","promoter",26,743.230769230769,598.25314425867,516
"chr12","upstream",16,39319.375,59268.3616666599,12620.5
"chr13","close to 3'",2,1026,186.676190233249,1026
"chr13","covers exon(s)",14,15615.7857142857,29025.6523551643,3346
"chr13","downstream",30,52465.4666666667,58515.0433182215,21182.5
"chr13","inside exon",15,42435.4666666667,90406.2279174763,2125
"chr13","inside intron",140,67955.3357142857,128953.168800452,18538
"chr13","overlaps 3'",1,134885,NA,134885
"chr13","overlaps 5'",9,0,0,0
"chr13","overlaps exon downstream",8,846.125,1109.64658949209,424.5
"chr13","overlaps exon upstream",7,9071.28571428571,8967.87304240877,7598
"chr13","promoter",20,640.4,491.90771492222,451.5
"chr13","upstream",19,25584.3157894737,26975.0675090343,19167
"chr14","close to 3'",7,1422.42857142857,558.542704169477,1470
"chr14","covers",2,0,0,0
"chr14","covers exon(s)",9,41761.7777777778,58240.8939422674,6339
"chr14","downstream",35,44688.6857142857,48746.490242147,23874
"chr14","inside exon",18,4300,15136.0549370972,629.5
"chr14","inside intron",185,45436.1081081081,78686.503003037,15270
"chr14","overlaps 3'",2,81590.5,71047.9680532807,81590.5
"chr14","overlaps 5'",8,0,0,0
"chr14","overlaps exon downstream",7,8910.85714285714,21955.5677405419,309
"chr14","overlaps exon upstream",9,9880.11111111111,13592.0198962888,2129
"chr14","overlaps two exons",1,117,NA,117
"chr14","promoter",20,539.3,417.342986548298,421.5
"chr14","upstream",20,26498.5,36987.7604485592,11408.5
"chr15","close to 3'",3,1476,507.258316836698,1537
"chr15","covers",1,0,NA,0
"chr15","covers exon(s)",18,29313.5,48515.4665772255,10243
"chr15","downstream",24,43865.2083333333,91897.3909261937,15730
"chr15","inside exon",14,15706.7142857143,41092.1954042718,619.5
"chr15","inside intron",192,52975.78125,88174.3033739462,18966.5
"chr15","overlaps 3'",4,18487.25,33995.9039334153,1882.5
"chr15","overlaps 5'",5,0,0,0
"chr15","overlaps exon downstream",16,4609.125,12594.1883151185,159
"chr15","overlaps exon upstream",3,1238.33333333333,1171.41211080189,1097
"chr15","overlaps two exons",1,450,NA,450
"chr15","promoter",16,977.375,643.329140746269,760
"chr15","upstream",10,29663.8,62080.8964690427,10437
"chr16","close to 3'",9,1545.88888888889,659.856129100209,1841
"chr16","covers",1,0,NA,0
"chr16","covers exon(s)",21,12643.7142857143,12343.0103019598,12084
"chr16","downstream",35,37915.2285714286,67358.4486447585,12336
"chr16","inside exon",29,8017.20689655172,18589.9415398668,1011
"chr16","inside intron",244,43071.487704918,91898.6898267897,12192.5
"chr16","overlaps 3'",7,14401.8571428571,23597.7800469209,2999
"chr16","overlaps 5'",16,0,0,0
"chr16","overlaps exon downstream",14,523.857142857143,775.136797568697,360.5
"chr16","overlaps exon upstream",12,24207.75,66902.4621345066,2786.5
"chr16","overlaps two exons",4,3357.25,6374.24470689142,221.5
"chr16","promoter",22,902.954545454545,686.968944835814,631.5
"chr16","upstream",28,15820.2857142857,18098.0682698604,6906
"chr17","close to 3'",10,1582.9,584.859422805553,1542.5
"chr17","covers exon(s)",21,14146.9523809524,21025.0651829577,2681
"chr17","downstream",37,38261.8918918919,42953.2615562698,18146
"chr17","inside exon",35,6480.42857142857,10518.0233808609,1606
"chr17","inside intron",268,30610.2126865672,56932.7525390587,10841.5
"chr17","overlaps 3'",10,7408.4,8448.27336994568,3982.5
"chr17","overlaps 5'",13,0,0,0
"chr17","overlaps exon downstream",22,16026.3636363636,41048.9712852315,319.5
"chr17","overlaps exon upstream",16,22393.5625,39025.7849837237,2142
"chr17","overlaps two exons",2,17741,23639.9939086287,17741
"chr17","promoter",33,909.818181818182,575.186516192001,646
"chr17","upstream",23,11003.7826086957,8385.53163033329,10038
"chr18","covers exon(s)",11,19207.9090909091,32767.0128252624,1540
"chr18","downstream",35,58676.2,90955.6515612384,31085
"chr18","inside exon",9,18412.1111111111,44991.515923684,790
"chr18","inside intron",113,44031.1592920354,75418.1448517869,17012
"chr18","overlaps 3'",2,14554,20339.2194540499,14554
"chr18","overlaps 5'",9,0,0,0
"chr18","overlaps exon downstream",6,48503.3333333333,99113.9802483316,286
"chr18","overlaps exon upstream",10,18536.9,30152.0763775528,5556.5
"chr18","overlaps two exons",1,108,NA,108
"chr18","promoter",15,769.533333333333,607.224230961402,593
"chr18","upstream",15,25297.0666666667,22238.1042019152,13747
"chr19","close to 3'",1,1223,NA,1223
"chr19","covers",2,0,0,0
"chr19","covers exon(s)",38,10170.5526315789,13311.6557860931,4882.5
"chr19","downstream",38,27418.6315789474,34791.1490751413,15263.5
"chr19","inside exon",29,25359.5517241379,60606.5451431174,4568
"chr19","inside intron",200,20603.265,30506.8609889937,7380
"chr19","overlaps 3'",4,7294,13266.7774032229,954
"chr19","overlaps 5'",18,0,0,0
"chr19","overlaps exon downstream",17,7789.58823529412,18616.0346544948,362
"chr19","overlaps exon upstream",26,15182,16883.6842803933,9508
"chr19","overlaps two exons",4,1701,2501.6497223499,687
"chr19","promoter",26,546.846153846154,512.700044260399,484
"chr19","upstream",19,12208.2631578947,10768.5484776635,8723
"chr2","close to 3'",4,925.25,342.220567275941,806
"chr2","covers",1,0,NA,0
"chr2","covers exon(s)",32,42675.96875,105314.168123972,7266
"chr2","downstream",60,61508.5333333333,105939.575073377,34057
"chr2","inside exon",39,16059.8717948718,45644.7951590837,513
"chr2","inside intron",426,55345.4530516432,118869.564997601,14302.5
"chr2","overlaps 3'",14,9000.21428571429,10268.4278564373,5088.5
"chr2","overlaps 5'",19,0,0,0
"chr2","overlaps exon downstream",30,9932.66666666667,29946.6389459806,122
"chr2","overlaps exon upstream",18,23735.6666666667,45477.395781408,8400.5
"chr2","promoter",44,652.681818181818,526.321670708211,533.5
"chr2","upstream",33,16750.3333333333,17394.6297885056,8443
"chr20","close to 3'",1,184,NA,184
"chr20","covers",1,0,NA,0
"chr20","covers exon(s)",17,13722.0588235294,20161.7719039975,4521
"chr20","downstream",22,77802.6818181818,151869.633214803,29282
"chr20","inside exon",9,4351,7191.08281137132,461
"chr20","inside intron",91,52940.967032967,145904.926192096,16976
"chr20","overlaps 3'",2,4706,6445.98541729657,4706
"chr20","overlaps 5'",12,0,0,0
"chr20","overlaps exon downstream",3,501,423.026003928837,467
"chr20","overlaps exon upstream",8,16847.875,23772.3631581928,4829.5
"chr20","promoter",11,938.363636363636,711.468800823658,904
"chr20","upstream",21,19267.5238095238,20095.7149651836,12599
"chr21","close to 3'",2,666.5,16.2634559672906,666.5
"chr21","covers exon(s)",6,3799,4085.84546942245,1894
"chr21","downstream",13,43210.0769230769,54957.4522751639,29643
"chr21","inside exon",5,1593.4,2406.69032075172,615
"chr21","inside intron",66,47476.7575757576,86868.7231449423,9751.5
"chr21","overlaps 3'",2,10951,15263.6069786928,10951
"chr21","overlaps 5'",2,0,0,0
"chr21","overlaps exon downstream",4,1532.5,2210.44346983435,679.5
"chr21","overlaps exon upstream",3,130165.333333333,194403.025741199,36274
"chr21","overlaps two exons",1,58,NA,58
"chr21","promoter",3,1147.66666666667,958.073240067446,1000
"chr21","upstream",8,23009.625,16540.1866627703,18391
"chr22","close to 3'",5,1193.6,567.286788141589,1084
"chr22","covers exon(s)",12,7111.83333333333,13958.5402846712,2509.5
"chr22","downstream",25,16880.08,11124.480245986,13750
"chr22","inside exon",17,26786.4705882353,59364.7594822863,3978
"chr22","inside intron",120,39133.6916666667,73207.2738820417,11449
"chr22","overlaps 3'",1,6247,NA,6247
"chr22","overlaps 5'",15,0,0,0
"chr22","overlaps exon downstream",7,538.857142857143,1134.51141151473,100
"chr22","overlaps exon upstream",8,17804.5,17543.2146508476,11669.5
"chr22","promoter",25,695.24,477.075053494381,670
"chr22","upstream",8,11959.875,8346.78345981253,9176.5
"chr3","close to 3'",6,1502.83333333333,684.860399400248,1367.5
"chr3","covers exon(s)",34,29711.7058823529,64253.6114450313,8263
"chr3","downstream",43,87605.9302325581,194867.643159756,32112
"chr3","inside exon",28,10777.1428571429,17791.5430986378,581.5
"chr3","inside intron",355,50773.6225352113,132722.750873452,8981
"chr3","overlaps 3'",8,2176.5,1912.53855236586,2017
"chr3","overlaps 5'",12,0,0,0
"chr3","overlaps exon downstream",26,1440.03846153846,5328.56498866829,130.5
"chr3","overlaps exon upstream",10,31439.8,37694.0220689347,12291.5
"chr3","overlaps two exons",1,119,NA,119
"chr3","promoter",41,616.219512195122,529.857693734607,401
"chr3","upstream",27,27762.2592592593,36206.8010043508,18758
"chr4","covers",2,0,0,0
"chr4","covers exon(s)",17,56631.4117647059,117223.980142748,10567
"chr4","downstream",49,52813.6326530612,49976.1194891678,34663
"chr4","inside exon",14,6285.28571428571,7168.55804005425,2042.5
"chr4","inside intron",287,70552.1846689895,138415.312413835,20730
"chr4","overlaps 3'",10,18729.3,51585.8874694534,1371.5
"chr4","overlaps 5'",11,0,0,0
"chr4","overlaps exon downstream",14,559.714285714286,1217.64719082281,165.5
"chr4","overlaps exon upstream",13,46927.1538461538,119722.174012618,9301
"chr4","promoter",21,886.52380952381,569.921540130536,621
"chr4","upstream",30,17932.2,19135.0972036492,11809
"chr5","close to 3'",3,1428.66666666667,927.302180162073,1456
"chr5","covers",2,0,0,0
"chr5","covers exon(s)",22,17937.2727272727,26255.1271785184,3222
