seqnames	start	end	h2_category	hg38_genes_promoters	hg38_cpg_inter	hg38_genes_intergenic	hg38_genes_1to5kb	hg38_genes_introns	hg38_cpg_shores	hg38_genes_exons	hg38_cpg_islands	hg38_enhancers_fantom	hg38_cpg_shelves	hg38_genes_5UTRs	hg38_genes_3UTRs
chr1	51813	51978		1	1	0	0	0	0	0	0	0	0	0	0
chr1	533832	533990		0	1	1	0	0	0	0	0	0	0	0	0
chr1	779478	779661	Low prediction	1	0	0	1	1	1	0	0	0	0	0	0
chr1	789726	790331	Low prediction	0	1	0	0	1	0	0	0	0	0	0	0
chr1	817185	817843	Low prediction	1	1	0	0	1	0	1	0	0	0	0	0
chr1	870226	870562	Low prediction	1	0	0	1	1	1	0	1	0	0	0	0
chr1	882232	883488	Low prediction	0	1	1	1	0	0	0	0	0	0	0	0
chr1	893038	893980	Low prediction	0	1	1	0	0	0	0	0	0	0	0	0
chr1	904055	904381	Low prediction	1	0	0	0	0	1	0	1	1	0	0	0
chr1	909800	909898	Low prediction	0	0	0	1	1	0	0	1	0	0	0	0
chr1	1007637	1007923	Low prediction	0	1	0	0	1	0	0	0	0	0	0	0
chr1	1015951	1016151	Low prediction	0	0	0	1	0	1	0	0	0	0	0	0
chr1	1077056	1077266	Low prediction	0	0	0	1	0	0	0	1	0	0	0	0
chr1	1140959	1141078	Low prediction	0	0	0	0	1	0	1	0	0	1	0	0
chr1	1174096	1174314	Heritable	0	0	0	0	1	0	1	1	0	0	1	0
chr1	1189878	1190574	Low prediction	0	1	0	0	1	0	0	0	0	0	0	0
chr1	1261709	1262148	Low prediction	0	0	0	0	1	0	0	0	0	1	0	0
chr1	1266603	1266775	Low prediction	0	0	0	1	1	1	0	0	0	0	0	0
chr1	1290162	1290231	Heritable	0	0	0	0	1	0	0	1	0	0	0	0
chr1	1351411	1351596	Low prediction	0	0	0	1	0	1	0	1	1	0	0	0
chr1	1362641	1363276	Low prediction	1	1	0	1	0	0	0	0	0	0	0	0
chr1	1419644	1419906	Heritable	1	0	0	0	1	1	0	1	0	0	0	0
chr1	1431430	1431728	Low prediction	0	0	0	1	1	1	0	0	0	0	0	0
chr1	1432318	1433044	Low prediction	1	0	0	1	1	1	0	0	0	1	0	0
chr1	1443436	1443619	Low prediction	0	0	1	0	0	0	0	0	0	1	0	0
chr1	1499032	1499521	Low prediction	0	1	0	1	0	0	0	0	0	0	0	0
chr1	1544268	1544706	Heritable	0	0	0	1	1	0	1	0	0	1	0	0
chr1	1570968	1571325	Heritable	0	0	0	1	1	0	0	0	0	1	0	0
chr1	1589311	1589733	Heritable	0	1	1	0	0	0	0	0	0	0	0	0
chr1	1592474	1592793	Heritable	0	1	1	0	0	0	0	0	0	0	0	0
chr1	1633911	1634027	Non-heritable	1	0	0	0	1	0	1	1	0	0	0	1
chr1	1649702	1650490	Heritable	0	1	0	0	1	0	0	0	0	0	0	0
chr1	1666785	1667369	Non-heritable	0	0	0	1	1	0	0	0	0	1	0	0
chr1	1685870	1686440	Heritable	0	1	0	0	1	0	0	0	0	0	0	0
chr1	1694986	1695300	Non-heritable	0	0	0	1	0	1	0	0	0	0	0	0
