chr	start	end	nearest_gene_id	distance
chr1	817293	817843	ENSG00000225880	0
chr1	882232	883488	ENSG00000296088	0
chr1	893038	894006	ENSG00000296088	3740
chr1	904084	904400	ENSG00000272438	385
chr1	909800	909961	ENSG00000298603	0
chr1	1007637	1007923	ENSG00000187608	0
chr1	1015951	1016151	ENSG00000187608	1410
chr1	1077056	1077271	ENSG00000237330	2749
chr1	1158593	1158655	ENSG00000304965	338
chr1	1174096	1174345	ENSG00000205231	0
chr1	1185150	1185540	ENSG00000162571	0
chr1	1189840	1190574	ENSG00000162571	0
chr1	1261709	1262136	ENSG00000160087	0
chr1	1266637	1266775	ENSG00000160087	0
chr1	1290144	1290231	ENSG00000162572	0
chr1	1351411	1351631	ENSG00000304860	0
chr1	1362641	1363276	ENSG00000304860	290
chr1	1419717	1419989	ENSG00000235098	0
chr1	1420861	1421196	ENSG00000225905	0
chr1	1425654	1427167	ENSG00000205116	0
chr1	1432395	1432520	ENSG00000225285	0
chr1	1443436	1443619	ENSG00000179403	553
chr1	1499032	1499521	ENSG00000160072	1183
chr1	1544257	1544706	ENSG00000299413	0
chr1	1570974	1571325	ENSG00000299413	0
chr1	1575797	1575951	ENSG00000215014	0
chr1	1589272	1589733	ENSG00000299413	0
chr1	1592410	1592801	ENSG00000299413	32
chr1	1633927	1634008	ENSG00000189409	0
chr1	1649696	1650526	ENSG00000248333	0
chr1	1666827	1667369	ENSG00000189339	0
chr1	1685892	1686440	ENSG00000189339	0
chr1	1694986	1695300	ENSG00000310190	0
chr1	1733116	1734078	ENSG00000293188	0
chr1	1803285	1804575	ENSG00000078369	0
chr1	1811736	1812060	ENSG00000078369	0
chr1	1864988	1865598	ENSG00000078369	0
chr1	1866651	1867250	ENSG00000078369	0
chr1	1903817	1904165	ENSG00000294910	1836
chr1	1909381	1909780	ENSG00000306476	0
chr1	1931092	1933046	ENSG00000142609	0
chr1	1948335	1949786	ENSG00000142609	0
chr1	1983845	1984190	ENSG00000142609	0
chr1	1999677	1999795	ENSG00000142609	0
chr1	2016599	2017062	ENSG00000233542	0
chr1	2124263	2124404	ENSG00000067606	0
chr1	2187365	2187492	ENSG00000162585	0
chr1	2189201	2190519	ENSG00000162585	0
chr1	2211095	2211773	ENSG00000162585	0
chr1	2223421	2224104	ENSG00000234396	2682
chr1	2225384	2226005	ENSG00000157933	1382
chr1	2245535	2245985	ENSG00000157933	0
chr1	2287913	2288206	ENSG00000157933	0
chr1	2325052	2325600	ENSG00000116151	0
chr1	2425856	2426023	ENSG00000149527	0
chr1	2435629	2436784	ENSG00000149527	0
chr1	2617405	2617586	ENSG00000142606	0
chr1	2949413	2950018	ENSG00000284745	10336
chr1	2967016	2967455	ENSG00000284745	0
chr1	2968434	2968927	ENSG00000284745	0
chr1	3010137	3010525	ENSG00000169717	10941
chr1	3031124	3031572	ENSG00000169717	8220
chr1	3114103	3114304	ENSG00000142611	0
chr1	3126046	3126284	ENSG00000142611	0
chr1	3360982	3361233	ENSG00000142611	0
chr1	3366306	3366835	ENSG00000142611	0
chr1	3441379	3441727	ENSG00000295754	0
chr1	3812561	3812935	ENSG00000116198	0
chr1	3890742	3890868	ENSG00000198912	0
chr1	3901723	3902181	ENSG00000236423	0
chr1	4082798	4083370	ENSG00000284668	0
chr1	5073540	5073767	ENSG00000231510	12691
chr1	5159284	5159914	ENSG00000296716	0
chr1	5294996	5295480	ENSG00000306645	0
chr1	6110840	6111482	ENSG00000116254	0
chr1	6114209	6115108	ENSG00000116254	0
chr1	6123029	6123776	ENSG00000116254	0
chr1	6158707	6159302	ENSG00000116254	0
chr1	6190288	6191723	ENSG00000116251	0
chr1	6202882	6203811	ENSG00000116251	0
chr1	6334801	6335479	ENSG00000097021	0
chr1	6364155	6365399	ENSG00000097021	0
chr1	6375583	6376381	ENSG00000097021	0
chr1	6388567	6389035	ENSG00000097021	0
chr1	6390163	6391612	ENSG00000097021	0
chr1	6399823	6400189	ENSG00000271746	5431
chr1	6442446	6443305	ENSG00000187017	0
chr1	6458082	6459392	ENSG00000187017	0
chr1	6481399	6481820	ENSG00000171680	0
chr1	6522324	6523307	ENSG00000162408	0
chr1	6529857	6530408	ENSG00000162408	0
chr1	6538333	6539374	ENSG00000162408	0
chr1	6576813	6578067	ENSG00000173662	0
chr1	6582907	6583843	ENSG00000204859	0
chr1	6612183	6612372	ENSG00000162413	0
chr1	6615999	6616325	ENSG00000116273	0
chr1	6659654	6660115	ENSG00000007923	0
chr1	6669007	6669611	ENSG00000007923	0
chr1	6671273	6671818	ENSG00000007923	0
chr1	6703505	6704007	ENSG00000007923	1580
chr1	6709877	6710171	ENSG00000007923	7952
chr1	6713036	6713451	ENSG00000007923	11111
chr1	6738660	6739618	ENSG00000228750	8647
chr1	6744712	6745628	ENSG00000228750	14699
chr1	6759274	6759880	ENSG00000284744	8073
chr1	6769739	6770355	ENSG00000284744	0
chr1	6839153	6840194	ENSG00000171735	0
chr1	7030903	7031832	ENSG00000171735	0
chr1	7248227	7248668	ENSG00000171735	0
chr1	7262152	7262893	ENSG00000171735	0
chr1	7478391	7478636	ENSG00000171735	0
chr1	7665689	7666419	ENSG00000171735	0
chr1	7758803	7759295	ENSG00000171735	0
chr1	7807998	7808147	ENSG00000236266	0
chr1	7812236	7812669	ENSG00000236266	0
chr1	7823005	7823818	ENSG00000236266	0
chr1	7849275	7849904	ENSG00000049247	0
chr1	7854067	7854466	ENSG00000049247	554
chr1	7971475	7972115	ENSG00000116288	0
chr1	7977346	7978517	ENSG00000116288	0
chr1	8004336	8004614	ENSG00000284747	0
chr1	8130206	8131446	ENSG00000238290	0
chr1	8160437	8160836	ENSG00000227634	0
chr1	8182792	8183873	ENSG00000227634	0
chr1	8186689	8187955	ENSG00000227634	0
chr1	8233893	8234123	ENSG00000298156	5877
chr1	8240722	8241367	ENSG00000298156	0
