chr	start	end	nearest_gene_id	distance
chr1	903969	904084	ENSG00000272438	701
chr1	967169	967580	ENSG00000187583	0
chr1	998311	998546	ENSG00000272512	259
chr1	1004987	1005302	ENSG00000303614	0
chr1	1013950	1014726	ENSG00000187608	0
chr1	1023679	1025297	ENSG00000188157	0
chr1	1034304	1034668	ENSG00000188157	0
chr1	1040020	1040171	ENSG00000188157	0
chr1	1140761	1141016	ENSG00000223823	0
chr1	1173504	1173632	ENSG00000205231	0
chr1	1174225	1174635	ENSG00000205231	0
chr1	1183011	1183192	ENSG00000162571	0
chr1	1185015	1185655	ENSG00000162571	0
chr1	1212849	1212983	ENSG00000186827	0
chr1	1228883	1229078	ENSG00000078808	0
chr1	1244042	1244521	ENSG00000184163	0
chr1	1250386	1250493	ENSG00000260179	0
chr1	1274834	1275165	ENSG00000230415	0
chr1	1286661	1286784	ENSG00000162572	0
chr1	1290344	1290443	ENSG00000162572	0
chr1	1296804	1297070	ENSG00000131584	0
chr1	1299158	1299464	ENSG00000131584	0
chr1	1303236	1304156	ENSG00000131584	0
chr1	1351537	1351687	ENSG00000304860	0
chr1	1354719	1355005	ENSG00000304860	0
chr1	1356874	1357302	ENSG00000304860	0
chr1	1418527	1418731	ENSG00000235098	0
chr1	1419594	1421560	ENSG00000225905	0
chr1	1425528	1426355	ENSG00000205116	0
chr1	1428247	1428430	ENSG00000205116	0
chr1	1431645	1432049	ENSG00000225285	0
chr1	1433177	1433619	ENSG00000225285	0
chr1	1434848	1435285	ENSG00000225285	0
chr1	1436414	1437297	ENSG00000179403	0
chr1	1441696	1442051	ENSG00000179403	0
chr1	1505666	1505773	ENSG00000290916	0
chr1	1510925	1511150	ENSG00000197785	1011
chr1	1630437	1630524	ENSG00000197530	0
chr1	1633546	1633749	ENSG00000189409	0
chr1	1708406	1708589	ENSG00000268575	0
chr1	1722360	1723483	ENSG00000268575	0
chr1	1747169	1747292	ENSG00000290854	1176
chr1	1946615	1947019	ENSG00000142609	0
chr1	2025554	2026153	ENSG00000187730	0
chr1	2059793	2060553	ENSG00000067606	0
chr1	2086668	2086863	ENSG00000067606	0
chr1	2087800	2088051	ENSG00000067606	0
chr1	2089942	2090221	ENSG00000067606	0
chr1	2099044	2099420	ENSG00000067606	0
chr1	2103313	2103485	ENSG00000308181	0
chr1	2109006	2109230	ENSG00000067606	0
chr1	2124314	2124564	ENSG00000067606	0
chr1	2126998	2127229	ENSG00000067606	0
chr1	2128045	2128483	ENSG00000067606	0
chr1	2132264	2132612	ENSG00000067606	0
chr1	2133848	2135067	ENSG00000067606	0
chr1	2158095	2158596	ENSG00000067606	0
chr1	2189201	2190608	ENSG00000162585	0
chr1	2213515	2214571	ENSG00000304143	0
chr1	2300790	2301414	ENSG00000295493	0
chr1	2302739	2302912	ENSG00000157933	0
chr1	2303279	2303506	ENSG00000157933	0
chr1	2322806	2323153	ENSG00000287356	0
chr1	2336129	2336495	ENSG00000116151	0
chr1	2347155	2347389	ENSG00000116151	0
chr1	2425928	2426582	ENSG00000149527	0
chr1	2437995	2438517	ENSG00000149527	0
chr1	2441787	2442339	ENSG00000149527	0
chr1	2444309	2444680	ENSG00000149527	0
chr1	2449834	2450419	ENSG00000149527	0
chr1	2452595	2452984	ENSG00000149527	0
chr1	2459210	2460142	ENSG00000149527	0
chr1	2493572	2493847	ENSG00000229393	0
chr1	2531509	2533198	ENSG00000272449	0
chr1	2545406	2545505	ENSG00000272449	0
chr1	2552424	2552572	ENSG00000307979	0
chr1	2555365	2556132	ENSG00000238164	0
chr1	2556827	2557281	ENSG00000238164	0
chr1	2585077	2585214	ENSG00000289610	375
chr1	2610402	2610697	ENSG00000142606	0
chr1	2790036	2790275	ENSG00000215912	0
chr1	2792958	2793811	ENSG00000215912	0
chr1	2806631	2807162	ENSG00000233234	4687
chr1	2821908	2822045	ENSG00000302855	113
chr1	2855719	2855968	ENSG00000295089	0
chr1	2874819	2875009	ENSG00000300015	0
chr1	2875811	2876506	ENSG00000300015	135
chr1	2882973	2883311	ENSG00000300015	7297
chr1	2947084	2947763	ENSG00000284745	12591
chr1	2949159	2950279	ENSG00000284745	10075
chr1	2967016	2967643	ENSG00000284745	0
chr1	2969776	2970316	ENSG00000284745	1068
chr1	2983011	2983612	ENSG00000284745	14303
chr1	2984786	2985502	ENSG00000284745	16078
chr1	3003561	3004171	ENSG00000169717	17295
chr1	3011832	3012022	ENSG00000169717	9444
chr1	3031124	3031708	ENSG00000169717	8220
chr1	3062444	3064262	ENSG00000177133	0
chr1	3067462	3067691	ENSG00000177133	0
chr1	3071063	3071612	ENSG00000142611	0
chr1	3072521	3073084	ENSG00000142611	0
chr1	3080266	3080645	ENSG00000142611	0
chr1	3101138	3101661	ENSG00000142611	0
chr1	3121547	3122225	ENSG00000142611	0
chr1	3125977	3126523	ENSG00000142611	0
chr1	3139387	3139588	ENSG00000142611	0
chr1	3161642	3161794	ENSG00000306427	0
chr1	3171379	3171568	ENSG00000142611	0
chr1	3173090	3173662	ENSG00000142611	0
chr1	3198732	3199044	ENSG00000142611	0
chr1	3215578	3216345	ENSG00000142611	0
chr1	3218001	3218263	ENSG00000142611	0
chr1	3218709	3219068	ENSG00000142611	0
chr1	3219563	3219902	ENSG00000142611	0
chr1	3238495	3238695	ENSG00000142611	0
chr1	3247548	3247920	ENSG00000142611	0
chr1	3304337	3304666	ENSG00000142611	0
chr1	3313216	3313350	ENSG00000287828	0
chr1	3348411	3348615	ENSG00000142611	0
chr1	3360659	3361422	ENSG00000142611	0
chr1	3366163	3366497	ENSG00000142611	0
chr1	3393326	3393611	ENSG00000142611	0
chr1	3402157	3402477	ENSG00000142611	0
chr1	3423402	3423647	ENSG00000142611	0
chr1	3431449	3431643	ENSG00000142611	0
chr1	3432502	3432721	ENSG00000142611	0
chr1	3435638	3435727	ENSG00000142611	0
chr1	3529232	3529792	ENSG00000162591	0
chr1	3539920	3540429	ENSG00000162591	0
chr1	3557347	3557555	ENSG00000162591	0
chr1	3576101	3577354	ENSG00000162591	0
chr1	3597780	3598240	ENSG00000162591	0
chr1	3599016	3599856	ENSG00000162591	0
chr1	3653293	3653403	ENSG00000078900	0
chr1	3668935	3669085	ENSG00000078900	0
chr1	3708988	3709192	ENSG00000078900	0
chr1	3712268	3715051	ENSG00000078900	0
chr1	3727365	3727933	ENSG00000078900	0
chr1	3731612	3731767	ENSG00000078900	0
chr1	3745766	3746406	ENSG00000293478	0
chr1	3771091	3771206	ENSG00000162592	0
chr1	3834652	3835069	ENSG00000116198	0
chr1	3858553	3858770	ENSG00000169598	0
chr1	3890597	3891026	ENSG00000198912	0
chr1	4027548	4027943	ENSG00000284668	0
chr1	4108879	4109310	ENSG00000308587	0
chr1	4301515	4302073	ENSG00000302287	15808
chr1	4599930	4600589	ENSG00000300565	3100
chr1	4710707	4711837	ENSG00000196581	0
chr1	4733952	4734027	ENSG00000196581	0
chr1	5289326	5291923	ENSG00000306645	561
chr1	5477782	5478128	ENSG00000284692	607
chr1	5832144	5832660	ENSG00000298180	1725
chr1	5857706	5857909	ENSG00000264101	4762
chr1	5866503	5866597	ENSG00000131697	0
chr1	6025739	6026433	ENSG00000069424	0
chr1	6065225	6065491	ENSG00000069424	0
chr1	6073749	6074582	ENSG00000069424	0
chr1	6127573	6128174	ENSG00000116254	0
chr1	6148242	6148584	ENSG00000116254	0
chr1	6150483	6151086	ENSG00000116254	0
chr1	6207117	6207673	ENSG00000158286	0
chr1	6241422	6241636	ENSG00000225077	1973
chr1	6243156	6243279	ENSG00000173673	899
chr1	6273621	6273880	ENSG00000097021	0
chr1	6276229	6276763	ENSG00000097021	0
chr1	6455984	6456241	ENSG00000187017	0
chr1	6484915	6485115	ENSG00000297749	0
chr1	6507417	6507877	ENSG00000171680	0
chr1	6587172	6587864	ENSG00000204859	0
chr1	6954437	6954955	ENSG00000171735	0
chr1	6962033	6962247	ENSG00000171735	0
chr1	6963565	6963651	ENSG00000171735	0
chr1	6975495	6976013	ENSG00000171735	0
chr1	7149606	7149698	ENSG00000171735	0
chr1	7199186	7199469	ENSG00000171735	0
chr1	7373966	7374483	ENSG00000171735	0
chr1	7441382	7441560	ENSG00000225126	0
chr1	7478199	7478663	ENSG00000171735	0
chr1	7568568	7569172	ENSG00000171735	0
chr1	7784850	7785156	ENSG00000049246	0
chr1	8004116	8004979	ENSG00000284747	0
chr1	8348551	8348694	ENSG00000142599	3702
chr1	8357734	8358025	ENSG00000142599	0
chr1	8424584	8424999	ENSG00000142599	0
chr1	9039287	9039970	ENSG00000142583	0
chr1	9110571	9111178	ENSG00000180758	0
chr1	9183688	9183888	ENSG00000234546	0
chr1	9198800	9199166	ENSG00000228526	0
chr1	9223206	9223416	ENSG00000049239	11357
chr1	9247880	9248846	ENSG00000049239	0
chr1	9294225	9295084	ENSG00000171621	0
chr1	9298083	9298864	ENSG00000171621	0
chr1	9322984	9323416	ENSG00000294252	0
chr1	9324187	9325557	ENSG00000294252	0
chr1	9340321	9340438	ENSG00000171621	0
chr1	9362826	9363451	ENSG00000171621	0
chr1	9376057	9376547	ENSG00000296056	899
chr1	9384242	9385198	ENSG00000296056	9084
chr1	9536299	9537435	ENSG00000171612	2029
chr1	9591897	9592188	ENSG00000188807	0
chr1	9606747	9607233	ENSG00000188807	0
chr1	9690109	9690442	ENSG00000171608	0
chr1	10532214	10532672	ENSG00000142655	0
chr1	10638211	10638412	ENSG00000130940	0
chr1	10639338	10639464	ENSG00000272078	0
chr1	10640301	10640445	ENSG00000272078	0
chr1	10649338	10649725	ENSG00000272078	0
chr1	10665973	10666167	ENSG00000130940	0
chr1	10704438	10704811	ENSG00000130940	0
chr1	10727738	10728053	ENSG00000130940	0
chr1	10728821	10728891	ENSG00000298629	0
chr1	10787454	10787849	ENSG00000130940	0
chr1	10808934	10809518	ENSG00000130940	12283
chr1	10941562	10941776	ENSG00000175262	4694
chr1	10946141	10946453	ENSG00000175262	17
chr1	11453972	11454559	ENSG00000299102	0
chr1	11458238	11459312	ENSG00000299102	3973
chr1	11477384	11478247	ENSG00000204624	907
chr1	11498807	11499006	ENSG00000204624	0
chr1	11647393	11648124	ENSG00000116661	0
chr1	11653930	11654120	ENSG00000116661	0
chr1	11784672	11785219	ENSG00000215910	0
chr1	11925308	11925690	ENSG00000116685	0
chr1	12540164	12540767	ENSG00000229484	0
chr1	12595082	12595275	ENSG00000162496	0
chr1	12618736	12619640	ENSG00000288927	0
chr1	13326335	13327587	ENSG00000228229	1816
chr1	13584554	13584774	ENSG00000162493	0
chr1	13893722	13894119	ENSG00000189337	0
chr1	14125452	14126407	ENSG00000189337	0
chr1	14548795	14549246	ENSG00000302124	0
chr1	14923634	14923713	ENSG00000189337	0
chr1	15384330	15385037	ENSG00000228140	0
chr1	15412990	15413433	ENSG00000142634	0
chr1	15755674	15756385	ENSG00000297277	0
chr1	15833243	15833455	ENSG00000179743	0
chr1	16017690	16017935	ENSG00000173641	0
chr1	16039854	16040146	ENSG00000307216	0
chr1	16064132	16064994	ENSG00000185519	0
chr1	16067296	16068393	ENSG00000185519	0
chr1	16107308	16107645	ENSG00000142627	16691
chr1	16207487	16207699	ENSG00000142632	0
chr1	16520585	16521357	ENSG00000224174	0
chr1	16677941	16678519	ENSG00000291072	0
chr1	16692189	16692614	ENSG00000290849	0
chr1	16696542	16697118	ENSG00000290849	0
chr1	16889594	16889910	ENSG00000238142	0
chr1	16961034	16961290	ENSG00000058453	0
chr1	17117475	17118636	ENSG00000117115	0
chr1	18558443	18558683	ENSG00000225478	36730
chr1	18575528	18576317	ENSG00000225478	19096
chr1	18761423	18762431	ENSG00000009709	12556
chr1	18784007	18785106	ENSG00000009709	35140
chr1	18882499	18882792	ENSG00000159423	0
chr1	19045321	19045767	ENSG00000307102	0
chr1	19273897	19274447	ENSG00000211454	0
chr1	19288241	19288575	ENSG00000162482	0
chr1	19439414	19439850	ENSG00000077549	0
chr1	19645400	19646045	ENSG00000270136	0
chr1	20480353	20482856	ENSG00000296909	0
chr1	20685303	20685573	ENSG00000117245	0
chr1	20705337	20705626	ENSG00000117245	0
chr1	21262306	21263021	ENSG00000236936	0
chr1	21361178	21361898	ENSG00000296859	13283
chr1	21437255	21437893	ENSG00000295832	0
chr1	21565739	21566057	ENSG00000162551	0
chr1	21618771	21620120	ENSG00000076864	0
chr1	21622893	21623941	ENSG00000076864	0
chr1	21639750	21639927	ENSG00000076864	0
chr1	21650138	21651304	ENSG00000076864	0
chr1	21653027	21653243	ENSG00000076864	0
chr1	21668095	21668460	ENSG00000076864	0
chr1	21869719	21870167	ENSG00000142798	0
chr1	21914718	21915410	ENSG00000142798	0
chr1	22011488	22012964	ENSG00000142789	0
chr1	22122321	22122556	ENSG00000305152	0
chr1	22208994	22209272	ENSG00000294752	0
chr1	22318367	22318828	ENSG00000302675	0
chr1	22593157	22593744	ENSG00000070886	0
chr1	22676785	22677483	ENSG00000308848	13530
chr1	22806700	22807086	ENSG00000133216	0
chr1	22855889	22856421	ENSG00000133216	0
chr1	22916696	22916897	ENSG00000133216	0
chr1	22952946	22953283	ENSG00000215906	0
chr1	22954052	22954277	ENSG00000215906	0
chr1	23558209	23558543	ENSG00000307540	0
chr1	23568969	23569420	ENSG00000285802	0
chr1	23868779	23869097	ENSG00000179163	488
chr1	24108987	24109171	ENSG00000142661	0
chr1	24904643	24904969	ENSG00000020633	0
chr1	24913924	24914668	ENSG00000020633	0
chr1	24933076	24933563	ENSG00000020633	0
chr1	24962673	24962994	ENSG00000229162	0
chr1	24969903	24970594	ENSG00000261025	0
chr1	25198010	25198289	ENSG00000231953	9757
chr1	25239379	25239431	ENSG00000284657	0
chr1	25245911	25246073	ENSG00000284657	0
chr1	25268316	25269323	ENSG00000117616	0
chr1	25281325	25283879	ENSG00000187010	0
chr1	25306513	25308831	ENSG00000187010	0
chr1	25319959	25321648	ENSG00000187010	0
chr1	25330724	25331036	ENSG00000117616	0
