shared_feature_id	seqnames_caudate	start_caudate	end_caudate	feature_id_caudate	caudate	seqnames_hippocampus	start_hippocampus	end_hippocampus	hippocampus	feature_id_hippocampus	seqnames_dlpfc	start_dlpfc	end_dlpfc	dlpfc	feature_id_dlpfc
VMR_S1	chrX	101931120	101932284	VMR10	1	chrX	101931553	101932167	1	VMR2	chrX	101931553	101932174	1	VMR1
VMR_S2	chrX	11758958	11759675	VMR39	1	chrX	11757707	11759161	1	VMR7	chrX	11757733	11759161	1	VMR6
VMR_S3	chrX	118727129	118728322	VMR44	1	chrX	118727888	118728213	1	VMR8	chrX	118727417	118728079	1	VMR7
VMR_S4	chrX	118974435	118976116	VMR45	1	chrX	118974275	118976419	1	VMR9	chrX	118974402	118976419	1	VMR8
VMR_S5	chrX	119870485	119872874	VMR52	1	chrX	119871450	119872415	1	VMR14	chrX	119871584	119872407	1	VMR12
VMR_S6	chrX	120251622	120252217	VMR58	1	chrX	120251491	120251870	1	VMR15	chrX	120251491	120251870	1	VMR13
VMR_S7	chrX	129844199	129844659	VMR76	1	chrX	129843350	129844528	1	VMR21	chrX	129843522	129844528	1	VMR18
VMR_S8	chrX	131728265	131730001	VMR88	1	chrX	131728634	131729583	1	VMR28	chrX	131728634	131729583	1	VMR26
VMR_S9	chrX	131741141	131742200	VMR89	1	chrX	131741442	131741958	1	VMR29	chrX	131741442	131741958	1	VMR27
VMR_S10	chrX	131746197	131747780	VMR90	1	chrX	131746804	131747307	1	VMR30	chrX	131746724	131747307	1	VMR28
VMR_S11	chrX	131752479	131754022	VMR91	1	chrX	131752643	131753058	1	VMR31	chrX	131752577	131753014	1	VMR29
VMR_S12	chrX	131791848	131793428	VMR96	1	chrX	131792294	131793061	1	VMR33	chrX	131792294	131792853	1	VMR31
VMR_S13	chrX	132488721	132490459	VMR103	1	chrX	132489312	132489963	1	VMR34	chrX	132489437	132489963	1	VMR32
VMR_S14	chrX	134796758	134797220	VMR112	1	chrX	134796801	134796951	1	VMR37	chrX	134796801	134796918	1	VMR35
VMR_S15	chrX	135051211	135052610	VMR115	1	chrX	135051890	135052433	1	VMR38	chrX	135051890	135052433	1	VMR37
VMR_S16	chrX	135099153	135099586	VMR116	1	chrX	135097922	135099331	1	VMR39	chrX	135097922	135099331	1	VMR38
VMR_S17	chrX	136496329	136496725	VMR124	1	chrX	136496496	136497889	1	VMR44	chrX	136496496	136497889	1	VMR43
VMR_S18	chrX	136497789	136498037	VMR125	1	chrX	136496496	136497889	1	VMR44	chrX	136496496	136497889	1	VMR43
VMR_S19	chrX	136879804	136881142	VMR126	1	chrX	136880165	136880636	1	VMR45	chrX	136880232	136880717	1	VMR45
VMR_S20	chrX	147911364	147911627	VMR141	1	chrX	147911473	147912357	1	VMR46	chrX	147911507	147912357	1	VMR46
VMR_S21	chrX	148501109	148501878	VMR144	1	chrX	148500482	148501332	1	VMR47	chrX	148500482	148501439	1	VMR47
VMR_S22	chrX	149540961	149541691	VMR148	1	chrX	149539702	149541623	1	VMR48	chrX	149539702	149541575	1	VMR48
VMR_S23	chrX	149937700	149938442	VMR150	1	chrX	149937868	149938749	1	VMR50	chrX	149937800	149938749	1	VMR50
VMR_S24	chrX	151396335	151397949	VMR160	1	chrX	151396436	151397728	1	VMR56	chrX	151396436	151397392	1	VMR57
VMR_S25	chrX	153333603	153333888	VMR164	1	chrX	153333730	153333944	1	VMR59	chrX	153333809	153333995	1	VMR60
VMR_S26	chrX	153968435	153968814	VMR169	1	chrX	153968507	153969293	1	VMR62	chrX	153968507	153969268	1	VMR62
VMR_S27	chrX	154490989	154491305	VMR179	1	chrX	154491096	154491237	1	VMR76	chrX	154491096	154491237	1	VMR74
VMR_S28	chrX	154762145	154763944	VMR183	1	chrX	154762474	154763088	1	VMR77	chrX	154762474	154763059	1	VMR75
VMR_S29	chrX	17737636	17738600	VMR195	1	chrX	17737043	17738114	1	VMR79	chrX	17737028	17738049	1	VMR78
VMR_S30	chrX	23783347	23783972	VMR210	1	chrX	23783422	23783972	1	VMR81	chrX	23783406	23783860	1	VMR81
VMR_S31	chrX	24024024	24024740	VMR212	1	chrX	24024419	24025033	1	VMR82	chrX	24024419	24025033	1	VMR83
