cohort	tissue	population	vmr_set	modality	vmr_id	seqnames	start	end	h2_category	h2_unscaled	n_pairs_tested	n_features_tested	n_sig_fdr_05	n_sig_fdr_10	min_p	min_fdr	max_abs_beta	strongest_beta
all_individuals	caudate	EA	shared	psi	chr10_100932348_100932948	chr10	100932348	100932948	Heritable	0.148692748175593	83	83	0	0	0.0104585315983277	0.692654827631749	1.72491146443667	1.72491146443667
all_individuals	caudate	EA	shared	psi	chr10_101005650_101007117	chr10	101005650	101007117	Heritable	0.118074597867519	84	84	0	0	0.000537934057525852	0.237611888054785	1.6347989867918	1.6347989867918
all_individuals	caudate	EA	shared	psi	chr10_101008423_101008841	chr10	101008423	101008841	Non-heritable	0.0627217432973751	84	84	0	0	0.0429006518487355	0.836160269083529	0.923620608899104	-0.923620608899104
all_individuals	caudate	EA	shared	psi	chr10_101310581_101310723	chr10	101310581	101310723	Non-heritable	0.0868393773813882	126	126	0	0	0.00741223736922779	0.646646865327892	4.76039409263433	4.76039409263433
all_individuals	caudate	EA	shared	psi	chr10_101774199_101774853	chr10	101774199	101774853	Non-heritable	0.0746677868478061	79	79	0	0	0.00893720057781382	0.671752308115185	2.94676299169583	2.94676299169583
all_individuals	caudate	EA	shared	psi	chr10_101843180_101843272	chr10	101843180	101843272	Non-heritable	0.0792612156656039	57	57	0	0	0.0288929470894677	0.799899975483013	2.69681770004872	2.69681770004872
all_individuals	caudate	EA	shared	psi	chr10_1022727_1023051	chr10	1022727	1023051	Heritable	0.194594333674043	102	102	0	0	0.0259597557843291	0.790711919851959	3.24293323235618	-3.24293323235618
all_individuals	caudate	EA	shared	psi	chr10_102433082_102433344	chr10	102433082	102433344	Heritable	0.235261708714421	252	252	0	0	0.0176113985577634	0.75042483232727	2.1407999807697	2.1407999807697
all_individuals	caudate	EA	shared	psi	chr10_103451170_103451467	chr10	103451170	103451467	Non-heritable	0.0846349319945757	57	57	0	0	0.0261074824373378	0.791292617181114	3.88244212219737	3.88244212219737
all_individuals	caudate	EA	shared	psi	chr10_103473349_103473610	chr10	103473349	103473610	Heritable	0.156203491947567	57	57	0	0	0.00615254924732464	0.618941291046065	1.73909044583926	1.73909044583926
all_individuals	caudate	EA	shared	psi	chr10_103605602_103605854	chr10	103605602	103605854	Non-heritable	0.0533100636686165	31	31	0	0	0.0215818342004558	0.768750691036618	1.78330785090453	1.78330785090453
all_individuals	caudate	EA	shared	psi	chr10_103663367_103664184	chr10	103663367	103664184	Non-heritable	0.0483050564888644	51	51	0	0	0.0117325697794989	0.70336554637328	3.25249384809457	-3.25249384809457
all_individuals	caudate	EA	shared	psi	chr10_103668550_103669231	chr10	103668550	103669231	Non-heritable	0.0596824125669038	67	67	0	0	0.0207570954476165	0.766136297743035	1.21491028133986	-1.21491028133986
all_individuals	caudate	EA	shared	psi	chr10_103691849_103692151	chr10	103691849	103692151	Non-heritable	0.036435179769398	71	71	0	0	0.0287903832251461	0.799742143235418	3.05820748560478	3.05820748560478
all_individuals	caudate	EA	shared	psi	chr10_103715260_103715871	chr10	103715260	103715871	Non-heritable	0.0610174863943652	68	68	0	0	0.0200570227681202	0.762522300242619	2.13303686014679	-2.13303686014679
all_individuals	caudate	EA	shared	psi	chr10_103727172_103727988	chr10	103727172	103727988	Non-heritable	0.0707752341783527	73	73	0	0	0.0189064952789534	0.757756179503077	1.65155610954836	1.65155610954836
all_individuals	caudate	EA	shared	psi	chr10_103852988_103853607	chr10	103852988	103853607	Non-heritable	0.0835280323040786	74	74	0	0	0.0301290360808256	0.803277072968038	2.4337541904662	-2.4337541904662
all_individuals	caudate	EA	shared	psi	chr10_103856443_103856872	chr10	103856443	103856872	Non-heritable	0.0906291821984284	74	74	0	0	0.0377674372984352	0.826023653004813	0.965150456260266	-0.965150456260266
all_individuals	caudate	EA	shared	psi	chr10_104275175_104276126	chr10	104275175	104276126	Heritable	0.429753604372229	24	24	1	1	2.74242456331417e-06	0.00550087838977427	1.04180081087398	-1.04180081087398
all_individuals	caudate	EA	shared	psi	chr10_104330393_104332006	chr10	104330393	104332006	Heritable	0.284221022053374	22	22	1	1	4.13007616956113e-06	0.00764909442165313	1.08987483420097	1.08987483420097
all_individuals	caudate	EA	shared	psi	chr10_106134669_106136873	chr10	106134669	106136873	Heritable	0.547752045142935	4	4	0	0	0.453260147539663	0.974856723481672	0.54124892172626	0.54124892172626
all_individuals	caudate	EA	shared	psi	chr10_106735808_106737102	chr10	106735808	106737102	Heritable	0.685237351526987	3	3	0	0	0.27978794933741	0.956065163971767	0.0973223991778656	0.0973223991778656
all_individuals	caudate	EA	shared	psi	chr10_108315854_108316505	chr10	108315854	108316505	Heritable	0.20762468678294	6	6	0	0	0.0767256088249998	0.880296057189697	4.58915212961894	4.58915212961894
all_individuals	caudate	EA	shared	psi	chr10_108353597_108355731	chr10	108353597	108355731	Heritable	0.692990920297787	4	4	0	0	0.15457499054248	0.926796308932837	1.13960701920359	1.13960701920359
all_individuals	caudate	EA	shared	psi	chr10_10911488_10911759	chr10	10911488	10911759	Heritable	0.186894875913765	91	91	0	0	0.0134175653542146	0.720181480966638	2.36190173316529	-2.36190173316529
all_individuals	caudate	EA	shared	psi	chr10_109630150_109632878	chr10	109630150	109632878	Heritable	0.808282913979072	7	7	0	0	0.0361234888636053	0.821495088381345	0.246126839808761	0.246126839808761
all_individuals	caudate	EA	shared	psi	chr10_110499226_110499492	chr10	110499226	110499492	Non-heritable	0.0943644265479481	48	48	0	0	0.00690464684274823	0.63604559052842	3.78581674169214	-3.78581674169214
all_individuals	caudate	EA	shared	psi	chr10_113183664_113183866	chr10	113183664	113183866	Non-heritable	0.0846945607664584	67	67	0	0	0.00792637955358821	0.655445977745975	3.58046975492285	3.58046975492285
all_individuals	caudate	EA	shared	psi	chr10_11339124_11340216	chr10	11339124	11340216	Heritable	0.369884695152155	49	49	0	0	0.0199502957449043	0.761984478918761	2.61160431087004	-2.61160431087004
all_individuals	caudate	EA	shared	psi	chr10_113680721_113680904	chr10	113680721	113680904	Heritable	0.126779138716103	63	63	0	0	0.0382036266154249	0.82643097217653	3.21016738382016	-3.21016738382016
all_individuals	caudate	EA	shared	psi	chr10_114046229_114046765	chr10	114046229	114046765	Non-heritable	0.0910123228266442	17	17	0	0	0.0701106307343963	0.87303190681414	0.907808317326374	-0.907808317326374
all_individuals	caudate	EA	shared	psi	chr10_114101563_114101884	chr10	114101563	114101884	Heritable	0.565856394257862	25	25	0	0	0.00342795205524974	0.521813234874189	1.2095370130425	1.2095370130425
all_individuals	caudate	EA	shared	psi	chr10_114240017_114240188	chr10	114240017	114240188	Non-heritable	0.0791108839930372	33	33	0	0	0.0241076945948443	0.783748338671324	7.53342323589196	-7.53342323589196
all_individuals	caudate	EA	shared	psi	chr10_114875055_114875168	chr10	114875055	114875168	Heritable	0.130392237703926	71	71	0	0	0.00143303851689972	0.38028484498495	2.75587493230326	-2.75587493230326
all_individuals	caudate	EA	shared	psi	chr10_116697825_116698713	chr10	116697825	116698713	Heritable	0.38869069744047	60	60	0	0	0.00416687276111924	0.555558855399746	1.23115946725462	-1.23115946725462
all_individuals	caudate	EA	shared	psi	chr10_116848555_116848761	chr10	116848555	116848761	Heritable	0.135960994187706	62	62	0	0	0.0481031665121383	0.844847334226596	0.824514385022399	-0.824514385022399
all_individuals	caudate	EA	shared	psi	chr10_117132022_117132120	chr10	117132022	117132120	Heritable	0.216119969345811	16	16	0	0	0.0426955822379503	0.835623222221811	1.04019299819779	-1.04019299819779
all_individuals	caudate	EA	shared	psi	chr10_117136453_117136641	chr10	117136453	117136641	Non-heritable	0.0634323632489655	16	16	0	0	0.100797852653519	0.899963306385676	0.755169483570725	0.755169483570725
all_individuals	caudate	EA	shared	psi	chr10_117159386_117160386	chr10	117159386	117160386	Non-heritable	0.0679239482955091	13	13	0	0	0.0630913864161696	0.865349081256683	1.99070637946789	-1.99070637946789
all_individuals	caudate	EA	shared	psi	chr10_117163637_117164190	chr10	117163637	117164190	Heritable	0.13299794678146	11	11	0	0	0.0250062318097657	0.788031741619701	0.895938041126233	-0.895938041126233
all_individuals	caudate	EA	shared	psi	chr10_117164936_117165267	chr10	117164936	117165267	Non-heritable	0.0797036148340699	11	11	0	0	0.0687410795344214	0.87235363916574	1.47291049138501	-1.47291049138501
all_individuals	caudate	EA	shared	psi	chr10_117166527_117167953	chr10	117166527	117167953	Non-heritable	0.086963911949022	11	11	0	0	0.118047993650048	0.911757883291699	0.571784911081842	-0.571784911081842
all_individuals	caudate	EA	shared	psi	chr10_117168907_117169292	chr10	117168907	117169292	Non-heritable	0.0728048016886325	11	11	0	0	0.0945419229518788	0.894754544520702	0.958333236612651	0.958333236612651
all_individuals	caudate	EA	shared	psi	chr10_11742894_11742987	chr10	11742894	11742987	Non-heritable	0.0882700207541929	36	36	0	0	0.0242903030762152	0.785063945408687	2.88572253228107	-2.88572253228107
all_individuals	caudate	EA	shared	psi	chr10_117532701_117534225	chr10	117532701	117534225	Non-heritable	0.073314565999353	45	45	0	0	0.00282040549124113	0.490716892559704	4.7208515989562	-4.7208515989562
all_individuals	caudate	EA	shared	psi	chr10_117553729_117554042	chr10	117553729	117554042	Heritable	0.118129833671155	44	44	0	0	0.0684958094843525	0.872079305894895	1.46896174982077	1.46896174982077
all_individuals	caudate	EA	shared	psi	chr10_1180996_1181089	chr10	1180996	1181089	Non-heritable	0.0826337863238829	92	92	0	0	0.00212973504916015	0.44605952043076	4.40443441482992	4.40443441482992
all_individuals	caudate	EA	shared	psi	chr10_11870160_11870509	chr10	11870160	11870509	Heritable	0.113757356183874	38	38	0	0	0.0278123704274751	0.797029043199389	2.39131678078013	2.39131678078013
all_individuals	caudate	EA	shared	psi	chr10_1187063_1187973	chr10	1187063	1187973	Non-heritable	0.0775364110516566	84	84	0	0	0.019641625263555	0.760750629050735	2.06460381300968	-2.06460381300968
all_individuals	caudate	EA	shared	psi	chr10_118818717_118819066	chr10	118818717	118819066	Non-heritable	0.0467721805408672	6	6	0	0	0.0734240789452499	0.877067273828454	0.709588901515777	0.709588901515777
all_individuals	caudate	EA	shared	psi	chr10_118895911_118896578	chr10	118895911	118896578	Heritable	0.602320418784865	14	14	0	0	0.069710359473242	0.872764869525371	0.187084797782526	0.187084797782526
all_individuals	caudate	EA	shared	psi	chr10_119121090_119121787	chr10	119121090	119121787	Heritable	0.721315501018362	16	16	0	0	0.000430215793316104	0.2089785894298	0.413774712118319	-0.413774712118319
all_individuals	caudate	EA	shared	psi	chr10_119505686_119506239	chr10	119505686	119506239	Non-heritable	0.0630929241606502	53	53	0	0	0.00655933681100866	0.629513652666656	1.2873002100092	-1.2873002100092
all_individuals	caudate	EA	shared	psi	chr10_119818346_119818890	chr10	119818346	119818890	Non-heritable	0.0721739903347162	73	73	0	0	0.00328473703656063	0.514378618710055	1.09973137232314	1.09973137232314
