task_id	chrom	start	end	iteration	h2_incremental	region
10	1	976365	976653	1	0.309042937869554	Hippocampus
10	1	976365	976653	2	0.00024944461769906	Hippocampus
10	1	976365	976653	3	0	Hippocampus
10	1	976365	976653	4	0	Hippocampus
10	1	976365	976653	5	5.88899119756624e-07	Hippocampus
10	1	976365	976653	6	0	Hippocampus
10	1	976365	976653	7	5.04394967677274e-05	Hippocampus
10	1	976365	976653	8	0	Hippocampus
10	1	976365	976653	9	4.02174180333717e-07	Hippocampus
10	1	976365	976653	10	0.0008008326470012	Hippocampus
10	1	976365	976653	11	0	Hippocampus
10	1	976365	976653	12	2.93228361140151e-06	Hippocampus
10	1	976365	976653	13	1.37661821991397e-05	Hippocampus
10	1	976365	976653	14	0	Hippocampus
10	1	976365	976653	15	0	Hippocampus
100	1	16889666	16890019	1	0.296453820167818	Hippocampus
100	1	16889666	16890019	2	0.00486522919294622	Hippocampus
100	1	16889666	16890019	3	2.96774809601641e-05	Hippocampus
100	1	16889666	16890019	4	0	Hippocampus
100	1	16889666	16890019	5	0.00306455713137745	Hippocampus
100	1	16889666	16890019	6	5.73496513621782e-07	Hippocampus
100	1	16889666	16890019	7	2.90652125287522e-07	Hippocampus
100	1	16889666	16890019	8	1.14832103805683e-06	Hippocampus
100	1	16889666	16890019	9	0	Hippocampus
100	1	16889666	16890019	10	0.00092180854072923	Hippocampus
100	1	16889666	16890019	11	0	Hippocampus
100	1	16889666	16890019	12	0	Hippocampus
100	1	16889666	16890019	13	0	Hippocampus
100	1	16889666	16890019	14	0	Hippocampus
100	1	16889666	16890019	15	0	Hippocampus
1000	10	42177911	42179224	1	0.101701543125442	Hippocampus
1000	10	42177911	42179224	2	0.00830281849428445	Hippocampus
1000	10	42177911	42179224	3	0.00617870778983548	Hippocampus
1000	10	42177911	42179224	4	0	Hippocampus
1000	10	42177911	42179224	5	5.96034731244806e-07	Hippocampus
1000	10	42177911	42179224	6	0	Hippocampus
1000	10	42177911	42179224	7	0	Hippocampus
1000	10	42177911	42179224	8	0	Hippocampus
1000	10	42177911	42179224	9	0	Hippocampus
1000	10	42177911	42179224	10	0	Hippocampus
1000	10	42177911	42179224	11	0	Hippocampus
1001	10	42242225	42242857	1	0.222777434237428	Hippocampus
1001	10	42242225	42242857	2	0.00609078882750385	Hippocampus
1001	10	42242225	42242857	3	0.00054350745913418	Hippocampus
1001	10	42242225	42242857	4	0.00030544710139369	Hippocampus
1001	10	42242225	42242857	5	0	Hippocampus
1001	10	42242225	42242857	6	8.40644368953018e-06	Hippocampus
1001	10	42242225	42242857	7	0.00011133007729495	Hippocampus
1001	10	42242225	42242857	8	0	Hippocampus
1001	10	42242225	42242857	9	4.00478267873713e-06	Hippocampus
1001	10	42242225	42242857	10	0	Hippocampus
1001	10	42242225	42242857	11	1.80771960641188e-06	Hippocampus
1002	10	42363556	42364040	1	0.129498239465381	Hippocampus
1002	10	42363556	42364040	2	0.0006069664813854	Hippocampus
1002	10	42363556	42364040	3	0.00178194970014372	Hippocampus
1002	10	42363556	42364040	4	0.00669957007149627	Hippocampus
1002	10	42363556	42364040	5	1.75315880304154e-06	Hippocampus
1002	10	42363556	42364040	6	0	Hippocampus
1002	10	42363556	42364040	7	2.71051652686134e-05	Hippocampus
1002	10	42363556	42364040	8	2.27616702024577e-07	Hippocampus
1002	10	42363556	42364040	9	0	Hippocampus
1002	10	42363556	42364040	10	0.00022302553173246	Hippocampus
1002	10	42363556	42364040	11	0	Hippocampus
1003	10	42367015	42369954	1	0.160594313131083	Hippocampus
