exposure	stratum	cohort	region	run_id	predictor	n_vmrs_in_family	n_vmrs_modelled	n_significant	n_dropped_incomplete	status	n_vmrs_in_axis	n_donors_refit	primary_outcome	primary_outcome_meaning	primary_scale	primary_scale_reason	mean_omega	mean_omega_se	mean_omega_z	frac_omega_positive	primary_beta	primary_se	primary_se_bootstrap	primary_se_jackknife	primary_ci_lower	primary_ci_upper	primary_p	primary_p_ols_vmrs_independent	n_bootstrap	n_bootstrap_used	n_bootstrap_failed	primary_model	inference	absolute_beta	absolute_se	absolute_se_bootstrap	absolute_se_jackknife	absolute_ci_lower	absolute_ci_upper	absolute_p	absolute_role	fieller_ci_lower	fieller_ci_upper	fieller_bounded	fieller_unbounded_reason	fieller_role	bootstrap_mean_omega_inflation	arm_no_methylation_variance	arm_covariates	arm_beta	arm_se	arm_p	arm_ci_lower	arm_ci_upper	arm_fieller_bounded	arm_attenuation	arm_role	neglog10p_beta	neglog10p_se	neglog10p_p	neglog10p_p_ols_vmrs_independent	mechanically_biased_toward_hypothesis	wilcoxon_p	wilcoxon_median_score_significant	wilcoxon_median_score_other	logistic_log_or	logistic_se	logistic_p	grouped_tests_skipped_reason	primary_fdr	neglog10p_fdr	arm_fdr	wilcoxon_fdr	logistic_fdr	exploratory_supplement_only	causal_interpretation_allowed	absolute_pve_interpretation_allowed	cross_region_comparison_allowed	collider_flagged	burden_indicator	tier	sealed_at	run_git_commit	config_environmental_sha256	vmr_set_id	citable	built_with_unaccepted_runs	cross_region_contrast_emitted	regions_are_independent_replicates
nicotine	all	AA	caudate	env-AA-caudate-20260920-a	local_snp_contribution_score_z	11251	11204	0	47	ok	11204	152	debiased_partial_ss	proportional change in the debiased exposure-explained sum of squares per donor, per SD of score, as a fraction of this family's mean; multiply by 100 for a percentage. Families whose mean is at or below zero report the absolute gradient instead, and say so in primary_scale_reason	relative_to_mean	family mean omega positive: primary is the proportional gradient	1.21912213163886e-05	1.56715951433184e-05	0.777918342383055	0.381738664762585	-0.46219123339516	0.147269652538144	0.0883787422148659	0.117803007106033	-0.750834448385651	-0.173548018404669	0.00169872273618533	2.46399593581883e-07	2000	2000	0	omega ~ local_snp_contribution_score_z + vmr_length + cpg_count + cpg_density + gc_content + mappability + mean_methylation + methylation_variance	donor_bootstrap_var_plus_chromosome_jackknife_var	-5.634675616815e-06	6.86631496220303e-06	6.737787503319e-06	1.32230885964339e-06	-1.90924056492414e-05	7.82305441561142e-06	0.411859413358788	sensitivity_not_gating			FALSE	family_mean_not_separated_from_zero_at_this_level	informational_not_gating	5.04872134364353	TRUE	vmr_length,cpg_count,cpg_density,gc_content,mappability,mean_methylation	-0.440213530516914	0.152827641099791	0.00397098440173085	-0.739750202914717	-0.140676858119111	FALSE	0.0475511028558514	non_gating_sensitivity	-0.0356919208993319	0.0343467092447517	0.298727696607147	2.13185604232029e-09	TRUE							fewer_than_10_vmrs_in_a_group	0.00849361368092666	0.484334929436451	0.0198549220086542			TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	descriptive_only	2026-09-20T09:36:55-0500	abb0c6789e5cb66ad33042fe8f1735de3c358b02	6f7ab73f363b630f00ec0484f8eef4a277011964763cdf89fd98172e16872024	vmrset-AA-caudate-937a41979978	FALSE	TRUE	FALSE	FALSE
smoking	all	AA	caudate	env-AA-caudate-20260920-a	local_snp_contribution_score_z	11251	11204	0	47	ok	11204	149	debiased_partial_ss	proportional change in the debiased exposure-explained sum of squares per donor, per SD of score, as a fraction of this family's mean; multiply by 100 for a percentage. Families whose mean is at or below zero report the absolute gradient instead, and say so in primary_scale_reason	relative_to_mean	family mean omega positive: primary is the proportional gradient	1.03616363538611e-05	1.48911086527334e-05	0.695827059992552	0.364601927882899	-0.473659605347649	0.217668217893147	0.0825020652955272	0.201427064474343	-0.900281472997233	-0.0470377376980648	0.0295506015746603	4.52689385866019e-06	2000	2000	0	omega ~ local_snp_contribution_score_z + vmr_length + cpg_count + cpg_density + gc_content + mappability + mean_methylation + methylation_variance	donor_bootstrap_var_plus_chromosome_jackknife_var	-4.9078885861257e-06	6.25366090142626e-06	5.97891157130221e-06	1.8332733272963e-06	-1.71648387244475e-05	7.34906155219606e-06	0.432569385693936	sensitivity_not_gating			FALSE	family_mean_not_separated_from_zero_at_this_level	informational_not_gating	5.75979469398064	TRUE	vmr_length,cpg_count,cpg_density,gc_content,mappability,mean_methylation	-0.393921899578563	0.250531343020062	0.115870381708458	-0.884954308896335	0.0971105097392089	FALSE	0.168343901124018	non_gating_sensitivity	-0.032696039305555	0.0305212851702829	0.284055377241081	2.51684892473325e-08	TRUE							fewer_than_10_vmrs_in_a_group	0.0738765039366508	0.484334929436451	0.289675954271144			TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	descriptive_only	2026-09-20T09:36:55-0500	abb0c6789e5cb66ad33042fe8f1735de3c358b02	6f7ab73f363b630f00ec0484f8eef4a277011964763cdf89fd98172e16872024	vmrset-AA-caudate-937a41979978	FALSE	TRUE	FALSE	FALSE
any_substance_nontobacco	all	AA	caudate	env-AA-caudate-20260920-a	local_snp_contribution_score_z	11251	11204	0	47	ok	11204	152	debiased_partial_ss	proportional change in the debiased exposure-explained sum of squares per donor, per SD of score, as a fraction of this family's mean; multiply by 100 for a percentage. Families whose mean is at or below zero report the absolute gradient instead, and say so in primary_scale_reason	raw	family mean omega at or below zero: no detectable exposure contribution, so the ratio has no meaning and the absolute gradient is primary	-3.65806929172338e-06	1.34281585771109e-05	-0.272417790623859	0.300696179935737	2.16006326827821e-06	3.46645546094593e-06	3.25688730164347e-06	1.18701245449042e-06	-4.634064589188e-06	8.95419112574441e-06	0.533197035117441	0.0121643900568653	2000	2000	0	omega ~ local_snp_contribution_score_z + vmr_length + cpg_count + cpg_density + gc_content + mappability + mean_methylation + methylation_variance	donor_bootstrap_var_plus_chromosome_jackknife_var	2.16006326827821e-06	3.46645546094593e-06	3.25688730164347e-06	1.18701245449042e-06	-4.634064589188e-06	8.95419112574441e-06	0.533197035117441	sensitivity_not_gating			FALSE	family_mean_at_or_below_zero	informational_not_gating		TRUE	vmr_length,cpg_count,cpg_density,gc_content,mappability,mean_methylation	1.9242307966706e-06	3.4588747058876e-06	0.577994168303141	-4.85503905390566e-06	8.70350064724686e-06	FALSE	0.10917850188508	non_gating_sensitivity	0.0160062792152185	0.0157235916845249	0.30868814532605	0.00115563618870237	TRUE							fewer_than_10_vmrs_in_a_group	0.541954177796366	0.484334929436451	0.620988323975826			TRUE	FALSE	FALSE	FALSE	FALSE	TRUE	descriptive_only	2026-09-20T09:36:55-0500	abb0c6789e5cb66ad33042fe8f1735de3c358b02	6f7ab73f363b630f00ec0484f8eef4a277011964763cdf89fd98172e16872024	vmrset-AA-caudate-937a41979978	FALSE	TRUE	FALSE	FALSE
education	all	AA	caudate	env-AA-caudate-20260920-a	local_snp_contribution_score_z	11251	11204	0	47	ok	11204	137	debiased_partial_ss	proportional change in the debiased exposure-explained sum of squares per donor, per SD of score, as a fraction of this family's mean; multiply by 100 for a percentage. Families whose mean is at or below zero report the absolute gradient instead, and say so in primary_scale_reason	raw	family mean omega at or below zero: no detectable exposure contribution, so the ratio has no meaning and the absolute gradient is primary	-5.7784909860702e-06	1.67780093372311e-05	-0.344408616655582	0.351392359871475	3.18180984081683e-06	5.21727428707492e-06	4.98502131754494e-06	1.53932239969268e-06	-7.04385985931689e-06	1.34074795409506e-05	0.541954177796366	0.0206565956160403	2000	2000	0	omega ~ local_snp_contribution_score_z + vmr_length + cpg_count + cpg_density + gc_content + mappability + mean_methylation + methylation_variance	donor_bootstrap_var_plus_chromosome_jackknife_var	3.18180984081683e-06	5.21727428707492e-06	4.98502131754494e-06	1.53932239969268e-06	-7.04385985931689e-06	1.34074795409506e-05	0.541954177796366	sensitivity_not_gating			FALSE	family_mean_at_or_below_zero	informational_not_gating		TRUE	vmr_length,cpg_count,cpg_density,gc_content,mappability,mean_methylation	2.49022227970504e-06	5.03634678523489e-06	0.620988323975826	-7.38083603300942e-06	1.23612805924195e-05	FALSE	0.217356660426396	non_gating_sensitivity	0.00829984743807438	0.0182150957742769	0.64863619192902	0.0976150700377488	TRUE							fewer_than_10_vmrs_in_a_group	0.541954177796366	0.64863619192902	0.620988323975826			TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	descriptive_only	2026-09-20T09:36:55-0500	abb0c6789e5cb66ad33042fe8f1735de3c358b02	6f7ab73f363b630f00ec0484f8eef4a277011964763cdf89fd98172e16872024	vmrset-AA-caudate-937a41979978	FALSE	TRUE	FALSE	FALSE
marital_status	all	AA	caudate	env-AA-caudate-20260920-a	local_snp_contribution_score_z	11251	11204	0	47	ok	11204	137	debiased_partial_ss	proportional change in the debiased exposure-explained sum of squares per donor, per SD of score, as a fraction of this family's mean; multiply by 100 for a percentage. Families whose mean is at or below zero report the absolute gradient instead, and say so in primary_scale_reason	raw	family mean omega at or below zero: no detectable exposure contribution, so the ratio has no meaning and the absolute gradient is primary	-8.11341004615206e-06	1.9571440649028e-05	-0.414553542156081	0.341485183862906	5.84808023159147e-06	6.19278374260589e-06	5.99158927661649e-06	1.5657038107567e-06	-6.28955286796123e-06	1.79857133311442e-05	0.344997017818804	3.62171859446231e-05	2000	2000	0	omega ~ local_snp_contribution_score_z + vmr_length + cpg_count + cpg_density + gc_content + mappability + mean_methylation + methylation_variance	donor_bootstrap_var_plus_chromosome_jackknife_var	5.84808023159147e-06	6.19278374260589e-06	5.99158927661649e-06	1.5657038107567e-06	-6.28955286796123e-06	1.79857133311442e-05	0.344997017818804	sensitivity_not_gating			FALSE	family_mean_at_or_below_zero	informational_not_gating		TRUE	vmr_length,cpg_count,cpg_density,gc_content,mappability,mean_methylation	6.01666293830555e-06	6.32513088636686e-06	0.34148693560133	-6.38036579647539e-06	1.84136916730865e-05	FALSE	-0.0288270167367728	non_gating_sensitivity	0.0173807946974048	0.0201115775042765	0.387467943549161	0.000364968958668623	TRUE							fewer_than_10_vmrs_in_a_group	0.541954177796366	0.484334929436451	0.569144892668883			TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	descriptive_only	2026-09-20T09:36:55-0500	abb0c6789e5cb66ad33042fe8f1735de3c358b02	6f7ab73f363b630f00ec0484f8eef4a277011964763cdf89fd98172e16872024	vmrset-AA-caudate-937a41979978	FALSE	TRUE	FALSE	FALSE
smoking	schizophrenia	AA	caudate	env-AA-caudate-20260920-a	local_snp_contribution_score_z	11251	11204	0	47	ok	11204	65	debiased_partial_ss	proportional change in the debiased exposure-explained sum of squares per donor, per SD of score, as a fraction of this family's mean; multiply by 100 for a percentage. Families whose mean is at or below zero report the absolute gradient instead, and say so in primary_scale_reason	raw	family mean omega at or below zero: no detectable exposure contribution, so the ratio has no meaning and the absolute gradient is primary	-3.15947566069796e-06	3.33108002911267e-05	-0.094848386501827	0.318903962870403	1.63421145883796e-06	9.38396953182206e-06	8.98731511419605e-06	2.69945387297283e-06	-1.67580308555545e-05	2.00264537732304e-05	0.861748151617135	0.452793156190822	2000	2000	0	omega ~ local_snp_contribution_score_z + vmr_length + cpg_count + cpg_density + gc_content + mappability + mean_methylation + methylation_variance	donor_bootstrap_var_plus_chromosome_jackknife_var	1.63421145883796e-06	9.38396953182206e-06	8.98731511419605e-06	2.69945387297283e-06	-1.67580308555545e-05	2.00264537732304e-05	0.861748151617135	sensitivity_not_gating			FALSE	family_mean_at_or_below_zero	informational_not_gating		TRUE	vmr_length,cpg_count,cpg_density,gc_content,mappability,mean_methylation	3.01372718900553e-06	8.55007803836794e-06	0.724478693635994	-1.37441178312025e-05	1.97715722092136e-05	FALSE	-0.844147630165626	non_gating_sensitivity	0.00280187698918192	0.0187159705776021	0.88099725302049	0.574495048446194	TRUE							fewer_than_10_vmrs_in_a_group	0.980206621577045	0.981257163704929	0.974816321238075			TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	descriptive_only	2026-09-20T09:36:55-0500	abb0c6789e5cb66ad33042fe8f1735de3c358b02	6f7ab73f363b630f00ec0484f8eef4a277011964763cdf89fd98172e16872024	vmrset-AA-caudate-937a41979978	FALSE	TRUE	FALSE	FALSE
nicotine	schizophrenia	AA	caudate	env-AA-caudate-20260920-a	local_snp_contribution_score_z	11251	11204	0	47	ok	11204	64	debiased_partial_ss	proportional change in the debiased exposure-explained sum of squares per donor, per SD of score, as a fraction of this family's mean; multiply by 100 for a percentage. Families whose mean is at or below zero report the absolute gradient instead, and say so in primary_scale_reason	raw	family mean omega at or below zero: no detectable exposure contribution, so the ratio has no meaning and the absolute gradient is primary	-4.19988385909711e-06	3.09401513516704e-05	-0.135742188567878	0.315780078543377	2.49393998749279e-07	1.00522106434692e-05	9.77200071923348e-06	2.3568921833585e-06	-1.94525768274606e-05	1.99513648249592e-05	0.980206621577045	0.907144938339356	2000	2000	0	omega ~ local_snp_contribution_score_z + vmr_length + cpg_count + cpg_density + gc_content + mappability + mean_methylation + methylation_variance	donor_bootstrap_var_plus_chromosome_jackknife_var	2.49393998749279e-07	1.00522106434692e-05	9.77200071923348e-06	2.3568921833585e-06	-1.94525768274606e-05	1.99513648249592e-05	0.980206621577045	sensitivity_not_gating			FALSE	family_mean_at_or_below_zero	informational_not_gating		TRUE	vmr_length,cpg_count,cpg_density,gc_content,mappability,mean_methylation	-3.02778408887368e-07	9.5912158414487e-06	0.974816321238075	-1.91012160260769e-05	1.84956592083021e-05	FALSE	2.21405651461468	non_gating_sensitivity	-0.000456425997496989	0.0194283167588288	0.981257163704929	0.927537789793786	TRUE							fewer_than_10_vmrs_in_a_group	0.980206621577045	0.981257163704929	0.974816321238075			TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	descriptive_only	2026-09-20T09:36:55-0500	abb0c6789e5cb66ad33042fe8f1735de3c358b02	6f7ab73f363b630f00ec0484f8eef4a277011964763cdf89fd98172e16872024	vmrset-AA-caudate-937a41979978	FALSE	TRUE	FALSE	FALSE
antipsychotics	schizophrenia	AA	caudate	env-AA-caudate-20260920-a	local_snp_contribution_score_z	11251	11204	0	47	ok	11204	64	debiased_partial_ss	proportional change in the debiased exposure-explained sum of squares per donor, per SD of score, as a fraction of this family's mean; multiply by 100 for a percentage. Families whose mean is at or below zero report the absolute gradient instead, and say so in primary_scale_reason	raw	family mean omega at or below zero: no detectable exposure contribution, so the ratio has no meaning and the absolute gradient is primary	-8.67147425283333e-06	3.38982675327341e-05	-0.255808773839538	0.298464833987862	2.38684644871521e-07	9.09745587439979e-06	8.20264016093241e-06	3.93451366459822e-06	-1.75920012198944e-05	1.80693705096375e-05	0.979068769401843	0.916629960944599	2000	2000	0	omega ~ local_snp_contribution_score_z + vmr_length + cpg_count + cpg_density + gc_content + mappability + mean_methylation + methylation_variance	donor_bootstrap_var_plus_chromosome_jackknife_var	2.38684644871521e-07	9.09745587439979e-06	8.20264016093241e-06	3.93451366459822e-06	-1.75920012198944e-05	1.80693705096375e-05	0.979068769401843	sensitivity_not_gating			FALSE	family_mean_at_or_below_zero	informational_not_gating		TRUE	vmr_length,cpg_count,cpg_density,gc_content,mappability,mean_methylation	2.29528308004125e-06	8.69177491903904e-06	0.791721895298401	-1.47402827230038e-05	1.93308488830863e-05	FALSE	-8.61638349746691	non_gating_sensitivity	0.00444323693744947	0.0177656483210353	0.802507913871121	0.371084105099647	TRUE							fewer_than_10_vmrs_in_a_group	0.980206621577045	0.981257163704929	0.974816321238075			TRUE	FALSE	FALSE	FALSE	TRUE	FALSE	descriptive_only	2026-09-20T09:36:55-0500	abb0c6789e5cb66ad33042fe8f1735de3c358b02	6f7ab73f363b630f00ec0484f8eef4a277011964763cdf89fd98172e16872024	vmrset-AA-caudate-937a41979978	FALSE	TRUE	FALSE	FALSE
any_trauma_hx	schizophrenia	AA	caudate	env-AA-caudate-20260920-a	local_snp_contribution_score_z	11251	11204	0	47	ok	11204	61	debiased_partial_ss	proportional change in the debiased exposure-explained sum of squares per donor, per SD of score, as a fraction of this family's mean; multiply by 100 for a percentage. Families whose mean is at or below zero report the absolute gradient instead, and say so in primary_scale_reason	raw	family mean omega at or below zero: no detectable exposure contribution, so the ratio has no meaning and the absolute gradient is primary	-2.02553039929103e-06	3.57890302815714e-05	-0.0565964035168069	0.313548732595502	-1.01827883204338e-06	1.12429042772696e-05	1.01268754315917e-05	4.88357354617219e-06	-2.30539662971232e-05	2.10174086330364e-05	0.927833634958188	0.6812823918295	2000	2000	0	omega ~ local_snp_contribution_score_z + vmr_length + cpg_count + cpg_density + gc_content + mappability + mean_methylation + methylation_variance	donor_bootstrap_var_plus_chromosome_jackknife_var	-1.01827883204338e-06	1.12429042772696e-05	1.01268754315917e-05	4.88357354617219e-06	-2.30539662971232e-05	2.10174086330364e-05	0.927833634958188	sensitivity_not_gating			FALSE	family_mean_at_or_below_zero	informational_not_gating		TRUE	vmr_length,cpg_count,cpg_density,gc_content,mappability,mean_methylation	3.29478279526135e-06	1.05400662485392e-05	0.754587599726543	-1.73633674465417e-05	2.39529330370643e-05	FALSE	4.23563909175025	non_gating_sensitivity	0.0045583165985418	0.0212905677177067	0.830468854197294	0.359300535602447	TRUE							fewer_than_10_vmrs_in_a_group	0.980206621577045	0.981257163704929	0.974816321238075			TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	descriptive_only	2026-09-20T09:36:55-0500	abb0c6789e5cb66ad33042fe8f1735de3c358b02	6f7ab73f363b630f00ec0484f8eef4a277011964763cdf89fd98172e16872024	vmrset-AA-caudate-937a41979978	FALSE	TRUE	FALSE	FALSE
nicotine	all	AA	dlpfc	env-AA-dlpfc-20260920-a	local_snp_contribution_score_z	9251	9214	0	37	ok	9214	118	debiased_partial_ss	proportional change in the debiased exposure-explained sum of squares per donor, per SD of score, as a fraction of this family's mean; multiply by 100 for a percentage. Families whose mean is at or below zero report the absolute gradient instead, and say so in primary_scale_reason	relative_to_mean	family mean omega positive: primary is the proportional gradient	2.39274253116789e-05	3.64373314439756e-05	0.656673372155936	0.387128283047536	-0.231571260478193	0.154662353026512	0.0994770557728783	0.11842617454962	-0.534703902174376	0.0715613812179902	0.134323086307267	0.00386203630932777	2000	2000	0	omega ~ local_snp_contribution_score_z + vmr_length + cpg_count + cpg_density + gc_content + mappability + mean_methylation + methylation_variance	donor_bootstrap_var_plus_chromosome_jackknife_var	-5.54090403942331e-06	1.04894772283296e-05	1.01097209349898e-05	2.79690456402671e-06	-2.60999016236024e-05	1.50180935447557e-05	0.597336568197946	sensitivity_not_gating			FALSE	family_mean_not_separated_from_zero_at_this_level	informational_not_gating	3.98309457975018	TRUE	vmr_length,cpg_count,cpg_density,gc_content,mappability,mean_methylation	-0.267240795519558	0.158682148100569	0.0921572424396725	-0.578252090786124	0.0437704997470085	FALSE	-0.154032650544404	non_gating_sensitivity	-0.0258311213142387	0.0281086458681391	0.358109049189316	7.36505663716762e-05	TRUE							fewer_than_10_vmrs_in_a_group	0.268646172614535	0.918262604763379	0.228409467823037			TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	claim_eligible	2026-09-20T09:19:20-0500	abb0c6789e5cb66ad33042fe8f1735de3c358b02	6f7ab73f363b630f00ec0484f8eef4a277011964763cdf89fd98172e16872024	vmrset-AA-dlpfc-856067dfe289	FALSE	TRUE	FALSE	FALSE
