cohort	region	run_id	vmr_id	chrom	start	end	n_cpgs	exposure	stratum	p_joint	df_num	n_used	ss_exposure	sigma2_full	sigma2_null	omega	fdr	significant	exploratory_supplement_only	causal_interpretation_allowed	tier	sealed_at	run_git_commit	config_environmental_sha256	vmr_set_id	citable	built_with_unaccepted_runs	cross_region_comparison_allowed	cross_region_contrast_emitted	regions_are_independent_replicates
AA	hippocampus	env-AA-hippocampus-20260920-a	chr2:131829491-131830602	chr2	131829491	131830602	127	education	all	2.99634918286272e-06	2	102	0.21499787813667	0.00738203767810263	0.00942523974729104	0.00196307649784769	0.0274645366101197	TRUE	TRUE	FALSE	claim_eligible	2026-09-20T09:22:23-0500	abb0c6789e5cb66ad33042fe8f1735de3c358b02	6f7ab73f363b630f00ec0484f8eef4a277011964763cdf89fd98172e16872024	vmrset-AA-hippocampus-2d907b892215	FALSE	TRUE	FALSE	FALSE	FALSE
AA	hippocampus	env-AA-hippocampus-20260920-a	chr2:1797635-1798428	chr2	1797635	1798428	18	nicotine	all	1.66415123708038e-06	1	117	0.281679471747519	0.0110063796548564	0.0134017167530216	0.00231344523156122	0.00996617579734797	TRUE	TRUE	FALSE	claim_eligible	2026-09-20T09:22:23-0500	abb0c6789e5cb66ad33042fe8f1735de3c358b02	6f7ab73f363b630f00ec0484f8eef4a277011964763cdf89fd98172e16872024	vmrset-AA-hippocampus-2d907b892215	FALSE	TRUE	FALSE	FALSE	FALSE
AA	hippocampus	env-AA-hippocampus-20260920-a	chr2:241863609-241864348	chr2	241863609	241864348	29	nicotine	all	2.24967841619605e-06	1	117	0.136173637555415	0.00547331719475874	0.00662995719795038	0.00111709675521928	0.00996617579734797	TRUE	TRUE	FALSE	claim_eligible	2026-09-20T09:22:23-0500	abb0c6789e5cb66ad33042fe8f1735de3c358b02	6f7ab73f363b630f00ec0484f8eef4a277011964763cdf89fd98172e16872024	vmrset-AA-hippocampus-2d907b892215	FALSE	TRUE	FALSE	FALSE	FALSE
AA	hippocampus	env-AA-hippocampus-20260920-a	chr8:47762980-47763627	chr8	47762980	47763627	35	nicotine	all	3.26189476238751e-06	1	117	0.141850888328638	0.00590870960646746	0.00711173773675215	0.00116189896343736	0.00996617579734797	TRUE	TRUE	FALSE	claim_eligible	2026-09-20T09:22:23-0500	abb0c6789e5cb66ad33042fe8f1735de3c358b02	6f7ab73f363b630f00ec0484f8eef4a277011964763cdf89fd98172e16872024	vmrset-AA-hippocampus-2d907b892215	FALSE	TRUE	FALSE	FALSE	FALSE
AA	hippocampus	env-AA-hippocampus-20260920-a	chr8:47762980-47763627	chr8	47762980	47763627	35	nicotine	schizophrenia	2.97379775659502e-07	1	48	0.159918532874763	0.00438736323664539	0.0078436114508258	0.00324023270079413	0.002725783023695	TRUE	TRUE	FALSE	claim_eligible	2026-09-20T09:22:23-0500	abb0c6789e5cb66ad33042fe8f1735de3c358b02	6f7ab73f363b630f00ec0484f8eef4a277011964763cdf89fd98172e16872024	vmrset-AA-hippocampus-2d907b892215	FALSE	TRUE	FALSE	FALSE	FALSE
AA	hippocampus	env-AA-hippocampus-20260920-a	chr1:109711624-109712633	chr1	109711624	109712633	38	nicotine	schizophrenia	1.48617697319358e-05	1	48	0.115776671285341	0.00488437296492154	0.00734864626093085	0.00231025621500873	0.0343782545085079	TRUE	TRUE	FALSE	claim_eligible	2026-09-20T09:22:23-0500	abb0c6789e5cb66ad33042fe8f1735de3c358b02	6f7ab73f363b630f00ec0484f8eef4a277011964763cdf89fd98172e16872024	vmrset-AA-hippocampus-2d907b892215	FALSE	TRUE	FALSE	FALSE	FALSE
AA	hippocampus	env-AA-hippocampus-20260920-a	chr17:80834560-80834951	chr17	80834560	80834951	19	nicotine	schizophrenia	1.50025112408937e-05	1	48	0.150828284673256	0.00637063698655099	0.00958080693514444	0.00300953432680636	0.0343782545085079	TRUE	TRUE	FALSE	claim_eligible	2026-09-20T09:22:23-0500	abb0c6789e5cb66ad33042fe8f1735de3c358b02	6f7ab73f363b630f00ec0484f8eef4a277011964763cdf89fd98172e16872024	vmrset-AA-hippocampus-2d907b892215	FALSE	TRUE	FALSE	FALSE	FALSE
AA	hippocampus	env-AA-hippocampus-20260920-a	chr3:535879-536927	chr3	535879	536927	53	nicotine	schizophrenia	1.28560271401881e-05	1	48	0.0778062387813234	0.00322380298073293	0.00488119044296827	0.00155380074584563	0.0343782545085079	TRUE	TRUE	FALSE	claim_eligible	2026-09-20T09:22:23-0500	abb0c6789e5cb66ad33042fe8f1735de3c358b02	6f7ab73f363b630f00ec0484f8eef4a277011964763cdf89fd98172e16872024	vmrset-AA-hippocampus-2d907b892215	FALSE	TRUE	FALSE	FALSE	FALSE
AA	hippocampus	env-AA-hippocampus-20260920-a	chr1:228849342-228850484	chr1	228849342	228850484	10	nicotine	schizophrenia	2.37007956326989e-05	1	48	0.090858424547573	0.0040680047842543	0.00599668077899472	0.00180813374506914	0.0434482985538636	TRUE	TRUE	FALSE	claim_eligible	2026-09-20T09:22:23-0500	abb0c6789e5cb66ad33042fe8f1735de3c358b02	6f7ab73f363b630f00ec0484f8eef4a277011964763cdf89fd98172e16872024	vmrset-AA-hippocampus-2d907b892215	FALSE	TRUE	FALSE	FALSE	FALSE
AA	hippocampus	env-AA-hippocampus-20260920-a	chr16:19005889-19006096	chr16	19005889	19006096	6	nicotine	schizophrenia	3.934743496394e-05	1	48	0.282951469837432	0.0135493735798641	0.0195360868300323	0.00561254367203266	0.0450823236099343	TRUE	TRUE	FALSE	claim_eligible	2026-09-20T09:22:23-0500	abb0c6789e5cb66ad33042fe8f1735de3c358b02	6f7ab73f363b630f00ec0484f8eef4a277011964763cdf89fd98172e16872024	vmrset-AA-hippocampus-2d907b892215	FALSE	TRUE	FALSE	FALSE	FALSE
AA	hippocampus	env-AA-hippocampus-20260920-a	chr19:4098556-4098742	chr19	4098556	4098742	14	nicotine	schizophrenia	3.92855735771199e-05	1	48	0.113489786897889	0.00543339752597475	0.0078346506231284	0.00225117477858155	0.0450823236099343	TRUE	TRUE	FALSE	claim_eligible	2026-09-20T09:22:23-0500	abb0c6789e5cb66ad33042fe8f1735de3c358b02	6f7ab73f363b630f00ec0484f8eef4a277011964763cdf89fd98172e16872024	vmrset-AA-hippocampus-2d907b892215	FALSE	TRUE	FALSE	FALSE	FALSE
AA	hippocampus	env-AA-hippocampus-20260920-a	chr2:71852119-71852479	chr2	71852119	71852479	26	nicotine	schizophrenia	3.02971402514637e-05	1	48	0.145577934343946	0.00673125862777061	0.00981674031035229	0.00289263907742032	0.0450823236099343	TRUE	TRUE	FALSE	claim_eligible	2026-09-20T09:22:23-0500	abb0c6789e5cb66ad33042fe8f1735de3c358b02	6f7ab73f363b630f00ec0484f8eef4a277011964763cdf89fd98172e16872024	vmrset-AA-hippocampus-2d907b892215	FALSE	TRUE	FALSE	FALSE	FALSE
