task_id	chrom	start	end	iteration	h2_incremental	region
1	1	10003350	10004313	1	0.147487985682202	DLPFC
1	1	10003350	10004313	2	0	DLPFC
1	1	10003350	10004313	3	1.50153286776245e-05	DLPFC
1	1	10003350	10004313	4	0	DLPFC
1	1	10003350	10004313	5	0.00066100040016901	DLPFC
1	1	10003350	10004313	6	0	DLPFC
1	1	10003350	10004313	7	0	DLPFC
1	1	10003350	10004313	8	0.00472784133899899	DLPFC
1	1	10003350	10004313	9	0	DLPFC
1	1	10003350	10004313	10	4.31717195269523e-06	DLPFC
1	1	10003350	10004313	11	1.14048024307282e-05	DLPFC
1	1	10003350	10004313	12	0	DLPFC
1	1	10003350	10004313	13	3.97199190668797e-06	DLPFC
10	1	10133974	10135208	1	0.0926383798993449	DLPFC
10	1	10133974	10135208	2	0	DLPFC
10	1	10133974	10135208	3	0.00739766229654778	DLPFC
10	1	10133974	10135208	4	0	DLPFC
10	1	10133974	10135208	5	0.00031332200507556	DLPFC
10	1	10133974	10135208	6	0	DLPFC
10	1	10133974	10135208	7	0	DLPFC
10	1	10133974	10135208	8	0	DLPFC
10	1	10133974	10135208	9	0	DLPFC
10	1	10133974	10135208	10	0.00466204404608561	DLPFC
10	1	10133974	10135208	11	0	DLPFC
10	1	10133974	10135208	12	0	DLPFC
10	1	10133974	10135208	13	0	DLPFC
10	1	10133974	10135208	14	0	DLPFC
10	1	10133974	10135208	15	0.00574760953646064	DLPFC
10	1	10133974	10135208	16	0	DLPFC
10	1	10133974	10135208	17	0	DLPFC
10	1	10133974	10135208	18	0	DLPFC
10	1	10133974	10135208	19	0	DLPFC
10	1	10133974	10135208	20	0	DLPFC
100	1	13524338	13525019	1	0.358298039790473	DLPFC
100	1	13524338	13525019	2	0.00047751394407221	DLPFC
100	1	13524338	13525019	3	0.00184608127022956	DLPFC
100	1	13524338	13525019	4	1.44794519345181e-07	DLPFC
100	1	13524338	13525019	5	2.97073815110345e-05	DLPFC
100	1	13524338	13525019	6	0.00024426381481881	DLPFC
100	1	13524338	13525019	7	0	DLPFC
100	1	13524338	13525019	8	0	DLPFC
100	1	13524338	13525019	9	7.46337341547881e-07	DLPFC
100	1	13524338	13525019	10	0	DLPFC
100	1	13524338	13525019	11	0	DLPFC
1000	2	108189630	108189883	1	0.376051728247956	DLPFC
1000	2	108189630	108189883	2	0	DLPFC
1000	2	108189630	108189883	3	6.45557006280851e-08	DLPFC
1000	2	108189630	108189883	4	0	DLPFC
1000	2	108189630	108189883	5	0	DLPFC
1000	2	108189630	108189883	6	0	DLPFC
1000	2	108189630	108189883	7	0	DLPFC
1000	2	108189630	108189883	8	0	DLPFC
1000	2	108189630	108189883	9	0	DLPFC
1000	2	108189630	108189883	10	1.70813734238447e-06	DLPFC
1000	2	108189630	108189883	11	0	DLPFC
1001	2	108533256	108533511	1	0.361628220698736	DLPFC
1001	2	108533256	108533511	2	0	DLPFC
1001	2	108533256	108533511	3	0	DLPFC
1001	2	108533256	108533511	4	0	DLPFC
1001	2	108533256	108533511	5	0	DLPFC
1001	2	108533256	108533511	6	0	DLPFC
1001	2	108533256	108533511	7	0	DLPFC
1001	2	108533256	108533511	8	8.88879559316647e-06	DLPFC
1001	2	108533256	108533511	9	0	DLPFC
1001	2	108533256	108533511	10	0	DLPFC
1001	2	108533256	108533511	11	0	DLPFC
1002	2	108560195	108560783	1	0.0545651634137785	DLPFC
1002	2	108560195	108560783	2	0.00623994191177966	DLPFC
1002	2	108560195	108560783	3	0.00047919341541076	DLPFC
1002	2	108560195	108560783	4	0.00237770432865889	DLPFC
1002	2	108560195	108560783	5	0.00217292279266094	DLPFC
1002	2	108560195	108560783	6	0.00103864806882995	DLPFC
1002	2	108560195	108560783	7	0	DLPFC
1002	2	108560195	108560783	8	1.06077630891599e-05	DLPFC
1002	2	108560195	108560783	9	1.80011341474757e-07	DLPFC
1002	2	108560195	108560783	10	0	DLPFC
1002	2	108560195	108560783	11	0	DLPFC
1003	2	108696760	108697058	1	0.066759065046737	DLPFC
1003	2	108696760	108697058	2	0.00133351895542363	DLPFC
