vmr_id	feature_type	nearest_feature_id	nearest_feature_name	nearest_distance	seqnames	start	end	h2_category	h2_unscaled	r_squared_cv	num_snps	population	vmr_length	log_nearest_distance	within_10kb	within_100kb
chrX_100407724_100408397	gene	ENSG00000165194	PCDH19	0	chrX	100407724	100408397	Non-heritable	0.0845384520864823	0.615264175186628	235	AA	673	0	TRUE	TRUE
chrX_101931120_101932284	gene	ENSG00000166432	ZMAT1	0	chrX	101931120	101932284		0.0734544817392956		87	AA	1164	0	TRUE	TRUE
chrX_132022791_132022991	gene	ENSG00000298688	ENSG00000298688	0	chrX	132022791	132022991	Non-heritable	0.0276341657398993	0.403886687832183	137	AA	200	0	TRUE	TRUE
chr1_244053846_244054590	gene	ENSG00000179456	ZBTB18	0	chr1	244053846	244054590	Non-heritable	0.087864433144283	0.867579818387734	603	AA	744	0	TRUE	TRUE
chr16_77213253_77213438	gene	ENSG00000261063	ENSG00000261063	0	chr16	77213253	77213438	Non-heritable	0.0754285452296048	0.890389772800455	508	AA	185	0	TRUE	TRUE
chr16_77432668_77433728	gene	ENSG00000260701	ENSG00000260701	0	chr16	77432668	77433728	Heritable	0.230087692456454	0.911958952091918	611	AA	1060	0	TRUE	TRUE
chr16_77660265_77660597	gene	ENSG00000278862	ENSG00000278862	0	chr16	77660265	77660597	Non-heritable	0.0875416172031657	0.930371305019196	688	AA	332	0	TRUE	TRUE
chr16_77804775_77805737	gene	ENSG00000171724	VAT1L	0	chr16	77804775	77805737	Heritable	0.304669889157843	0.916503023345833	725	AA	962	0	TRUE	TRUE
chr16_7808677_7810297	gene	ENSG00000301273	ENSG00000301273	0	chr16	7808677	7810297	Heritable	0.478519859670162	0.931944760526146	866	AA	1620	0	TRUE	TRUE
chr16_7815798_7816316	gene	ENSG00000301273	ENSG00000301273	0	chr16	7815798	7816316	Heritable	0.593669476675872	0.943508394084154	865	AA	518	0	TRUE	TRUE
chr16_78339517_78344566	gene	ENSG00000186153	WWOX	0	chr16	78339517	78344566	Non-heritable	0.0380212298460203	0.781520344049421	840	AA	5049	0	TRUE	TRUE
chr16_78485466_78485714	gene	ENSG00000186153	WWOX	0	chr16	78485466	78485714	Heritable	0.132276412353166	0.925287734581255	936	AA	248	0	TRUE	TRUE
chr16_78770583_78770871	gene	ENSG00000186153	WWOX	0	chr16	78770583	78770871	Non-heritable	0.0875888114805733	0.966514871201686	1033	AA	288	0	TRUE	TRUE
chr16_79591986_79592508	gene	ENSG00000178573	MAF	0	chr16	79591986	79592508	Non-heritable	0.0985141966844768	0.925229018769444	705	AA	522	0	TRUE	TRUE
chr1_2441838_2442339	gene	ENSG00000149527	PLCH2	0	chr1	2441838	2442339	Heritable	0.103662458222342	0.877715813900938	499	AA	501	0	TRUE	TRUE
chr16_79597014_79597731	gene	ENSG00000178573	MAF	0	chr16	79597014	79597731	Heritable	0.103366498842131	0.939595805517875	711	AA	717	0	TRUE	TRUE
chr16_8014939_8016218	gene	ENSG00000260289	ENSG00000260289	0	chr16	8014939	8016218	Heritable	0.318765429842723	0.92867624274562	844	AA	1279	0	TRUE	TRUE
chr16_807031_808601	gene	ENSG00000305959	ENSG00000305959	0	chr16	807031	808601	Heritable	0.10909700302941	0.95084815457502	792	AA	1570	0	TRUE	TRUE
chr16_8075795_8077169	gene	ENSG00000260289	ENSG00000260289	0	chr16	8075795	8077169	Heritable	0.761341335463379	0.93374014432202	862	AA	1374	0	TRUE	TRUE
chr16_81008291_81008410	gene	ENSG00000166451	CENPN	0	chr16	81008291	81008410	Heritable	0.116660589435436	0.916153031009082	674	AA	119	0	TRUE	TRUE
chr16_81168794_81170060	gene	ENSG00000166473	PKD1L2	0	chr16	81168794	81170060	Heritable	0.638289851310557	0.924676566035702	717	AA	1266	0	TRUE	TRUE
chr16_81263813_81264237	gene	ENSG00000280182	ENSG00000280182	0	chr16	81263813	81264237	Heritable	0.140085162203824	0.970245497985563	763	AA	424	0	TRUE	TRUE
chr16_81273234_81273499	gene	ENSG00000135697	BCO1	0	chr16	81273234	81273499	Heritable	0.105588864001962	0.949532806567548	765	AA	265	0	TRUE	TRUE
chr16_81446866_81447062	gene	ENSG00000297575	ENSG00000297575	0	chr16	81446866	81447062	Non-heritable	0.0798773266847902	0.964122674489357	895	AA	196	0	TRUE	TRUE
chr16_81582944_81583571	gene	ENSG00000153815	CMIP	0	chr16	81582944	81583571	Heritable	0.106269138688186	0.968617119561817	929	AA	627	0	TRUE	TRUE
chr1_244218208_244219120	gene	ENSG00000306362	ENSG00000306362	19851	chr1	244218208	244219120	Non-heritable	0.0697029209412053	0.915461738123117	649	AA	912	9.89606003670733	FALSE	TRUE
chr16_81609571_81610595	gene	ENSG00000153815	CMIP	0	chr16	81609571	81610595	Non-heritable	0.0734895565317847	0.969775242731054	938	AA	1024	0	TRUE	TRUE
chr16_81618622_81619059	gene	ENSG00000279294	ENSG00000279294	0	chr16	81618622	81619059	Non-heritable	0.0734568088655121	0.962526094138263	932	AA	437	0	TRUE	TRUE
chr16_81693326_81693690	gene	ENSG00000153815	CMIP	0	chr16	81693326	81693690	Heritable	0.109554866589594	0.957525161682938	821	AA	364	0	TRUE	TRUE
chr16_817065_818036	gene	ENSG00000287855	ENSG00000287855	0	chr16	817065	818036	Non-heritable	0.0499329965956406	0.942889141107774	787	AA	971	0	TRUE	TRUE
chr16_81890599_81890829	gene	ENSG00000197943	PLCG2	0	chr16	81890599	81890829	Heritable	0.102227608393925	0.947208622949967	856	AA	230	0	TRUE	TRUE
chr16_81895416_81896112	gene	ENSG00000197943	PLCG2	0	chr16	81895416	81896112	Heritable	0.132829104509023	0.92770857229162	836	AA	696	0	TRUE	TRUE
chr16_81937739_81938077	gene	ENSG00000197943	PLCG2	0	chr16	81937739	81938077	Heritable	0.173367686636445	0.91171016056708	859	AA	338	0	TRUE	TRUE
chr16_825020_825257	gene	ENSG00000287855	ENSG00000287855	0	chr16	825020	825257	Non-heritable	0.0870722770823082	0.953378596739473	812	AA	237	0	TRUE	TRUE
chr16_825798_826171	gene	ENSG00000287855	ENSG00000287855	0	chr16	825798	826171	Heritable	0.148419681148877	0.911337738022306	797	AA	373	0	TRUE	TRUE
chr16_83137418_83137768	gene	ENSG00000140945	CDH13	0	chr16	83137418	83137768	Non-heritable	0.0637186051916481	0.960732749432828	888	AA	350	0	TRUE	TRUE
chr1_2444309_2444680	gene	ENSG00000149527	PLCH2	0	chr1	2444309	2444680	Non-heritable	0.0524757683418411	0.886078773201047	502	AA	371	0	TRUE	TRUE
chr16_83951283_83951672	gene	ENSG00000140961	OSGIN1	0	chr16	83951283	83951672	Heritable	0.188639729972065	0.951730297122968	1098	AA	389	0	TRUE	TRUE
chr16_83969336_83970075	gene	ENSG00000103154	NECAB2	0	chr16	83969336	83970075	Heritable	0.104846791259058	0.978314870886937	1100	AA	739	0	TRUE	TRUE
chr16_83995738_83996104	gene	ENSG00000103154	NECAB2	0	chr16	83995738	83996104	Heritable	0.115252108511104	0.975669653536251	1118	AA	366	0	TRUE	TRUE
chr16_84032595_84032857	gene	ENSG00000166558	SLC38A8	0	chr16	84032595	84032857	Non-heritable	0.0656557461785071	0.962262025573901	1148	AA	262	0	TRUE	TRUE
chr16_84040974_84041252	gene	ENSG00000285792	ENSG00000285792	0	chr16	84040974	84041252	Non-heritable	0.0910777636571831	0.982046231419344	1155	AA	278	0	TRUE	TRUE
chr16_84045261_84045421	gene	ENSG00000285792	ENSG00000285792	0	chr16	84045261	84045421	Non-heritable	0.088742927496791	0.97837404970745	1134	AA	160	0	TRUE	TRUE
chr16_84278561_84279430	gene	ENSG00000306763	ENSG00000306763	658	chr16	84278561	84279430	Non-heritable	0.0926284070859955	0.982960989937173	1224	AA	869	6.49072353450251	TRUE	TRUE
chr16_84313260_84313562	gene	ENSG00000103175	WFDC1	0	chr16	84313260	84313562	Heritable	0.105792474988702	0.98504227004125	1227	AA	302	0	TRUE	TRUE
chr16_84406169_84406894	gene	ENSG00000064270	ATP2C2	0	chr16	84406169	84406894	Non-heritable	0.0868308119896999	0.98435158248564	1288	AA	725	0	TRUE	TRUE
chr16_84430216_84430564	gene	ENSG00000064270	ATP2C2	0	chr16	84430216	84430564	Heritable	0.607646084483411	0.966630852118062	1326	AA	348	0	TRUE	TRUE
chr1_244534408_244536677	gene	ENSG00000179397	CATSPERE	0	chr1	244534408	244536677	Heritable	0.659045088048888	0.904276652332573	801	AA	2269	0	TRUE	TRUE
chr16_84468351_84469266	gene	ENSG00000261286	ATP2C2-AS1	989	chr16	84468351	84469266	Heritable	0.346248372702277	0.967615651826372	1331	AA	915	6.89770494312864	TRUE	TRUE
chr16_84482020_84482280	gene	ENSG00000140950	MEAK7	0	chr16	84482020	84482280	Heritable	0.1982077485364	0.960961110131648	1311	AA	260	0	TRUE	TRUE
chr16_844906_845663	gene	ENSG00000287855	ENSG00000287855	0	chr16	844906	845663	Heritable	0.103818639488693	0.957137408299282	801	AA	757	0	TRUE	TRUE
chr16_84537640_84538319	gene	ENSG00000140950	MEAK7	0	chr16	84537640	84538319	Heritable	0.112206850216078	0.981472010864615	1228	AA	679	0	TRUE	TRUE
chr16_84566833_84567211	gene	ENSG00000103187	COTL1	0	chr16	84566833	84567211	Non-heritable	0.0941290332638118	0.968313968058455	1233	AA	378	0	TRUE	TRUE
chr16_84584049_84584140	gene	ENSG00000103187	COTL1	0	chr16	84584049	84584140	Non-heritable	0.0977777706952757	0.985054937062099	1226	AA	91	0	TRUE	TRUE
chr16_84633781_84633950	gene	ENSG00000297285	ENSG00000297285	0	chr16	84633781	84633950	Heritable	0.107398451862217	0.974382891608275	1271	AA	169	0	TRUE	TRUE
chr16_84738031_84738458	gene	ENSG00000103194	USP10	0	chr16	84738031	84738458	Non-heritable	0.069136060438281	0.98135962836328	1279	AA	427	0	TRUE	TRUE
chr16_84820686_84820991	gene	ENSG00000103196	CRISPLD2	0	chr16	84820686	84820991	Non-heritable	0.0819012359039143	0.97101913694566	1236	AA	305	0	TRUE	TRUE
