chromA	startA	endA	chromB	startB	endB	overlap	lenA	lenB	pctA	pctB	reciprocal
1	9223206	9223416	1	9222666	9224410	210	210	1744	100.0	12.041284403669724	12.041284403669724
1	31694898	31695925	1	31695042	31695987	883	1027	945	85.97857838364168	93.43915343915344	85.97857838364168
1	110556304	110556985	1	110556304	110556985	681	681	681	100.0	100.0	100.0
1	201505617	201506323	1	201505617	201506223	606	706	606	85.8356940509915	100.0	85.8356940509915
1	205849356	205850886	1	205849356	205851328	1530	1530	1972	100.0	77.58620689655173	77.58620689655173
10	1663869	1664161	10	1663909	1664205	252	292	296	86.3013698630137	85.13513513513513	85.13513513513513
10	3169278	3169900	10	3169278	3169952	622	622	674	100.0	92.28486646884274	92.28486646884274
10	6581249	6582005	10	6580941	6582173	756	756	1232	100.0	61.36363636363637	61.36363636363637
10	12405523	12406195	10	12405523	12406088	565	672	565	84.07738095238095	100.0	84.07738095238095
10	14567822	14571491	10	14568082	14572017	3409	3669	3935	92.91360043608613	86.63278271918678	86.63278271918678
10	23096650	23096854	10	23096650	23097331	204	204	681	100.0	29.955947136563875	29.955947136563875
10	28768453	28768926	10	28768204	28769185	473	473	981	100.0	48.216106014271155	48.216106014271155
10	52232946	52233438	10	52232077	52233354	408	492	1277	82.92682926829268	31.949882537196554	31.949882537196554
10	71985163	71987096	10	71985021	71987271	1933	1933	2250	100.0	85.91111111111111	85.91111111111111
10	79239423	79239620	10	79239290	79239861	197	197	571	100.0	34.50087565674256	34.50087565674256
10	79409689	79409966	10	79408407	79409984	277	277	1577	100.0	17.564996829422956	17.564996829422956
10	86665652	86669625	10	86665476	86669758	3973	3973	4282	100.0	92.7837459131247	92.7837459131247
10	86712051	86712459	10	86711991	86712498	408	408	507	100.0	80.4733727810651	80.4733727810651
10	91411520	91412547	10	91411616	91412547	931	1027	931	90.65238558909445	100.0	90.65238558909445
10	98405491	98405985	10	98405208	98405985	494	494	777	100.0	63.57786357786358	63.57786357786358
10	116803436	116803983	10	116803517	116803983	466	547	466	85.19195612431444	100.0	85.19195612431444
10	119505481	119506239	10	119505532	119506181	649	758	649	85.62005277044855	100.0	85.62005277044855
10	119544001	119544382	10	119544001	119544328	327	381	327	85.8267716535433	100.0	85.8267716535433
10	120458413	120459141	10	120458413	120459432	728	728	1019	100.0	71.44259077526988	71.44259077526988
10	121648728	121648946	10	121647891	121649053	218	218	1162	100.0	18.76075731497418	18.76075731497418
10	123991414	123992311	10	123991414	123992458	897	897	1044	100.0	85.91954022988506	85.91954022988506
10	124724626	124725042	10	124724288	124724992	366	416	704	87.98076923076923	51.98863636363637	51.98863636363637
10	130300775	130301960	10	130300957	130301960	1003	1185	1003	84.64135021097047	100.0	84.64135021097047
10	130360878	130361168	10	130360703	130361145	267	290	442	92.06896551724138	60.40723981900452	60.40723981900452
10	130409241	130409568	10	130409241	130409527	286	327	286	87.46177370030581	100.0	87.46177370030581
