cohort	tissue	population	modality	vmr_id	seqnames	start	end	n_pairs_tested	n_features_tested	n_sig_fdr_05	n_sig_fdr_10	min_p	min_fdr	max_abs_beta	strongest_beta	vmr_length	num_snps	chromatin_state	cpg_density_proxy	h2_category	h2_unscaled	r_squared_cv	methylation_variance	min_distance	any_sig_fdr_05	any_sig_fdr_10	h2_scaled	log_vmr_length	log_num_snps	log_min_distance	log_max_abs_beta
BA_only	hippocampus	AA	expression_nearest_gene	chr10_100025847_100026058	chr10	100025847	100026058	1	1	0	0	0.23562968991624	0.822700660771694	0.56191263066191	-0.56191263066191	211	274	Intergenic	0	Non-heritable	0.0512890926502216	0.76764668199908	0.00632096989716636	15899	0	0	0.512890926502216	5.35185813347607	5.61677109766657	9.67407438820832	-0.576408884833146
BA_only	hippocampus	AA	expression_nearest_gene	chr10_100348146_100351386	chr10	100348146	100351386	1	1	0	0	0.0428858201169457	0.592967939483636	1.17181173924909	-1.17181173924909	3240	301	Genic/other	2	Non-heritable	0.0783095489493364	0.823017895040547	0.00783093583731823	0	0	0	0.783095489493364	8.08332860878638	5.71042701737487	0	0.158551054745881
BA_only	hippocampus	AA	expression_nearest_gene	chr10_100621288_100622124	chr10	100621288	100622124	1	1	0	0	0.867494325503437	0.987515447351129	0.0541593981391433	0.0541593981391433	836	357	Intergenic	0	Heritable	0.130382186660247	0.903992517410781	0.00660427224760327	61289	0	0	1.30382186660247	6.7286286130847	5.8805329864007	11.0233719764798	-2.91582357844478
BA_only	hippocampus	AA	expression_nearest_gene	chr10_100931759_100932948	chr10	100931759	100932948	1	1	0	0	0.0517214110530783	0.620304308128674	0.417543935048847	0.417543935048847	1189	381	Genic/other	0	Heritable	0.211961017063649	0.942915936315885	0.0168692031374996	0	0	0	2.11961017063649	7.08086789669078	5.94542060860658	0	-0.873365482628391
BA_only	hippocampus	AA	expression_nearest_gene	chr10_101006502_101007117	chr10	101006502	101007117	1	1	0	0	0.278215073569259	0.845825247474209	0.690072946675914	-0.690072946675914	615	375	Genic/other	2	Heritable	0.11390774802982	0.915885134743726	0.00927708742549165	0	0	0	1.1390774802982	6.42162226780652	5.9295891433899	0	-0.370957952667392
BA_only	hippocampus	AA	expression_nearest_gene	chr10_101008138_101008841	chr10	101008138	101008841	1	1	0	0	0.475319210234288	0.915645486764205	0.460024469874558	-0.460024469874558	703	373	Genic/other	1	Heritable	0.11899539266022	0.885884717667853	0.00672171862171753	0	0	0	1.1899539266022	6.55535689181067	5.92425579741453	0	-0.776475573796373
BA_only	hippocampus	AA	expression_nearest_gene	chr10_101149994_101151815	chr10	101149994	101151815	1	1	0	0	0.0281187355035254	0.50932975925163	0.0304302763085775	-0.0304302763085775	1821	327	Intergenic	1	Non-heritable	0.0792315893697759	0.880160102354963	0.00930569230990821	12204	0	0	0.792315893697759	7.50714107972761	5.79301360838414	9.40960098282706	-3.49231690635717
BA_only	hippocampus	AA	expression_nearest_gene	chr10_101304131_101304601	chr10	101304131	101304601	1	1	0	0	0.999985486788992	0.999985486788992	6.47360819483467e-06	6.47360819483467e-06	470	307	Genic/other	0	Non-heritable	0.087446072867914	0.879063534406347	0.00597889786051637	17401	0	0	0.87446072867914	6.1527326947041	5.73009978297357	9.76434042112597	-11.9462333823764
BA_only	hippocampus	AA	expression_nearest_gene	chr10_101484347_101485280	chr10	101484347	101485280	1	1	0	0	0.113138654941472	0.736861866320154	0.469475198332873	-0.469475198332873	933	241	Genic/other	0	Non-heritable	0.0695182716487797	0.770171709869855	0.0061630716463535	0	0	0	0.695182716487797	6.83840520084734	5.48893772615669	0	-0.756139786130848
BA_only	hippocampus	AA	expression_nearest_gene	chr10_101507300_101507470	chr10	101507300	101507470	1	1	0	0	0.103458797604254	0.730463136106291	0.437488030678438	-0.437488030678438	170	245	Genic/other	0	Non-heritable	0.0884827123862537	0.834434752354892	0.00737942384591228	0	0	0	0.884827123862537	5.13579843705026	5.50533153593236	0	-0.826705909150234
