cohort	tissue	population	modality	vmr_id	seqnames	start	end	h2_category	h2_unscaled	n_pairs_tested	n_features_tested	n_sig_fdr_05	n_sig_fdr_10	min_p	min_fdr	max_abs_beta	strongest_beta
BA_only	hippocampus	AA	expression_nearest_gene	chr10_100025847_100026058	chr10	100025847	100026058	Non-heritable	0.0512890926502216	1	1	0	0	0.23562968991624	0.822700660771694	0.56191263066191	-0.56191263066191
BA_only	hippocampus	AA	expression_nearest_gene	chr10_100348146_100351386	chr10	100348146	100351386	Non-heritable	0.0783095489493364	1	1	0	0	0.0428858201169457	0.592967939483636	1.17181173924909	-1.17181173924909
BA_only	hippocampus	AA	expression_nearest_gene	chr10_100621288_100622124	chr10	100621288	100622124	Heritable	0.130382186660247	1	1	0	0	0.867494325503437	0.987515447351129	0.0541593981391433	0.0541593981391433
BA_only	hippocampus	AA	expression_nearest_gene	chr10_100931759_100932948	chr10	100931759	100932948	Heritable	0.211961017063649	1	1	0	0	0.0517214110530783	0.620304308128674	0.417543935048847	0.417543935048847
BA_only	hippocampus	AA	expression_nearest_gene	chr10_101006502_101007117	chr10	101006502	101007117	Heritable	0.11390774802982	1	1	0	0	0.278215073569259	0.845825247474209	0.690072946675914	-0.690072946675914
BA_only	hippocampus	AA	expression_nearest_gene	chr10_101008138_101008841	chr10	101008138	101008841	Heritable	0.11899539266022	1	1	0	0	0.475319210234288	0.915645486764205	0.460024469874558	-0.460024469874558
BA_only	hippocampus	AA	expression_nearest_gene	chr10_101149994_101151815	chr10	101149994	101151815	Non-heritable	0.0792315893697759	1	1	0	0	0.0281187355035254	0.50932975925163	0.0304302763085775	-0.0304302763085775
BA_only	hippocampus	AA	expression_nearest_gene	chr10_101304131_101304601	chr10	101304131	101304601	Non-heritable	0.087446072867914	1	1	0	0	0.999985486788992	0.999985486788992	6.47360819483467e-06	6.47360819483467e-06
BA_only	hippocampus	AA	expression_nearest_gene	chr10_101484347_101485280	chr10	101484347	101485280	Non-heritable	0.0695182716487797	1	1	0	0	0.113138654941472	0.736861866320154	0.469475198332873	-0.469475198332873
BA_only	hippocampus	AA	expression_nearest_gene	chr10_101507300_101507470	chr10	101507300	101507470	Non-heritable	0.0884827123862537	1	1	0	0	0.103458797604254	0.730463136106291	0.437488030678438	-0.437488030678438
BA_only	hippocampus	AA	expression_nearest_gene	chr10_10157082_10157739	chr10	10157082	10157739	Heritable	0.103996079278268	1	1	0	0	0.378872227497302	0.892892564213561	0.0453154904688494	0.0453154904688494
BA_only	hippocampus	AA	expression_nearest_gene	chr10_101829919_101830147	chr10	101829919	101830147	Heritable	0.152924485839536	1	1	0	0	0.950693235861544	0.996015697408073	0.042466809572467	-0.042466809572467
BA_only	hippocampus	AA	expression_nearest_gene	chr10_102433070_102433216	chr10	102433070	102433216	Heritable	0.47842281464451	1	1	0	0	0.879763245582799	0.990024062569166	0.069688574836642	0.069688574836642
BA_only	hippocampus	AA	expression_nearest_gene	chr10_102853856_102854041	chr10	102853856	102854041	Non-heritable	0.0894212313241169	1	1	0	0	0.232246762919118	0.819183310024234	0.388947492733429	0.388947492733429
BA_only	hippocampus	AA	expression_nearest_gene	chr10_103125057_103125425	chr10	103125057	103125425	Non-heritable	0.0509715046531325	1	1	0	0	0.962143748342501	0.996015697408073	0.0178763069646877	0.0178763069646877
BA_only	hippocampus	AA	expression_nearest_gene	chr10_103473434_103473776	chr10	103473434	103473776	Non-heritable	0.098207070920001	1	1	0	0	0.286617213843192	0.852022973182243	0.0850868140862632	0.0850868140862632
BA_only	hippocampus	AA	expression_nearest_gene	chr10_1034873_1035605	chr10	1034873	1035605	Heritable	0.113731982033779	1	1	0	0	0.241689264037909	0.827167547218851	0.460594160893414	0.460594160893414
BA_only	hippocampus	AA	expression_nearest_gene	chr10_103715573_103716553	chr10	103715573	103716553	Heritable	0.208118651778228	1	1	0	0	0.381117965260679	0.892892564213561	0.584951475172389	-0.584951475172389
BA_only	hippocampus	AA	expression_nearest_gene	chr10_103727172_103728093	chr10	103727172	103728093	Non-heritable	0.0759559093980696	1	1	0	0	0.93468398255424	0.996015697408073	0.0443663800431295	-0.0443663800431295
BA_only	hippocampus	AA	expression_nearest_gene	chr10_103852988_103853980	chr10	103852988	103853980	Heritable	0.158546687874122	1	1	0	0	0.316055840287367	0.863562135584557	0.606899833452467	-0.606899833452467
BA_only	hippocampus	AA	expression_nearest_gene	chr10_104275213_104275792	chr10	104275213	104275792	Heritable	0.428062556533724	1	1	1	1	3.27320738828487e-08	1.42918571016901e-05	2.11072651647276	-2.11072651647276
BA_only	hippocampus	AA	expression_nearest_gene	chr10_104292348_104292675	chr10	104292348	104292675	Non-heritable	0.078121774591525	1	1	0	0	0.326804967710025	0.870242190983135	0.749852775344454	-0.749852775344454
BA_only	hippocampus	AA	expression_nearest_gene	chr10_104305583_104306086	chr10	104305583	104306086	Heritable	0.160201304103168	1	1	0	0	0.143840269912973	0.765563275140323	0.989890722240543	0.989890722240543
BA_only	hippocampus	AA	expression_nearest_gene	chr10_104330899_104331648	chr10	104330899	104331648	Heritable	0.302463477240416	1	1	0	0	0.241386915015604	0.827156483671811	0.570038462569206	-0.570038462569206
BA_only	hippocampus	AA	expression_nearest_gene	chr10_1047631_1047762	chr10	1047631	1047762	Non-heritable	0.0500672704383589	1	1	0	0	0.552064518651191	0.932027345379171	0.292082303737332	0.292082303737332
BA_only	hippocampus	AA	expression_nearest_gene	chr10_104784526_104785923	chr10	104784526	104785923	Heritable	0.168417250837291	1	1	0	0	0.158333172737578	0.779740457153096	0.946305131426112	0.946305131426112
