file	historical_role	active_status	removal_gate
00_make_manifest.R	historical_en_calibration_or_observed	archived_not_production	immutable_run_snapshot_or_tag_verified_and_no_active_reference
01_simulate_and_crossfit.R	historical_en_calibration_or_observed	archived_not_production	immutable_run_snapshot_or_tag_verified_and_no_active_reference
02_fit_calibration.R	historical_en_calibration_or_observed	archived_not_production	immutable_run_snapshot_or_tag_verified_and_no_active_reference
03_evaluate_calibration.R	historical_en_calibration_or_observed	archived_not_production	immutable_run_snapshot_or_tag_verified_and_no_active_reference
04_estimate_observed_vmr.R	historical_en_calibration_or_observed	archived_not_production	immutable_run_snapshot_or_tag_verified_and_no_active_reference
05_plot_calibration.R	historical_en_calibration_or_observed	archived_not_production	immutable_run_snapshot_or_tag_verified_and_no_active_reference
06_check_acceptance.R	historical_en_calibration_or_observed	archived_not_production	immutable_run_snapshot_or_tag_verified_and_no_active_reference
07_combine_observed.R	historical_en_calibration_or_observed	archived_not_production	immutable_run_snapshot_or_tag_verified_and_no_active_reference
08_make_high_signal_audit_manifest.R	historical_stability_or_gate_audit	archived_not_production	immutable_run_snapshot_or_tag_verified_and_no_active_reference
09_summarize_high_signal_audit.R	historical_stability_or_gate_audit	archived_not_production	immutable_run_snapshot_or_tag_verified_and_no_active_reference
10_compare_observed_gate.R	historical_stability_or_gate_audit	archived_not_production	immutable_run_snapshot_or_tag_verified_and_no_active_reference
11_compare_internal_calibrators.R	historical_support	archived_not_production	immutable_run_snapshot_or_tag_verified_and_no_active_reference
12_make_bslmm_pilot_manifest.R	bslmm_estimator_screen	archived_not_production	immutable_run_snapshot_or_tag_verified_and_no_active_reference
13_run_bslmm_en_pilot_scenario.R	bslmm_estimator_screen	archived_not_production	immutable_run_snapshot_or_tag_verified_and_no_active_reference
14_summarize_bslmm_pilot.R	bslmm_estimator_screen	archived_not_production	immutable_run_snapshot_or_tag_verified_and_no_active_reference
15_make_bslmm_validation_manifest.R	bslmm_estimator_screen	archived_not_production	immutable_run_snapshot_or_tag_verified_and_no_active_reference
