cohort	tissue	population	vmr_set	modality	vmr_id	seqnames	start	end	h2_category	h2_unscaled	n_pairs_tested	n_features_tested	n_sig_fdr_05	n_sig_fdr_10	min_p	min_fdr	max_abs_beta	strongest_beta
all_individuals	hippocampus	AA	shared	expression	chr10_132421109_132421612	chr10	132421109	132421612	Heritable	0.134436076819476	10	10	0	0	0.070397592880232	0.500605104926094	0.690453120686446	0.690453120686446
all_individuals	hippocampus	AA	shared	expression	chr12_110079753_110080056	chr12	110079753	110080056	Heritable	0.118209240415332	1	1	0	0	0.5473922585831	0.889778957872444	0.14777096916891	0.14777096916891
all_individuals	hippocampus	AA	shared	expression	chr12_124726903_124727475	chr12	124726903	124727475	Heritable	0.159315272807421	1	1	0	0	0.0795734066828218	0.50926980277006	0.859971560632609	-0.859971560632609
all_individuals	hippocampus	AA	shared	expression	chr14_75514953_75516250	chr14	75514953	75516250	Heritable	0.325063148251056	1	1	0	0	0.024833999008661	0.264895989425718	0.429877793681367	-0.429877793681367
all_individuals	hippocampus	AA	shared	expression	chr14_77641774_77641896	chr14	77641774	77641896	Heritable	0.10337708483778	6	6	0	0	0.015986557262044	0.204627932954163	0.544442496575037	-0.544442496575037
all_individuals	hippocampus	AA	shared	expression	chr15_101121108_101122340	chr15	101121108	101122340	Heritable	0.184171449844127	1	1	0	0	0.674852402470698	0.889778957872444	0.0240927885648637	0.0240927885648637
all_individuals	hippocampus	AA	shared	expression	chr15_28876281_28876548	chr15	28876281	28876548	Heritable	0.122044459280477	1	1	0	0	0.575025633282642	0.889778957872444	0.232737414157327	-0.232737414157327
all_individuals	hippocampus	AA	shared	expression	chr15_31266434_31266720	chr15	31266434	31266720	Heritable	0.164668952384263	1	1	0	0	0.402338230898076	0.887918854395754	0.317581168339791	-0.317581168339791
all_individuals	hippocampus	AA	shared	expression	chr18_11948069_11948155	chr18	11948069	11948155	Heritable	0.155293963012262	4	4	0	0	0.304379524202734	0.887918854395754	0.227573405184623	-0.227573405184623
all_individuals	hippocampus	AA	shared	expression	chr20_17895279_17895571	chr20	17895279	17895571	Heritable	0.229126148827346	2	2	0	0	0.0633367690937482	0.500605104926094	0.221012698199907	0.221012698199907
all_individuals	hippocampus	AA	shared	expression	chr21_18849776_18851911	chr21	18849776	18851911	Heritable	0.594574614880699	1	1	0	0	0.922279365313674	0.974101924194411	0.0522861714920841	-0.0522861714920841
all_individuals	hippocampus	AA	shared	expression	chr22_45262100_45262630	chr22	45262100	45262630	Heritable	0.501407495946693	1	1	0	0	0.374015920450586	0.887918854395754	0.361861921786806	-0.361861921786806
all_individuals	hippocampus	AA	shared	expression	chr2_127176312_127176829	chr2	127176312	127176829	Heritable	0.309080131383929	1	1	0	0	0.291180390280345	0.887918854395754	0.403465817937989	-0.403465817937989
all_individuals	hippocampus	AA	shared	expression	chr2_231190128_231190311	chr2	231190128	231190311	Heritable	0.151842361106551	2	2	0	1	0.00346411457453166	0.0671607738718036	0.999094521290996	-0.999094521290996
all_individuals	hippocampus	AA	shared	expression	chr2_27765989_27767276	chr2	27765989	27767276	Heritable	0.106040755889485	1	1	0	0	0.712413968006498	0.889778957872444	0.188360656807017	-0.188360656807017
all_individuals	hippocampus	AA	shared	expression	chr3_105353733_105355249	chr3	105353733	105355249	Heritable	0.290125883844836	1	1	0	0	0.781759217483587	0.92652944294351	0.102532087727496	-0.102532087727496
all_individuals	hippocampus	AA	shared	expression	chr3_32577559_32577918	chr3	32577559	32577918	Heritable	0.133588663026724	2	2	0	0	0.636753154824439	0.889778957872444	0.195127318252568	-0.195127318252568
all_individuals	hippocampus	AA	shared	expression	chr4_123443637_123444526	chr4	123443637	123444526	Non-heritable	0.0625889329922826	2	2	0	0	0.25732846617153	0.887918854395754	0.489634727027082	-0.489634727027082
all_individuals	hippocampus	AA	shared	expression	chr4_25970540_25971169	chr4	25970540	25971169	Heritable	0.16504395906678	2	2	0	0	0.0377837133288743	0.345451093292565	0.608127652312108	-0.608127652312108
all_individuals	hippocampus	AA	shared	expression	chr4_3285986_3286374	chr4	3285986	3286374	Heritable	0.149831038850923	1	1	0	0	0.391531236129828	0.887918854395754	0.299790857515237	0.299790857515237
all_individuals	hippocampus	AA	shared	expression	chr5_10138594_10138804	chr5	10138594	10138804	Heritable	0.14290463573415	1	1	0	0	0.865486847152558	0.938833190131588	0.062525655062923	0.062525655062923
all_individuals	hippocampus	AA	shared	expression	chr5_141514389_141514814	chr5	141514389	141514814	Heritable	0.142351117551227	1	1	0	0	0.851368567538786	0.938833190131588	0.103881293629652	-0.103881293629652
all_individuals	hippocampus	AA	shared	expression	chr5_173866092_173867782	chr5	173866092	173867782	Heritable	0.110082685437349	2	2	0	0	0.367171495866071	0.887918854395754	0.241170511440075	0.241170511440075
all_individuals	hippocampus	AA	shared	expression	chr6_18504201_18505240	chr6	18504201	18505240	Non-heritable	0.0655493451808787	1	1	0	0	0.319077280924218	0.887918854395754	0.269576398870147	0.269576398870147
all_individuals	hippocampus	AA	shared	expression	chr6_32609937_32612724	chr6	32609937	32612724	Heritable	0.333747735789779	3	3	2	2	8.29946878273103e-06	0.000531166002094786	3.462053584061	3.462053584061
all_individuals	hippocampus	AA	shared	expression	chr7_100451013_100451125	chr7	100451013	100451125	Non-heritable	0.0577168063143563	6	6	0	0	0.264580727254123	0.887918854395754	0.480039946297694	0.480039946297694
all_individuals	hippocampus	AA	shared	expression	chr7_1169684_1170352	chr7	1169684	1170352	Heritable	0.146516145037713	2	2	0	1	0.00419754836698773	0.0671607738718036	0.923476515472304	-0.923476515472304
all_individuals	hippocampus	AA	shared	expression	chr7_23230555_23231570	chr7	23230555	23231570	Non-heritable	0.0431039221793702	2	2	0	0	0.441690876573334	0.889778957872444	0.167893099533927	-0.167893099533927
all_individuals	hippocampus	AA	shared	expression	chr7_76292452_76292692	chr7	76292452	76292692	Heritable	0.161057189390862	1	1	0	0	0.964416481453269	0.979724679571575	0.0460295880478814	0.0460295880478814
all_individuals	hippocampus	AA	shared	expression	chr8_11902887_11903183	chr8	11902887	11903183	Heritable	0.107135531724899	1	1	0	0	0.823385709345691	0.938833190131588	0.00453172365686958	0.00453172365686958
all_individuals	hippocampus	AA	shared	expression	chr9_73131745_73132545	chr9	73131745	73132545	Non-heritable	0.0748741797096505	2	2	0	0	0.731102919855007	0.889778957872444	0.167841707741056	-0.167841707741056
