LD_Decay,h2_category,spearman_rho,p_value,n
0.8,Heritable,0.7378111154294598,0,249
0.8,Non-heritable,0.07196920645148827,0.0514671510892018,733
0.8,Low prediction,0.23632610939112486,0.3436228525431757,18
0.7,Heritable,0.7565744267392149,0,249
0.7,Non-heritable,0.026183874529104895,0.4780705311127775,736
0.7,Low prediction,0.3142857142857142,0.25351967321049884,15
0.6,Heritable,0.809242643882302,0,250
0.6,Non-heritable,0.04507439787999267,0.22125672370090488,738
0.6,Low prediction,0.02097902097902098,0.9561691549379485,12
0.5,Heritable,0.8102418278692458,0,250
0.5,Non-heritable,0.07065805271382362,0.05689064427220485,727
0.5,Low prediction,0.06126482213438735,0.781158100440411,23
