seqnames	start	end	h2_category	hg38_genes_introns	hg38_cpg_inter	hg38_genes_1to5kb	hg38_cpg_shores	hg38_cpg_islands	hg38_genes_exons	hg38_cpg_shelves	hg38_enhancers_fantom	hg38_genes_promoters	hg38_genes_intergenic	hg38_genes_5UTRs	hg38_genes_3UTRs
chr1	1007637	1007963	Heritable	1	1	0	0	0	0	0	0	0	0	0	0
chr1	1015907	1016207	Heritable	0	0	1	1	0	0	0	0	0	0	0	0
chr1	1077056	1077241	Heritable	0	0	1	0	1	0	0	0	0	0	0	0
chr1	1141003	1141078	Heritable	1	0	0	0	0	1	1	0	0	0	0	0
chr1	1261709	1262148	Heritable	1	0	0	0	0	0	1	0	0	0	0	0
chr1	1290131	1290231	Heritable	1	0	0	0	1	0	0	0	0	0	0	0
chr1	1351411	1351570	Heritable	0	0	1	0	1	0	0	1	0	0	0	0
chr1	1419690	1419890	Heritable	1	0	0	1	1	0	0	0	1	0	0	0
chr1	1443436	1443619	Heritable	0	0	0	0	0	0	1	0	0	1	0	0
chr1	1499032	1499521	Heritable	0	1	1	0	0	0	0	0	0	0	0	0
chr1	1570968	1571345	Heritable	1	0	1	0	0	0	1	0	0	0	0	0
chr1	1864988	1865598	Heritable	1	1	0	0	0	0	0	0	0	0	0	0
chr1	1866651	1867311	Heritable	1	1	0	0	0	0	0	0	0	0	0	0
chr1	1903817	1904204	Heritable	0	1	0	0	0	0	0	0	0	1	0	0
chr1	1931092	1933130	Heritable	1	1	1	0	0	0	1	0	0	0	0	0
chr1	1948248	1949786	Heritable	1	1	0	0	0	0	1	0	0	0	0	0
chr1	1983813	1984190	Heritable	1	0	0	1	0	1	0	0	0	0	0	0
chr1	1995470	1995705	Heritable	1	1	1	0	0	0	0	0	0	0	0	0
chr1	2016621	2017029	Heritable	0	0	1	1	0	0	1	0	1	0	0	0
chr1	2124242	2124496	Heritable	1	0	0	1	1	0	0	0	0	0	0	0
chr1	2187365	2187595	Heritable	1	0	1	1	0	0	1	0	0	0	0	0
chr1	2211095	2211773	Heritable	1	0	1	1	0	0	0	0	1	0	0	0
chr1	2223421	2224104	Heritable	0	0	1	0	0	0	1	0	0	0	0	0
chr1	2245535	2245882	Heritable	1	1	1	0	0	0	0	0	0	0	0	0
chr1	2617405	2617586	Heritable	1	1	0	0	0	0	0	0	0	0	0	0
chr1	2983092	2983322	Heritable	0	1	0	0	0	0	0	0	0	1	0	0
chr1	3010137	3010525	Heritable	0	0	0	0	0	0	1	0	0	1	0	0
chr1	3031199	3031455	Heritable	0	1	0	0	0	0	0	0	0	1	0	0
chr1	5159284	5159914	Non-heritable	0	1	0	0	0	0	0	0	0	1	0	0
chr1	5294996	5295412	Heritable	0	1	0	0	0	0	0	0	0	1	0	0
chr1	6110840	6111482	Heritable	1	1	1	0	0	0	0	0	0	0	0	0
chr1	6114201	6115108	Heritable	1	1	0	0	0	0	0	0	0	0	0	0
chr1	6158653	6159302	Heritable	1	1	0	0	0	0	0	0	0	0	0	0
chr1	6190410	6191723	Heritable	1	1	0	0	0	0	0	0	0	0	0	0
chr1	6202882	6203811	Heritable	1	0	1	1	0	1	1	0	1	0	1	0
chr1	6214824	6215323	Heritable	1	1	0	0	0	0	0	0	0	0	0	0
chr1	6334801	6335479	Heritable	1	1	0	0	0	0	0	0	0	0	0	0
chr1	6341480	6341569	Heritable	1	1	0	0	0	0	0	0	0	0	0	0
chr1	6375583	6376212	Heritable	1	1	0	0	0	0	0	0	0	0	0	0
chr1	6390163	6391612	Heritable	1	0	1	1	0	0	1	0	0	0	0	0
chr1	6442446	6443305	Heritable	1	0	1	1	0	1	1	0	0	0	0	0
chr1	6458082	6459392	Heritable	1	0	1	1	0	0	1	0	0	0	0	0
chr1	6481399	6482023	Heritable	1	0	1	0	0	0	1	0	0	0	0	0
chr1	6522324	6523307	Heritable	0	1	1	0	0	1	0	0	0	0	0	1
chr1	6529857	6530408	Heritable	1	1	0	0	0	0	0	0	0	0	0	0
chr1	6538333	6539374	Heritable	1	1	1	0	0	0	0	0	0	0	0	0
chr1	6576813	6578067	Heritable	1	0	1	1	0	1	1	0	0	0	0	0
chr1	6615999	6616434	Heritable	1	0	1	1	0	0	0	0	0	0	0	0
chr1	6671273	6671767	Heritable	1	1	1	0	0	0	0	0	0	0	0	0
chr1	6709932	6710171	Heritable	0	1	0	0	0	0	0	0	0	1	0	0
chr1	7823005	7823818	Heritable	1	1	0	0	0	0	1	0	0	0	0	0
chr1	8233895	8234123	Heritable	0	1	0	0	0	0	0	0	0	1	0	0
chr1	8255148	8255824	Heritable	0	1	0	0	0	0	0	0	0	1	0	0
chr1	8332504	8332806	Heritable	1	0	0	1	0	0	1	0	0	0	0	0
chr1	8340847	8341851	Heritable	1	0	0	1	0	0	1	0	0	0	0	0
chr1	8403043	8403510	Heritable	1	1	0	0	0	0	0	0	0	0	0	0
chr1	8792533	8793113	Non-heritable	1	1	0	0	0	1	0	0	0	0	1	0
chr1	8966004	8966648	Heritable	1	1	0	0	0	0	0	0	0	0	0	0
chr1	8975419	8975943	Heritable	0	1	1	0	0	0	0	0	0	0	0	0
chr1	8995214	8996284	Heritable	0	1	0	0	0	0	0	0	0	1	0	0
chr1	9137968	9138672	Non-heritable	0	1	0	0	0	0	0	0	0	1	0	0
chr1	9478805	9479371	Heritable	0	1	0	0	0	0	0	0	0	1	0	0
chr1	9531019	9532420	Heritable	0	1	0	0	0	0	0	0	0	1	0	0
chr1	9536906	9537435	Heritable	0	0	1	1	0	0	1	0	0	0	0	0
chr1	9540619	9541129	Heritable	1	0	0	1	0	0	0	0	0	0	0	0
chr1	9575382	9575741	Heritable	1	1	1	0	0	0	0	0	1	0	0	0
chr1	9580575	9580841	Heritable	1	1	0	0	0	0	0	0	0	0	0	0
chr1	9587739	9588111	Heritable	0	0	1	1	0	0	0	0	1	0	0	0
chr1	9660973	9661792	Heritable	1	1	0	0	0	0	0	0	0	0	0	0
chr1	9674753	9675254	Heritable	1	1	0	0	0	0	0	0	0	0	0	0
chr1	9762017	9762565	Heritable	1	0	0	1	1	0	0	0	0	0	0	0
chr1	9771154	9771826	Heritable	1	1	0	0	0	0	0	0	0	0	0	0
chr1	9782938	9784278	Heritable	1	1	0	0	0	0	0	0	0	0	0	0
chr1	9803631	9804406	Heritable	1	1	0	0	0	0	0	0	0	0	0	0
chr1	9805340	9806017	Heritable	1	1	0	0	0	0	0	0	0	0	0	0
chr1	9829588	9830096	Heritable	0	1	1	0	0	0	0	1	0	0	0	0
chr1	9908023	9908474	Heritable	1	0	0	1	0	1	0	0	0	0	0	0
chr1	9919693	9920022	Heritable	0	1	0	0	0	0	0	0	0	1	0	0
chr1	9925738	9926651	Heritable	1	1	0	0	0	1	0	0	0	0	0	1
chr1	9932063	9932678	Heritable	1	1	0	0	0	1	0	0	1	0	0	0
chr1	9941437	9941656	Heritable	1	0	1	1	0	0	0	0	0	0	0	0
chr1	9958673	9959666	Heritable	1	1	0	0	0	0	0	0	0	0	0	0
chr1	9962704	9962923	Heritable	1	1	1	0	0	0	0	0	0	0	0	0
chr1	9965640	9966350	Heritable	1	1	1	0	0	0	0	0	0	0	0	0
chr1	9976506	9977638	Heritable	1	1	1	0	0	0	0	0	0	0	0	0
chr1	9980092	9980907	Heritable	1	1	1	0	0	0	0	0	1	0	0	0
chr1	9986613	9987634	Heritable	0	1	0	0	0	0	0	0	0	1	0	0
chr1	9994493	9995043	Heritable	0	0	1	0	0	0	1	0	0	0	0	0
chr1	10003286	10004313	Heritable	1	1	0	0	0	1	0	0	0	0	0	1
chr1	10010606	10011044	Heritable	1	1	0	0	0	0	0	0	0	0	0	0
chr1	10012562	10012897	Heritable	1	1	0	0	0	0	0	0	0	0	0	0
chr1	10025717	10026575	Heritable	0	1	0	0	0	0	0	0	0	1	0	0
chr1	10035695	10036043	Heritable	1	0	0	0	0	0	1	0	0	0	0	0
chr1	10094404	10094872	Heritable	1	1	0	0	0	0	0	0	0	0	0	0
chr1	10134198	10135331	Heritable	1	1	0	0	0	1	0	0	0	0	0	0
chr1	10137847	10139133	Heritable	1	1	0	0	0	0	0	0	0	0	0	0
chr1	10148087	10148854	Heritable	1	1	0	0	0	0	0	0	0	0	0	0
chr1	10150243	10151411	Heritable	1	1	0	0	0	1	0	0	0	0	0	0
chr1	10174008	10175854	Heritable	1	1	1	0	0	0	0	0	0	0	0	0
chr1	10190813	10192190	Heritable	0	1	0	0	0	0	0	0	0	1	0	0
chr1	10214171	10214530	Heritable	1	0	0	0	0	0	1	0	0	0	0	0
