seqnames	start	end	h2_category	hg38_genes_1to5kb	hg38_cpg_islands	hg38_genes_exons	hg38_genes_introns	hg38_genes_3UTRs	hg38_cpg_inter	hg38_cpg_shores	hg38_cpg_shelves	hg38_enhancers_fantom	hg38_genes_promoters	hg38_genes_intergenic	hg38_genes_5UTRs
chr1	1077056	1077266	Heritable	1	1	0	0	0	0	0	0	0	0	0	0
chr1	1185237	1185502	Heritable	0	0	1	1	1	1	0	0	0	0	0	0
chr1	1189878	1190466	Heritable	0	0	0	1	0	1	0	0	0	0	0	0
chr1	1218405	1218544	Non-heritable	1	1	1	1	1	0	0	0	0	0	0	0
chr1	1227074	1227723	Heritable	1	0	1	1	0	0	1	0	0	0	0	0
chr1	1261709	1262099	Heritable	0	0	0	1	0	0	0	1	0	0	0	0
chr1	1290131	1290231	Heritable	0	1	0	1	0	0	0	0	0	0	0	0
chr1	1333413	1334095	Heritable	0	1	1	1	0	0	1	0	0	0	0	0
chr1	1351411	1351596	Heritable	1	1	0	0	0	0	1	0	1	0	0	0
chr1	1419717	1419954	Heritable	0	1	0	1	0	0	1	0	0	1	0	0
chr1	1432318	1432537	Heritable	1	0	0	1	0	0	1	0	0	1	0	0
chr1	1499172	1499305	Heritable	1	0	0	0	0	1	0	0	0	0	0	0
chr1	1544299	1544605	Heritable	1	0	0	1	0	0	0	1	0	0	0	0
chr1	1589331	1589692	Heritable	0	0	0	0	0	1	0	0	0	0	1	0
chr1	1592474	1592769	Heritable	0	0	0	0	0	1	0	0	0	0	1	0
chr1	1666843	1667369	Heritable	1	0	0	1	0	0	0	1	0	0	0	0
chr1	1903901	1904043	Heritable	0	0	0	0	0	1	0	0	0	0	1	0
chr1	1909408	1909780	Heritable	0	0	0	0	0	0	1	0	0	0	1	0
chr1	1931092	1933010	Heritable	1	0	0	1	0	1	0	1	0	0	0	0
chr1	1948335	1949786	Heritable	0	0	0	1	0	1	0	1	0	0	0	0
chr1	1983890	1984190	Heritable	0	0	1	1	0	0	1	0	0	0	0	0
chr1	2023270	2023997	Heritable	1	0	1	1	1	0	1	1	0	1	0	0
chr1	2024922	2025554	Heritable	1	0	1	1	1	0	1	0	0	1	0	0
