seqnames	start	end	h2_category	hg38_genes_promoters	hg38_genes_1to5kb	hg38_genes_5UTRs	hg38_genes_exons	hg38_genes_introns	hg38_genes_3UTRs	hg38_cpg_islands	hg38_cpg_shores	hg38_cpg_shelves	hg38_cpg_inter	hg38_genes_intergenic	hg38_enhancers_fantom
chr1	1013950	1014726	Non-heritable	1	1	1	1	1	1	1	1	0	0	0	0
chr1	1039547	1040119	Non-heritable	0	0	0	0	1	0	1	1	0	0	0	0
chr1	1068037	1068284	Non-heritable	0	1	0	0	1	0	1	0	0	0	0	0
chr1	1174200	1174635	Heritable	0	0	1	1	1	0	1	0	0	0	0	0
chr1	1212849	1213039	Non-heritable	0	0	0	1	1	0	0	1	0	0	0	0
chr1	1274847	1275119	Heritable	1	1	0	0	0	0	0	1	0	0	0	0
chr1	1290344	1290443	Non-heritable	0	0	0	1	1	1	1	0	0	0	0	0
chr1	1296830	1297070	Heritable	1	1	0	0	1	0	1	0	0	0	0	0
chr1	1303215	1304156	Non-heritable	1	1	0	1	1	1	0	0	1	0	0	0
chr1	1354462	1355005	Non-heritable	1	0	0	1	1	0	1	0	0	0	0	0
chr1	1428247	1428417	Non-heritable	0	0	0	1	0	1	0	1	0	0	0	0
chr1	1431655	1432049	Non-heritable	1	1	0	1	1	0	0	1	0	0	0	0
chr1	1434848	1435266	Non-heritable	1	1	1	1	1	0	0	1	0	0	0	0
chr1	1441769	1442051	Non-heritable	0	0	0	1	0	1	0	1	0	0	0	0
chr1	1505666	1505773	Non-heritable	1	0	0	1	1	0	0	0	1	0	0	0
chr1	1630437	1630551	Non-heritable	0	1	0	1	0	1	1	0	0	0	0	0
chr1	1633270	1633871	Non-heritable	1	0	0	1	1	1	1	0	0	0	0	0
chr1	1708368	1708589	Heritable	1	1	0	0	1	0	0	0	1	0	0	0
chr1	1722447	1723483	Non-heritable	1	1	1	1	1	0	0	1	0	0	0	0
chr1	1946615	1947019	Non-heritable	0	0	0	1	1	0	0	0	1	0	0	0
chr1	2025586	2026153	Non-heritable	1	1	0	1	1	1	1	1	0	0	0	0
chr1	2087884	2087952	Non-heritable	0	0	0	0	1	0	0	0	0	1	0	0
chr1	2092348	2092414	Heritable	0	0	0	0	1	0	0	1	0	0	0	0
chr1	2099092	2099420	Non-heritable	0	0	0	0	1	0	0	0	0	1	0	0
chr1	2104272	2104474	Heritable	1	0	0	0	1	0	0	0	1	0	0	0
chr1	2109006	2109176	Non-heritable	0	1	0	0	1	0	0	1	0	0	0	0
chr1	2124263	2124598	Heritable	0	0	0	0	1	0	1	1	0	0	0	0
chr1	2126998	2127229	Non-heritable	0	0	0	0	1	0	0	0	1	0	0	0
chr1	2132344	2132577	Heritable	0	1	0	0	1	0	1	0	0	0	0	0
chr1	2134066	2135014	Non-heritable	1	1	1	1	1	0	1	1	0	0	0	0
chr1	2158128	2158596	Non-heritable	0	0	0	0	1	0	0	0	0	1	0	0
chr1	2189201	2190585	Heritable	0	1	0	1	1	1	1	1	0	0	0	0
chr1	2213931	2214571	Non-heritable	0	1	0	0	1	0	0	1	0	0	0	0
chr1	2234020	2234152	Non-heritable	0	0	0	0	1	0	0	0	0	1	0	0
chr1	2271402	2271573	Heritable	0	0	0	0	1	0	0	0	0	1	0	0
chr1	2322806	2323153	Non-heritable	0	0	0	1	1	0	1	0	0	0	0	0
chr1	2336043	2336495	Non-heritable	0	0	0	1	1	0	0	1	0	0	0	0
chr1	2347155	2347372	Heritable	0	0	0	0	1	0	0	1	1	0	0	0
chr1	2425950	2426444	Non-heritable	1	0	1	1	1	0	0	0	1	0	0	0
chr1	2493545	2493847	Heritable	1	1	0	1	1	0	0	0	0	1	0	0
chr1	2545406	2545505	Non-heritable	1	0	0	0	1	0	0	1	0	0	0	0
chr1	2552465	2552555	Heritable	1	1	0	1	1	0	0	0	0	1	0	0
chr1	2556827	2557281	Non-heritable	1	1	0	1	1	0	0	0	0	1	0	0
chr1	2585130	2585214	Heritable	1	1	0	0	0	0	0	1	0	0	0	0
chr1	2790121	2790228	Non-heritable	1	0	0	1	0	0	1	0	0	0	0	0
chr1	2792826	2793811	Heritable	0	1	0	0	1	0	0	0	1	0	0	0
chr1	2806631	2807076	Heritable	0	1	0	0	0	0	0	0	0	1	1	0
chr1	2821908	2822045	Non-heritable	0	0	0	0	0	0	0	0	0	1	1	0
chr1	2855792	2856094	Non-heritable	0	0	0	0	0	0	1	0	0	0	1	1
chr1	2874657	2875027	Heritable	0	0	0	0	0	0	0	0	0	1	1	0
chr1	2875878	2876458	Non-heritable	0	0	0	0	0	0	0	0	0	1	1	0
chr1	2882973	2883211	Heritable	0	0	0	0	0	0	0	0	0	1	1	0
chr1	2947207	2947679	Heritable	0	0	0	0	0	0	0	0	0	1	1	0
chr1	2949159	2950250	Non-heritable	0	0	0	0	0	0	0	0	0	1	1	0
chr1	2967016	2967593	Heritable	0	1	0	0	1	0	0	1	0	0	0	0
chr1	2968913	2969174	Non-heritable	1	0	0	0	0	0	0	1	0	0	0	0
chr1	2982933	2983551	Non-heritable	0	0	0	0	0	0	0	0	0	1	1	0
chr1	2984786	2984956	Non-heritable	0	0	0	0	0	0	0	0	0	1	1	0
chr1	3011832	3012022	Non-heritable	0	0	0	0	0	0	0	1	0	0	1	0
chr1	3031124	3031708	Non-heritable	0	0	0	0	0	0	0	0	0	1	1	0
chr1	3062584	3064262	Non-heritable	1	1	0	1	1	0	1	1	0	0	0	0
chr1	3121584	3122197	Heritable	0	0	0	0	1	0	1	1	0	0	0	0
chr1	3155422	3155701	Non-heritable	0	0	0	0	1	0	1	1	0	0	0	0
chr1	3161642	3161855	Non-heritable	0	0	0	0	1	0	0	0	1	0	0	1
chr1	3162138	3162239	Heritable	0	0	0	0	1	0	0	0	1	0	0	0
chr1	3174775	3175021	Heritable	0	0	0	0	1	0	0	0	0	1	0	0
chr1	3198732	3199044	Non-heritable	0	0	0	0	1	0	0	0	1	0	0	0
chr1	3212074	3212258	Non-heritable	0	0	0	0	1	0	0	0	0	1	0	1
chr1	3219631	3219843	Non-heritable	0	0	0	0	1	0	0	0	0	1	0	1
chr1	3360659	3361422	Non-heritable	0	0	0	0	1	0	0	1	1	0	0	0
chr1	3393326	3393628	Non-heritable	0	1	0	0	1	0	1	1	0	0	0	1
chr1	3402093	3402524	Heritable	0	0	0	0	1	0	0	0	1	0	0	0
chr1	3423402	3423647	Non-heritable	0	1	0	0	1	0	0	1	1	0	0	0
chr1	3504240	3504605	Non-heritable	0	0	0	0	1	0	0	0	1	0	0	1
chr1	3529274	3529836	Heritable	0	0	0	0	1	0	0	1	0	0	0	0
chr1	3540026	3540358	Heritable	0	0	0	0	1	0	0	0	1	0	0	0
chr1	3543311	3543420	Non-heritable	0	0	0	0	1	0	1	0	0	0	0	1
chr1	3653293	3653403	Non-heritable	1	1	0	0	1	0	0	1	0	0	0	0
chr1	3708988	3709104	Heritable	0	0	0	0	1	0	0	0	1	0	0	0
chr1	3717834	3718098	Non-heritable	0	1	0	0	1	0	1	1	0	0	0	0
chr1	3727409	3727904	Non-heritable	1	0	0	1	1	0	0	0	0	1	0	0
chr1	3745766	3746350	Non-heritable	1	1	0	1	1	0	0	1	0	0	0	0
chr1	3834820	3835069	Non-heritable	0	1	0	1	1	1	0	0	0	1	0	0
chr1	3890597	3890946	Non-heritable	0	0	1	1	0	1	0	1	0	0	0	0
chr1	4027548	4027767	Heritable	0	0	0	0	0	0	0	0	0	1	1	0
chr1	4108879	4109310	Non-heritable	0	0	0	0	0	0	0	0	0	1	1	0
chr1	4132552	4132632	Heritable	0	0	0	0	0	0	1	1	0	0	1	0
