seqnames	start	end	width	strand	annot.seqnames	annot.start	annot.end	annot.width	annot.strand	annot.id	annot.tx_id	annot.gene_id	annot.symbol	annot.type	h2_category
chr1	1013950	1014726	777	*	chr1	1013194	1014193	1000	-	promoter:11789	ENST00000458555.1			hg38_genes_promoters	Non-heritable
chr1	1013950	1014726	777	*	chr1	1014194	1018193	4000	-	1to5kb:11789	ENST00000458555.1			hg38_genes_1to5kb	Non-heritable
chr1	1013950	1014726	777	*	chr1	1013984	1014004	21	+	5UTR:15	ENST00000624697.4	9636	ISG15	hg38_genes_5UTRs	Non-heritable
chr1	1013950	1014726	777	*	chr1	1013984	1014004	21	+	5UTR:18	ENST00000624652.1	9636	ISG15	hg38_genes_5UTRs	Non-heritable
chr1	1013950	1014726	777	*	chr1	1013984	1014540	557	+	exon:624	ENST00000624697.4	9636	ISG15	hg38_genes_exons	Non-heritable
chr1	1013950	1014726	777	*	chr1	1013984	1014435	452	+	exon:627	ENST00000624652.1	9636	ISG15	hg38_genes_exons	Non-heritable
chr1	1013950	1014726	777	*	chr1	1013984	1014540	557	+	exon:629	ENST00000649529.1	9636	ISG15	hg38_genes_exons	Non-heritable
chr1	1013950	1014726	777	*	chr1	1008280	1013983	5704	+	intron:484	ENST00000624697.4	9636	ISG15	hg38_genes_introns	Non-heritable
chr1	1013950	1014726	777	*	chr1	1008280	1013983	5704	+	intron:486	ENST00000624652.1	9636	ISG15	hg38_genes_introns	Non-heritable
chr1	1013950	1014726	777	*	chr1	1013577	1013983	407	+	intron:487	ENST00000649529.1	9636	ISG15	hg38_genes_introns	Non-heritable
chr1	1013950	1014726	777	*	chr1	1014479	1014540	62	+	3UTR:17	ENST00000624697.4	9636	ISG15	hg38_genes_3UTRs	Non-heritable
chr1	1013950	1014726	777	*	chr1	1014479	1014540	62	+	3UTR:18	ENST00000649529.1	9636	ISG15	hg38_genes_3UTRs	Non-heritable
chr1	1013950	1014726	777	*	chr1	1013949	1014471	523	*	island:29				hg38_cpg_islands	Non-heritable
chr1	1013950	1014726	777	*	chr1	1014472	1016471	2000	*	shore:50				hg38_cpg_shores	Non-heritable
chr1	1039547	1040119	573	*	chr1	1035325	1040664	5340	+	intron:490	ENST00000379370.7	375790	AGRN	hg38_genes_introns	Non-heritable
chr1	1039547	1040119	573	*	chr1	1035325	1040664	5340	+	intron:525	ENST00000620552.4	375790	AGRN	hg38_genes_introns	Non-heritable
chr1	1039547	1040119	573	*	chr1	1035325	1040664	5340	+	intron:562	ENST00000651234.1	375790	AGRN	hg38_genes_introns	Non-heritable
chr1	1039547	1040119	573	*	chr1	1035325	1040664	5340	+	intron:599	ENST00000652369.1	375790	AGRN	hg38_genes_introns	Non-heritable
chr1	1039547	1040119	573	*	chr1	1035325	1040664	5340	+	intron:632	ENST00000469403.1	375790	AGRN	hg38_genes_introns	Non-heritable
chr1	1039547	1040119	573	*	chr1	1040116	1044925	4810	*	island:33				hg38_cpg_islands	Non-heritable
chr1	1039547	1040119	573	*	chr1	1038116	1040115	2000	*	shore:56				hg38_cpg_shores	Non-heritable
chr1	1068037	1068284	248	*	chr1	1064289	1068288	4000	-	1to5kb:11790	ENST00000442292.2			hg38_genes_1to5kb	Non-heritable
chr1	1068037	1068284	248	*	chr1	1068004	1068576	573	+	intron:672	ENST00000412397.2	100288175	LOC100288175	hg38_genes_introns	Non-heritable
chr1	1068037	1068284	248	*	chr1	1067283	1069938	2656	*	island:42				hg38_cpg_islands	Non-heritable
chr1	1174200	1174635	436	*	chr1	1174285	1174321	37	+	5UTR:26	ENST00000379289.6	254173	TTLL10	hg38_genes_5UTRs	Heritable
chr1	1174200	1174635	436	*	chr1	1174424	1174489	66	+	5UTR:27	ENST00000379289.6	254173	TTLL10	hg38_genes_5UTRs	Heritable
chr1	1174200	1174635	436	*	chr1	1174266	1174321	56	+	5UTR:30	ENST00000379290.6	254173	TTLL10	hg38_genes_5UTRs	Heritable
chr1	1174200	1174635	436	*	chr1	1174424	1174489	66	+	5UTR:31	ENST00000379290.6	254173	TTLL10	hg38_genes_5UTRs	Heritable
chr1	1174200	1174635	436	*	chr1	1174216	1174321	106	+	5UTR:34	ENST00000673999.1	254173	TTLL10	hg38_genes_5UTRs	Heritable
chr1	1174200	1174635	436	*	chr1	1174424	1174489	66	+	5UTR:35	ENST00000673999.1	254173	TTLL10	hg38_genes_5UTRs	Heritable
chr1	1174200	1174635	436	*	chr1	1174285	1174321	37	+	exon:850	ENST00000379289.6	254173	TTLL10	hg38_genes_exons	Heritable
chr1	1174200	1174635	436	*	chr1	1174424	1174489	66	+	exon:851	ENST00000379289.6	254173	TTLL10	hg38_genes_exons	Heritable
chr1	1174200	1174635	436	*	chr1	1174266	1174321	56	+	exon:866	ENST00000379290.6	254173	TTLL10	hg38_genes_exons	Heritable
chr1	1174200	1174635	436	*	chr1	1174424	1174489	66	+	exon:867	ENST00000379290.6	254173	TTLL10	hg38_genes_exons	Heritable
chr1	1174200	1174635	436	*	chr1	1174521	1175034	514	+	exon:882	ENST00000506177.1	254173	TTLL10	hg38_genes_exons	Heritable
chr1	1174200	1174635	436	*	chr1	1174216	1174321	106	+	exon:884	ENST00000673999.1	254173	TTLL10	hg38_genes_exons	Heritable
chr1	1174200	1174635	436	*	chr1	1174424	1174489	66	+	exon:885	ENST00000673999.1	254173	TTLL10	hg38_genes_exons	Heritable
chr1	1174200	1174635	436	*	chr1	1173056	1176396	3341	-	exon:82005	ENST00000379317.1	100506376	TTLL10-AS1	hg38_genes_exons	Heritable
chr1	1174200	1174635	436	*	chr1	1173927	1174284	358	+	intron:679	ENST00000379289.6	254173	TTLL10	hg38_genes_introns	Heritable
chr1	1174200	1174635	436	*	chr1	1174322	1174423	102	+	intron:680	ENST00000379289.6	254173	TTLL10	hg38_genes_introns	Heritable
chr1	1174200	1174635	436	*	chr1	1174490	1179188	4699	+	intron:681	ENST00000379289.6	254173	TTLL10	hg38_genes_introns	Heritable
chr1	1174200	1174635	436	*	chr1	1173927	1174265	339	+	intron:694	ENST00000379290.6	254173	TTLL10	hg38_genes_introns	Heritable
chr1	1174200	1174635	436	*	chr1	1174322	1174423	102	+	intron:695	ENST00000379290.6	254173	TTLL10	hg38_genes_introns	Heritable
chr1	1174200	1174635	436	*	chr1	1174490	1179188	4699	+	intron:696	ENST00000379290.6	254173	TTLL10	hg38_genes_introns	Heritable
chr1	1174200	1174635	436	*	chr1	1173927	1174520	594	+	intron:709	ENST00000506177.1	254173	TTLL10	hg38_genes_introns	Heritable
chr1	1174200	1174635	436	*	chr1	1173927	1174215	289	+	intron:710	ENST00000673999.1	254173	TTLL10	hg38_genes_introns	Heritable
chr1	1174200	1174635	436	*	chr1	1174322	1174423	102	+	intron:711	ENST00000673999.1	254173	TTLL10	hg38_genes_introns	Heritable
chr1	1174200	1174635	436	*	chr1	1174490	1179188	4699	+	intron:712	ENST00000673999.1	254173	TTLL10	hg38_genes_introns	Heritable
chr1	1174200	1174635	436	*	chr1	1173934	1174765	832	*	island:58				hg38_cpg_islands	Heritable
chr1	1212849	1213039	191	*	chr1	1212862	1213093	232	-	exon:82026	ENST00000699969.1	7293	TNFRSF4	hg38_genes_exons	Non-heritable
chr1	1212849	1213039	191	*	chr1	1212992	1213093	102	-	exon:82032	ENST00000699970.1	7293	TNFRSF4	hg38_genes_exons	Non-heritable
chr1	1212849	1213039	191	*	chr1	1212992	1213785	794	-	exon:82038	ENST00000497869.5	7293	TNFRSF4	hg38_genes_exons	Non-heritable
chr1	1212849	1213039	191	*	chr1	1212992	1213093	102	-	exon:82044	ENST00000379236.4	7293	TNFRSF4	hg38_genes_exons	Non-heritable
chr1	1212849	1213039	191	*	chr1	1212992	1213093	102	-	exon:82051	ENST00000699971.1	7293	TNFRSF4	hg38_genes_exons	Non-heritable
chr1	1212849	1213039	191	*	chr1	1212992	1213785	794	-	exon:82056	ENST00000699972.1	7293	TNFRSF4	hg38_genes_exons	Non-heritable
chr1	1212849	1213039	191	*	chr1	1212862	1213093	232	-	exon:82063	ENST00000699973.1	7293	TNFRSF4	hg38_genes_exons	Non-heritable
chr1	1212849	1213039	191	*	chr1	1212992	1213093	102	-	exon:82070	ENST00000699974.1	7293	TNFRSF4	hg38_genes_exons	Non-heritable
chr1	1212849	1213039	191	*	chr1	1212992	1213093	102	-	exon:82076	ENST00000699975.1	7293	TNFRSF4	hg38_genes_exons	Non-heritable
chr1	1212849	1213039	191	*	chr1	1212992	1213093	102	-	exon:82081	ENST00000699976.1	7293	TNFRSF4	hg38_genes_exons	Non-heritable
chr1	1212849	1213039	191	*	chr1	1212992	1213093	102	-	exon:82087	ENST00000699977.1	7293	TNFRSF4	hg38_genes_exons	Non-heritable
chr1	1212849	1213039	191	*	chr1	1212992	1213093	102	-	exon:82093	ENST00000699978.1	7293	TNFRSF4	hg38_genes_exons	Non-heritable
chr1	1212849	1213039	191	*	chr1	1212992	1213093	102	-	exon:82100	ENST00000699979.1	7293	TNFRSF4	hg38_genes_exons	Non-heritable
chr1	1212849	1213039	191	*	chr1	1212992	1213093	102	-	exon:82105	ENST00000453580.1	7293	TNFRSF4	hg38_genes_exons	Non-heritable
chr1	1212849	1213039	191	*	chr1	1212139	1212861	723	-	intron:70211	ENST00000699969.1	7293	TNFRSF4	hg38_genes_introns	Non-heritable
chr1	1212849	1213039	191	*	chr1	1212705	1212991	287	-	intron:70217	ENST00000699970.1	7293	TNFRSF4	hg38_genes_introns	Non-heritable
chr1	1212849	1213039	191	*	chr1	1212705	1212991	287	-	intron:70222	ENST00000497869.5	7293	TNFRSF4	hg38_genes_introns	Non-heritable
chr1	1212849	1213039	191	*	chr1	1212705	1212991	287	-	intron:70227	ENST00000379236.4	7293	TNFRSF4	hg38_genes_introns	Non-heritable
chr1	1212849	1213039	191	*	chr1	1212705	1212991	287	-	intron:70232	ENST00000699971.1	7293	TNFRSF4	hg38_genes_introns	Non-heritable
chr1	1212849	1213039	191	*	chr1	1212705	1212991	287	-	intron:70238	ENST00000699972.1	7293	TNFRSF4	hg38_genes_introns	Non-heritable
chr1	1212849	1213039	191	*	chr1	1212705	1212861	157	-	intron:70243	ENST00000699973.1	7293	TNFRSF4	hg38_genes_introns	Non-heritable
chr1	1212849	1213039	191	*	chr1	1212705	1212991	287	-	intron:70248	ENST00000699974.1	7293	TNFRSF4	hg38_genes_introns	Non-heritable
chr1	1212849	1213039	191	*	chr1	1211833	1212991	1159	-	intron:70252	ENST00000699975.1	7293	TNFRSF4	hg38_genes_introns	Non-heritable
chr1	1212849	1213039	191	*	chr1	1212705	1212991	287	-	intron:70257	ENST00000699976.1	7293	TNFRSF4	hg38_genes_introns	Non-heritable
chr1	1212849	1213039	191	*	chr1	1212705	1212991	287	-	intron:70262	ENST00000699977.1	7293	TNFRSF4	hg38_genes_introns	Non-heritable
chr1	1212849	1213039	191	*	chr1	1212705	1212991	287	-	intron:70268	ENST00000699978.1	7293	TNFRSF4	hg38_genes_introns	Non-heritable
chr1	1212849	1213039	191	*	chr1	1212139	1212991	853	-	intron:70273	ENST00000699979.1	7293	TNFRSF4	hg38_genes_introns	Non-heritable
chr1	1212849	1213039	191	*	chr1	1212705	1212991	287	-	intron:70277	ENST00000453580.1	7293	TNFRSF4	hg38_genes_introns	Non-heritable
chr1	1212849	1213039	191	*	chr1	1211535	1213674	2140	*	shore:97				hg38_cpg_shores	Non-heritable
chr1	1274847	1275119	273	*	chr1	1274223	1275222	1000	+	promoter:180	ENST00000434139.1	101928895	LINC01786	hg38_genes_promoters	Heritable
chr1	1274847	1275119	273	*	chr1	1274237	1275236	1000	+	promoter:181	ENST00000453732.1	101928895	LINC01786	hg38_genes_promoters	Heritable
chr1	1274847	1275119	273	*	chr1	1273854	1274853	1000	-	promoter:11843	ENST00000450390.6	118424	UBE2J2	hg38_genes_promoters	Heritable
chr1	1274847	1275119	273	*	chr1	1273855	1274854	1000	-	promoter:11844	ENST00000349431.11	118424	UBE2J2	hg38_genes_promoters	Heritable
chr1	1274847	1275119	273	*	chr1	1273855	1274854	1000	-	promoter:11845	ENST00000347370.6	118424	UBE2J2	hg38_genes_promoters	Heritable
chr1	1274847	1275119	273	*	chr1	1273856	1274855	1000	-	promoter:11846	ENST00000400929.6	118424	UBE2J2	hg38_genes_promoters	Heritable
chr1	1274847	1275119	273	*	chr1	1273865	1274864	1000	-	promoter:11847	ENST00000464036.5	118424	UBE2J2	hg38_genes_promoters	Heritable
chr1	1274847	1275119	273	*	chr1	1273850	1274849	1000	-	promoter:11851	ENST00000473215.5	118424	UBE2J2	hg38_genes_promoters	Heritable
chr1	1274847	1275119	273	*	chr1	1273855	1274854	1000	-	promoter:11857	ENST00000477894.5	118424	UBE2J2	hg38_genes_promoters	Heritable
chr1	1274847	1275119	273	*	chr1	1273855	1274854	1000	-	promoter:11860	ENST00000502382.1	118424	UBE2J2	hg38_genes_promoters	Heritable
chr1	1274847	1275119	273	*	chr1	1274854	1278853	4000	-	1to5kb:11843	ENST00000450390.6	118424	UBE2J2	hg38_genes_1to5kb	Heritable
chr1	1274847	1275119	273	*	chr1	1274855	1278854	4000	-	1to5kb:11844	ENST00000349431.11	118424	UBE2J2	hg38_genes_1to5kb	Heritable
chr1	1274847	1275119	273	*	chr1	1274855	1278854	4000	-	1to5kb:11845	ENST00000347370.6	118424	UBE2J2	hg38_genes_1to5kb	Heritable
chr1	1274847	1275119	273	*	chr1	1274856	1278855	4000	-	1to5kb:11846	ENST00000400929.6	118424	UBE2J2	hg38_genes_1to5kb	Heritable
chr1	1274847	1275119	273	*	chr1	1274865	1278864	4000	-	1to5kb:11847	ENST00000464036.5	118424	UBE2J2	hg38_genes_1to5kb	Heritable
chr1	1274847	1275119	273	*	chr1	1274727	1278726	4000	-	1to5kb:11848	ENST00000360466.6	118424	UBE2J2	hg38_genes_1to5kb	Heritable
chr1	1274847	1275119	273	*	chr1	1274834	1278833	4000	-	1to5kb:11849	ENST00000400930.8	118424	UBE2J2	hg38_genes_1to5kb	Heritable
chr1	1274847	1275119	273	*	chr1	1274850	1278849	4000	-	1to5kb:11851	ENST00000473215.5	118424	UBE2J2	hg38_genes_1to5kb	Heritable
chr1	1274847	1275119	273	*	chr1	1274845	1278844	4000	-	1to5kb:11852	ENST00000435198.5	118424	UBE2J2	hg38_genes_1to5kb	Heritable
chr1	1274847	1275119	273	*	chr1	1274828	1278827	4000	-	1to5kb:11853	ENST00000509720.5	118424	UBE2J2	hg38_genes_1to5kb	Heritable
chr1	1274847	1275119	273	*	chr1	1274791	1278790	4000	-	1to5kb:11854	ENST00000491779.5	118424	UBE2J2	hg38_genes_1to5kb	Heritable
chr1	1274847	1275119	273	*	chr1	1274816	1278815	4000	-	1to5kb:11855	ENST00000466752.5	118424	UBE2J2	hg38_genes_1to5kb	Heritable
chr1	1274847	1275119	273	*	chr1	1274834	1278833	4000	-	1to5kb:11856	ENST00000503294.5	118424	UBE2J2	hg38_genes_1to5kb	Heritable
chr1	1274847	1275119	273	*	chr1	1274855	1278854	4000	-	1to5kb:11857	ENST00000477894.5	118424	UBE2J2	hg38_genes_1to5kb	Heritable
chr1	1274847	1275119	273	*	chr1	1274838	1278837	4000	-	1to5kb:11859	ENST00000422076.5	118424	UBE2J2	hg38_genes_1to5kb	Heritable
chr1	1274847	1275119	273	*	chr1	1274855	1278854	4000	-	1to5kb:11860	ENST00000502382.1	118424	UBE2J2	hg38_genes_1to5kb	Heritable
chr1	1274847	1275119	273	*	chr1	1274838	1278837	4000	-	1to5kb:11861	ENST00000461142.3	118424	UBE2J2	hg38_genes_1to5kb	Heritable
chr1	1274847	1275119	273	*	chr1	1274472	1278471	4000	-	1to5kb:11862	ENST00000488418.2	118424	UBE2J2	hg38_genes_1to5kb	Heritable
