cohort	tissue	population	modality	vmr_id	seqnames	start	end	h2_category	h2_unscaled	n_pairs_tested	n_features_tested	n_sig_fdr_05	n_sig_fdr_10	min_p	min_fdr	max_abs_beta	strongest_beta
BA_only	caudate	AA	psi	chr10_100348146_100351725	chr10	100348146	100351725	Heritable	0.122590951055559	204	204	0	0	0.000557336020637203	0.448658555537321	15.0136293366965	-15.0136293366965
BA_only	caudate	AA	psi	chr10_100621189_100622124	chr10	100621189	100622124	Non-heritable	0.0776285567093207	172	172	0	0	0.0049047800167806	0.740574320178345	5.08644461867783	5.08644461867783
BA_only	caudate	AA	psi	chr10_100736368_100737150	chr10	100736368	100737150	Non-heritable	0.048240883131588	69	69	0	0	0.0239818321018202	0.877961453643399	2.45380367141346	2.45380367141346
BA_only	caudate	AA	psi	chr10_100914718_100915820	chr10	100914718	100915820	Heritable	0.178188125434337	83	83	0	0	0.0102982403349773	0.812291447121524	2.86270331303354	-2.86270331303354
BA_only	caudate	AA	psi	chr10_100932348_100932948	chr10	100932348	100932948	Non-heritable	0.0704787193384847	83	83	0	0	0.00343366709783628	0.699810940862601	2.06820585574436	-2.06820585574436
BA_only	caudate	AA	psi	chr10_101005647_101007246	chr10	101005647	101007246	Non-heritable	0.0977493890557411	84	84	0	0	0.00940362032654597	0.803289342187042	1.87472206964054	-1.87472206964054
BA_only	caudate	AA	psi	chr10_101008138_101008841	chr10	101008138	101008841	Non-heritable	0.0860913571730376	84	84	0	0	0.0391130113259736	0.90294415329316	1.72897570971683	1.72897570971683
BA_only	caudate	AA	psi	chr10_101311322_101312231	chr10	101311322	101312231	Non-heritable	0.033078848218286	95	95	0	0	0.00111708933292478	0.548713083184003	5.63683876743971	5.63683876743971
BA_only	caudate	AA	psi	chr10_101774274_101774853	chr10	101774274	101774853	Non-heritable	0.0970363589032236	75	75	0	0	0.0243569419819655	0.878437288562559	1.73966366506133	1.73966366506133
BA_only	caudate	AA	psi	chr10_101843180_101843272	chr10	101843180	101843272	Non-heritable	0.0510310123962344	53	53	0	0	0.0188812911725719	0.859972228261328	3.67097620742228	3.67097620742228
BA_only	caudate	AA	psi	chr10_102113370_102114054	chr10	102113370	102114054	Non-heritable	0.0290176092524506	98	98	0	0	0.00431213044423625	0.72254821133772	2.83920714107767	2.83920714107767
BA_only	caudate	AA	psi	chr10_102115947_102116250	chr10	102115947	102116250	Heritable	0.109066310155861	100	100	0	0	0.000159222713971196	0.262399032624531	6.25615288234865	-6.25615288234865
BA_only	caudate	AA	psi	chr10_1022752_1022957	chr10	1022752	1022957	Heritable	0.11251089326097	99	99	0	0	0.0112885940290531	0.819326498687434	2.16772003549418	2.16772003549418
BA_only	caudate	AA	psi	chr10_102433115_102433216	chr10	102433115	102433216	Heritable	0.593290717820311	222	222	0	0	0.00194285488059549	0.622601505050418	2.94459279769327	-2.94459279769327
BA_only	caudate	AA	psi	chr10_102853856_102854030	chr10	102853856	102854030	Non-heritable	0.0644757203856633	84	84	0	0	0.0203785759014112	0.865606842948496	3.38648195826399	-3.38648195826399
BA_only	caudate	AA	psi	chr10_103451170_103451467	chr10	103451170	103451467	Non-heritable	0.0918244698448471	55	55	0	0	0.0280215045397604	0.885027438790875	1.38457705479521	-1.38457705479521
BA_only	caudate	AA	psi	chr10_103473315_103473668	chr10	103473315	103473668	Heritable	0.117777064790719	55	55	0	0	0.000493412376664314	0.432208077346607	2.40455338579512	-2.40455338579512
BA_only	caudate	AA	psi	chr10_1034873_1035406	chr10	1034873	1035406	Heritable	0.114035170737899	99	99	0	0	0.000637123159675309	0.466075451750109	1.37203907826467	1.37203907826467
BA_only	caudate	AA	psi	chr10_103555899_103556043	chr10	103555899	103556043	Non-heritable	0.0492495227486305	34	34	0	0	0.00576545202602532	0.758005001399413	5.367626630633	5.367626630633
BA_only	caudate	AA	psi	chr10_103585101_103585172	chr10	103585101	103585172	Non-heritable	0.0752720321406277	33	33	0	0	0.000189471544467293	0.285187473760226	1.18101865688223	1.18101865688223
BA_only	caudate	AA	psi	chr10_103605602_103605854	chr10	103605602	103605854	Non-heritable	0.0493016208092341	30	30	0	0	0.0193328728533362	0.862248833571172	3.47769744731244	3.47769744731244
BA_only	caudate	AA	psi	chr10_103659938_103662105	chr10	103659938	103662105	Non-heritable	0.0366534101278801	50	50	0	0	0.0204195696651325	0.865671330419535	1.87392189611139	-1.87392189611139
BA_only	caudate	AA	psi	chr10_103663898_103664184	chr10	103663898	103664184	Non-heritable	0.0401377839675275	50	50	0	0	0.00402614365490561	0.716714783881243	7.73068376319377	7.73068376319377
