Region	Chr	Start	End
dlpfc	chr1	248590195	248590333
dlpfc	chr1	248591887	248593692
dlpfc	chr1	248595995	248596627
dlpfc	chr1	248598904	248599514
dlpfc	chr1	248603958	248607266
dlpfc	chr1	248618260	248619474
dlpfc	chr1	248620943	248621867
dlpfc	chr1	248624829	248631926
dlpfc	chr1	248704256	248708346
dlpfc	chr10	394104	395056
dlpfc	chr10	486340	487133
dlpfc	chr10	323434	323520
dlpfc	chr10	293021	293875
dlpfc	chr10	241424	241889
dlpfc	chr10	453325	453661
dlpfc	chr11	399594	400744
dlpfc	chr11	396593	397650
dlpfc	chr11	374143	374453
dlpfc	chr11	361944	362206
dlpfc	chr11	353376	353654
dlpfc	chr11	320427	320732
dlpfc	chr11	311398	311669
dlpfc	chr11	299999	300329
dlpfc	chr11	479525	480018
dlpfc	chr11	494740	495427
dlpfc	chr11	424869	425060
dlpfc	chr11	403055	403357
dlpfc	chr12	231159	231407
dlpfc	chr12	203190	204263
dlpfc	chr12	199406	199986
dlpfc	chr12	188102	188865
dlpfc	chr12	461083	461142
dlpfc	chr12	104598	104834
dlpfc	chr12	103089	103315
dlpfc	chr12	453056	453959
dlpfc	chr12	442198	442519
dlpfc	chr16	386767	387199
dlpfc	chr16	369772	370255
dlpfc	chr16	483701	483917
dlpfc	chr16	173275	175879
dlpfc	chr16	166981	167907
dlpfc	chr16	10272	11089
dlpfc	chr16	400699	401188
dlpfc	chr17	379527	380084
dlpfc	chr17	359734	360339
dlpfc	chr17	240372	240787
dlpfc	chr17	207063	207869
dlpfc	chr19	489760	490184
dlpfc	chr19	361875	361968
dlpfc	chr19	480559	480888
dlpfc	chr19	479955	480232
dlpfc	chr19	291711	292021
dlpfc	chr19	289724	290261
dlpfc	chr19	422542	422682
dlpfc	chr2	383369	383696
dlpfc	chr2	237147	239247
dlpfc	chr2	231941	232754
dlpfc	chr2	214800	215399
dlpfc	chr2	199087	199208
dlpfc	chr20	278792	279586
dlpfc	chr3	308678	309330
dlpfc	chr3	11752	11990
dlpfc	chr4	130057	130634
dlpfc	chr5	344566	344901
dlpfc	chr5	270692	270939
dlpfc	chr5	475365	476238
dlpfc	chr5	241192	242390
dlpfc	chr5	209771	210691
dlpfc	chr5	197092	197568
dlpfc	chr5	191687	191814
dlpfc	chr5	51300	51496
dlpfc	chr5	415596	415774
dlpfc	chr6	487902	488412
dlpfc	chr6	453110	454420
dlpfc	chr6	436955	437247
dlpfc	chr7	360142	360627
dlpfc	chr7	353448	353912
dlpfc	chr7	341854	342583
dlpfc	chr7	498140	498611
dlpfc	chr7	159619	160338
dlpfc	chr7	154334	155083
dlpfc	chr7	150002	150116
dlpfc	chr7	442672	443469
dlpfc	chr7	437758	438092
dlpfc	chr7	431668	432118
dlpfc	chr7	425022	425684
dlpfc	chr8	384725	385508
dlpfc	chr8	352862	353604
dlpfc	chr8	281081	282184
dlpfc	chr8	266509	267304
dlpfc	chr9	469037	469391
