seqnames	start	end	h2_category	h2_unscaled	tissue	TargetGene_name	TargetGene	ABC.Score	distance
chr2	19863356	19863658	Non-heritable	0.0279139064947476	Caudate	LINC00954	ENSG00000228784	0.054747	5296.5
chr2	27765973	27766621	Non-heritable	0.0501294448399847	Caudate	MRPL33	ENSG00000243147	0.05761	5738.5
chr2	119283915	119284248	Non-heritable	0.0631107862146316	Caudate	STEAP3-AS1	ENSG00000229867	0.059702	35106.5
chr2	119283915	119284248	Non-heritable	0.0631107862146316	Caudate	STEAP3	ENSG00000115107	0.046479	60346.5
chr2	119283915	119284248	Non-heritable	0.0631107862146316	Caudate	MARCO	ENSG00000019169	0.024781	342011.5
chr2	119283915	119284248	Non-heritable	0.0631107862146316	Caudate	TMEM37	ENSG00000171227	0.021282	145723.5
chr2	127176041	127176829	Heritable	0.417787303363427	Caudate	CYP27C1	ENSG00000186684	0.032778	43280.5
chr2	130825152	130825810	Non-heritable	0.0336602708218101	Caudate	ARHGEF4	ENSG00000136002	0.027702	11254.5
chr2	231189960	231190423	Heritable	0.174592125786259	Caudate	ARMC9	ENSG00000135931	0.101727	7571.5
chr2	231189960	231190423	Heritable	0.174592125786259	Caudate	HTR2B	ENSG00000135914	0.027722	65856.5
chr3	4986136	4986458	Non-heritable	0.0852659729052902	Caudate	BHLHE40	ENSG00000134107	0.03569	7859.5
chr3	4986136	4986458	Non-heritable	0.0852659729052902	Caudate	""	ENSG00000235831	0.03569	7014.5
chr3	105353558	105354749	Heritable	0.206821336742509	Caudate	ALCAM	ENSG00000170017	0.024284	13208.5
chr3	194527150	194527690	Heritable	0.434513519813293	Caudate	ATP13A3	ENSG00000133657	0.033669	28998.5
chr3	194527150	194527690	Heritable	0.434513519813293	Caudate	LINC00884	ENSG00000233058	0.031781	39908.5
chr3	194527150	194527690	Heritable	0.434513519813293	Caudate	TMEM44-AS1	ENSG00000231770	0.021925	56648.5
chr4	3285921	3286328	Non-heritable	0.0883040606744155	Caudate	RGS12	ENSG00000159788	0.056628	6723.5
chr4	4852758	4853172	Non-heritable	0.0723023691670375	Caudate	MSX1	ENSG00000163132	0.050573	6460.5
chr4	25970889	25971344	Heritable	0.191084093943484	Caudate	SMIM20	ENSG00000250317	0.021855	108592.5
chr4	25970889	25971344	Heritable	0.191084093943484	Caudate	SEL1L3	ENSG00000091490	0.021855	106662.5
chr5	1652914	1653289	Heritable	0.151378854860471	Caudate	AC026412.1	ENSG00000188002	0.020373	19012.5
chr5	10138443	10138833	Non-heritable	0.0505960722606096	Caudate	FAM173B	ENSG00000150756	0.021523	111356.5
chr5	80091850	80092203	Non-heritable	0.0499385198400752	Caudate	AC012636.1	ENSG00000249825	0.020221	8228.5
chr5	140146511	140146641	Non-heritable	0.0616885385533499	Caudate	AC011379.2	ENSG00000254363	0.02044	11337.5
chr5	173866807	173867537	Non-heritable	0.0772495350013444	Caudate	CPEB4	ENSG00000113742	0.059924	21668.5
chr5	173866807	173867537	Non-heritable	0.0772495350013444	Caudate	BOD1	ENSG00000145919	0.040613	249951.5
chr6	32597755	32606804	Heritable	0.565124444745246	Caudate	HLA-DRB1	ENSG00000196126	0.037853	14836.5
chr6	32608025	32614068	Heritable	0.349575264737724	Caudate	HLA-DRB1	ENSG00000196126	0.052846	20149.5
chr6	32608025	32614068	Heritable	0.349575264737724	Caudate	HLA-DQA1	ENSG00000196735	0.032866	18181.5
chr6	32608025	32614068	Heritable	0.349575264737724	Caudate	HLA-DQB1	ENSG00000179344	0.021614	58385.5
chr6	36667028	36667656	Non-heritable	0.0868363399487031	Caudate	CDKN1A	ENSG00000124762	0.058741	9177.5
chr6	36667028	36667656	Non-heritable	0.0868363399487031	Caudate	DINOL	ENSG00000285244	0.05874	11276.5
chr6	156719680	156720652	Non-heritable	0.0423803225211126	Caudate	ARID1B	ENSG00000049618	0.072345	57287.5
