cohort	tissue	population	vmr_set	modality	vmr_id	seqnames	start	end	h2_category	h2_unscaled	n_pairs_tested	n_features_tested	n_sig_fdr_05	n_sig_fdr_10	min_p	min_fdr	max_abs_beta	strongest_beta
all_individuals	hippocampus	AA	AA_only	psi	chr10_100348146_100351440	chr10	100348146	100351440	Heritable	0.120071653685522	135	135	0	0	0.000521170583660066	0.544087183543006	4.78448552801731	-4.78448552801731
all_individuals	hippocampus	AA	AA_only	psi	chr10_100621870_100622124	chr10	100621870	100622124	Non-heritable	0.0525541463557764	109	109	0	0	0.0111718471915513	0.888821157813591	5.5858411263894	5.5858411263894
all_individuals	hippocampus	AA	AA_only	psi	chr10_100931759_100932948	chr10	100931759	100932948	Non-heritable	0.0940616044113185	79	79	0	0	0.0113801062576859	0.889489808291373	1.08351383789109	-1.08351383789109
all_individuals	hippocampus	AA	AA_only	psi	chr10_101006502_101007099	chr10	101006502	101007099	Heritable	0.141039797219523	122	122	0	0	0.000719917112394089	0.585265145612453	7.03989645972178	-7.03989645972178
all_individuals	hippocampus	AA	AA_only	psi	chr10_101008138_101008841	chr10	101008138	101008841	Heritable	0.196200839010095	122	122	0	0	0.000523576621908008	0.544917307514532	4.15707668150159	-4.15707668150159
all_individuals	hippocampus	AA	AA_only	psi	chr10_101149994_101151895	chr10	101149994	101151895	Heritable	0.144475835963511	155	155	0	0	0.000841125527471024	0.604612912858647	7.98417313612052	7.98417313612052
all_individuals	hippocampus	AA	AA_only	psi	chr10_101484347_101485044	chr10	101484347	101485044	Non-heritable	0.0825875608309607	108	108	0	0	0.0153236228522626	0.911613746193638	1.80978709107833	-1.80978709107833
all_individuals	hippocampus	AA	AA_only	psi	chr10_101507197_101507470	chr10	101507197	101507470	Non-heritable	0.0706502247709314	67	67	0	0	0.00237933624155628	0.752412081376892	4.96123607148879	-4.96123607148879
all_individuals	hippocampus	AA	AA_only	psi	chr10_10157082_10157472	chr10	10157082	10157472	Heritable	0.112910797070491	27	27	0	0	0.100764063594481	0.981353881310173	0.572620011317662	-0.572620011317662
all_individuals	hippocampus	AA	AA_only	psi	chr10_101829919_101830147	chr10	101829919	101830147	Non-heritable	0.0973624184915828	51	51	0	0	6.48895700674546e-05	0.233923682326508	5.44702680312132	-5.44702680312132
all_individuals	hippocampus	AA	AA_only	psi	chr10_102433050_102433216	chr10	102433050	102433216	Heritable	0.425798225341221	199	199	0	0	0.000726684039150936	0.587993754978042	2.57789794343789	2.57789794343789
all_individuals	hippocampus	AA	AA_only	psi	chr10_102853856_102854041	chr10	102853856	102854041	Non-heritable	0.0559252354532808	59	59	0	0	0.007023218379334	0.856772303026942	2.61403510385898	2.61403510385898
all_individuals	hippocampus	AA	AA_only	psi	chr10_103125057_103125425	chr10	103125057	103125425	Non-heritable	0.0566662682466095	36	36	0	0	0.0125530360530531	0.897132086024923	4.47278444144789	4.47278444144789
all_individuals	hippocampus	AA	AA_only	psi	chr10_103191189_103191306	chr10	103191189	103191306	Non-heritable	0.0963710701764312	38	38	0	0	8.84707093196267e-05	0.271373810035688	7.2338192863589	7.2338192863589
all_individuals	hippocampus	AA	AA_only	psi	chr10_1034873_1035584	chr10	1034873	1035584	Non-heritable	0.0779288350254922	52	52	0	0	0.0156204539176348	0.912599406557472	4.69370757688141	-4.69370757688141
all_individuals	hippocampus	AA	AA_only	psi	chr10_103727172_103727988	chr10	103727172	103727988	Non-heritable	0.0784615840196888	55	55	0	0	0.0006159857398734	0.565264587835503	3.59283204786756	-3.59283204786756
all_individuals	hippocampus	AA	AA_only	psi	chr10_103852988_103854119	chr10	103852988	103854119	Non-heritable	0.075477239871462	37	37	0	0	0.0148078272292294	0.909676537086617	2.76254905840258	2.76254905840258
all_individuals	hippocampus	AA	AA_only	psi	chr10_104275213_104275792	chr10	104275213	104275792	Heritable	0.509901114007566	19	19	0	0	0.0217794355857565	0.931656608610465	1.33560709732537	-1.33560709732537
all_individuals	hippocampus	AA	AA_only	psi	chr10_104292348_104292675	chr10	104292348	104292675	Non-heritable	0.0434259434218284	18	18	0	0	0.0221630266132701	0.933608705824752	1.16726184680909	1.16726184680909
all_individuals	hippocampus	AA	AA_only	psi	chr10_104305583_104306068	chr10	104305583	104306068	Non-heritable	0.0853879286267778	18	18	0	0	0.179820473384525	0.988427021957477	1.45706677846089	-1.45706677846089
all_individuals	hippocampus	AA	AA_only	psi	chr10_104330475_104332006	chr10	104330475	104332006	Heritable	0.226192015156591	18	18	0	0	0.0200792020743002	0.926296441766394	3.37924683206746	3.37924683206746
all_individuals	hippocampus	AA	AA_only	psi	chr10_10461260_10461712	chr10	10461260	10461712	Heritable	0.267235724764124	39	39	0	0	0.0275649279532739	0.943382761015428	1.29201984300699	1.29201984300699
all_individuals	hippocampus	AA	AA_only	psi	chr10_1047631_1047762	chr10	1047631	1047762	Non-heritable	0.0849710427092821	52	52	0	0	0.00023127411116035	0.403367308469648	2.54280792299764	-2.54280792299764
all_individuals	hippocampus	AA	AA_only	psi	chr10_104784526_104785142	chr10	104784526	104785142	Heritable	0.223513994655184	0	0	0	0				
all_individuals	hippocampus	AA	AA_only	psi	chr10_106735808_106737102	chr10	106735808	106737102	Heritable	0.612125722269218	1	1	0	0	0.405726822383422	0.997257212992387	0.0402688573455778	0.0402688573455778
all_individuals	hippocampus	AA	AA_only	psi	chr10_108315734_108316106	chr10	108315734	108316106	Heritable	0.292864581961203	2	2	0	0	0.946110133765502	0.999666959778074	0.0100730246748316	-0.0100730246748316
