cohort	tissue	population	modality	vmr_id	seqnames	start	end	n_pairs_tested	n_features_tested	n_sig_fdr_05	n_sig_fdr_10	min_p	min_fdr	max_abs_beta	strongest_beta	vmr_length	num_snps	chromatin_state	cpg_density_proxy	h2_category	h2_unscaled	r_squared_cv	methylation_variance	min_distance	any_sig_fdr_05	any_sig_fdr_10	h2_scaled	log_vmr_length	log_num_snps	log_min_distance	log_max_abs_beta
BA_only	hippocampus	AA	expression	chr11_8206142_8206255	chr11	8206142	8206255	3	3	0	0	0.0372762702242909	0.436132361624204	0.749369391043598	-0.749369391043598	113	557	Intergenic	0	Heritable	0.155721145893018	0.945285159292692	0.00764875214288291	37884.5	0	0	1.55721145893018	4.72738781871234	6.32435896238131	10.5423237321139	-0.288523224729724
BA_only	hippocampus	AA	expression	chr12_110079513_110080004	chr12	110079513	110080004	1	1	0	0	0.723084629292893	0.909687114271704	0.115234043898059	0.115234043898059	491	199	Enhancer	0	Non-heritable	0.0354663488162298	0.636193510513898	0.00770035356779698	6237.5	0	0	0.354663488162298	6.19644412779452	5.29831736654804	8.73849504785108	-2.16078996764943
BA_only	hippocampus	AA	expression	chr12_12010065_12011254	chr12	12010065	12011254	1	1	0	0	0.26036489832147	0.796922285302057	0.570685540270738	-0.570685540270738	1189	634	Enhancer	0	Heritable	0.143751069978829	0.942818521751402	0.0067950221128985	360579.5	0	0	1.43751069978829	7.08086789669078	6.45362499889269	12.7954705117501	-0.56091692106834
BA_only	hippocampus	AA	expression	chr12_123448116_123448221	chr12	123448116	123448221	1	1	0	0	0.456435153801187	0.847665285630776	0.305692578218004	-0.305692578218004	105	193	Intergenic	0	Heritable	0.152204780689818	0.724684121964015	0.00715415705768146	11656.5	0	0	1.52204780689818	4.65396035015752	5.26785815906333	9.36370502868248	-1.18517529565894
BA_only	hippocampus	AA	expression	chr12_124713749_124713936	chr12	124713749	124713936	1	1	0	0	0.425037191570281	0.839179748729958	0.574690099392171	0.574690099392171	187	706	Enhancer	0	Non-heritable	0.0615285043899393	0.95327247191819	0.00696276479069961	145749.5	0	0	0.615285043899393	5.23110861685459	6.56103066589657	11.8896515347386	-0.553924323652779
BA_only	hippocampus	AA	expression	chr12_124726971_124727518	chr12	124726971	124727518	1	1	0	0	0.0588434978988599	0.55123076840557	1.12022266314504	-1.12022266314504	547	685	Enhancer	0	Heritable	0.111588784370008	0.959302438722958	0.0070903326195008	159945.5	0	0	1.11588784370008	6.30444880242198	6.53087762772589	11.9825946633002	0.11352748085393
BA_only	hippocampus	AA	expression	chr12_128844470_128844591	chr12	128844470	128844591	2	2	0	0	0.0849721273513324	0.55123076840557	0.952682930320922	-0.952682930320922	121	867	Intergenic	1	Non-heritable	0.082576858635692	0.96509788132085	0.0073708881367564	9187.5	0	0	0.82576858635692	4.79579054559674	6.76619171466035	9.12570798113548	-0.0484731270940289
BA_only	hippocampus	AA	expression	chr12_31353971_31354086	chr12	31353971	31354086	2	2	0	0	0.334897120810429	0.796922285302057	0.85107682699114	-0.85107682699114	115	426	Intergenic	0	Non-heritable	0.017681470111044	0.900474890485904	0.00788303816556307	27270.5	0	0	0.17681470111044	4.74493212836325	6.05678401322863	10.2135974798274	-0.161252864248324
BA_only	hippocampus	AA	expression	chr12_32390895_32391529	chr12	32390895	32391529	1	1	0	0	0.128308118830909	0.645300581761018	0.492245401487793	-0.492245401487793	634	428	Intergenic	0	Heritable	0.16017869100523	0.89253980754168	0.00795337906155799	8440.5	0	0	1.6017869100523	6.45204895443723	6.06145691892802	9.04091529691725	-0.708777883014132
BA_only	hippocampus	AA	expression	chr13_109739079_109740510	chr13	109739079	109740510	2	2	0	0	0.0866830569558995	0.55123076840557	0.361151003045832	0.361151003045832	1431	595	Intergenic	0	Heritable	0.526679024793226	0.924070827530525	0.0124265570800453	12018.5	0	0	5.26679024793226	7.26612877955645	6.39024066706535	9.39428560988624	-1.01845908943361
BA_only	hippocampus	AA	expression	chr13_113647133_113647529	chr13	113647133	113647529	1	1	0	0	0.926279468563704	0.976348629026607	0.0247820656850948	0.0247820656850948	396	446	Enhancer	1	Non-heritable	0.0699820434957836	0.922991390957365	0.00695080225348883	62970.5	0	0	0.699820434957836	5.98141421125448	6.10255859461357	11.0504375220662	-3.69763464175752
BA_only	hippocampus	AA	expression	chr13_113647749_113648243	chr13	113647749	113648243	1	1	0	0	0.704606447719099	0.905922575638841	0.0840756894854291	-0.0840756894854291	494	447	Enhancer	2	Non-heritable	0.0886174018599207	0.908135528500596	0.0107977638484382	62970.5	0	0	0.886174018599207	6.20253551718792	6.10479323241499	11.0504375220662	-2.4760377016113
BA_only	hippocampus	AA	expression	chr13_76879650_76880116	chr13	76879650	76880116	2	2	0	0	0.0171888385809881	0.317927061095846	1.28065857711457	-1.28065857711457	466	304	Enhancer	0	Heritable	0.141780848073677	0.873906876954406	0.0109468043186374	6707.5	0	0	1.41780848073677	6.14418563412565	5.72031177660741	8.81113065803053	0.247374466794145
BA_only	hippocampus	AA	expression	chr14_100166421_100167749	chr14	100166421	100167749	1	1	0	0	0.179937867105593	0.751883230405515	0.645755972921374	-0.645755972921374	1328	445	Enhancer	0	Non-heritable	0.0903267441043399	0.903966809358017	0.00859531991385949	6615.5	0	0	0.903267441043399	7.19142933003638	6.10031895202006	8.7973218082131	-0.437333581975358
BA_only	hippocampus	AA	expression	chr14_74941808_74942247	chr14	74941808	74942247	2	2	0	0	0.199143728119038	0.776660539664246	0.828000027334173	-0.828000027334173	439	379	Intergenic	0	Non-heritable	0.0589597085459561	0.84825536856144	0.00658456258836204	13808.5	0	0	0.589597085459561	6.08449941307517	5.94017125272043	9.53311204009982	-0.188742079507297
BA_only	hippocampus	AA	expression	chr14_75514953_75515921	chr14	75514953	75515921	1	1	0	0	0.0544009116206717	0.55123076840557	0.551527084539881	-0.551527084539881	968	408	Intergenic	0	Heritable	0.260669445045118	0.910534903880654	0.0105014985963288	6646.5	0	0	2.60669445045118	6.87523208727658	6.0137151560428	8.80199612311717	-0.595064312683246
BA_only	hippocampus	AA	expression	chr15_101121108_101122340	chr15	101121108	101122340	1	1	0	0	0.340947068257041	0.796922285302057	0.0700847352031949	-0.0700847352031949	1232	929	Intergenic	0	Heritable	0.101242506234621	0.971525879551161	0.0123191782755603	46723.5	0	0	1.01242506234621	7.11639414409347	6.8351845861473	10.7520239313569	-2.6580501234135
BA_only	hippocampus	AA	expression	chr15_31266434_31266745	chr15	31266434	31266745	1	1	0	0	0.033500758714065	0.435509863282845	1.04715497980671	-1.04715497980671	311	428	Enhancer	0	Heritable	0.194858115943377	0.925538907952088	0.006754213850532	50518.5	0	0	1.94858115943377	5.73979291217923	6.06145691892802	10.830114679345	0.0460769532218228
BA_only	hippocampus	AA	expression	chr15_79993499_79993970	chr15	79993499	79993970	1	1	0	0	0.701769505626184	0.905922575638841	0.00601321143418914	-0.00601321143418914	471	515	Intergenic	0	Heritable	0.194626888441877	0.950952098401187	0.00743874164996306	3667.5	0	0	1.94626888441877	6.15485809401642	6.24610676548156	8.20753813815405	-5.11379466169404
BA_only	hippocampus	AA	expression	chr16_30137557_30138033	chr16	30137557	30138033	1	1	0	0	0.501041329516139	0.8477032790526	0.361440431565758	-0.361440431565758	476	239	Intergenic	0	Non-heritable	0.0745094506364676	0.656284812793493	0.00850097343385999	13901.5	0	0	0.745094506364676	6.16541785423142	5.48063892334199	9.53982395906172	-1.01765800457838
BA_only	hippocampus	AA	expression	chr16_55371280_55371741	chr16	55371280	55371741	1	1	0	0	0.350607836649445	0.796922285302057	0.445839284824968	-0.445839284824968	461	564	Intergenic	0	Heritable	0.112336087620236	0.94884880726438	0.0103703166259186	18426.5	0	0	1.12336087620236	6.13339804299665	6.33682573114644	9.82159939306344	-0.807796717399462
BA_only	hippocampus	AA	expression	chr16_806922_808552	chr16	806922	808552	4	4	0	0	0.0925046850624951	0.55123076840557	0.640913803016034	-0.640913803016034	1630	731	Intergenic	2	Non-heritable	0.085466773810636	0.971057984441849	0.0140420566617495	19483.5	0	0	0.85466773810636	7.39633529380081	6.59578051396131	9.87737455667888	-0.4448602881749
BA_only	hippocampus	AA	expression	chr17_5032054_5032250	chr17	5032054	5032250	3	3	0	0	0.0942274817787299	0.55123076840557	0.816420536034515	0.816420536034515	196	460	Intergenic	0	Non-heritable	0.0996451913191722	0.926963449847007	0.011530376010039	11716.5	0	0	0.996451913191722	5.27811465923052	6.13339804299665	9.36883872979686	-0.202825681735837
BA_only	hippocampus	AA	expression	chr17_57861025_57861731	chr17	57861025	57861731	3	3	0	0	0.0677654077924033	0.55123076840557	0.431550268296839	0.431550268296839	706	630	Enhancer	2	Heritable	0.119386289606995	0.956447883143729	0.00935542598339722	12145.5	0	0	1.19386289606995	6.55961523749324	6.44730586254121	9.40479634142614	-0.840371255439285
BA_only	hippocampus	AA	expression	chr18_10032969_10033244	chr18	10032969	10033244	1	1	0	0	0.474308214269907	0.8477032790526	0.249203856876877	0.249203856876877	275	874	Intergenic	1	Non-heritable	0.0822884775769512	0.984581342200279	0.00636637760781039	493328.5	0	0	0.822884775769512	5.61677109766657	6.77422388635761	13.1089325867717	-1.3894839750268
BA_only	hippocampus	AA	expression	chr19_21605443_21605561	chr19	21605443	21605561	1	1	0	0	0.689715242089136	0.905922575638841	0.0115907206597255	0.0115907206597255	118	250	Intergenic	0	Heritable	0.170915701984298	0.789533718001626	0.00678226501613987	9907.5	0	0	1.70915701984298	4.77068462446567	5.52545293913178	9.20114825360727	-4.45754958136341
BA_only	hippocampus	AA	expression	chr19_4809739_4809896	chr19	4809739	4809896	2	2	0	0	0.39445554806609	0.839179748729958	0.341257136182545	0.341257136182545	157	572	Intergenic	0	Non-heritable	0.0718638769571702	0.959321101269221	0.00866887802647662	18145.5	0	0	0.718638769571702	5.05624580534831	6.35088571671474	9.8062329836319	-1.07511899150796
BA_only	hippocampus	AA	expression	chr1_1909401_1909805	chr1	1909401	1909805	6	6	0	0	0.206211903872766	0.778283637197214	0.340941939322852	0.340941939322852	404	295	Intergenic	1	Heritable	0.103033333691633	0.812992488217574	0.0156069771029819	10125.5	0	0	1.03033333691633	6.00141487796115	5.69035945432406	9.22291102915004	-1.07604305278039
BA_only	hippocampus	AA	expression	chr1_236096583_236098255	chr1	236096583	236098255	2	2	0	0	0.342106766692837	0.796922285302057	0.346604035863135	0.346604035863135	1672	583	Intergenic	0	Non-heritable	0.0533784152768148	0.921703206755371	0.0252624563713133	32148.5	0	0	0.533784152768148	7.42177579364465	6.36990098282823	10.3781521774453	-1.05957222876491
