reference	target_id	seqnames_hg19	pos_hg19	cell_type	marker_rank	marker_pvalue	signature_platform	mapping_status	seqnames_hg38	pos_hg38	overlaps_blacklist	overlaps_ct_snp	duplicated_reference_coordinate	eligible
"Lee"	"5:34189635"	"chr5"	34189635	"Astro"	1	1.27061072310229e-92	"WGBS"	"unique_liftover"	"chr5"	34189530	TRUE	FALSE	FALSE	FALSE
"Lee"	"16:74431419"	"chr16"	74431419	"Astro"	2	4.83084786211829e-69	"WGBS"	"unique_liftover"	"chr16"	74397521	FALSE	FALSE	FALSE	TRUE
"Lee"	"15:20413360"	"chr15"	20413360	"Astro"	3	3.22439744602926e-66	"WGBS"	"unique_liftover"	"chr15"	20208107	TRUE	FALSE	FALSE	FALSE
"Lee"	"1:145008228"	"chr1"	145008228	"Astro"	4	1.28400063691491e-57	"WGBS"	"unique_liftover"	"chr1"	148876253	FALSE	FALSE	FALSE	TRUE
"Lee"	"1:145023679"	"chr1"	145023679	"Astro"	5	6.01673353819446e-56	"WGBS"	"unique_liftover"	"chr1"	148860741	FALSE	FALSE	FALSE	TRUE
"Lee"	"22:20092020"	"chr22"	20092020	"Astro"	6	5.60710153632571e-55	"WGBS"	"unique_liftover"	"chr22"	20104497	FALSE	FALSE	FALSE	TRUE
"Lee"	"22:28398219"	"chr22"	28398219	"Astro"	7	7.30304463827347e-54	"WGBS"	"unique_liftover"	"chr22"	28002231	FALSE	FALSE	FALSE	TRUE
"Lee"	"17:41466303"	"chr17"	41466303	"Astro"	8	6.18701700141811e-51	"WGBS"	"unique_liftover"	"chr17"	43388935	FALSE	FALSE	FALSE	TRUE
"Lee"	"1:145269914"	"chr1"	145269914	"Astro"	9	2.31779299272136e-50	"WGBS"	"unique_liftover"	"chr1"	146168281	FALSE	FALSE	FALSE	TRUE
"Lee"	"1:154716855"	"chr1"	154716855	"Astro"	10	1.09930403510729e-49	"WGBS"	"unique_liftover"	"chr1"	154744379	FALSE	FALSE	FALSE	TRUE
"Lee"	"2:47253541"	"chr2"	47253541	"Astro"	11	1.46567140627947e-49	"WGBS"	"unique_liftover"	"chr2"	47026402	FALSE	FALSE	FALSE	TRUE
"Lee"	"17:41466350"	"chr17"	41466350	"Astro"	12	3.65346410737589e-48	"WGBS"	"unique_liftover"	"chr17"	43388982	FALSE	FALSE	FALSE	TRUE
"Lee"	"1:10598735"	"chr1"	10598735	"Astro"	13	4.38103324896527e-48	"WGBS"	"unique_liftover"	"chr1"	10538678	FALSE	FALSE	FALSE	TRUE
"Lee"	"15:20413380"	"chr15"	20413380	"Astro"	14	6.70182183073354e-48	"WGBS"	"unique_liftover"	"chr15"	20208127	TRUE	FALSE	FALSE	FALSE
"Lee"	"2:33365192"	"chr2"	33365192	"Astro"	15	7.09328913356529e-48	"WGBS"	"unique_liftover"	"chr2"	33140125	FALSE	FALSE	FALSE	TRUE
"Lee"	"1:12511248"	"chr1"	12511248	"Astro"	16	7.6760387180708e-48	"WGBS"	"unique_liftover"	"chr1"	12451192	FALSE	FALSE	FALSE	TRUE
"Lee"	"1:41968760"	"chr1"	41968760	"Astro"	17	1.66671112873017e-47	"WGBS"	"unique_liftover"	"chr1"	41503089	FALSE	FALSE	FALSE	TRUE
"Lee"	"1:10598724"	"chr1"	10598724	"Astro"	18	2.31988188986441e-47	"WGBS"	"unique_liftover"	"chr1"	10538667	FALSE	FALSE	FALSE	TRUE
"Lee"	"17:75462604"	"chr17"	75462604	"Astro"	19	1.21196957601124e-46	"WGBS"	"unique_liftover"	"chr17"	77466522	FALSE	FALSE	FALSE	TRUE
"Lee"	"1:145032884"	"chr1"	145032884	"Astro"	20	2.04898742164761e-46	"WGBS"	"unique_liftover"	"chr1"	148851532	FALSE	FALSE	FALSE	TRUE
"Lee"	"9:138979804"	"chr9"	138979804	"Astro"	21	3.59191400609843e-46	"WGBS"	"unique_liftover"	"chr9"	136087958	FALSE	FALSE	FALSE	TRUE
"Lee"	"2:27156020"	"chr2"	27156020	"Astro"	22	3.70883927579406e-46	"WGBS"	"unique_liftover"	"chr2"	26933152	FALSE	FALSE	FALSE	TRUE
"Lee"	"3:66431273"	"chr3"	66431273	"Astro"	23	5.20647410436414e-46	"WGBS"	"unique_liftover"	"chr3"	66380849	FALSE	FALSE	FALSE	TRUE
"Lee"	"9:138967125"	"chr9"	138967125	"Astro"	24	2.07036054215013e-45	"WGBS"	"unique_liftover"	"chr9"	136075279	FALSE	FALSE	FALSE	TRUE
"Lee"	"1:9623133"	"chr1"	9623133	"Astro"	25	2.45107973318667e-45	"WGBS"	"unique_liftover"	"chr1"	9563075	FALSE	FALSE	FALSE	TRUE
"Lee"	"8:6654797"	"chr8"	6654797	"Astro"	26	3.81416981832774e-45	"WGBS"	"unique_liftover"	"chr8"	6797276	FALSE	FALSE	FALSE	TRUE
"Lee"	"2:85751059"	"chr2"	85751059	"Astro"	27	4.01286024966649e-45	"WGBS"	"unique_liftover"	"chr2"	85523936	FALSE	FALSE	FALSE	TRUE
"Lee"	"2:101240993"	"chr2"	101240993	"Astro"	28	5.08332720857604e-45	"WGBS"	"unique_liftover"	"chr2"	100624531	FALSE	FALSE	FALSE	TRUE
