coord_key	seqnames_hg38	pos_hg38	bs_row	found_in_bsseq	fraction_samples_cov_ge_min	mean_coverage	marker_coverage_pass
"chr10:101617967"	"chr10"	101617967	15601686	TRUE	0.795454545454545	9.13636363636364	FALSE
"chr10:103699810"	"chr10"	103699810	15633211	TRUE	1	40.5511363636364	TRUE
"chr10:1065145"	"chr10"	1065145	14666603	TRUE	0.948863636363636	11.4829545454545	TRUE
"chr10:10760471"	"chr10"	10760471	14778168	TRUE	1	30.9431818181818	TRUE
"chr10:10760508"	"chr10"	10760508	14778169	TRUE	1	29.8125	TRUE
"chr10:10760511"	"chr10"	10760511	14778170	TRUE	1	28.6420454545455	TRUE
"chr10:10760716"	"chr10"	10760716	14778174	TRUE	1	23.5340909090909	TRUE
"chr10:10760728"	"chr10"	10760728	14778175	TRUE	1	25.5340909090909	TRUE
"chr10:10760754"	"chr10"	10760754	14778176	TRUE	1	26.4886363636364	TRUE
"chr10:109852064"	"chr10"	109852064	15676132	TRUE	1	18.8125	TRUE
"chr10:11044184"	"chr10"	11044184	14781121	TRUE	1	30.1363636363636	TRUE
"chr10:11164136"	"chr10"	11164136	14782378	TRUE	1	16.9034090909091	TRUE
"chr10:11164139"	"chr10"	11164139	14782379	TRUE	1	16.6306818181818	TRUE
"chr10:11164176"	"chr10"	11164176	14782380	TRUE	0.954545454545455	12.8295454545455	TRUE
"chr10:11164200"	"chr10"	11164200	14782382	TRUE	0.954545454545455	12.625	TRUE
"chr10:112981747"	"chr10"	112981747	15704809	TRUE	0.994318181818182	18.9886363636364	TRUE
"chr10:11306098"	"chr10"	11306098	14784427	TRUE	1	34.4602272727273	TRUE
"chr10:11306312"	"chr10"	11306312	14784431	TRUE	1	27.3465909090909	TRUE
"chr10:113095576"	"chr10"	113095576	15706247	TRUE	1	33.875	TRUE
"chr10:113595008"	"chr10"	113595008	15711359	TRUE	1	27.5511363636364	TRUE
"chr10:113780782"	"chr10"	113780782	15713212	TRUE	1	26	TRUE
"chr10:114032882"	"chr10"	114032882	15715529	TRUE	1	31.5625	TRUE
"chr10:11664924"	"chr10"	11664924	14788787	TRUE	1	23.1590909090909	TRUE
"chr10:11713546"	"chr10"	11713546	14789577	TRUE	0.994318181818182	25.6079545454546	TRUE
"chr10:119212067"	"chr10"	119212067	15768306	TRUE	1	22.2159090909091	TRUE
"chr10:119273031"	"chr10"	119273031	15769226	TRUE	1	30.4886363636364	TRUE
"chr10:121501640"	"chr10"	121501640	15793057	TRUE	0.664772727272727	6.59659090909091	FALSE
"chr10:121501669"	"chr10"	121501669	15793058	TRUE	0.710227272727273	7.15909090909091	FALSE
"chr10:121576243"	"chr10"	121576243	15794173	TRUE	1	31.1079545454546	TRUE
"chr10:124645625"	"chr10"	124645625	15835024	TRUE	1	30.8806818181818	TRUE
"chr10:125138479"	"chr10"	125138479	15843564	TRUE	1	32.7556818181818	TRUE
"chr10:125551509"	"chr10"	125551509	15848586	TRUE	1	28.6931818181818	TRUE
"chr10:12905859"	"chr10"	12905859	14809379	TRUE	1	30.9829545454546	TRUE
"chr10:129612635"	"chr10"	129612635	15897423	TRUE	1	18.5397727272727	TRUE
"chr10:130411789"	"chr10"	130411789	15911143	TRUE	1	37.0738636363636	TRUE
"chr10:131929369"	"chr10"	131929369	15935224	TRUE	1	38.3238636363636	TRUE
"chr10:132519690"	"chr10"	132519690	15950771	TRUE	1	24.7045454545455	TRUE
"chr10:132700264"	"chr10"	132700264	15955356	TRUE	1	27.3977272727273	TRUE
"chr10:132708527"	"chr10"	132708527	15955600	TRUE	1	33.8977272727273	TRUE
"chr10:132708539"	"chr10"	132708539	15955602	TRUE	1	33.6875	TRUE
"chr10:132715725"	"chr10"	132715725	15955809	TRUE	1	25.4261363636364	TRUE
"chr10:132715752"	"chr10"	132715752	15955811	TRUE	1	30.2670454545455	TRUE
"chr10:132730548"	"chr10"	132730548	15956349	TRUE	1	34.8636363636364	TRUE
"chr10:133241778"	"chr10"	133241778	15974244	TRUE	1	38.9204545454546	TRUE
"chr10:133241786"	"chr10"	133241786	15974245	TRUE	1	40.2897727272727	TRUE
"chr10:133375499"	"chr10"	133375499	15978754	TRUE	0.994318181818182	25.1136363636364	TRUE
"chr10:133375502"	"chr10"	133375502	15978755	TRUE	1	24.875	TRUE
"chr10:13631790"	"chr10"	13631790	14819875	TRUE	1	27.9375	TRUE
"chr10:1609910"	"chr10"	1609910	14676915	TRUE	1	19.2045454545455	TRUE
"chr10:16259165"	"chr10"	16259165	14850140	TRUE	0.994318181818182	17.4829545454545	TRUE
"chr10:21260914"	"chr10"	21260914	14894495	TRUE	0.982954545454545	19.3977272727273	TRUE
"chr10:2373513"	"chr10"	2373513	14686275	TRUE	0.909090909090909	12.5	TRUE
"chr10:28681094"	"chr10"	28681094	14967095	TRUE	0.994318181818182	19.875	TRUE
"chr10:28686004"	"chr10"	28686004	14967154	TRUE	1	30.2897727272727	TRUE
"chr10:29164068"	"chr10"	29164068	14972285	TRUE	0.965909090909091	15.1590909090909	TRUE
"chr10:2926304"	"chr10"	2926304	14692461	TRUE	1	23.2159090909091	TRUE
"chr10:30188788"	"chr10"	30188788	14984178	TRUE	1	40.4659090909091	TRUE
"chr10:33570549"	"chr10"	33570549	15016545	TRUE	0.994318181818182	23.3920454545455	TRUE
"chr10:33570610"	"chr10"	33570610	15016546	TRUE	1	27.2386363636364	TRUE
"chr10:3424494"	"chr10"	3424494	14701056	TRUE	1	28.5511363636364	TRUE
"chr10:35214583"	"chr10"	35214583	15033180	TRUE	1	32.9204545454546	TRUE
"chr10:35435934"	"chr10"	35435934	15035909	TRUE	1	34.0511363636364	TRUE
"chr10:43451957"	"chr10"	43451957	15082173	TRUE	1	18.9375	TRUE
"chr10:44176653"	"chr10"	44176653	15089594	TRUE	0.954545454545455	15.5227272727273	TRUE
"chr10:45581095"	"chr10"	45581095	15102719	TRUE	1	23.5511363636364	TRUE
"chr10:46415569"	"chr10"	46415569	NA	FALSE	NA	NA	NA
"chr10:46419862"	"chr10"	46419862	NA	FALSE	NA	NA	NA
"chr10:46420272"	"chr10"	46420272	NA	FALSE	NA	NA	NA
"chr10:46420283"	"chr10"	46420283	NA	FALSE	NA	NA	NA
"chr10:46420609"	"chr10"	46420609	NA	FALSE	NA	NA	NA
"chr10:46441872"	"chr10"	46441872	NA	FALSE	NA	NA	NA
"chr10:46441878"	"chr10"	46441878	NA	FALSE	NA	NA	NA
"chr10:46451002"	"chr10"	46451002	NA	FALSE	NA	NA	NA
"chr10:46474491"	"chr10"	46474491	NA	FALSE	NA	NA	NA
"chr10:46474517"	"chr10"	46474517	NA	FALSE	NA	NA	NA
"chr10:46520766"	"chr10"	46520766	15113070	TRUE	0.994318181818182	28.9659090909091	TRUE
"chr10:46530507"	"chr10"	46530507	NA	FALSE	NA	NA	NA
"chr10:46530519"	"chr10"	46530519	NA	FALSE	NA	NA	NA
"chr10:46537825"	"chr10"	46537825	NA	FALSE	NA	NA	NA
"chr10:46544741"	"chr10"	46544741	NA	FALSE	NA	NA	NA
"chr10:46544749"	"chr10"	46544749	NA	FALSE	NA	NA	NA
"chr10:46551972"	"chr10"	46551972	NA	FALSE	NA	NA	NA
"chr10:46572172"	"chr10"	46572172	NA	FALSE	NA	NA	NA
"chr10:46572780"	"chr10"	46572780	NA	FALSE	NA	NA	NA
"chr10:46585320"	"chr10"	46585320	NA	FALSE	NA	NA	NA
"chr10:47265207"	"chr10"	47265207	NA	FALSE	NA	NA	NA
"chr10:4847534"	"chr10"	4847534	14716164	TRUE	0.965909090909091	13.2215909090909	TRUE
"chr10:48684608"	"chr10"	48684608	15134075	TRUE	1	27.5511363636364	TRUE
"chr10:49076593"	"chr10"	49076593	15137476	TRUE	1	22.8977272727273	TRUE
"chr10:49076613"	"chr10"	49076613	15137477	TRUE	1	21.9375	TRUE
"chr10:50539229"	"chr10"	50539229	15151629	TRUE	1	23.4318181818182	TRUE
"chr10:51249666"	"chr10"	51249666	15156840	TRUE	0.0397727272727273	1.44886363636364	FALSE
"chr10:52755541"	"chr10"	52755541	15165914	TRUE	1	32.6193181818182	TRUE
"chr10:5545797"	"chr10"	5545797	14722641	TRUE	0.943181818181818	13.5340909090909	TRUE
"chr10:5545855"	"chr10"	5545855	14722642	TRUE	0.897727272727273	10.9375	TRUE
"chr10:5546120"	"chr10"	5546120	14722647	TRUE	1	29.8579545454546	TRUE
"chr10:5546154"	"chr10"	5546154	14722648	TRUE	1	32.6306818181818	TRUE
"chr10:5546377"	"chr10"	5546377	14722658	TRUE	1	31.0852272727273	TRUE
"chr10:5942681"	"chr10"	5942681	14729266	TRUE	1	26.8011363636364	TRUE
"chr10:60908692"	"chr10"	60908692	15215713	TRUE	0.948863636363636	14.3863636363636	TRUE
"chr10:60913219"	"chr10"	60913219	15215769	TRUE	0.988636363636364	18.6875	TRUE
"chr10:62309589"	"chr10"	62309589	15225790	TRUE	0.982954545454545	17.5795454545455	TRUE
"chr10:63474305"	"chr10"	63474305	15235888	TRUE	1	20.6931818181818	TRUE
"chr10:68760196"	"chr10"	68760196	15274672	TRUE	1	38.2727272727273	TRUE
"chr10:68816678"	"chr10"	68816678	15275491	TRUE	0.960227272727273	14.2613636363636	TRUE
"chr10:69650928"	"chr10"	69650928	15286741	TRUE	1	34.0284090909091	TRUE
"chr10:69737133"	"chr10"	69737133	15287738	TRUE	1	31.9147727272727	TRUE
"chr10:70355551"	"chr10"	70355551	15295648	TRUE	0.988636363636364	14.8068181818182	TRUE
"chr10:70355563"	"chr10"	70355563	15295649	TRUE	0.982954545454545	14.9204545454545	TRUE
"chr10:71045797"	"chr10"	71045797	15305243	TRUE	1	27.5965909090909	TRUE
"chr10:71326708"	"chr10"	71326708	15308769	TRUE	1	29.3920454545455	TRUE
"chr10:71586108"	"chr10"	71586108	15312365	TRUE	1	25.8920454545455	TRUE
"chr10:71694220"	"chr10"	71694220	15313953	TRUE	1	35.75	TRUE
"chr10:71694925"	"chr10"	71694925	15313970	TRUE	1	35.8977272727273	TRUE
"chr10:71694931"	"chr10"	71694931	15313971	TRUE	1	37.2556818181818	TRUE
"chr10:71694933"	"chr10"	71694933	15313972	TRUE	1	38.5738636363636	TRUE
"chr10:71774581"	"chr10"	71774581	15315258	TRUE	1	31.4034090909091	TRUE
"chr10:72065745"	"chr10"	72065745	15320008	TRUE	1	37.7215909090909	TRUE
