vmr_id	feature_type	nearest_feature_id	nearest_feature_name	nearest_distance	seqnames	start	end	h2_category	h2_unscaled	r_squared_cv	num_snps	population	vmr_length	log_nearest_distance	within_10kb	within_100kb
chrX_101931553_101932174	gene	ENSG00000166432	ZMAT1	0	chrX	101931553	101932174	Non-heritable	0.0771191319745423	0.44807900071303	83	AA	621	0	TRUE	TRUE
chrX_119469241_119469354	gene	ENSG00000005022	SLC25A5	0	chrX	119469241	119469354	Heritable	0.114787245571434	0.825097723225789	260	AA	113	0	TRUE	TRUE
chrX_48508388_48508627	gene	ENSG00000224292	PORCN-DT	0	chrX	48508388	48508627	Non-heritable	0.0400473206191648	0.740871235742699	127	AA	239	0	TRUE	TRUE
chr1_83996581_83997373	gene	ENSG00000137941	TTLL7	0	chr1	83996581	83997373	Non-heritable	0.06559464018873	0.859448085976012	314	AA	792	0	TRUE	TRUE
chr21_20973713_20974180	gene	ENSG00000154654	NCAM2	24228	chr21	20973713	20974180	Heritable	0.106942356737893	0.906801349415105	472	AA	467	10.0953055418074	FALSE	TRUE
chr21_25930208_25930360	gene	ENSG00000233783	ENSG00000233783	0	chr21	25930208	25930360	Non-heritable	0.0792429477106053	0.892120866196782	361	AA	152	0	TRUE	TRUE
chr21_26795671_26796948	gene	ENSG00000304255	ENSG00000304255	4015	chr21	26795671	26796948	Non-heritable	0.0464371979396633	0.905887717404298	538	AA	1277	8.29804166137157	TRUE	TRUE
chr21_27699103_27700095	gene	ENSG00000225298	LINC00113	22231	chr21	27699103	27700095	Heritable	0.373361958215353	0.897713857924017	462	AA	992	10.0092879714223	FALSE	TRUE
chr21_27813961_27814260	gene	ENSG00000225298	LINC00113	62721	chr21	27813961	27814260	Heritable	0.109154439576023	0.926355689716353	427	AA	299	11.046467542271	FALSE	TRUE
chr21_28417149_28417863	gene	ENSG00000232855	ENSG00000232855	0	chr21	28417149	28417863	Heritable	0.224360755487183	0.875434214813238	329	AA	714	0	TRUE	TRUE
chr21_29018399_29018862	gene	ENSG00000156253	RWDD2B	0	chr21	29018399	29018862	Heritable	0.382635332819536	0.795291519503753	236	AA	463	0	TRUE	TRUE
chr21_29024045_29024182	gene	ENSG00000273254	ENSG00000273254	72	chr21	29024045	29024182	Heritable	0.279941578156787	0.854825893048692	230	AA	137	4.29045944114839	TRUE	TRUE
