task_id	chrom	start	end	race	num_snps	boosting_iterations_performed	h2_unscaled	r_squared_cv	region
1	X	101097622	101098473	AA	182	11	0.0657716625840131	0.662418110054063	Hippocampus
10	X	118974315	118976419	AA	239	11	0.0613597206996785	0.638479541826339	Hippocampus
100	X	48539432	48540210	AA	111	18	0.151115147946716	0.710384103688538	Hippocampus
1000	1	8204314	8205080	AA	575	11	0.0782327685541815	0.950752437193787	Hippocampus
1001	1	8233862	8234123	AA	591	16	0.0923401687238159	0.956149327149317	Hippocampus
1002	1	8240722	8241369	AA	590	11	0.0683749245250517	0.954273076100499	Hippocampus
1003	1	8255148	8255824	AA	585	18	0.164041874129944	0.957894257750568	Hippocampus
1004	1	8305769	8306651	AA	604	20	0.125525447902277	0.952593284567321	Hippocampus
1005	1	8332504	8332806	AA	617	11	0.119896879162119	0.955571560815565	Hippocampus
1006	1	8340847	8341851	AA	620	20	0.173892559387436	0.953339451752231	Hippocampus
1007	1	8403043	8403510	AA	649	12	0.127799364704504	0.96288649691519	Hippocampus
1008	1	84558312	84558492	AA	466	12	0.0855770058352085	0.929050310921693	Hippocampus
1009	1	84652684	84653661	AA	461	16	0.0678044538124816	0.916041046099561	Hippocampus
101	X	48597430	48597581	AA	94	16	0.123544598874683	0.512061792897561	Hippocampus
1010	1	8608217	8610065	AA	593	16	0.0911389589359507	0.952171951445331	Hippocampus
1011	1	86842001	86842447	AA	398	11	0.0742472659905773	0.898281987657585	Hippocampus
1012	1	8713508	8714460	AA	587	13	0.0771085244795146	0.949668905815637	Hippocampus
1013	1	8759809	8760421	AA	572	13	0.0703637153970983	0.944742671375448	Hippocampus
1014	1	8774456	8775337	AA	567	11	0.0569364461227566	0.923845452397817	Hippocampus
1015	1	87890902	87891276	AA	398	13	0.149242565232254	0.910999335597081	Hippocampus
1016	1	8792533	8793113	AA	568	11	0.0571317800545438	0.940543906541193	Hippocampus
1018	1	8828674	8829120	AA	574	13	0.100238002779729	0.940811585952639	Hippocampus
1019	1	8853051	8853571	AA	571	11	0.0898942530893806	0.939183103521364	Hippocampus
102	X	48675863	48676877	AA	94	13	0.0653392647505324	0.402794629350704	Hippocampus
1020	1	88567250	88567575	AA	348	16	0.167834799504529	0.870393584703031	Hippocampus
1021	1	8877429	8877645	AA	577	11	0.0948365320482013	0.94749348334685	Hippocampus
1022	1	8881629	8882750	AA	581	11	0.083416163844207	0.939440886390707	Hippocampus
1023	1	8888276	8888959	AA	575	14	0.0963762531410263	0.935524027687264	Hippocampus
1024	1	88991832	88992179	AA	293	11	0.124429453501803	0.828502090349265	Hippocampus
1025	1	8906387	8907271	AA	557	12	0.078338617355755	0.940345253686108	Hippocampus
1027	1	8966004	8966648	AA	548	13	0.116422731911576	0.917184188438074	Hippocampus
1028	1	89707102	89707804	AA	336	11	0.0341027586417917	0.841627082284167	Hippocampus
1029	1	8975419	8975943	AA	553	11	0.101415920350253	0.932971071319789	Hippocampus
103	X	48737120	48737420	AA	92	11	0.0230625622937141	0.401027898626806	Hippocampus
1030	1	8995214	8996284	AA	555	11	0.0685193525621486	0.936696233792184	Hippocampus
1032	1	9043628	9044011	AA	556	11	0.103406971468433	0.9415832260114	Hippocampus
1033	1	9063756	9063990	AA	557	11	0.110924675385616	0.940553507469139	Hippocampus
1034	1	90834047	90834535	AA	468	13	0.089020802551786	0.925771862170752	Hippocampus
1035	1	90909787	90910134	AA	460	11	0.119486387158172	0.898547311642796	Hippocampus
1037	1	9108997	9110220	AA	548	12	0.0645871930811315	0.937007501118284	Hippocampus
1038	1	9137968	9138672	AA	529	15	0.0624196379003872	0.904802374726903	Hippocampus
1039	1	9222505	9224441	AA	512	11	0.0721539338426032	0.926716246611743	Hippocampus
104	X	48801531	48802343	AA	82	13	0.180392199067055	0.468232546061915	Hippocampus
1040	1	92876411	92877344	AA	158	11	0.0382750269482968	0.522652912516101	Hippocampus
1041	1	9407927	9408774	AA	463	11	0.0598182937808104	0.889703302753469	Hippocampus
1042	1	9478805	9479371	AA	468	15	0.167830024026573	0.899847321748333	Hippocampus
1043	1	9514779	9515615	AA	494	11	0.0862537626103481	0.931964932288926	Hippocampus
1044	1	95235966	95237184	AA	381	15	0.0980413105184479	0.851205923438012	Hippocampus
1045	1	9531019	9532420	AA	488	11	0.152438685773202	0.924292387770307	Hippocampus
1046	1	9536906	9537435	AA	481	11	0.14801692618571	0.903188114270195	Hippocampus
1047	1	9540619	9541129	AA	482	16	0.137664588111599	0.924078673997367	Hippocampus
1048	1	9575382	9575741	AA	494	11	0.11950636166168	0.925871815778843	Hippocampus
1049	1	9580575	9580841	AA	479	16	0.109087701680392	0.921574032846569	Hippocampus
105	X	48897514	48898087	AA	76	11	0.168263856693306	0.479479360803325	Hippocampus
1050	1	9587739	9588111	AA	487	13	0.182359866861151	0.929016559943206	Hippocampus
1051	1	9660973	9661812	AA	511	18	0.138460323206633	0.940589336493854	Hippocampus
1052	1	96631576	96631805	AA	288	11	0.0784281712369646	0.773890426879457	Hippocampus
1053	1	9674753	9675258	AA	510	13	0.176865052739144	0.937696159178912	Hippocampus
1054	1	9695418	9695790	AA	520	11	0.0906011563675093	0.931488152900135	Hippocampus
1055	1	9762017	9762565	AA	549	17	0.164321691437544	0.944028687317861	Hippocampus
1056	1	9771064	9771826	AA	550	16	0.168379136122522	0.944691229275821	Hippocampus
1057	1	9782938	9784278	AA	562	11	0.173595443201162	0.949782620226285	Hippocampus
1058	1	9803600	9804406	AA	562	11	0.170391626359009	0.949086664873042	Hippocampus
1059	1	9805340	9806017	AA	563	16	0.117557261992957	0.946451824374159	Hippocampus
106	X	48957006	48958279	AA	79	11	0.0433437161750237	0.284892974731639	Hippocampus
1060	1	98293643	98294976	AA	328	12	0.0563944624842116	0.873214911143553	Hippocampus
1061	1	9829588	9830096	AA	590	11	0.183077153631104	0.954744576390277	Hippocampus
1062	1	9831925	9833002	AA	593	11	0.107082029320043	0.946763997106066	Hippocampus
1063	1	9908023	9908474	AA	609	16	0.141682214620899	0.952587211404933	Hippocampus
1064	1	9919693	9920022	AA	607	11	0.167706164084556	0.956690605358476	Hippocampus
1065	1	9925738	9926651	AA	595	15	0.16269359714112	0.950799245815919	Hippocampus
1066	1	9932063	9932678	AA	598	11	0.180229947705848	0.954505191256659	Hippocampus
1067	1	9936739	9937317	AA	607	14	0.114987395368354	0.959626126214551	Hippocampus
1068	1	9941351	9941656	AA	596	11	0.148992968361211	0.953673319399113	Hippocampus
1069	1	9953585	9956151	AA	587	11	0.147756532966505	0.953814191381591	Hippocampus
107	X	48958444	48959034	AA	79	11	0.16069198897214	0.338893121417442	Hippocampus
1070	1	9958673	9959666	AA	577	17	0.177882600312257	0.957491731027315	Hippocampus
1071	1	9962704	9962923	AA	569	12	0.127385956951654	0.949739148291285	Hippocampus
1072	1	9965640	9966350	AA	573	11	0.135802848308138	0.95042332161888	Hippocampus
1073	1	9976506	9977638	AA	568	16	0.125720485592285	0.946684761150035	Hippocampus
1074	1	9980056	9980907	AA	561	11	0.157850241221607	0.950589423056188	Hippocampus
1075	1	99837521	99838524	AA	353	12	0.119408293449115	0.813980282677056	Hippocampus
1076	1	99865924	99866895	AA	349	11	0.0721255843175489	0.787063777206915	Hippocampus
1077	1	9986613	9987634	AA	555	11	0.119149116449318	0.950818317756732	Hippocampus
1078	1	9994493	9995043	AA	561	11	0.18181169913187	0.951142595510394	Hippocampus
1079	2	10006465	10006900	AA	793	11	0.0966074282773812	0.965749464769012	Hippocampus
108	X	49042985	49043243	AA	77	15	0.0249222756829716	0.299062127187539	Hippocampus
1080	2	100105879	100106218	AA	318	11	0.0481888076548907	0.751298584513055	Hippocampus
1081	2	100283821	100284579	AA	334	11	0.0603322493433899	0.841646693122887	Hippocampus
1082	2	100320352	100320717	AA	345	16	0.162656158258024	0.824264883405067	Hippocampus
1083	2	10042486	10042679	AA	787	11	0.0793923879820841	0.972474153040584	Hippocampus
1084	2	10044442	10044684	AA	788	11	0.0669886440915328	0.966789531310354	Hippocampus
1085	2	100604214	100605850	AA	370	11	0.078334476477507	0.830658709037064	Hippocampus
1086	2	100822046	100822238	AA	384	11	0.0763493890414136	0.868977930392435	Hippocampus
1087	2	101434398	101434619	AA	375	17	0.12490305643859	0.856716485989752	Hippocampus
1088	2	101438833	101438960	AA	366	11	0.616016641482242	0.836985728110183	Hippocampus
1089	2	101533990	101534342	AA	378	14	0.0483761183925225	0.844688906093914	Hippocampus
109	X	49073879	49074350	AA	74	15	0.0244625097103534	0.279049094764897	Hippocampus
1090	2	101609704	101611093	AA	372	11	0.106528963868641	0.857562771731658	Hippocampus
1091	2	101616309	101617176	AA	378	11	0.248323217591886	0.845059451140977	Hippocampus
1092	2	101780586	101781866	AA	356	11	0.08589337519226	0.833595172261992	Hippocampus
1093	2	10185183	10185588	AA	801	12	0.0933119541316454	0.963722927993494	Hippocampus
1094	2	10196374	10196899	AA	810	11	0.0921548172466074	0.96841333036917	Hippocampus
1095	2	10204815	10205030	AA	788	11	0.0738476109757223	0.965571409113399	Hippocampus
1096	2	10283560	10284758	AA	785	14	0.0982709437219958	0.956047865890838	Hippocampus
1097	2	10371749	10373122	AA	784	13	0.0572670874446086	0.956585076924309	Hippocampus
1098	2	104026574	104027174	AA	270	11	0.166490478162591	0.829403328442241	Hippocampus
1099	2	104044018	104044679	AA	272	12	0.115878944501734	0.851074048563465	Hippocampus
11	X	119236534	119237130	AA	265	11	0.0448861364788429	0.670473894861641	Hippocampus
110	X	49101004	49101755	AA	66	11	0.0413950352988943	0.270496830816521	Hippocampus
1100	2	104046501	104047224	AA	267	18	0.0667124084339145	0.760065226345056	Hippocampus
1101	2	104051675	104052138	AA	270	20	0.19598384344273	0.771278214021015	Hippocampus
1102	2	104321640	104322006	AA	288	11	0.0728454562763499	0.837835948943559	Hippocampus
1103	2	10432228	10432492	AA	798	11	0.0960953383304304	0.96505652135453	Hippocampus
1104	2	104416389	104416551	AA	318	20	0.113749854356963	0.826673807586245	Hippocampus
1105	2	104429350	104433411	AA	330	12	0.106397038778563	0.780317479225123	Hippocampus
1106	2	104501089	104502195	AA	371	11	0.136024979633515	0.89492049024037	Hippocampus
1107	2	104658424	104658775	AA	427	11	0.124633174617555	0.910083122334463	Hippocampus
1108	2	104834198	104834996	AA	426	12	0.0829499312529858	0.909548102052512	Hippocampus
1109	2	104845986	104846432	AA	426	15	0.148785710763351	0.904962135817946	Hippocampus
111	X	49155665	49156809	AA	66	11	0.172903790615373	0.353026105835393	Hippocampus
1110	2	104859048	104861520	AA	436	13	0.183564751796956	0.892285929840701	Hippocampus
