task_id	chrom	start	end	num_snps	boosting_iterations_performed	h2_unscaled	r_squared_cv	region
1	X	101931553	101932167	44	17	0.0182162393651671	0.151335430603453	DLPFC
10	X	119606191	119606364	144	11	0.0333766390421292	0.382684404512065	DLPFC
100	X	48696707	48697217	42	11	0.0278710046838995	0.158368998039807	DLPFC
1000	1	9872003	9873228	159	11	0.0439024354020869	0.426186988372844	DLPFC
1001	1	9888741	9889456	152	14	0.0348107868362695	0.453132497216946	DLPFC
1002	1	9926038	9926281	143	11	0.0458785669865134	0.482084844211057	DLPFC
1003	1	9932063	9932299	143	11	0.0275738633350808	0.451388126198391	DLPFC
1004	1	9954789	9955966	130	15	0.0828335657933394	0.4898952956215	DLPFC
1005	1	9959054	9959666	126	12	0.0568558947784334	0.513330073448808	DLPFC
1006	1	9976647	9977283	124	13	0.0449873002204443	0.529852376169422	DLPFC
1007	2	10006641	10007096	420	12	0.0594050918748643	0.769485377530445	DLPFC
1008	2	100105946	100106218	139	13	0.0417657348319316	0.396804806559079	DLPFC
1009	2	100182982	100183541	147	15	0.0890790402569069	0.532523371294807	DLPFC
101	X	48737120	48737439	39	12	0.065855377318116	0.156463454640948	DLPFC
1010	2	100252754	100253749	160	11	0.0919626304164809	0.458324781871405	DLPFC
1011	2	100391683	100392526	181	11	0.0890205773022954	0.421628961224934	DLPFC
1012	2	10039647	10041551	436	11	0.0195623600325401	0.682743745880647	DLPFC
1013	2	10042373	10042597	438	15	0.0181178106554692	0.662621718104655	DLPFC
1014	2	10044542	10046203	436	14	0.021982797764771	0.707630489928017	DLPFC
1015	2	10047679	10047923	440	13	0.0231479624417941	0.673157958558882	DLPFC
1016	2	10057505	10058061	444	12	0.0153638257123686	0.683570847064672	DLPFC
1017	2	100604003	100604529	204	15	0.109370473346399	0.654571621047657	DLPFC
1018	2	10084625	10084804	439	11	0.0134020619056337	0.699071202986479	DLPFC
1019	2	101609828	101610623	177	11	0.0205588620794052	0.394475571267022	DLPFC
102	X	48801670	48802276	40	12	0.0724321848766636	0.175642973555948	DLPFC
1020	2	101613050	101613634	167	13	0.054030176903146	0.454229712245993	DLPFC
1021	2	101638490	101639074	172	15	0.1074569590102	0.488835673105123	DLPFC
1022	2	101781230	101781772	166	16	0.0273322761332622	0.510075703209478	DLPFC
1023	2	102110545	102110949	153	11	0.0509748272051305	0.535506166427296	DLPFC
1024	2	102735801	102735967	151	11	0.0189438857656332	0.549081440846842	DLPFC
1025	2	102788364	102791225	151	14	0.0609220595611029	0.495049045765769	DLPFC
1026	2	10283899	10285810	411	11	0.0452940746828086	0.765324804536363	DLPFC
1027	2	10286837	10287280	409	12	0.0596380378775231	0.684552109103377	DLPFC
1028	2	10304631	10307285	398	23	0.0900903204574464	0.65938140964457	DLPFC
1029	2	10310492	10310990	385	11	0.0425829370465822	0.658349273526337	DLPFC
103	X	48891347	48891509	38	15	0.0132956145278364	0.0773545351789167	DLPFC
1030	2	10325393	10328277	385	12	0.0666593735628309	0.730918243887556	DLPFC
1031	2	10330593	10332185	382	18	0.0551442495496754	0.706332243733097	DLPFC
1032	2	10343649	10344385	391	14	0.106480809792703	0.680508930378241	DLPFC
1033	2	10361147	10361305	400	11	0.0253856001150773	0.731002047780455	DLPFC
1034	2	10362705	10363326	408	11	0.0431965754455988	0.749081245339282	DLPFC
1035	2	10371954	10373251	405	12	0.0307693563153987	0.580458978290834	DLPFC
1036	2	10397651	10398249	433	12	0.0826868543717308	0.814709217907317	DLPFC
1037	2	10400674	10401187	421	13	0.0508379658895769	0.831428539161283	DLPFC
1038	2	10404803	10405763	431	11	0.0238250792297941	0.70050907421197	DLPFC
1039	2	104321394	104322006	174	12	0.0688083026045701	0.503201177688073	DLPFC
104	X	48897472	48898027	35	11	0.0574466820257358	0.177163987868709	DLPFC
1040	2	104416335	104416891	166	11	0.0368928068916142	0.46031175474854	DLPFC
1041	2	104431440	104433411	155	14	0.0665032270336103	0.544686502719227	DLPFC
1042	2	104481397	104482004	150	11	0.0780107175928271	0.521604582209653	DLPFC
1043	2	10453336	10453869	424	14	0.0379230349888206	0.725286428286044	DLPFC
1044	2	104658517	104658775	142	11	0.0895207564462508	0.601018466018337	DLPFC
1045	2	104859048	104860698	164	11	0.117015938570184	0.608022457396577	DLPFC
1046	2	104863307	104865074	164	12	0.0421779408749758	0.592596103040771	DLPFC
1047	2	104868127	104868533	161	11	0.0450370111995601	0.59100705728539	DLPFC
1048	2	104876673	104876885	168	17	0.102765511659539	0.550536382199523	DLPFC
1049	2	104944896	104945323	193	11	0.0530544242598151	0.627269282607035	DLPFC
105	X	48956982	48959003	29	11	0.0115575171925881	0.0890382256396056	DLPFC
1050	2	105555990	105557358	301	11	0.0781898945960013	0.705623046364001	DLPFC
1051	2	105573713	105576434	316	11	0.0581088717799757	0.706014440864663	DLPFC
1052	2	105609738	105611490	321	11	0.0744063826798027	0.699536223618864	DLPFC
1053	2	105615309	105616035	321	13	0.0372537448820581	0.679479379500855	DLPFC
1054	2	105634945	105636210	323	11	0.0353741356108268	0.679426912539044	DLPFC
1055	2	105643714	105644727	326	11	0.0383131014357018	0.673099117306929	DLPFC
1056	2	105746260	105747368	303	16	0.085867389469286	0.72990179990788	DLPFC
1057	2	105762992	105764270	296	11	0.053311083383415	0.62096143551497	DLPFC
1058	2	105857006	105857942	299	11	0.0462606196282644	0.653926767644585	DLPFC
1059	2	105869566	105869754	300	11	0.0965447825160025	0.718416432908887	DLPFC
106	X	49042959	49043243	28	13	0.0626676845695048	0.147993199366423	DLPFC
1060	2	105872405	105872511	298	13	0.092845625052727	0.691477363060599	DLPFC
1061	2	105884163	105884892	302	11	0.0849280868576387	0.717360238516909	DLPFC
1062	2	106263789	106264639	214	11	0.218784848355863	0.727935287751102	DLPFC
1063	2	106342214	106342963	222	11	0.0643301574107267	0.589411376869156	DLPFC
1064	2	10646890	10648085	484	11	0.0585441110174613	0.743456872590415	DLPFC
1065	2	106486573	106486767	205	11	0.0312157618248393	0.51673867816308	DLPFC
1066	2	106561386	106562107	185	11	0.052573012436757	0.560231236189141	DLPFC
1067	2	106575909	106576849	173	11	0.0666205367929541	0.648475054732204	DLPFC
1068	2	106584404	106584553	177	11	0.0942922023845137	0.638094529452174	DLPFC
1069	2	106843768	106843990	181	11	0.0348847423337423	0.52321407907622	DLPFC
107	X	49073819	49074294	25	11	0.0231542432380456	0.1045350495715	DLPFC
1070	2	10776659	10776898	428	13	0.0634970336116033	0.849221682982164	DLPFC
1071	2	108907675	108908035	159	15	0.119334567571614	0.549071526879268	DLPFC
1072	2	108924207	108924771	163	12	0.0620406404277536	0.505895380483847	DLPFC
