task_id	chrom	start	end	race	num_snps	boosting_iterations_performed	h2_unscaled	r_squared_cv	region
1	X	101931553	101932167	AA	128	11	0.0705449594113744	0.490254977715359	DLPFC
10	X	119606191	119606364	AA	280	16	0.0866298054637792	0.83434487295406	DLPFC
100	X	48696707	48697217	AA	96	12	0.0327757326610986	0.369117853051978	DLPFC
1000	1	9872003	9873228	AA	597	39	0.210549202312275	0.949780509773882	DLPFC
1001	1	9888741	9889456	AA	602	14	0.116767051445377	0.953640439259627	DLPFC
1002	1	9926038	9926281	AA	594	11	0.141400436798582	0.951558462467863	DLPFC
1003	1	9932063	9932299	AA	595	11	0.147224335188547	0.954851475777752	DLPFC
1004	1	9954789	9955966	AA	580	18	0.151687967006221	0.951578549418978	DLPFC
1005	1	9959054	9959666	AA	571	11	0.199947064341815	0.955190797445068	DLPFC
1006	1	9976647	9977283	AA	583	15	0.137470721491869	0.955172700649409	DLPFC
1007	2	10006641	10007096	AA	760	12	0.119057655063931	0.95613266132342	DLPFC
1008	2	100105946	100106218	AA	311	14	0.138452929266535	0.855145220859286	DLPFC
1009	2	100182982	100183541	AA	325	13	0.0730191230019031	0.805186242303542	DLPFC
101	X	48737120	48737439	AA	93	11	0.0924781795680509	0.390123653249979	DLPFC
1010	2	100252754	100253749	AA	340	11	0.0687933666039458	0.792591634724989	DLPFC
1011	2	100391683	100392526	AA	356	13	0.0600035904478375	0.794672965004801	DLPFC
1012	2	10039647	10041551	AA	777	15	0.0300585904532363	0.915869516267516	DLPFC
1013	2	10042373	10042597	AA	774	11	0.0744486593108313	0.917191292331951	DLPFC
1014	2	10044542	10046203	AA	764	13	0.020085529858789	0.865576535274694	DLPFC
1015	2	10047679	10047923	AA	777	17	0.028747623051826	0.927354881157506	DLPFC
1016	2	10057505	10058061	AA	771	11	0.031401661181759	0.924904809965116	DLPFC
1017	2	100604003	100604529	AA	356	13	0.129934032876757	0.854960365509977	DLPFC
1018	2	10084625	10084804	AA	799	11	0.0220139076159797	0.86920835537571	DLPFC
1019	2	101609828	101610623	AA	361	11	0.124675226961429	0.89329620763166	DLPFC
102	X	48801670	48802276	AA	83	13	0.0886175548485503	0.620056552900496	DLPFC
1020	2	101613050	101613634	AA	376	15	0.0567992396163897	0.876893192315905	DLPFC
1021	2	101638490	101639074	AA	364	11	0.0365422540707818	0.815401158525551	DLPFC
1022	2	101781230	101781772	AA	356	11	0.0863078074599071	0.869238353380057	DLPFC
1023	2	102110545	102110949	AA	341	27	0.107604574241114	0.861446969174874	DLPFC
1024	2	102735801	102735967	AA	249	11	0.0453532018706858	0.802442759868022	DLPFC
1025	2	102788364	102791225	AA	265	12	0.0892001885167401	0.81211475692304	DLPFC
1026	2	10283899	10285810	AA	773	15	0.0907903064318014	0.964994316364155	DLPFC
1027	2	10286837	10287280	AA	773	11	0.0716238782317853	0.965809893774202	DLPFC
1028	2	10304631	10307285	AA	768	14	0.0287281138223731	0.895397046385204	DLPFC
