cohort	tissue	population	modality	vmr_id	seqnames	start	end	h2_category	h2_unscaled	n_pairs_tested	n_features_tested	n_sig_fdr_05	n_sig_fdr_10	min_p	min_fdr	max_abs_beta	strongest_beta
BA_only	caudate	AA	expression_nearest_gene	chr10_100348146_100351725	chr10	100348146	100351725	Heritable	0.122590951055559	1	1	0	0	0.00781160191406451	0.143471534668239	2.06520858142179	-2.06520858142179
BA_only	caudate	AA	expression_nearest_gene	chr10_100621189_100622124	chr10	100621189	100622124	Non-heritable	0.0776285567093207	1	1	0	0	0.697452437984317	0.926654937505194	0.0690648083773269	0.0690648083773269
BA_only	caudate	AA	expression_nearest_gene	chr10_100736368_100737150	chr10	100736368	100737150	Non-heritable	0.048240883131588	1	1	0	0	0.330163188200966	0.76458138399258	0.0224712240000729	-0.0224712240000729
BA_only	caudate	AA	expression_nearest_gene	chr10_100914718_100915820	chr10	100914718	100915820	Heritable	0.178188125434337	1	1	0	0	0.450472092111856	0.830380164330402	0.289157855916677	-0.289157855916677
BA_only	caudate	AA	expression_nearest_gene	chr10_100932348_100932948	chr10	100932348	100932948	Non-heritable	0.0704787193384847	1	1	0	0	0.98043776302892	0.99782851399823	0.00770731755923038	0.00770731755923038
BA_only	caudate	AA	expression_nearest_gene	chr10_101005647_101007246	chr10	101005647	101007246	Non-heritable	0.0977493890557411	1	1	0	0	0.479535919317391	0.8425997945934	0.19380594271615	0.19380594271615
BA_only	caudate	AA	expression_nearest_gene	chr10_101008138_101008841	chr10	101008138	101008841	Non-heritable	0.0860913571730376	1	1	0	0	0.219227715075088	0.680125932536322	0.513512097412817	0.513512097412817
BA_only	caudate	AA	expression_nearest_gene	chr10_101311322_101312231	chr10	101311322	101312231	Non-heritable	0.033078848218286	1	1	0	0	0.383333445544418	0.795975443641429	0.344097671536695	-0.344097671536695
BA_only	caudate	AA	expression_nearest_gene	chr10_101774274_101774853	chr10	101774274	101774853	Non-heritable	0.0970363589032236	1	1	0	0	0.631947659366567	0.902231731411322	0.0625251387170306	0.0625251387170306
BA_only	caudate	AA	expression_nearest_gene	chr10_101843180_101843272	chr10	101843180	101843272	Non-heritable	0.0510310123962344	1	1	0	0	0.0310045205133122	0.31819144164632	1.09136074607433	-1.09136074607433
BA_only	caudate	AA	expression_nearest_gene	chr10_102113370_102114054	chr10	102113370	102114054	Non-heritable	0.0290176092524506	1	1	0	0	0.682680303450406	0.922564689131148	0.0952428385423616	-0.0952428385423616
BA_only	caudate	AA	expression_nearest_gene	chr10_102115947_102116250	chr10	102115947	102116250	Heritable	0.109066310155861	1	1	0	0	0.0744578284151626	0.460267919432038	0.528059513411414	-0.528059513411414
BA_only	caudate	AA	expression_nearest_gene	chr10_1022752_1022957	chr10	1022752	1022957	Heritable	0.11251089326097	1	1	0	0	0.584776103534482	0.886109122066436	0.0436393353688139	0.0436393353688139
