vmr_id	feature_type	nearest_feature_id	nearest_feature_name	nearest_distance	seqnames	start	end	h2_category	h2_unscaled	r_squared_cv	num_snps	population	vmr_set	vmr_length	log_nearest_distance	within_10kb	within_100kb
chrX_100407724_100408397	gene	ENSG00000165194	PCDH19	0	chrX	100407724	100408397	Non-heritable	0.0746775592101127	0.58084341333732	181	AA	shared	673	0	TRUE	TRUE
chrX_101931120_101932284	gene	ENSG00000166432	ZMAT1	0	chrX	101931120	101932284	Non-heritable	0.0613795345995031	0.348002961319816	129	AA	shared	1164	0	TRUE	TRUE
chrX_131783237_131783925	gene	ENSG00000213468	FIRRE	0	chrX	131783237	131783925	Non-heritable	0.0858226789278343	0.501069898293903	135	AA	shared	688	0	TRUE	TRUE
chr16_85538147_85538402	gene	ENSG00000131149	GSE1	0	chr16	85538147	85538402	Non-heritable	0.0984498546320969	0.98387051380749	1418	AA	shared	255	0	TRUE	TRUE
chr16_85557351_85557566	gene	ENSG00000131149	GSE1	0	chr16	85557351	85557566	Non-heritable	0.0953568188716698	0.987295953689792	1418	AA	shared	215	0	TRUE	TRUE
chr16_85584077_85584225	gene	ENSG00000270124	ENSG00000270124	0	chr16	85584077	85584225	Non-heritable	0.0691357425590796	0.982427873939981	1401	AA	shared	148	0	TRUE	TRUE
chr16_85586334_85586619	gene	ENSG00000131149	GSE1	0	chr16	85586334	85586619	Non-heritable	0.0666454458332736	0.983878615374157	1401	AA	shared	285	0	TRUE	TRUE
chr16_85593685_85593982	gene	ENSG00000260417	ENSG00000260417	0	chr16	85593685	85593982	Non-heritable	0.0628628040602729	0.986323928267812	1389	AA	shared	297	0	TRUE	TRUE
chr16_85650857_85651812	gene	ENSG00000131149	GSE1	0	chr16	85650857	85651812	Non-heritable	0.0805686432070211	0.986483313734277	1353	AA	shared	955	0	TRUE	TRUE
chr16_85653418_85653634	gene	ENSG00000131149	GSE1	0	chr16	85653418	85653634	Non-heritable	0.0802571385086854	0.981861858449412	1384	AA	shared	216	0	TRUE	TRUE
chr1_245099325_245099920	gene	ENSG00000305254	ENSG00000305254	0	chr1	245099325	245099920	Non-heritable	0.0547490063623043	0.962191374556944	826	AA	shared	595	0	TRUE	TRUE
