chromA	startA	endA	chromB	startB	endB	overlap	lenA	lenB	pctA	pctB	reciprocal
1	1351537	1351687	1	1351411	1351596	59	150	185	39.33333333333333	31.891891891891895	31.891891891891895
1	2124314	2124541	1	2124263	2124404	90	227	141	39.647577092511014	63.829787234042556	39.647577092511014
1	2132264	2132612	1	2132344	2132503	159	348	159	45.689655172413794	100.0	45.689655172413794
1	2189201	2190598	1	2189186	2190519	1318	1397	1333	94.34502505368647	98.87471867966991	94.34502505368647
1	9536299	9537435	1	9536906	9537576	529	1136	670	46.566901408450704	78.95522388059702	46.566901408450704
1	16677941	16678490	1	16678138	16678820	352	549	682	64.11657559198542	51.61290322580645	51.61290322580645
1	18575584	18576317	1	18576104	18576317	213	733	213	29.058663028649384	100.0	29.058663028649384
1	18784007	18785106	1	18784007	18784942	935	1099	935	85.07734303912648	100.0	85.07734303912648
1	21437255	21437893	1	21437342	21437779	437	638	437	68.49529780564264	100.0	68.49529780564264
1	22011488	22012964	1	22011556	22012964	1408	1476	1408	95.39295392953929	100.0	95.39295392953929
1	25563506	25564273	1	25563647	25564105	458	767	458	59.71316818774446	100.0	59.71316818774446
1	26200416	26201583	1	26200776	26201118	342	1167	342	29.30591259640103	100.0	29.30591259640103
1	28246210	28247095	1	28245560	28247076	866	885	1516	97.85310734463278	57.12401055408971	57.12401055408971
1	31154431	31154704	1	31154431	31154646	215	273	215	78.75457875457876	100.0	78.75457875457876
1	36401108	36401547	1	36401072	36401380	272	439	308	61.958997722095674	88.31168831168831	61.958997722095674
1	37690925	37691411	1	37690964	37691146	182	486	182	37.4485596707819	100.0	37.4485596707819
1	39799459	39799793	1	39799398	39799566	107	334	168	32.035928143712574	63.69047619047619	32.035928143712574
1	43558382	43558913	1	43558479	43558706	227	531	227	42.749529190207156	100.0	42.749529190207156
1	44103426	44103777	1	44103532	44103726	194	351	194	55.27065527065527	100.0	55.27065527065527
1	65550124	65550867	1	65549458	65550736	612	743	1278	82.36877523553163	47.88732394366197	47.88732394366197
1	72334743	72334842	1	72334743	72334842	99	99	99	100.0	100.0	100.0
1	76641879	76644624	1	76642224	76643758	1534	2745	1534	55.88342440801457	100.0	55.88342440801457
1	88993642	88993975	1	88993737	88993975	238	333	238	71.47147147147147	100.0	71.47147147147147
1	95232696	95233361	1	95232696	95233271	575	665	575	86.46616541353383	100.0	86.46616541353383
1	101308446	101308887	1	101308446	101308887	441	441	441	100.0	100.0	100.0
1	112742759	112743662	1	112743008	112743470	462	903	462	51.162790697674424	100.0	51.162790697674424
1	148328866	148330037	1	148328866	148329840	974	1171	974	83.17677198975235	100.0	83.17677198975235
1	148361239	148362991	1	148361764	148362684	920	1752	920	52.51141552511416	100.0	52.51141552511416
1	148387759	148388213	1	148387936	148388122	186	454	186	40.969162995594715	100.0	40.969162995594715
1	155231398	155232386	1	155231089	155231988	590	988	899	59.716599190283404	65.62847608453838	59.716599190283404
1	155690930	155691682	1	155691000	155695885	682	752	4885	90.69148936170212	13.961105424769704	13.961105424769704
1	155694890	155695588	1	155691000	155695885	698	698	4885	100.0	14.28863868986694	14.28863868986694
1	157278817	157279954	1	157278965	157279842	877	1137	877	77.13280562884785	100.0	77.13280562884785
1	158212100	158213293	1	158212502	158214229	791	1193	1727	66.30343671416597	45.801968731905035	45.801968731905035
1	160985050	160985277	1	160985050	160985506	227	227	456	100.0	49.780701754385966	49.780701754385966
