vmr_id	feature_type	nearest_feature_id	nearest_feature_name	nearest_distance	seqnames	start	end	h2_category	h2_unscaled	r_squared_cv	num_snps	population	vmr_set	vmr_length	log_nearest_distance	within_10kb	within_100kb
chrX_48071222_48071328	gene	ENSG00000287757	ENSG00000287757	0	chrX	48071222	48071328	Heritable	0.185161810458091	0.70867104279194	156	AA	shared	106	0	TRUE	TRUE
chr1_8233895_8234123	gene	ENSG00000298156	ENSG00000298156	5877	chr1	8233895	8234123	Heritable	0.115631650922371	0.955931158153531	587	AA	shared	228	8.67897184697886	TRUE	TRUE
chr1_8255148_8255824	gene	ENSG00000301025	ENSG00000301025	516	chr1	8255148	8255824	Heritable	0.130757613732763	0.95638857908684	578	AA	shared	676	6.24804287450843	TRUE	TRUE
chr1_8332504_8332806	gene	ENSG00000162426	SLC45A1	0	chr1	8332504	8332806	Heritable	0.123703259996543	0.955674547878082	616	AA	shared	302	0	TRUE	TRUE
chr1_8340847_8341851	gene	ENSG00000162426	SLC45A1	0	chr1	8340847	8341851	Heritable	0.124627665087267	0.955064256612351	618	AA	shared	1004	0	TRUE	TRUE
chr1_83996581_83997373	gene	ENSG00000137941	TTLL7	0	chr1	83996581	83997373	Non-heritable	0.0540252107922528	0.878466006336624	405	AA	shared	792	0	TRUE	TRUE
chr1_8403043_8403510	gene	ENSG00000142599	RERE	0	chr1	8403043	8403510	Heritable	0.124493203681392	0.959022688610221	646	AA	shared	467	0	TRUE	TRUE
chrX_48475993_48476647	gene	ENSG00000068438	FTSJ1	0	chrX	48475993	48476647	Heritable	0.280140643441808	0.705870876856551	124	AA	shared	654	0	TRUE	TRUE
chr1_86842001_86842447	gene	ENSG00000284846	ENSG00000284846	7831	chr1	86842001	86842447	Non-heritable	0.0726802356832157	0.905177387681726	396	AA	shared	446	8.96597318421035	TRUE	TRUE
chr1_87890940_87891180	gene	ENSG00000295677	ENSG00000295677	0	chr1	87890940	87891180	Heritable	0.103560231556119	0.920088001169498	399	AA	shared	240	0	TRUE	TRUE
chr1_8792533_8793113	gene	ENSG00000142599	RERE	0	chr1	8792533	8793113	Non-heritable	0.0514561982065533	0.94319723487958	568	AA	shared	580	0	TRUE	TRUE
chrX_48508388_48508570	gene	ENSG00000224292	PORCN-DT	0	chrX	48508388	48508570	Heritable	0.221587829308086	0.724142183734832	115	AA	shared	182	0	TRUE	TRUE
chr1_8966004_8966648	gene	ENSG00000131686	CA6	0	chr1	8966004	8966648	Heritable	0.113990962021078	0.934324563100656	548	AA	shared	644	0	TRUE	TRUE
chr1_8975419_8975943	gene	ENSG00000131686	CA6	326	chr1	8975419	8975943	Heritable	0.110952022859883	0.931279727009882	551	AA	shared	524	5.78996017089725	TRUE	TRUE
chr1_8995214_8996284	gene	ENSG00000197241	SLC2A7	6688	chr1	8995214	8996284	Heritable	0.137220933623623	0.940317362482306	553	AA	shared	1070	8.80821966511841	TRUE	TRUE
chr1_90833997_90834535	gene	ENSG00000233593	LINC02609	0	chr1	90833997	90834535	Heritable	0.121443943713214	0.922202359431725	470	AA	shared	538	0	TRUE	TRUE
chr1_90909787_90910134	gene	ENSG00000122482	ZNF644	5163	chr1	90909787	90910134	Heritable	0.133863620935514	0.869621948598952	456	AA	shared	347	8.54946675196653	TRUE	TRUE
chr1_9137968_9138672	gene	ENSG00000228526	MIR34AHG	882	chr1	9137968	9138672	Non-heritable	0.0414266876529585	0.932699037208794	531	AA	shared	704	6.78332520060396	TRUE	TRUE
chr1_9478805_9479371	gene	ENSG00000296249	ENSG00000296249	10970	chr1	9478805	9479371	Heritable	0.161236574954383	0.929645215363694	472	AA	shared	566	9.30301070681749	FALSE	TRUE
chr1_9531019_9532420	gene	ENSG00000171612	SLC25A33	7044	chr1	9531019	9532420	Heritable	0.176531161838835	0.91879810882276	489	AA	shared	1401	8.86007342433278	TRUE	TRUE
chr1_9536906_9537435	gene	ENSG00000171612	SLC25A33	2029	chr1	9536906	9537435	Heritable	0.19388825107809	0.904712867854652	483	AA	shared	529	7.61579107203583	TRUE	TRUE
chr1_9540619_9541129	gene	ENSG00000171612	SLC25A33	0	chr1	9540619	9541129	Heritable	0.129085203751154	0.926154066033845	484	AA	shared	510	0	TRUE	TRUE
chr1_9575382_9575741	gene	ENSG00000171612	SLC25A33	0	chr1	9575382	9575741	Heritable	0.155216514114714	0.926320611299574	494	AA	shared	359	0	TRUE	TRUE
chr1_9580575_9580841	gene	ENSG00000171612	SLC25A33	0	chr1	9580575	9580841	Heritable	0.112150669810187	0.921297656453717	478	AA	shared	266	0	TRUE	TRUE
chr1_9587739_9588111	gene	ENSG00000188807	TMEM201	799	chr1	9587739	9588111	Heritable	0.241748949649641	0.932329438687822	486	AA	shared	372	6.68461172766793	TRUE	TRUE
chr1_9660973_9661792	gene	ENSG00000233268	ENSG00000233268	0	chr1	9660973	9661792	Heritable	0.188992076982536	0.944169097900876	506	AA	shared	819	0	TRUE	TRUE
chr1_96631576_96631805	gene	ENSG00000294611	ENSG00000294611	26706	chr1	96631576	96631805	Heritable	0.100351452326744	0.803954983576272	286	AA	shared	229	10.1926809823118	FALSE	TRUE
chr1_9674753_9675254	gene	ENSG00000231789	PIK3CD-AS2	0	chr1	9674753	9675254	Heritable	0.119508497309802	0.935020803502187	510	AA	shared	501	0	TRUE	TRUE
chr1_9762017_9762565	gene	ENSG00000171603	CLSTN1	0	chr1	9762017	9762565	Heritable	0.136213276856198	0.945663981083858	546	AA	shared	548	0	TRUE	TRUE
chr1_9771154_9771826	gene	ENSG00000171603	CLSTN1	0	chr1	9771154	9771826	Heritable	0.151457586468613	0.947092422981155	545	AA	shared	672	0	TRUE	TRUE
chr1_9782938_9784278	gene	ENSG00000171603	CLSTN1	0	chr1	9782938	9784278	Heritable	0.209730811191535	0.951272777689724	558	AA	shared	1340	0	TRUE	TRUE
chr1_9803631_9804406	gene	ENSG00000171603	CLSTN1	0	chr1	9803631	9804406	Heritable	0.161291339922432	0.946945674180621	561	AA	shared	775	0	TRUE	TRUE
chr1_9805340_9806017	gene	ENSG00000171603	CLSTN1	0	chr1	9805340	9806017	Heritable	0.104784273579439	0.946887154324291	562	AA	shared	677	0	TRUE	TRUE
chrX_48737120_48737420	gene	ENSG00000297378	ENSG00000297378	0	chrX	48737120	48737420	Non-heritable	0.0300195926639114	0.371590951023697	90	AA	shared	300	0	TRUE	TRUE
chr1_9829588_9830096	gene	ENSG00000280113	ENSG00000280113	1316	chr1	9829588	9830096	Heritable	0.148387897800512	0.955180660338584	587	AA	shared	508	7.18311170174328	TRUE	TRUE
chr1_9908023_9908474	gene	ENSG00000285701	ENSG00000285701	0	chr1	9908023	9908474	Heritable	0.209932820249984	0.95558571274333	605	AA	shared	451	0	TRUE	TRUE
chr1_9919693_9920022	gene	ENSG00000228150	ENSG00000228150	0	chr1	9919693	9920022	Heritable	0.147494587601621	0.95970084056824	611	AA	shared	329	0	TRUE	TRUE
chr1_9925738_9926651	gene	ENSG00000162441	LZIC	0	chr1	9925738	9926651	Heritable	0.186636492469421	0.953641527819907	594	AA	shared	913	0	TRUE	TRUE
