cohort	tissue	population	vmr_set	modality	vmr_id	seqnames	start	end	h2_category	h2_unscaled	n_pairs_tested	n_features_tested	n_sig_fdr_05	n_sig_fdr_10	min_p	min_fdr	max_abs_beta	strongest_beta
all_individuals	hippocampus	EA	EA_only	expression_nearest_gene	chr10_100348146_100351440	chr10	100348146	100351440	Heritable	0.154055106833556	1	1	0	0	0.115452496646356	0.702001432667228	0.697714588607482	-0.697714588607482
all_individuals	hippocampus	EA	EA_only	expression_nearest_gene	chr10_101006502_101007099	chr10	101006502	101007099	Heritable	0.20826673896687	1	1	0	0	0.552687326403168	0.955301752671289	0.286016167726951	-0.286016167726951
all_individuals	hippocampus	EA	EA_only	expression_nearest_gene	chr10_101008138_101008841	chr10	101008138	101008841	Heritable	0.241088995948278	1	1	0	0	0.997448937358484	0.999878897925814	0.00145555110876661	-0.00145555110876661
all_individuals	hippocampus	EA	EA_only	expression_nearest_gene	chr10_101149994_101151895	chr10	101149994	101151895	Heritable	0.127767856580976	1	1	0	0	0.13946033605568	0.737155790648376	0.0180648648576774	-0.0180648648576774
all_individuals	hippocampus	EA	EA_only	expression_nearest_gene	chr10_10157082_10157472	chr10	10157082	10157472	Heritable	0.119988584472249	1	1	0	0	0.682017438945511	0.978321620363948	0.0163203166884	0.0163203166884
all_individuals	hippocampus	EA	EA_only	expression_nearest_gene	chr10_102433050_102433216	chr10	102433050	102433216	Heritable	0.133829384250963	1	1	0	0	0.735491110190062	0.982824791856384	0.105966305840903	0.105966305840903
all_individuals	hippocampus	EA	EA_only	expression_nearest_gene	chr10_103125057_103125425	chr10	103125057	103125425	Non-heritable	0.0538022659993578	1	1	0	0	0.788926135124324	0.993031611897376	0.0866502511868639	-0.0866502511868639
all_individuals	hippocampus	EA	EA_only	expression_nearest_gene	chr10_104275213_104275792	chr10	104275213	104275792	Heritable	0.3030181756364	1	1	1	1	5.56871115619489e-11	1.44473250058531e-08	1.90122011712875	-1.90122011712875
all_individuals	hippocampus	EA	EA_only	expression_nearest_gene	chr10_104330475_104332006	chr10	104330475	104332006	Heritable	0.178867690124886	1	1	0	0	0.497071349352785	0.944038988621626	0.309372423308282	-0.309372423308282
all_individuals	hippocampus	EA	EA_only	expression_nearest_gene	chr10_104784526_104785142	chr10	104784526	104785142	Heritable	0.153742131329897	1	1	0	0	0.237577986766377	0.833938028739487	0.57707395816092	0.57707395816092
all_individuals	hippocampus	EA	EA_only	expression_nearest_gene	chr10_106735808_106737102	chr10	106735808	106737102	Heritable	0.640199727678785	1	1	0	0	0.606278692594574	0.968196454970704	0.331849621023313	0.331849621023313
all_individuals	hippocampus	EA	EA_only	expression_nearest_gene	chr10_108315734_108316106	chr10	108315734	108316106	Heritable	0.306871706881064	1	1	0	0	0.172762003058994	0.766169951600306	0.34468388388112	-0.34468388388112
all_individuals	hippocampus	EA	EA_only	expression_nearest_gene	chr10_108396052_108398540	chr10	108396052	108398540	Heritable	0.479919693288291	1	1	0	0	0.956400438129728	0.998916825731915	0.0180634937590245	0.0180634937590245
all_individuals	hippocampus	EA	EA_only	expression_nearest_gene	chr10_110005895_110006876	chr10	110005895	110006876	Heritable	0.344337825549556	1	1	0	0	0.207421747111183	0.800193003957731	0.356565911632849	-0.356565911632849
all_individuals	hippocampus	EA	EA_only	expression_nearest_gene	chr10_11007535_11007846	chr10	11007535	11007846	Heritable	0.149140121486776	1	1	0	0	0.225224919075997	0.819869467207137	0.413617525879744	0.413617525879744
