vmr_id	feature_type	nearest_feature_id	nearest_feature_name	nearest_distance	seqnames	start	end	h2_category	h2_unscaled	r_squared_cv	num_snps	population	vmr_set	vmr_length	log_nearest_distance	within_10kb	within_100kb
chrX_100407724_100408397	gene	ENSG00000165194	PCDH19	0	chrX	100407724	100408397	Non-heritable	0.0752769052428915	0.546697669833412	104	EA	shared	673	0	TRUE	TRUE
chrX_101931120_101932284	gene	ENSG00000166432	ZMAT1	0	chrX	101931120	101932284	Non-heritable	0.0346877914766611	0.338578841701855	82	EA	shared	1164	0	TRUE	TRUE
chrX_131783237_131783925	gene	ENSG00000213468	FIRRE	0	chrX	131783237	131783925	Non-heritable	0.014284817913023	0.344082954071039	87	EA	shared	688	0	TRUE	TRUE
chr16_85538147_85538402	gene	ENSG00000131149	GSE1	0	chr16	85538147	85538402	Non-heritable	0.0982759741315861	0.958516934289544	700	EA	shared	255	0	TRUE	TRUE
chr16_85557351_85557566	gene	ENSG00000131149	GSE1	0	chr16	85557351	85557566	Non-heritable	0.0629905088279429	0.968454348698369	692	EA	shared	215	0	TRUE	TRUE
chr16_85584077_85584225	gene	ENSG00000270124	ENSG00000270124	0	chr16	85584077	85584225	Non-heritable	0.0816669384847337	0.967681121999649	665	EA	shared	148	0	TRUE	TRUE
chr16_85586334_85586619	gene	ENSG00000131149	GSE1	0	chr16	85586334	85586619	Non-heritable	0.0850518457096121	0.966966937676429	687	EA	shared	285	0	TRUE	TRUE
chr16_85593685_85593982	gene	ENSG00000260417	ENSG00000260417	0	chr16	85593685	85593982	Non-heritable	0.0971164791299735	0.962634179907374	694	EA	shared	297	0	TRUE	TRUE
chr16_85650857_85651812	gene	ENSG00000131149	GSE1	0	chr16	85650857	85651812	Non-heritable	0.0654799168614467	0.963343901276367	667	EA	shared	955	0	TRUE	TRUE
chr16_85653418_85653634	gene	ENSG00000131149	GSE1	0	chr16	85653418	85653634	Non-heritable	0.0795377876070585	0.963052306988224	657	EA	shared	216	0	TRUE	TRUE
chr1_245099325_245099920	gene	ENSG00000305254	ENSG00000305254	0	chr1	245099325	245099920	Non-heritable	0.040549144477414	0.86574293237911	403	EA	shared	595	0	TRUE	TRUE
chr16_86281461_86281688	gene	ENSG00000268754	LINC01081	0	chr16	86281461	86281688	Heritable	0.236010557401163	0.914294074360699	628	EA	shared	227	0	TRUE	TRUE
chr16_86285648_86285899	gene	ENSG00000268754	LINC01081	0	chr16	86285648	86285899	Heritable	0.171257753965342	0.917567058998515	632	EA	shared	251	0	TRUE	TRUE
chr16_86343217_86343338	gene	ENSG00000168367	LINC00917	0	chr16	86343217	86343338	Non-heritable	0.0410601730535742	0.949038303847202	612	EA	shared	121	0	TRUE	TRUE
chr16_86494097_86494399	gene	ENSG00000268388	FENDRR	0	chr16	86494097	86494399	Heritable	0.102007667274686	0.94245291052598	571	EA	shared	302	0	TRUE	TRUE
chr16_86494618_86494872	gene	ENSG00000268388	FENDRR	0	chr16	86494618	86494872	Non-heritable	0.0924256473676102	0.951915585381932	575	EA	shared	254	0	TRUE	TRUE
chr16_86533337_86535125	gene	ENSG00000103248	MTHFSD	0	chr16	86533337	86535125	Heritable	0.134921564471515	0.937287863189238	563	EA	shared	1788	0	TRUE	TRUE
chr16_8661792_8662118	gene	ENSG00000279357	ENSG00000279357	4643	chr16	8661792	8662118	Heritable	0.24785255111803	0.887789535279644	496	EA	shared	326	8.44333134281778	TRUE	TRUE
chr16_86761702_86762112	gene	ENSG00000304496	ENSG00000304496	0	chr16	86761702	86762112	Heritable	0.446954794942895	0.936972624113795	576	EA	shared	410	0	TRUE	TRUE
chr16_86791540_86792456	gene	ENSG00000287010	ENSG00000287010	20498	chr16	86791540	86792456	Heritable	0.225667147903215	0.935625180177267	601	EA	shared	916	9.92813138344889	FALSE	TRUE
chr16_86806854_86807232	gene	ENSG00000287010	ENSG00000287010	35812	chr16	86806854	86807232	Non-heritable	0.0933998462044418	0.940593934369246	602	EA	shared	378	10.4860662349652	FALSE	TRUE
chr16_86935105_86935580	gene	ENSG00000287161	ENSG00000287161	0	chr16	86935105	86935580	Non-heritable	0.0724156148173902	0.956141034817254	616	EA	shared	475	0	TRUE	TRUE
chr16_86942672_86942940	gene	ENSG00000287161	ENSG00000287161	0	chr16	86942672	86942940	Non-heritable	0.0627497842538651	0.941264714496521	613	EA	shared	268	0	TRUE	TRUE
chr16_87216436_87217083	gene	ENSG00000261651	ENSG00000261651	0	chr16	87216436	87217083	Non-heritable	0.0513391852129128	0.937902078177545	561	EA	shared	647	0	TRUE	TRUE
chr16_87333025_87333434	gene	ENSG00000103264	FBXO31	0	chr16	87333025	87333434	Non-heritable	0.0832176855577436	0.949748490705676	530	EA	shared	409	0	TRUE	TRUE
chr16_87518934_87519173	gene	ENSG00000294874	ENSG00000294874	0	chr16	87518934	87519173	Non-heritable	0.0894562601667222	0.885639797246434	510	EA	shared	239	0	TRUE	TRUE
chr16_87550444_87550609	gene	ENSG00000303998	ENSG00000303998	5288	chr16	87550444	87550609	Non-heritable	0.0477592068460557	0.880191641218053	500	EA	shared	165	8.57338447106598	TRUE	TRUE
chr16_87560258_87560488	gene	ENSG00000303998	ENSG00000303998	0	chr16	87560258	87560488	Non-heritable	0.0518521342213895	0.901533019723766	512	EA	shared	230	0	TRUE	TRUE
chr1_245652510_245653681	gene	ENSG00000162849	KIF26B	0	chr1	245652510	245653681	Heritable	0.641880023430442	0.866103657654164	363	EA	shared	1171	0	TRUE	TRUE
chr16_87684207_87684455	gene	ENSG00000277504	ENSG00000277504	0	chr16	87684207	87684455	Non-heritable	0.0615114022952236	0.920980861900075	524	EA	shared	248	0	TRUE	TRUE
chr16_87704846_87705947	gene	ENSG00000104731	KLHDC4	0	chr16	87704846	87705947	Heritable	0.136482367342931	0.925007767216321	508	EA	shared	1101	0	TRUE	TRUE
chr16_87725875_87726202	gene	ENSG00000104731	KLHDC4	0	chr16	87725875	87726202	Non-heritable	0.0840876159509209	0.937860188895291	512	EA	shared	327	0	TRUE	TRUE
chr16_87740878_87741076	gene	ENSG00000260671	ENSG00000260671	0	chr16	87740878	87741076	Non-heritable	0.0656928927518069	0.885348556351619	504	EA	shared	198	0	TRUE	TRUE
