phenotype_id	num_causal_snps	chrom	start	end	positions	rsids	target_heritability	simulated_heritability
pheno_1	1	6	125800174	126800174	126446806	rs2018637	0.04823623353279001	0.04823623353279001
pheno_2	1	16	61732614	62732614	61842606	rs5388145	0.031093005400970593	0.031093005400970587
pheno_3	5	20	43350502	44350502	44260817,44266163,43939447,44333708,43707785	rs6891196,rs6892776,rs6889339,rs6895296,rs6887442	0.03024875442245009	0.030248754422450085
pheno_4	2	19	33874036	34874036	34127211,34131785	rs6545186,rs6547754	0.03858325236017676	0.03858325236017676
pheno_5	5	13	97476464	98476464	98413697,98182156,98206231,98321910,97959423	rs4332896,rs4325018,rs4327161,rs4329985,rs4318707	0.054523042025360145	0.05452304202536016
pheno_6	5	7	129023850	130023850	129386920,129510713,129539386,129036826,129972309	rs2360059,rs2361723,rs2364255,rs2357406,rs2366597	0.01496599379435084	0.014965993794350835
pheno_7	3	17	17021751	18021751	17278182,17791400,17355393	rs5625572,rs5631815,rs5628631	0.6400638338402884	0.6400638338402885
pheno_8	5	21	13711974	14711974	14132370,13859238,14632546,14394881,14464068	rs7087467,rs7079666,rs7097626,rs7090399,rs7094900	0.02633207019676617	0.026332070196766165
pheno_9	4	11	96035339	97035339	97013330,96106116,96636587,96178623	rs3702676,rs3696786,rs3700456,rs3699391	0.022583207006701647	0.02258320700670164
pheno_10	5	15	14347636	15347636	14985047,14390755,15308004,14822009,15087420	rs4833332,rs4830057,rs4838585,rs4831593,rs4835478	0.07308565769784799	0.07308565769784801
pheno_11	1	16	38274623	39274623	38886631	rs5311477	0.6324259901426399	0.6324259901426398
pheno_12	4	6	11533966	12533966	12093970,12192245,11671601,12108821	rs1742047,rs1745856,rs1739550,rs1744003	0.04031674194888708	0.04031674194888708
pheno_13	4	10	100269911	101269911	100396399,101149707,101165673,101024425	rs3348568,rs3354060,rs3356168,rs3350966	0.4743786715263342	0.4743786715263342
pheno_14	3	18	72630321	73630321	72783226,73507605,73367311	rs6223216,rs6227202,rs6225025	0.07475147573155203	0.07475147573155203
pheno_15	2	1	97621961	98621961	97701583,97791193	rs33569,rs36592	0.47247973516536945	0.4724797351653697
pheno_16	3	15	50750500	51750500	51547554,50970559,50775020	rs5026859,rs5023081,rs5021430	0.061749849479477245	0.06174984947947724
pheno_17	3	1	127575842	128575842	128326797,127624825,128310784	rs123965,rs113615,rs122132	0.7081533536009244	0.7081533536009244
pheno_18	2	7	95724406	96724406	96358461,96656510	rs2312164,rs2314925	0.7589642666825416	0.7589642666825415
pheno_19	5	5	24920092	25920092	25573107,25237583,25324837,25498729,24949088	rs1392677,rs1384014,rs1385025,rs1388084,rs1382694	0.013432668998610118	0.013432668998610122
pheno_20	2	16	82764387	83764387	83288248,83165871	rs5473816,rs5470264	0.0759345704468695	0.0759345704468695
pheno_21	4	10	132103429	133103429	133064874,132369181,132775850,132361386	rs3497897,rs3491288,rs3493972,rs3489459	0.027654262271633534	0.027654262271633527
pheno_22	3	21	41085138	42085138	41857897,41470464,41741296	rs7370005,rs7365838,rs7367845	0.05278800910836314	0.05278800910836314
