seqnames	start	end	width	strand	annot.seqnames	annot.start	annot.end	annot.width	annot.strand	annot.id	annot.tx_id	annot.gene_id	annot.symbol	annot.type	h2_unscaled	r_squared_cv	h2_category
chr1	51813	51978	166	*	chr1	51473	52472	1000	+	promoter:6	ENST00000606857.1			hg38_genes_promoters			
chr1	51813	51978	166	*	chr1	33738	131123	97386	*	inter:2				hg38_cpg_inter			
chr1	533832	533990	159	*	chr1	527929	582628	54700	*	intergenic:8				hg38_genes_intergenic			
chr1	533832	533990	159	*	chr1	495547	593838	98292	*	inter:7				hg38_cpg_inter			
chr1	779478	779661	184	*	chr1	778664	779663	1000	-	promoter:11759	ENST00000506640.3	100288069	LOC100288069	hg38_genes_promoters	0.0192635156290134	0.489666934186229	Non-heritable
chr1	779478	779661	184	*	chr1	778689	779688	1000	-	promoter:11762	ENST00000692781.2			hg38_genes_promoters	0.0192635156290134	0.489666934186229	Non-heritable
chr1	779478	779661	184	*	chr1	776937	780936	4000	+	1to5kb:48	ENST00000644482.1			hg38_genes_1to5kb	0.0192635156290134	0.489666934186229	Non-heritable
chr1	779478	779661	184	*	chr1	779370	783369	4000	+	1to5kb:49	ENST00000585826.1			hg38_genes_1to5kb	0.0192635156290134	0.489666934186229	Non-heritable
chr1	779478	779661	184	*	chr1	779370	783369	4000	+	1to5kb:50	ENST00000592547.1			hg38_genes_1to5kb	0.0192635156290134	0.489666934186229	Non-heritable
chr1	779478	779661	184	*	chr1	779370	783369	4000	+	1to5kb:51	ENST00000586928.5			hg38_genes_1to5kb	0.0192635156290134	0.489666934186229	Non-heritable
chr1	779478	779661	184	*	chr1	779370	783369	4000	+	1to5kb:52	ENST00000585745.5	124903817	LOC124903817	hg38_genes_1to5kb	0.0192635156290134	0.489666934186229	Non-heritable
chr1	779478	779661	184	*	chr1	779370	783369	4000	+	1to5kb:53	ENST00000585768.5			hg38_genes_1to5kb	0.0192635156290134	0.489666934186229	Non-heritable
chr1	779478	779661	184	*	chr1	779370	783369	4000	+	1to5kb:54	ENST00000590848.5	105378580	LINC01409	hg38_genes_1to5kb	0.0192635156290134	0.489666934186229	Non-heritable
chr1	779478	779661	184	*	chr1	779370	783369	4000	+	1to5kb:55	ENST00000591440.5	105378580	LINC01409	hg38_genes_1to5kb	0.0192635156290134	0.489666934186229	Non-heritable
chr1	779478	779661	184	*	chr1	779370	783369	4000	+	1to5kb:56	ENST00000587530.5	105378580	LINC01409	hg38_genes_1to5kb	0.0192635156290134	0.489666934186229	Non-heritable
chr1	779478	779661	184	*	chr1	779370	783369	4000	+	1to5kb:57	ENST00000593022.5	105378580	LINC01409	hg38_genes_1to5kb	0.0192635156290134	0.489666934186229	Non-heritable
chr1	779478	779661	184	*	chr1	779370	783369	4000	+	1to5kb:58	ENST00000589531.5	105378580	LINC01409	hg38_genes_1to5kb	0.0192635156290134	0.489666934186229	Non-heritable
chr1	779478	779661	184	*	chr1	779370	783369	4000	+	1to5kb:59	ENST00000588951.5	105378580	LINC01409	hg38_genes_1to5kb	0.0192635156290134	0.489666934186229	Non-heritable
chr1	779478	779661	184	*	chr1	779396	783395	4000	+	1to5kb:60	ENST00000586288.1	105378580	LINC01409	hg38_genes_1to5kb	0.0192635156290134	0.489666934186229	Non-heritable
chr1	779478	779661	184	*	chr1	779093	803918	24826	+	intron:29	ENST00000655765.1	105378580	LINC01409	hg38_genes_introns	0.0192635156290134	0.489666934186229	Non-heritable
chr1	779478	779661	184	*	chr1	779093	803950	24858	+	intron:31	ENST00000412115.2	105378580	LINC01409	hg38_genes_introns	0.0192635156290134	0.489666934186229	Non-heritable
chr1	779478	779661	184	*	chr1	779093	803918	24826	+	intron:35	ENST00000670700.1	105378580	LINC01409	hg38_genes_introns	0.0192635156290134	0.489666934186229	Non-heritable
chr1	779478	779661	184	*	chr1	779093	803566	24474	+	intron:39	ENST00000429505.6	105378580	LINC01409	hg38_genes_introns	0.0192635156290134	0.489666934186229	Non-heritable
chr1	779478	779661	184	*	chr1	779093	803918	24826	+	intron:42	ENST00000657896.1	105378580	LINC01409	hg38_genes_introns	0.0192635156290134	0.489666934186229	Non-heritable
chr1	779478	779661	184	*	chr1	779093	781936	2844	+	intron:45	ENST00000434264.6	105378580	LINC01409	hg38_genes_introns	0.0192635156290134	0.489666934186229	Non-heritable
chr1	779478	779661	184	*	chr1	779093	781936	2844	+	intron:47	ENST00000457084.1	105378580	LINC01409	hg38_genes_introns	0.0192635156290134	0.489666934186229	Non-heritable
chr1	779478	779661	184	*	chr1	779093	803918	24826	+	intron:48	ENST00000658648.1	105378580	LINC01409	hg38_genes_introns	0.0192635156290134	0.489666934186229	Non-heritable
chr1	779478	779661	184	*	chr1	779093	803918	24826	+	intron:52	ENST00000656571.1	105378580	LINC01409	hg38_genes_introns	0.0192635156290134	0.489666934186229	Non-heritable
chr1	779478	779661	184	*	chr1	779093	786392	7300	+	intron:56	ENST00000665867.1	105378580	LINC01409	hg38_genes_introns	0.0192635156290134	0.489666934186229	Non-heritable
chr1	779478	779661	184	*	chr1	779093	803918	24826	+	intron:57	ENST00000669749.1	105378580	LINC01409	hg38_genes_introns	0.0192635156290134	0.489666934186229	Non-heritable
chr1	779478	779661	184	*	chr1	779093	803918	24826	+	intron:60	ENST00000666217.1	105378580	LINC01409	hg38_genes_introns	0.0192635156290134	0.489666934186229	Non-heritable
chr1	779478	779661	184	*	chr1	779093	803918	24826	+	intron:63	ENST00000665719.1	105378580	LINC01409	hg38_genes_introns	0.0192635156290134	0.489666934186229	Non-heritable
