cohort	tissue	population	vmr_set	modality	vmr_id	seqnames	start	end	h2_category	h2_unscaled	n_pairs_tested	n_features_tested	n_sig_fdr_05	n_sig_fdr_10	min_p	min_fdr	max_abs_beta	strongest_beta
all_individuals	dlpfc	EA	EA_only	psi	chr10_100025847_100026058	chr10	100025847	100026058	Heritable	0.206973483578567	26	26	0	0	0.0539890667311374	0.959920744114559	0.965500878954957	-0.965500878954957
all_individuals	dlpfc	EA	EA_only	psi	chr10_100348447_100351386	chr10	100348447	100351386	Heritable	0.157435260226438	112	112	0	0	0.00541424649444679	0.574337730003559	2.88782831789413	2.88782831789413
all_individuals	dlpfc	EA	EA_only	psi	chr10_100932521_100932948	chr10	100932521	100932948	Heritable	0.268801430192003	81	81	0	0	0.00402920592322759	0.511534839778431	1.82716020796436	-1.82716020796436
all_individuals	dlpfc	EA	EA_only	psi	chr10_100982514_100983141	chr10	100982514	100983141	Non-heritable	0.0715140409850677	103	103	0	1	0.000117325010750024	0.0568788503180149	3.72963398148439	3.72963398148439
all_individuals	dlpfc	EA	EA_only	psi	chr10_101006502_101007117	chr10	101006502	101007117	Heritable	0.253498550819246	118	118	0	0	0.00617537558780147	0.605276762727534	1.93801250632183	1.93801250632183
all_individuals	dlpfc	EA	EA_only	psi	chr10_101008138_101008841	chr10	101008138	101008841	Heritable	0.180450672479211	118	118	0	0	0.00475823394328974	0.546415599691512	3.68413070105295	-3.68413070105295
all_individuals	dlpfc	EA	EA_only	psi	chr10_101033653_101034328	chr10	101033653	101034328	Non-heritable	0.095428599524404	193	193	0	1	0.000239515541122681	0.0952529298177231	5.46343030493083	-5.46343030493083
all_individuals	dlpfc	EA	EA_only	psi	chr10_101150691_101151624	chr10	101150691	101151624	Heritable	0.192142583729691	207	207	0	0	0.00267049087396346	0.425056662638956	3.24832978129165	-3.24832978129165
all_individuals	dlpfc	EA	EA_only	psi	chr10_101242278_101242603	chr10	101242278	101242603	Non-heritable	0.0326827495828618	173	173	1	1	4.57496780231236e-05	0.0275140717175037	3.45727935949776	-3.45727935949776
all_individuals	dlpfc	EA	EA_only	psi	chr10_10157082_10157472	chr10	10157082	10157472	Heritable	0.173114377274916	11	11	0	0	0.0639020734406489	0.977662067589678	0.340125491186195	-0.340125491186195
