task_id	chrom	start	end	iteration	h2_incremental
334	1	20502619	20502738	1	0.41196482931116
334	1	20502619	20502738	2	3.77864257510838e-06
334	1	20502619	20502738	3	1.56363463368199e-06
334	1	20502619	20502738	4	0.000366648814441312
334	1	20502619	20502738	5	0.00303622456997674
334	1	20502619	20502738	6	1.65752394390355e-07
334	1	20502619	20502738	7	0
334	1	20502619	20502738	8	0
334	1	20502619	20502738	9	0.00119316624201092
334	1	20502619	20502738	10	0
334	1	20502619	20502738	11	1.0489341824589e-07
334	1	20502619	20502738	12	0
334	1	20502619	20502738	13	0
334	1	20502619	20502738	14	0.000413019539523321
334	1	20502619	20502738	15	3.04473131313574e-05
334	1	20502619	20502738	16	0
334	1	20502619	20502738	17	0
334	1	20502619	20502738	18	0
334	1	20502619	20502738	19	1.74511269366825e-07
