task_id	chrom	start	end	iteration	h2_incremental
1472	2	239465223	239465720	1	0.0922427937922817
1472	2	239465223	239465720	2	0.0318024414524054
1472	2	239465223	239465720	3	0.0126801166346381
1472	2	239465223	239465720	4	0.000498527031912205
1472	2	239465223	239465720	5	3.98454693081051e-05
1472	2	239465223	239465720	6	0.00433098968375393
1472	2	239465223	239465720	7	0
1472	2	239465223	239465720	8	5.49726118340473e-05
1472	2	239465223	239465720	9	8.69877430569309e-06
1472	2	239465223	239465720	10	9.03544785099322e-06
1472	2	239465223	239465720	11	3.264447559393e-05
