task_id	chrom	start	end	iteration	h2_incremental
767	1	50419483	50420448	1	0.0627198911321655
767	1	50419483	50420448	2	0.00313861643412296
767	1	50419483	50420448	3	7.63843235940091e-05
767	1	50419483	50420448	4	2.97542429288487e-05
767	1	50419483	50420448	5	0.00172179610739971
767	1	50419483	50420448	6	1.67092534757087e-05
767	1	50419483	50420448	7	0.0028202091933289
767	1	50419483	50420448	8	0
767	1	50419483	50420448	9	0
767	1	50419483	50420448	10	0
767	1	50419483	50420448	11	2.98240178644648e-05
767	1	50419483	50420448	12	0
