task_id	chrom	start	end	iteration	h2_incremental
964	2	100822046	100822983	1	0.319608076017352
964	2	100822046	100822983	2	0
964	2	100822046	100822983	3	5.84805591941486e-08
964	2	100822046	100822983	4	0
964	2	100822046	100822983	5	0
964	2	100822046	100822983	6	1.62913904522057e-05
964	2	100822046	100822983	7	7.78011413922815e-08
964	2	100822046	100822983	8	0
964	2	100822046	100822983	9	0
964	2	100822046	100822983	10	0.00176983380920831
964	2	100822046	100822983	11	0
964	2	100822046	100822983	12	1.14288086273878e-06
964	2	100822046	100822983	13	4.15411444719357e-07
964	2	100822046	100822983	14	0
964	2	100822046	100822983	15	0
