task_id	chrom	start	end	iteration	h2_incremental
3907	6	3195671	3196854	1	0.427583563478144
3907	6	3195671	3196854	2	0.00285927830171475
3907	6	3195671	3196854	3	0.00102639835708133
3907	6	3195671	3196854	4	0.00468964373282566
3907	6	3195671	3196854	5	2.70905235226937e-05
3907	6	3195671	3196854	6	0.000156307360403798
3907	6	3195671	3196854	7	0.00176798124052832
3907	6	3195671	3196854	8	2.60536253166032e-07
3907	6	3195671	3196854	9	0
3907	6	3195671	3196854	10	6.40649451962841e-07
3907	6	3195671	3196854	11	2.93917733013119e-06
3907	6	3195671	3196854	12	2.25237300571216e-07
