task_id	chrom	start	end	iteration	h2_incremental
1766	3	10171005	10171246	1	0.00130915075905482
1766	3	10171005	10171246	2	0.211979400602674
1766	3	10171005	10171246	3	0
1766	3	10171005	10171246	4	0.00461804773673156
1766	3	10171005	10171246	5	0
1766	3	10171005	10171246	6	0
1766	3	10171005	10171246	7	0
1766	3	10171005	10171246	8	0
1766	3	10171005	10171246	9	0.0057980900438066
1766	3	10171005	10171246	10	0
1766	3	10171005	10171246	11	0
1766	3	10171005	10171246	12	0
1766	3	10171005	10171246	13	1.96402883359026e-06
1766	3	10171005	10171246	14	0
