task_id	chrom	start	end	iteration	h2_incremental
1189	2	169826983	169827111	1	0.0944071589902473
1189	2	169826983	169827111	2	4.87842748661308e-06
1189	2	169826983	169827111	3	6.10239310930175e-06
1189	2	169826983	169827111	4	0.00263745640241606
1189	2	169826983	169827111	5	4.50057011413199e-06
1189	2	169826983	169827111	6	3.30157981137956e-07
1189	2	169826983	169827111	7	0
1189	2	169826983	169827111	8	9.52035629955714e-07
1189	2	169826983	169827111	9	0
1189	2	169826983	169827111	10	6.52454377293825e-06
1189	2	169826983	169827111	11	6.28986945253699e-07
